L	rómv. taltekn fyri 50
lívsgøta	mannalívið samanborið við eina gøtu(sum gingin verður),lívsleið,ein sovorðin myrking á lívsgøtuni
lívshatskur	hatskur, illviljaður móti lívinum, ið vil lívinum ann,Kristus var ikki ein dapur og lívshatskur maður
lívsháttur	tað hvussu ein livir, hátturel.máti at liva, lívsmáti
lívshending	minnilig hending
lívshugaður	við lívshugi,eitt lívshugað fólk
lívshugur	hugur, vilji til at liva,lívshugur og vón
lívshættisligur	sum hevur við sær lívsvanda, ógvuliga hættisligur
lívsinnihald	innihald í lívinum hjá fólki(viðv. dygd, virðumo.tíl.)
lívsjáttan	vilji, hugur til at liva, bjartskygd lívsáskoðan
lívsjáttandi	sum hevur viljael.hug at liva, við lívshugi,av lyndi var hann glaður og lívsjáttandi
lívskátur	lívsglaður,lívskát og frísklig genta
lívskelda	(átr.)lívsins keldael.uppruni, kelda til ævigt lív
lívskeyp	lívsvandi(Sv)
lívskor	kor fyri at liva, kor ið ein livir undir
lívskorða	skorða 1 sett av veggi inn undir bát
lívskraft	(sj.)lívsmáttur
lívskrøv	krøv til lívskor(inntøku, hentleikar o.tíl.)
lívskvøld	aldurdómur,Harrin lati lívskvøld tygara verða langt og bjart
lívskæti	tað at vera lívskátur, lívsgleði
lívslag	lívsháttur, lívskor
lívslagna	lív, lagna,merkilig var hennara lívslagna
lívslangur	sum varir alt lívið
lívsleiddur	leiddur, troyttur av lívinum
lívsleið	mannalívið sætt sum ein gongdel.leið,tilburðir á lívsleið hansara
lívsleiði	tað at vera leiddur av lívinum
lívslíkindi(r)	1lívskor,ikki eru lívslíkindini so góð allastaðni2(stb.)livimáti
lívsljós	mannalívið samanborið við eitt brennandi ljós,ein ræðulig pína hevði sløkt lívsljós teirra
lívslok	endi á lívinum,við lívslok
lívslutur	lívslagna,hann mátti sanna hennara dapra lívslut
lívslygn	rong hugsan ið ein grundar lív sítt á
lívsmakt	lívsmáttur,ikki kendu vit lívsmakt í honum, meðan vit bóru hann heim(í manni ið hevði fingið skaða av døtti)
lívsmál	mál ið ein setur sær í lívinum, lívsmið,hennara lívsmál og mið var longu sett har
lívsmáti	lívsháttur,lívsmátin er nógv broyttur
lívsmáttur	máttur í øllum livandi, tekin um lív, lívskraft, lívsmegi,lívsmátturin minkaði;kenna lívsmátt í e-m
lívsmegi	lívsmáttur
lívsmeining	meining (3) við lívinum
lívsmið	tað ið ein ætlar at røkka í lívinum, lívsmál,seta lívsmiðið hægri enn bert at vinna til dagligt breyð
lívsminni	minni fyri lívið
lívsmót	mót upp á lívið,tú hevur einki lívsmót
lívsneisti	1feril av lívi,nær, hvar og hvussu er fyrsti lívsneistin vorðin til?2lítið nýlembt lamb, neisti (2),hesir veiku lívsneistarnir stirðna í ovurveðrinum
lívsneyðugur	neyðugur fyri at kunna liva, sera neyðugur, alneyðugur
lívsregla	reglur fyri hvussu ein skal liva,tær vøkru lívsreglurnar í Gamla og Nýggja testamenti
lívsroynd	kv2:lívsroyndirroyndir ein hevur fingið gjøgnum lívið,slíkar lívsroyndir gjørdu hann stak væl útbúnan til at skriva
lívsrørsla	rørsla ið sýnir at e-t livir
lívssjón	lívsáskoðan,ein dýrmætari lívssjón;hugsanarháttur og lívssjón fólksins
lívsskeið	tann tíðin sum lívið varir(frá føðing til deyða),lívsleið, lívsævi,lívsskeið hansara var runnið;eftir fullført lívsskeið
lívsspeki	hugsan og vísdómur um lívið og endamálið við tí
lívsspurningur	spurningur viðv. mannalívinum
lívsstarv	starv ið ein nýtir alt lív sítt og alla tíð sína til(og sum ein livir av),lívsvinna, lívsyrki
lívsstílur	1tann vanligi lívshátturin hjá fólkiel.samfelagsbólki,vit mugu betra um lívskor okkara við øðrum lívsstíli, ið fer væl við avmarkaða tilfeingi okkara2ein valdur lívsháttur sum vísir ein felagsligan samleika í tí nýmótans samfelagnum,hjá okkum er vistfrøðin ein lívsstílur
lívsstríð	stríð fyri at lívbjarga sær
lívssýni	lívsáskoðan,hansara bjarta lívssýni
lívssøga	ævisøga
lívstekin	tekin um lível.um at e-t livir
lívsterkur	fullur av lívsmátti
lívstíð	tíðarskeið ið ein livir, lívsævi,á lívstíðini;fyri lívstíðso leingi ein livir
lívstokki	tokki til lívið, lívsvilji, lívsgleði,lívstokkin fekk hann at syngja
lívstrá	sterkur lívshugur
lívstráður	(skaldsk.)mannalívið samanborið við ein tráð(ið nornurnar hava spunnið),deyðin við líggjanum kom her til jarðar, kvetti ein lívstráð og sálina tók
lívstreyst	lívstreysti
lívstreysti	treyst(i) til at liva, lívstreyst,hon hevði fingið lívstreystið aftur
lívstreyt	treyt fyri at e-t kann liva, alneyðug treyt fyri lívi,vatn er ein lívstreyt fyri allan plantuvøkstur
lívstrygging	(trygg.)samanspard upphædd hjá tryggingarfelag ið verður útgoldin við deyða
lívstryggja	(trygg.)tekna lívstrygging
lívstræ	(bíbl.)lívsins træ,í miðjuni stóð lívstræið;lívstræið er gamalt mynstur nýtt sum træskurður í gomlum føroyskum kirkjum
lívstykki	1lívligt og skemtiligt fólk,hann var eitt satt lívstykki2slag av konufólkaundirklæði,lívstykki var nakað sum eitt snøgt lív frá miðjuni og uppeftir og sat snøgt at kroppinum
lívstýðandi	týðandi fyri lívið, lívsneyðugur
lívsuppihald	tað ið e-m nýtist til lívsins uppihald,arbeiði til lívsuppihald
lívsvandi	vandi 1 fyri at doyggja, lívshættisligur vandi,vera í lívsvanda
lívsvatn	(bíbl.)lívsins vatnt.e.vatn ið veitir (ævigt) lív,eg skal geva, tí sum tystur er, av keldu lívsvatnsins fyri einki
lívsvánir	lívsvón
lívsvegur	mannalívið samanborið við ein veg(ið gingin verður frá føðing til deyða),lívsleið
lívsverk	tað ið ein hevur útint í lívinum ið hevur týdning
lívsvilji	vilji til at liva, lívstokki
lívsvinna	lívsstarv,hann ger tað til stuttleika - uttan at hava tað til lívsvinnu
lívsvirði	tað sum hevur virði í lívinum
lívsvísdómur	vísdómur viðv. lívsins fyribrigdum og viðurskiftum,í orðtøkum er nógvur lívsvísdómur
lívsvón	vón um lível.at bjarga lívinum
lívsyrki	lívsstarv
lívsýki	magailska(við tunnum skarni),leyst lív
lívsælur	gleðiligur, eydnuríkur, sælur, kærur,einar lívsælar páskir ynski eg tygum
lívsævi	lívstíð, lívskeið,á míni lívsævi
lívsørur	(lívfr.)1sum ikki kann fáa børn,munandi fleiri kvinnur enn menn verða gjørdar lívsørar í Føroyum2reinur fyri bakteriur,tá ið rennur úr oyranum, eigur eitt petti av lívssørari, hvítari bummull leysliga at verða stungið inn í oyrnaholið og skift, so hvørt sum tað druknar ígjøgnum
lívtøka	tað at taka lívið av e-m
lívtøkupallur	(søg.)pallur har ið deyðadømd vórðu tikin av døgum
lívvakt	lívverji
lívveikur	við lítlum lívsmátti, ússaligur,ungarnir eru so lívveikir;konan var bleik og lívveik
lívvera	(lívfr.)livandi vera(menniskju, plantur og dýr)
lívverja	lívverji
lívverji	maður ið settur er at verja ein persón (serst.tignarfólk), lívvakt, lívvørður,lívverjar kongs
lívvirkisfrøði	vísindagrein um starvsemi hjá yrkisgøgnunum á livandi verum(physiologia)
lívvølur	(sj.)kynslimur(á mannfólki)
lívvørður	lívverji
lívæðr	(lívfr.)æðr ið førir blóðið frá hjartanum og út í kroppin, pulsæðr, slagæðr(arteria),(flutt m.)málið er lívæðrin í okkara fólki
lívæðrasláttur	(lækn.)pulsur
ljóarabogi	(í roykstovu)ljóarakarmur sum bugur er skorin upp í(t.d.prýddur við árstali og navni)(FA426)
ljóaradrypp	dropar undan ljóara,kulla í gólvinum av ljóaradryppi;sbr.ljóarakulla
ljóaradøttur	døttur (12)
ljóarakarmur	(gl.,húsasm.)karmur um ljóaran
ljóarakista	(stb.)ljóarakarmur
ljóarakulla	kulla í gólvinum av dryppi úr ljóaranum
ljóaraskjól	træplátael.lúka (sum skíggjastongin er fest í) at leggja niður á ljóaran, ljóaraskýli
ljóaraskrín	ljóarakarmur
ljóaraskýli	ljóaraskjól
ljóarastong	skíggjastong
ljóaratøppur	(gl.)ein tilskorin hólgi at seta í ljóaran at varmin ikki skuldi fara úr húsunum
ljóari	(í gl. húsum)royk- og ljósop í takinum á roykstovuel.sornhúsi, ljógvari,nakað dimmligt var inni, tó at ljóarin var aftur á bak;í sornhúsi var lagt aftur yvir ljóaran, so ikki skuldi koma vátt niður ella kólna ov skjótt
ljódligur	sum valla hoyrist, spakuligur, ljóðlítil;hj-ligastillisliga, uttan ljóð,ljódliga mátti farast avstað, so tey ikki skuldu hoyra uttar
ljóð1	1e-t sum hoyrist, aldurørsla í luftini ið ávirkar ljóðhinnuna, klangur,hoyra ljóðið av e-m;ganga eftir ljóðinum2(málfr.)(hvørt einstakt) ljóð (1) í ljóðskipanini hjá einum máli, málljóð,raddað/óraddað ljóð;gómaljóð;hjáljóð;nasaljóð;sjálvljóð;varraljóð3tala,tað hevur ligið á ljóðitalað hevur verið um, tað hevur verið í ætlan;teir vóru á einum ljóði um, at vegurin verður okkum torførur(á einum máli);(gl.)í einum ljóðieinmælt4tøgn(so hoyrast kann),geva ljóðgeva (e-m) høvi til at verða hoyrdur;(skaldsk.)gevið ljóð og lýðið á;(kvæð.)Tíðrikur situr í síni høll, biður geva gott ljóð5óljóð, sjóð,tað var eitt grúiligt ljóð;tað var jarman og ljóð sum á rætt um várið;sms. t.d.aftur-,av-,barka-,blástur-,fragdar-,fugla-,mál-,mis-,orða-,sam-,tví-,um-
ljóð2	(gl.)yrking, kvæði,nú skal lætta ljóði avnú skal eg enda kvæðið;sms. t.d.gleði-
ljóða	1geva ljóð frá sær2sigast, verða sagt, hoyrast,tað ljóðar frá stórari grindtað sigst at grindin er stór;tað hevði allar dagar ljóðað, at ...tað hevði altíð verið sagt, at ...3hava ávísan ljómel.orðaljóð,tónleikurin ljóðar væl;eg minnist ikki, hvussu niðurlagið ljóðar4tosa hart, mála 3,eg vaknaði við, at onkur ljóðaði úti;teir ljóðaðu so(vóru harðmæltir)
ljóðaháttur	(bókm.)fornt norrønt ørindislag, seks reglur ymsar til longdar samanbundnar tríggjar og tríggjar við stavrími(vanl. í eddukvæðumt.d.Hávamálum)
ljóðalda	(alisfr.)ljóðbylgja
ljóðband	band (6), sigulband(til at taka ljóð uppá)
ljóðbandasavn	1stórt skipað savn av ljóðbondum(t.d. til vísindaligar rannsóknir)2rúm við ljóðbandasavni (1)
ljóðbland	(tónl.)tað at ljóðblanda
ljóðblanda	(tónl.)blanda ljóð av fleiri bondum(við ymsum ljóðførum)saman á eitt band
ljóðbotnur	tunn pláta(serst. í streingjaljóðføri),ið styrkir tónan
ljóðbók	fløga við upplestri av eini bók
ljóðbrot	(málfr.)tað at stutteí rótstavilsi er vorðið tiljael.jøávikavist undanaoguí næsta stavilsi aftaná(t.d.berg>bjarga/bjørgum)
ljóðbroyting	(málfr.)broyting í framburðinum av einum ljóði, ljóðskifti,ein ljóðbroyting er, at norrønt "au" verður til "ey" á føroyskum
ljóðburður	tað hvussu hoyrist, ljóðviðurskifti í einum rúmio.tíl.,ljóðburðurin er slíkur í gjónni, at róp hvørva, men tala hoyrist
ljóðbylgja	(alisfr.)bylgjandi rørslur í luftini sum ávirka hoyrnina, ljóðalda
ljóðdeyvur	ljóðveikur, ljódligur, spakuligur
ljóðdoyvari	(tøkni)útbúnaður ið doyvir ljóðið frát.d.motori
ljóðfagur	við føgrum ljóði, ljómfagur,føroyskt mál er so ljóðfagurt sum nakað annað mál
ljóðfall	(tónl.,bókm.)(reglubundin) skifti í herðingel.áherðslu í tónleiki, skaldskapi, taluo.tíl., ljóðlag, rytma
ljóðfatur	(útv.)mikrofon
ljóðferð	(alisfr.)ferð hjá ljóði
ljóðfirring	(málfr.)ljóðfrálíking
ljóðfíla	(teld.)fíla ið goymir ljóð
ljóðfrálíking	(málfr.)tað at tvey lík (eins) ljóð í sama orði gerast ólíkari,móts.ljóðlíking,ljóðfrálíking er t.d. tá ið Heldalstindur verður til Heldarstindur;annað dømi um ljóðfrálíking er norrønt /kalla/ til føroyskt /kadla/(dissimilatio)
ljóðfrøði	(málfr.)málfrøðigrein um ljóðini í máliel.málum(phonetica)
ljóðfrøðiligur	(málfr.)viðv. ljóðfrøði
ljóðfrøðingur	(málfr.)ein ið er lærdur í ljóðfrøði
ljóðføri	tólel.útbúnaður at spæla upp á til framførslu av tónleiki, t.d. klaver, fiól, horno.tíl.;sms. t.d.blási-,blástur-,streingja-,strok-,strúki-
ljóðgevi	e-t ið gevur ljóð frá sær
ljóðgildi	(málfr.)ljóðvirði
ljóðglopp	(málfr.)tað at tvey sjálvljóð(hvørt í sínum stavilsi)standa lið um lið,í orðinum "líðin" kemur "j" í ljóðgloppið millum "í" og "i"(hiatus)
ljóðgongd	(málfr.)tað hvussu málljóð broytist frá eldri málstigi
ljóðgóðska	góðska á ljóði(t.d.á bandupptøku)
ljóðhermandi	(málfr.)(um orð)ið er herming eftir natúrligum ljóði,"pums", "súsa" og "gvagg" eru ljóðhermandi orð[da.onomatopoietisk]
ljóðhinna	(lívfr.)hinna í oyranum ið tekur við ljóðbylgjum(Membrana tympani)
ljóðkátur	1kátur, glaður,konufólkini gingu ljóðkát og bóru burtur2skemtingarsamur, lættur og stuttligur í orðum
ljóðkort	(teld.)útbúnaður sum ger at til ber at hoyra ljóðfílur á teldu
ljóðkæti	tað at vera ljóðkátur
ljóðlag	ljóðfall,ljóðlagið í yrkingini
ljóðlega	(alisfr.)mát fyri ljóði (desibel)
ljóðleysur	sum ikki gevur ljóð frá sær, uttan ljóð, kvirrur
ljóðligur	(málfr.)viðv. ljóðum, ljóðfrøðiligur;hj-liga1ljóðfrøðiliga2ljódliga, stillisliga,hurðin gongur ljóðliga
ljóðlist	(sj.)tónlist, musikkur, ljómlist
ljóðlíking	(málfr.)tað at eitt ljóð verður ávirkað av øðrum ljóði í sama orði og gerst líkari tí(kunnu renna saman í eitt ljóð),móts.ljóðfrálíking,norrønt "fors" til føroyskt "foss" er dømi um ljóðlíking(assimilatio)
ljóðlíkjast	(málfr.)(um málljóð)nærkast øðrum ljóðiel.renna saman við tað
ljóðlítil	við lítlum ljóði, næstan ljóðleysur
ljóðloysi	tað at vera ljóðleysur, tøgn
ljóðlæra	(málfr.)ljóðfrøði
ljóðmaður	ein ið hevur eftirlit við ljóði(í t.d. sjónvarps- el. útvarpsupptøku)
ljóðmegi	megi í ljóði
ljóðmiðil	(tøkni)miðil ið varparel.varðveitir ljóð;sbr.sjónmiðil
ljóðmikil	við miklum gangi
ljóðmúrur	(flogm.)mark sum flogfar fer um tá ið ferðin verður størri enn ljóðferðin
ljóðmynd	(útv.)útvarpssending har sum umhvørvið verður lýst við ymsum ljóðum
ljóðnæmi	tað at lurta væl eftir øðrum við áhuga,hon hevði ljóðnæmi
ljóðorð	(málfr.)orð sum í ljóði sínum líkist ávísum ljóði, eftirgerð av natúrligum ljóði, ljóðhermandi orð(onomatopoietikon),"mjavv", "gjums", "bang" o.s.fr. eru ljóðorð
ljóðpípa	(bíbl.)floyta 1,ljóðpípur hirðanna
ljóðregla	(málfr.)regla fyri ljóðbroytingum í málsøguni(hjá ávísum máli)
ljóðríkur	við nógvum ymsum ljóðum,alt hetta blómandi, ljóðríka og skiftandi, sum er í fólksins máli
ljóðrættur	(um skrivingarlag)ið samsvarar við framburðin, ið fylgir ljóðunum
ljóðskifti	(málfr.)ljóðbroyting
ljóðskinn	(sj.)ljóðhinna
ljóðskrift	(málfr.)skriftskipan ið endurgevur orðaframburðin ljóðrætt
ljóðskriva	skriva ljóðskrift
ljóðstyrki	(alisfr.)lutfall millum ljóðvirkt og vídd(W/m2)
ljóðtak	(útv.,sj.)mikrofon
ljóðtaka	taka upp á (ljóð)bandel.annan ljóðmiðil
ljóðtonn	(stb.)framtonn, máltonn, sangtonn
ljóðtól	(tónl.,sj.)ljóðføri, tónatól
ljóður	(stb.,sj.)ljóð,tamburinin hon gevur góðan ljóð
ljóðvarin	sum lurtar eftir við áhuga,tá vera vit meira ljóðvarin, tá ið hann talar
ljóðvarur	ljóðvarin
ljóðveikur	við veikum ljóði
ljóðvirði	(málfr.)ljóð hjá ávísum tekni (2), ljóð ið ávíst tekn (2) umboðar, ljóðgildi
ljóðvirkt	(alisfr.)virkt hjá ljóði[da.lydeffekt]
ljógvarakista	(stb.)ljóarakista
ljógvari	(stb.)ljóari
ljóma1	skína bjart, glógva, geisla,vársólin ljómaði;ljómandiskínandi,ljómandi vakurt
ljóma2	ljóða vakurt, klinga,kirkjuklokkurnar ljómaðu
ljóman	ljómur,yndislig ljóman av fuglaljóði
ljómari	k1(fugl.)ljómararsmáfuglar í ættiniSylvidae, songfuglar
ljómaringur	halgibogi, ljómi
ljómborð	(tónl.)ljóðføri við tangentum(nýtt í løttum tónleiki, t.d. popptónleiki)[en.keyboard]
ljómfagur	ljóðfagur
ljómfløga	(tónl.)fløga (3) við tónleiki(spæld í fløguspælara);sbr.teldufløga
ljómi	bjart ljós, skin,ljómi Harrans;ljómin stendur av í morgunsólini;sms. t.d.sólar-
ljómleikur	(tónl.,sj.)tónleikur, musikkur
ljómleysur	við ongum ljómiel.klangi,hennara ljómleysa mál
ljómlið	(tónl.)orkesturserst.hornorkestur
ljómligur	ljómmikil, ljómfagur
ljómlist	(tónl.,sj.)tónlist, ljóðlist
ljómmikil	við vøkrum klangi, ljóðfagur,hann hevur djúpt og ljómmikið mál
ljómpláta	grammofonpláta
ljómtrøstur	(fugl.)slag av smáfugli líkur óðinshana(Turdus philomelos)
ljómur	klangur, tóni,ljómur av lúðrum;sms. t.d.fugla-,sam-
ljómvakur	við vøkrum ljómi
ljón	1(dj.)leyva2(stjfr.)Ljónið5. stjørnumerki í djóraringinum(merki teirra ið eru fødd 23. juli - 23. aug.)(Leo)
ljónabøli	leyvuhelli
ljós	1(alisfr.)ravsigulmagnaðar bylgjur sum rína við sjónina, bjartleiki, skin, birta 1,koma í ljóskoma í ljósmála,tá kom í ljós, hvat teir ætlaðu;(tilt.)fara í annað ljósdoyggja,hann er farin í annað ljós;standa sær/e-m uppi í ljósinum1myrkja fyri sær/e-m2spilla fyri sær/e-m, gera at ein missir ein góðan møguleika,hon hevur staðið sær uppi í ljósinum(tók ikki av tá ið høvið beyðst);varpa/kasta ljós á e-tgera e-t betur skiljandi fyri fólki;staðarnavnabókin varpar ljós yvir norrønt mál í víkingatíðini;barnið sær ljós á hvørjum fingri(um pinkubarn ið liggur brosandi og hyggur at fingrunum)2lykt, lampa, lanterna,tendra ljós;tá ið ljósið var komið upp(tendrað í roykstovuni)3kertiljós, tálgarljós, vaksljós,fyrr vórðu kertiljós, tálgarljós og vaksljós stoytt4snarljós,ljósini ganga5(ravm.)watt,peran er 60 ljós;sms. t.d.altar-,dags-,gøtu-,hekku-,jóla-,konga-,látra-,snar-,sólar-,topp-
