H	rómv. taltekn fyri 200
hoynol	1hoynigil2(niðr.)lítil maður, nilk,tað hoynolið!
hoyposi	posi við hoyggj,ein steinstungin hoyposi
hoyra	1sansa við hoyrnini, fata ljóð,hoyra song, mannamál;hoyra illahava ringa hoyrn2fáa at vita, frætta,hatta havi eg ikki hoyrt;(skemt.)hatta hevur eingin hoyrt fyrr(sagt tá ið ein sigur e-t ið hevur verið júkað upp í saman el. e-t ið øll vita frammanundan);(tilt.)tú hevur etið meir, enn tú hevur hoyrt(ert ov óvitandi);eg hoyri teg!tvætl í teg! alt lýgur tú!;(kvæð.)eg havi hoyrt frá kempu sagt;hoyra fyri e-tfáa atfinningel.ábreiðslu fyri e-t,altíð havi eg hoyrt fyri, at eg var so góður við hvønn jarðarteig;einki hava í at hoyraongar skyldur hava, vera leysur kroppur;(tilt.)hoyr um annan, hygg um teg sjálvankanna fyrst teg sjálvan áðrenn tú lastar onnur3hava hoyrn,hann var deyvur, men nú hoyrir hann aftur4hoyra yvir seg,hann bæði hoyrdi og sá;hoyra fyri e-m(sum fyriboðan),tey hoyra fyri neyð tað sama sum fyri deyð5lurta,hoyr, lat meg siga tær;hoyr meg eitt orðkann eg fáa orðið á teg?;(kvæð.)hoyr tað kongurin, harri mín;(kvæð.)hoyr nú tað, mín sæla móðir6vera lýðin, akta,vit mugu harta teg, tá tú ikki hoyrir;illa oyrað, sum ikki vil hoyra(í skjaldri)7(skúl.)spyrja um setningin, yvirhoyra,varð tú hoyrdur í dag?viðfs/hjhoyra heimahava heimstað,farið og spælið, har tit hoyra heima!(har tit eiga at vera);hoyra samangera eina heild, hóska saman,tey bæði hoyra saman;hoyra saman við e-m;hoyra til1vera roknaður við til, vera í bólki við,henda rúnin hoyrir teirri eldru rúnarøðini til2hoyra ljóð frá, frætta frá,nú hoyrist einki til hansara longur(er tagnaður);hann ræðist fyri, at móðir hevur hoyrt til(hevur hoyrt gangin);hoyra undir1(um ognarviðurskifti)henda jørðin hevur altíð hoyrt undir Mattasargerði2vera skipaður undir,innanríkisráðharrin, sum Grønland hoyrdi undir;hoyra upp ívera í bólki við, hoyra til;hoyra yvir:hoyra yvir seghoyra e-t ljóð ið ikki er tilhoyrast1(um ljóð)sansast við hoyrnini,einki hoyrdist;hoyrast væl;tað var ikki meir, enn hon hoyrdist(var veikmælt);(kvæð.)hoyrast kundi langan veg, sum teirra sporar ringja2frættast, spyrjast,graml hoyrdist um, at ...;eftir hetta hoyrdist einki um landpart;hoyrandi:bæði hoyrandi og avhoyrandi:bóndin er góður maður, tað skal hann hava bæði hoyrandi og avhoyrandi(kann verða sagt bæði tá ið hann er frá ella hjá);sms. t.d.av-,bøn-,for-,mis-,til-,yvir-
-hoyrari	síá-
-hoyrdur	síeyð-,fjar-,tung-
hoyrekkja	hoykrubba við rimum framman;sbr.hoybing
hoyriligur	sum aktar væl(serst. um børn),lýðin, hoyrin,hoyrilig og góð børn;eg vildi fegin verið henni hoyriligur
hoyrilíkindi(r)	líkindi at hoyra(st)(t.d. í útvarpi),góð/ring hoyrilíkindi(r);hoyrilíkindi(r) eru ring, har veggirnir eru úr jarnbetongi
hoyrin	sum aktar væl, hoyriligur, lýðin(serst. um hundar);sms.ó-
hoyring	1líkindi at hoyra(t.d. útvarp)2(ným.)almenn kanning um ávíst mál við at spyrja fólk við kunnleika[en.hearing];sms. t.d.av-,bøn-,mis-,sam-,til-,yvir-
hoyringarskriv	skriv sent pørtunum í trætuel.ósemju at gera viðmerkingar til(t.d.í smb. viðuppsøgn)
hoyringarsvar	svar við viðmerkingum til hoyringarskriv(frá pørtunum ít.d.arbeiðsósemju),eg sendi hoyringarsvar, har eg gjørdi leiðsluna varuga við skeivleikar í framferðarhátti hennara
hoyrispæl	útvarpsleikur
hoyritól	tól við ljóðstyrkjara til deyvel.tunghoyrd fólk
hoyríva	ríva 1
hoyrn	(lívfr.)evni at hoyra, oyra 2(2)
hoyrnarboð	boð (5)el.fjarstøða ið ljóð hoyrist,vera uttan fyri hoyrnarboð[da.hørevidde]
hoyrnarlag	tað hvussu ljóð hoyrist alt eftir støddo.ø.viðurskiftum í rúmi, ljóðburður,eitt trækent broyskið hoyrnarlag[da.akustik]
hoyrnarlykkja	tráðleys hoyrnartólaskipan í stórum rúmum(t.d. kirkjum),lurt til hoyrnarlykkju[da.teleslynge]
hoyrnarmáli	hoyrnarboð,í hoyrnarmála
hoyrnarnerv	(lívfr.)nerv úr oyra í heila
hoyrnartól	hoyritól
hoyrnarvernd	(lækn.)útbúnaður ið verjir oyruni fyri óljóði, oyrnavernd
hoyroykur	hoyangi, hoyggjangi
-hoyrsla	síbøn-
hoyrusk	gamalt vánaligt hoyggj(ið ikki verður etið),hann legði hoyrusk niður í flórin, fyri at tað skuldi drekka neytaland í seg og verða til sterk tøð;sbr.illhoyggj
hoyrúgva	samanrakað rúgva av sátuhoyggj
hoysáta	sáta av hoyggj
hoyseyður	seyður tikin at fletta í hoyggingartíð ella til desasneið, hoylamb (3)
hoysjúka	(stb.)hoyfepur
hoysjøtul	sjøtul (1)
hoyskorða	skorða undir útihoyggjel.des
hoyslóð	sløð av hoyggj á leiðini hjá hoyberamonnum
hoysløð	sløð av hoyggj,altíð er nakað av hoysløð, tá ið bundið er í
hoysoppur	soppur (1) av hoyggj,tað sløðast so nógvir hoysoppar í túninum
hoystrá	strá av hoyggj
hoystøði	steinsett støði (2) undir útihoyggjel.des
hoytari	(plfr.,Sa.)hártari,hoytari kemur upp um heystið
hoyterri	turt veður til hoygging, terri
hoytíð	hoyggingartíð, hoyni,hægsta hoytíð
hoytjóvur1	(gl.)ein ið stjelur hoyggj
hoytjóvur2	kvísl at nýta í hoyggj
hoytrongd	(lækn.)hoyfepur
hoyvandin	(um kríatúr)sum ikki vil eta vánaligt hoyggj, vandin við hoyggj
hoyvandur	vandur við at eta hoyggj(serst. um seyð úr haganum),hoyvandur seyður
hoyvatn	hoyløgur
hoyvánir	líkindi til at fáa hoyggj,góðar/ringar hoyvánir;sbr.torvvánir
hoyveður	(Suð.)veður til hoygging, hoyggingarveður,gott/ringt hoyveður
hoyveðursdagur	dagur við hoyveðri,eingin hoyterri heldur í dag, - eingin hoyveðursdagur
hoyvenja	venja við at eta hoyggj,at hoyvenja seyð úr fjarskotnum haga er ikki altíð lætt;sbr.hoyvandur
hoyviskur	grønur (ikki turrur) viskur í hoyggj
Hoyvík	(stn.)bygd í Suðurstreymoy,í/úr Hoyvík,til Hoyvíkar
hoyvíkingur	fólk íel.úr Hoyvík
hoyvondul	vondulel.kneppi av hoyggj
hó1	róp í grindarakstri(fyri at fáa grindina stygga)
hó2	(stb.)tó, hóast,hó, gott er veðrið;hó tað er avdeyðalamb
hóan	(stb.)hóast
hóast	1sbtó at, sjálvt um, hóan, hó, hógvið, hóið, óast,hóast veðrið var ringt, fóru tey2sb(stb.)nú,hatta húsið er vakurt, hóast tú sigur tað;tað hugsi eg við, hóast tú sigur tað3fsuttan at vera forðaður av (e-m), uttan mun til (e-t),hóast tað;hóast dimmiðsjálvt um tað var myrkt;hóast roykinsjálvt um tað var nógvur roykur
hóbeiti	(Suð.)eftirgróður (sum beiti),skamm fyri at seyðurin er góður, hann hevur gingið á hóbeiti;veðrurin stendur á hóbeiti;seta á hóbeiti
hóbit	hóbeiti, eftirgróður,hóbitið dámar honum best(um veðr á heimabeiti)
hógførur	hóvførur
hógligur	hóvligur
hógv	tað at vera siðiligur og hóvligur, mátaligur(t.d. í atburði og áti),hóvsemi,duga, havael.kunna sær hógvfara hóvliga;ikki duga sær hógvvera ósiðiligur, oyðslutur;fara við hógvifara hóvliga fram;(tilt.)tað er sær um hógv(rímiligt);sms. t.d.handa-,ó-
hógva	1traðka (við hógvum),hann ríður gjøgnum tað burturborna torvið og hógvar alt sundur2pleyra,koma hógvandi inn
hógvadun	dun av hógvum, hestadund
-hógvaður	sísár-
hógvið	hóast, hóið
-hógvin	síó-
hógvur1	(dj.)hornskógvur um uttasta táliðin á hóvdýriserst.rossi,skera undan hóvnum;(tilt.)stinga hógvarnar undanvísa sína sonnu muru;sms. t.d.hesta-,rossa-
hógvur2	nýsligin bøur,hógvurin er so óslættur;á hónum standa kyllingar og sátur;tað tornar so væl á hógvel.hónum(hoyggj);tað fekst ikki soppur av hógv(einki fekst turt av hoyggj);raka saman um hógvraka sløðið;(skemt.)raka hógv(in)vita um nakað er eftir at drekka(t.d.í brúdleypshúsi dagin eftir brúdleypsdagin)
hóið	(gl.)hóast, hógvið,(kvæð.)hóið eg livi við lítla pínu
hól	1reyp, skról,tað mundi vera hól;við sínum hóli og skróli;(kvæð.)er mær ei á tí hóltað er ikki reyp2(gl.)skammrós,(tilt.)eftir hól kemur skról
hóla	(sj.)reypa, skróla
hólamb	inniføtt lamb gongur á hónum um dagin,hólomb vórðu tikin frá tíðliga og sett á hógvin um heystið
hólgaband	band(snarað úr hálmi)um hólga(RR Sær76)
hólgabendil	hólgaband;sbr.hoybendil
hólgasáta	sáta av hólgum,í túnið varð sett hólgasáta at hava at taka til tekingarhálm
hólgaskrúgv	skrúgv av hólgum
hólgi	1lítið bundi av hálmi,ein strúgvaði og bant hálmin í hólgar;(tilt.)viga seg eftir hólganumduga at laga seg2neyðarsligur maður, óvætti, várhólgi,hava til hólga fyri segfáa at taka ábyrgdina av tí ið ein sjálvur hevur gjørt3(stb.)gimbur;sms. t.d.hálm-,stør-,vár-
hólka	hava ringt gongulag, støpla,tú hólkar teg útav(ert í vanda fyri at ganga útav);hon kemur hólkandi á einum herðabløðum
hólkalag	(í smiðju)runt viggvaksið jarn at gera hólkar á
hólkur	1(jarn)ringur á knívsskefti, stavi, líggjaorvio.tíl.,veðrar ella knabbar vóru undir hólkunum(á veðrastavi);hólkur á bismara(á endanum),stinga knívin undir hólkin(alt blaðið undir)2(á bendlasneis)útholaði luturin ið snýst3(niðr.)(um fólk)bartrog, lúshundur4í osb.hólkur við lið(um barn ið altíð vil leiðast);sms. t.d.grip-,horn-,knívs-,lúsa-,pípu-,snor-,tøð-
hóllur	1rundur heyggjur, høvd, búlga,tað ber til at koma turrskøddur tvørtur um ánna við at leypa hóll av hólli;tað var bert ein lítil hóllur eftir, áðrenn vit komu niðan á tað hægsta;veltan er so sløtt, har er ikki hóllur á2óslætti,ikki hóllur á sjónum(slætt);er ein lítil hóllur á sjónum, ræðist hon3ójavni, munur,har var ikki hóllur á tónum(sera slætt spunnið);(flutt m.)systkini vóru so jøvn, eg sá ikki hóll á teimum(ikki mun);teir vóru javnt góðir kvøðarar, tað var ikki hóllur á nøkrum manni;tað sást ikki hóllur á(einki sum skemdi);tað var ikki hóllur á mær táeg hevði einki lýtiel.brek tá ið eg var ungur;sbr.hólur
hólmgonga	1(søg.)einvíggi hildið á hólmiel.øðrum avmarkaðum øki(serst. glíming til at avgera marknatrætur),tá ið grasningur var, gingu tveir menn, ein fyri hvønn partin, saman at glímast, og var tað kallað hólmgonga;skjóta mál til hólmgongu;avrátt varð tá, at hólmgonga skuldi enda stríðið2(skemt.)harðligt orðaskifti(millum tvey fólk),træta,politisk hólmgonga
hólmi	1(stb.)hólmur,fara út í hólman2(lítil) hólmur í á
hólmoksi	k1í osb.feitur sum ein hólmoksi(um kúgv, tarvel.fólk sum er væl í holdum),hatta er feitt sum (ein) hólmoksi(spikafeitt)
hólmur	1lítil oyggj2staður til hólmgongu,stevna e-m á hólmbjóða e-m av í einvíggi
hólpa	hava klombrut gongulag, hólka,ganga hólpandi;hólpast uppií(umt.d.gamlan mann)royna at vera uppií arbeiði eftir førimuni
hólpur	1bunga, knortil,tað var ikki hólpur á sjónum(slætt, deyðastilli)2hóllur (3),har var ikki hólpur á tráðnum(sera slætt spunnin),áh, títt ólukkudýr, enn spinnur tú hólpar(sagt við barn sum ikki dugdi at spinna enn);har var ikki hólpur í(gekk sum brent, uttan trupulleikar)
hólputur	1óslættur, knortlutur, rúðrutur, ríflutur,har er hólput at ganga;fløtan er hólput;(Suð.)hólputur sjógvur(óslættur)2ójavnt spunnin, við hólpum,hólput tógv
hólur	(mest kvæð.,stn.)(lítil) heyggjur, høvd, hædd, hválur, válur,um hól og heygvíða um;sbr.hóllur
hóma	1síggja kámliga, skríma(í skýming, dimmum veðriel.langt burtur),hóma land;slott og borgir hómast millum trøini í hinum tjúkka skóginum2ørminnast,frá fyrst eg í minninum kann hóma hann;hómastørminnast,langabba ikki meir enn hómist eg at minnast;eg hómist um, at tað av og á varð sagt við okkum smádreingir
hómaður	við kenningel.vóning,teir vóru hómaðir
hóman	farri, feril, vet,tað var sum ein hóman av onkrum álvarsmiklum
hómi	ógreið mynd, hóman, farri, feril,hann kendi ein hóma av ábreiðslum inn á seg sjálvan;ein kertistubbi ella ein kola gav ein hóma av ljósi frá sær;børnini tola ikki hóman hvørt av øðrum(um børn ið klandrast illa);ikki tola hóman av (einum) orðiikki tola hálvdrigið orð, vera erkvisin;(stb.)sita undir hvørjum hóma(undir hvørjum orði)
hóming	1ógreið myndel.fatan, hugmynd, hómi, neming,ikki hava hóming av e-mikki vita petti um e-t;uttan at fáa hóming av, hvat framtíðin bar í sær;vit fáa eina hóming av tí, sum hann skrivar(hilling)2kámlig sjón,hóming av boðabroti sást fyri stavn;vit fingu bara hóming av landi;hann hevði bert eina hóming hádagin(um sjónveikan mann)
hómur	(gl.)børkur (2),ein reyður hómur oman á korkapottinum
hómvegur	farvegur,hetta er einans hómvegur eftir hann;sbr.hornvegur
hópa	s30:hópa seg (saman)savnast;hópast1koma saman, savnast,bátarnir hópaðust á fiskileiðunum vestanfyri;snørini hópast(koma saman, koma í trol)2hittast, møtast,teir hópaðust báðir;vit hópast so aftur hinumegin gjónna;hópast uppleggjast í rúgvur, rúgvast upp,tarin hópast upp í fjøruni
hópakoming	tað at hópast(um snøri)
hópalíkna	(sj.)bera saman
hópatal	h5e:í hópatalií stórum tali, í rúgvutali, í margatali,plantur og djór í hópatali
hópdráp	tað at drepa fólk í stórum tali
hópdrápsmaður	maður ið fremur hópdráp
hópframleiðsla	(verksmiðju)framleiðsla í hópi (av einsháttaðum vørum)
hópgrøv	grøv (2) har ið nógv fólk er jarðað saman
hópin	sera, avbera,hon doyði hópin gomul;har var hópin djúpt;tað er hópin lættari(nógv lættari)
hópneyðtøka	tað at fleiri persónar eru við í eini neyðtøku,fimm menn ákærdir fyri hópneyðtøku
hópoyðingarvápn	álopsvápn ið elva til stórar oyðileggingar(t.d.kjarnorkubumba)
hópuppsøgn	hópuppsagnirtað at nógv fólk verða søgd upp samstundis á sama arbeiðsplássi
hópur	1rúgva, dyngja, skari, trunki, mongd,ein heilur hópur;hann hevði skorið ein hóp av seyði;tað er hópurin av orðum, ið hevur tveir ella fleiri formar;teir tóku hópin av fangum;vera í hópi við(í felag við, saman við),Noreg var í hópi við Danmørk;geva seg í hóp viðfara í part við;hanga í hópi viðhanga saman við;koma í hóp viðkoma í samband við, koma í bland við;(stb.)sova í hópisova tveyel.fleiri saman í song;koma til hóparel.í hóp(um línu)koma saman, hópast, koma í trol,(línurnar komu saman);vit vóru til hópar við tann bátin;hópin av e-mein rúgva,hópin av fólki(ein riðil)2(ítr.)leikarar og eykaleikarar(ið eru tøkir tá ið øðrum berst frá),felagið hevur keypt nakrar nýggjar leikarar fyri at styrkja um hópin3(dj.,plfr.)flokkingarstig fyri dýr og plantur(ordo),hvørt fylki verður skipað í flokkar, hvør flokkur í hópar, hvør hópur í ættir;sms. t.d.íra-,megin-
hóra	liva so dánt, ana (2), tóra,hann hóraði á fótum(gekk uppi (hóast veikur), var frá seingini);(flutt m.)nú var vón um, at felagið fór at hóra eina tíð enn;vit hóra til summars(um fyritøku);hóra saman(um lut sum er í ringum standi)so dánt hanga saman (hóast lasafarin);hóra undandraga undan, liva av,seyðurin fór eyðvitað at hóra undan(liva veturin);hon hóraði undan(vann á ringari sjúku);hóra uppiorka at vera frammiel.á fótum,tað er best hjá gomlum fólki at hóra uppi, so leingi tey kunna;einstøk eru so sterkt tikin av kríminum, at tey ikki eru ment at hóra uppi
hóreiggin	ið hóreiggjar sær, við stórlátnum keipum
hóreiggj	tað at hóreiggja sær, tilgjørd stórmanslig medferð,hann hevur sovorðið hóreiggj;hann gongur við sovorðnum hóreiggi(t.e. vil vísa at hann er nakað, t.d. ganga við stórmansligum gongulagi: sleingja við ørmum og stavi)
hóreiggja	1gera um seg við stórlátnum keipum, halda háva,ganga og hóreiggja(um e-t ið eingin friður er á);hóreiggja særerpa sær, keipa sær, skapa sær,gakk ikki og hóreiggja tær soleiðis!;(flutt m.)einki vilt og gæsut landslag stendur og hóreiggjar sær2(stb.)standa og viga, javnviga,skarvurin hóreiggjar
hóreiggjan	tað at hóreiggja
hósdagur	fimti dagur í vikuni;sbr.tórsdagur
hósk	hógv,ikki vitael.duga sær hósk;tað er einki hósk í tí
hóska	hava rætta stødd, skapo.a., hóva, høva, søma, sáma,hóska (saman);hóska til:hatta hóskar ikki til;hóska væl/illa;hvat ið mundi hóska seg(søma seg);hóskandiið hóskar, hóskiligur, høviligur
hóskileiki	tað at vera hóskiligur
hóskiligur	hóskandi, passaligur, fittligur, høviligur, høgligur
hóskuligur	(sj.)hóskiligur
hóskvøld	hósdags kvøld
hóslag	hí osb.vera í hóslag við e-mel.koma í hóslag við e-n(í fylgi við, í herslag við, í holt við),kom tær ikki í hóslag við hann;hann er verri enn hin versti sjálvur at koma í hóslag við
hósmorgun	hósdags morgun
hósnátt	náttin fyri hósdag
Hósvík	(stn.)bygd í Norðstreymoy,í/úr Hósvík,til Hósvíkar
hósvíkingur	fólk íel.úr Hósvík
hót	(kvæð.,bíbl.)hóttan,fyri hótum tínum rýmdu tey
hótta	noyða (e-n til e-t) við hørðum ágangiel.ræðingum, lova ilt, trúga (2),hótta (e-nel.(stb.)e-m):bóndin hótti hann við stevning, um hann vildi ikki kasta saman;hann nýtti grov orð og hótti honum;hótta e-m slaghótta við at sláa e-n;hann gevur við aðrari hondini, men hóttir altíð við hinari;hann hóttir at teimum við bókini og biður teir siga satt;(bíbl.)hann hótti at vindi og aldum;teir stóðu og hóttu hvør móti øðrum;hóttast:sum teir stóðu og hóttaðust, tá brast á uttanfrá;(um veður)hann stendur og hóttiródnarveður er í væntu(dimm skýggj hanga niðuryvir)
hóttafall	1ring hending, óhapp,okkurt var atvoldin, tá ið hóttaføllini komu so knappliga2slit, ólag,har sæst hóttafall á(sagt um e-t ið er um at fara av lagi),nú er hóttafall komið á húsið;tenninar havi eg góðar, tað sæst ikki hóttafall á teimum enn3tað at heilsan fer at bila, tað at gerast veikur, afturgongd, avtrivni,hóttafall er komið á hann;13 ára gamal gjørdist eg sjúkur, og tá fekk eg eitt sindur av hóttafalli;hóttafall er komið á lomvigan(minkaður)
hóttaligur	l3(gl.)(um veður)hann stendur hóttaligur(stendur og hóttir)
hóttan	tað at hótta,ein slík uppboðssøla kann vera ein rættilig hóttan móti fiskimonnum í teimum einstøku økjunum;geislavirkin dálking verður ein álvarslig hóttan fyri Norðurlond;løgreglan kannar nú eina hóttan um yvirgang
hótting	(sj.,stb.)hóttan,eg ræðist ikki tína hótting
hóttur1	(sj.,kvæð.)háttur,í ongum hóttri minni(á ongan hátt)
hóttur2	(kvæð.)hóttanir,mangur hevur hóttur notið fyri fagurt vív;(skaldsk.)stikk ikki upp fyri hóttum
hóv	hógv,hava hondum hóv;ikki at kenna hóv
hóva1	1dáma, líka, falla (6),mær hóvar (e-t) væl/illa;tað hóvar mongum av okkum illa;honum hóvaði lítið skriviborðsarbeiði;mær hóvaði so illa millum teir høgu harrarnar2hóska,hatta hóvar ikki saman(t.d. um tveir ymiskar litir);úrslitini hóva væl saman3(sj.)hóva særhátta seg, haga sær(vanl. vánaliga)
