S	rómv. taltekn fyri 70
sneiðing	1skap rundaðel.skrátt, bugur (1)2sneiðing av krovibógvur og síða (í einum)3rundingur á sátuel.des,desin var komin undir sneiðingina(farið at gera at)4glósur, speiorð, sneiðorð, agnarorð5bugur (1),sneiðing á vegi6(seyðamark)sneitt,aftan undan sneiðing;framman undan sneiðing;fjøður aftan av sneiðing;fjøður framman av sneiðing
sneiðivask	(stb.)tað at vaska skjótt og leysliga, kisukáv
sneiðorð	speiorð, glósa, speisglósa,tað fær hann hvøss sneiðorð fyri í kvæðinum
sneiðuhvítur	(seyðal.,Suð.)(á svørtum seyði)við hvítari striku(smalariel.breiðari)eftir snáðini upp um eyguni (el.heilt upp á skallan)
sneiðursettur	óreinsettur, devulssettur
sneiðursignaður	sneiðursettur
sneis	1lítið træsprek, pinnur,hon hevur altíð verið sum ein sneis so kløn2sprita (3), teinur (2),seta upp á sneis og steikja3greytarsneis;sbr.sneisarmatur4brenni, brenniviður, pinnabrenni,sneisar at kyka við5lundasneis6(mát)tjúgu, tvinni tíggju;sms. t.d.bark-,bendla-,desa-,epla-,múla-,nýra-,rava-,sleiki-,spinni-,striku-,svidna-,tjøru-
sneisa	s30í osb.sneisa sundursmildra, sorla sundur, høgga í smá petti, sláa í skeljar;hann sneisaði alt sundur;báturin lá sundursneisaður
sneisaboð	sneisaørindi,hundsørindi og sneisaboð
sneisarmatur	súpimatur útágjørdur við mjøliel.grýnum,lítið dámdi mongum, tá ið sneisin fór í pottin, tí sneisarmatur kostaði pening
sneisarpetti	lítið sprek
sneisarskaft	skaft á sneis (3),sum eitt sneisarskaftsera klænur, kaldarak
sneisarsoppur	(plfr.)slekt av soppi (2)(Paxillus),eitrandi sneisarsoppur(P. involutus)
sneisaørindi	1óneyðug(t) og týdningarleys(t) smáørindi, sneisaboð2ørindi ein ikki tímir sjálvur at fara,fari eg at ganga sneisaørindi fyri teg, nei, tað kanst tú gera sjálvur
sneitt	sísneiða 2
snekkja	1(kvæð.,skaldsk.)skip,har ið teirra snekkja kendi fagurt land2stórt og menniligt konufólk, oyggj (3),ein ordilig snekkja
snell	(stb.)nell, manstandur
snella	royna við snellu,vit snellaðu í fjør, og væl royndist
snella1	(stb.)æðrajarn, blóðtøkujarn,hann átti snellu ella æðrajarn, og vanliga hendi tað, at hann tók fólki blóð úr æðr
snella2	slag av fiskireiðskapi(hjól við nailonsnøri)
snellufiskur	fiskur veiddur við snellu 2
snelluleið	leið har ið roynt verður við snellu,Norðhavið er góð snelluleið
snelluveiða	fiskiveiða við snellu,á snelluveiðu undir Íslandi
snepil	(stb.)drammur, snapsur (1),hann beyð bønarmonnum sínum ein snepil
snerk	tað at snerkja (1)
snerkigreytur	(sj.)snerkivellingur,hatta er tann snerkigreyturin, ið er
snerkiskræða	(niðr.)trútið konufólk
snerkivellingur	eitt ið knarrar (2), knarr (3), grenj (3)
snerkja	1rykkja saman, rylkja, skelkja(serst. nøsina),húðin snerkist(gerst rukkut);snerkja lippurnar saman;andlitið stóð í eini skriðu, sum hann snerkti av pínu;snerkja at matinum2lata steikja eitt sindur, branka, rista 3,snerkja skræðu;snerkja breyð;snerkt breyð(ristað)
snerkjan	tað at snerkja (1)
snerpa1	knarrut og tvør kona(Sv)
snerpa2	rykkja saman,snerpast at (e-m)tala ilskliga á (e-n), hvessa í (e-n)(Sv)
snerpin	1illførur, kvettorðaður, bitutur(Sv)2(stb.)ov trongur, pertin (1),troyggjan er so snerpin
snerputur	snerpin (1)(Sv)
snerra1	útbúnaður við lykkju til at veiða dýrel.fugl í,veiddi hann villgeitir við hvørt, so fangaði hann tær altíð í fellu ella snerru
snerra2	(fisk.,stb.)maðkapirra
snerra3	(stb.)snirra
snerringar	(stb.)magakrymp
snerrutur	ilskur, illvíggin,hann er so snerrutur
snerta	sláa, berja, buka 2(Sv)
snertin	1ið lættliga gerst óður (1), snarsintur2snertið torvsvarðtorv
snertur	1bil við ilsligum kuldaveðri, kuldagos,ein snertur kundi vara eina viku2smeitur, nos, kneykur,verri var næsti snerturin, Hálvdan bóndi fekk av tíðarbroytingini;hendan snertin toldi hon ikki;sms. t.d.halvarðsøku-,krossmessu-,ternu-,tvøst-
snet	h(gl.)í osb.upp á snetav snildarráðum;hann gjørdi tað upp á snet
snetigur	(tlm.)undarligur, løgin, stuttligur (1),ein snetigur stavnur;snetig orð
-snetur	síhala-
-snev	síbrand-
snevil	k21eí osb.fáael.hava snevilin av e-m(varhuga, ferilin)
snevja	tevja, snodda
snevla	snevja,koma snevlandi(sneytandi);gongur og snevlar(forvitnast, sneytar)
sneyt	sneytari,tú ert ein hyklari og eitt sneyt
sneyta	forvitnast uppi í tí annar eigur, vera grammur eftir at vita e-t(ein einki hevur við at gera),fregnast, njósna,sneyta (e-t) upp;alt sneyta tit upp(fáa tit uppspurt);vita, hvør ið tað var, sum gekk og sneytaði her á náttartíð;hvar gongur tú og sneytar?;kemur hatta sneytandi;sneyta e-t frá e-m(lirka (3))
sneytari	eitt ið gongur og sneytar, sneyt
sneytevni	(evnafr.)frumevni sum finst í sera lítlari nøgd í lívverum(t.d. jarn, jod el. mangan)[da.sporstof]
sneytutur	sum sneytar í øllum, alt ov forvitin,teir eru herviliga sneytutir, fara í hvønn krók
snibba	(gl.,sj.)smugla,tað var tá, at hálendararnir snibbaðu her
snibbarúm	skái (3), hvíld(Sv)
snibbaskjøldur	(húsasm.)skjøldur (2), snibbi(ovasti tríhyrningur, vanl. av viði)
snibbi	(stb.)snibbaskjøldur(av viðiel.gróti)
snidra	1skera til vandaliga, snøgga, snotra, snikka,so snidrað og snikkað2gelda(t.d.veðurlamb)
snið	1skap (1), formur (1), útsjónd,krossarnir vóru allir gjørdir í sama sniði sum hin inni á altarinum;flogfar við serligum sniði2tað at standa skráur, halli (1),(upp) á sniðá skák, á skeivan;línan stóð nógv á snið;ein onnur fjøl stóð á snið niður í karið3sniðgøta4listarbragd, snild, kynstur (2),her bata ikki snið(eingi kynstur);okkurt snið mundi vera við hesum bitanum(onkur loynibrøgd)5fremsti sneiddi partur á bakkanum á knívi(fram ímóti oddinum)6(teld.)tað hvussu dátur eru skipaðar(t.d.á diskliel.á telduskíggja);sms. t.d.húsa-,klædna-,mál-,orð-,prent-,reglu-,stav-
sniða	(teld.)geva diskiel.diskli snið til at kunna goyma dátur, forsniða,sniða ein diskil;sbr.snið (6)[da.formatere]
sniðálop	óvæntað álop, slysálop
sniðband	(húsasm.)1skrátt band (3) í stavlagi2træ felt á skák niður í sperrur(tvey í tali hvørjumegin)
sniðfundigur	snildur, snúðin, listilærdur, lúrin,sniðfundig atferð;vera sniðfundigur í orðum
sniðgeva	gera fyrimyndirel.mynstur til nýtslulutir (klæði, prentlutiro.tíl.), geva hóskandi og vakurt snið,formgeva, sniðskapa[da.designe]
sniðgevi	formgevi
sniðgongt	(í brattlendi)gingið á skák ymsar vegir;sbr.sniðgøta
sniðgøta	gøta á snið, skákgøta, skákvegur, krókvegur (1),nógvar eru sniðgøturnar niðaná;(flutt m.)kærleikurin gekk ikki eina trodda rás, hann fór sniðgøtur, men kom aftur á beint
sniðhorn	(á knívi)hornið millum bakka og snið (5)
sniðhús	(húsasm.)(set)hús smíðað mong í sama sniði og stødd[da.typehus]
sniðlop	lúnsk ráðagerð (2), sniðálop,verja (e-n) fyri sniðlopum;álop og sniðlop
sniðoddaður	sneiddur fram móti oddinum,ein grov, sniðoddað og eggjað nál
sniðoddur	(á knívi)snið (5) á bakkanum fram ímóti oddinum
sniðrás	sniðgøta
sniðrása	(um seyð)ganga sniðrásir,seyðurin sniðrásar seg inn í uksina
sniðskapa	sniðgeva
sniðvegur	sniðgøta
sniðveit	veit sum liggur á skrá
sniffil	1(bát.)bátur minni enn tristur, prámur (2)2(leika)lítil bátur við segli (t.d.av nævurskrukku) telgdur úr eini fjøl, lappari3lítil knívur4lítið kríatúr
snifla	(stb.)naspa, nápa, píska 1(4)
snigil	(dj.)slag av lindýri ið skríður(stundum við skel)(Gastropoda),svarti snigil(Arion ater),grái snigil;sms. t.d.hav-,sjó-
sniglaepli	reydligt nýravaksið epli
snikka	snotra, snidra (1), evna til(serst. úr træi),snikka tilsnøgga (til), hampa 1;vit fóru inn, sum vit vóru, tí vit høvdu einki at snikka okkum við;snikka seghampa seg,tá tey komu oman, settu tey seg niður og hvíldu seg og hampaðu seg eitt sindur, snikkaðu seg, sum tey søgdu, og skiftu skótoy
snikkaleysur	heilskapaður, óskaddur (1), óskalaður, ósnikkaður,sleppa snikkaleysur
snikkarabonkur	(handv.)bonkur (2) hjá snikkara, plógbonkur
snikkaralæra	tað at læra til snikkara
snikkaraverkstaður	verkstaður hjá snikkara, snikkaravirki
snikkaravirki	snikkaraverkstaður
snikkari	træsmiður ið smíðar húsgøgno.tíl.,træsmiðirnir seta okkum húsini upp, snikkararnir gera smærri træsmíð;sbr.bygningssnikkari,húsasnikkari
-snikki	síó-
snikkuligur	serliga væl og vandaliga gjørdur
snild	1framúrskarandi evniel.dugnaskapur, snildargávur,hava snildir til e-t;andlig snild2kynstur (2), bragd (3),vita snildir;eg veit ikki, hvørjar snildir, tú hevur nýtt at ognast garðin3ráð (5), snildarráð, listarbragd,eg taki aðrar snildir fyri(finni upp á ráð);tá fann ein arbeiðskona upp á snildina, ið dugdi;sms. t.d.mál-,ráða-,røðu-,tungu-
snildarbragd	djarvt og snilt bragd (2)
snildarbragð	1snildarbragd2(kvæð.,sj.)stríð, bardagi,eg standi í snildarbragði
snildargávur	1góð evni (8), góðar gávur,snildargávur til e-t2hugsnildir, flogvit (1),bókin stendur sum hábærsligt minni um snildargávur hansara
snildarligur	kynstrigur (1), hegnigur
snildarráð	lúrin ráðagerð, svikaráð, ilskuráð, loynibrøgd,leggja saman snildarráð ímóti e-m
snildfon	fartelefon við telduheintleikum, netlesara, kalendara, teldupostforritumo.s.fr.,nýggja heimasíðan er løtt at brúka umvegis teldu, teldil og snildfon[en.smartphone]
snildi	snild,(orðt.)tað er ikki hvørt snildi, tú skalt svara til, og ikki hvørt gildi, tú skalt fara til
snildiliga	1kynstriliga, við snildum2sniðfundiga, snúið
snildingur	snillingur
snildisliga	snildiliga,snildisliga er atborið í hesum máli;hann helt fram at tosa so snildisliga við hana, at hon eirdi honum
snildleiki	tað at vera snildur (1), snild,hann hevði snildleikan og dugdi at snúgva sær
snildur	1snúin, snúðigur, sniðfundigur, listilærdur, lúrin,ormurin var snildur2(sj.)gløggur, skilagóður, ráðaklókur;sms. t.d.hug-,ráða-,ráð-,tungu-
snill	(stb.)kynslimur á dreingi
snillast	hava samlegu, gilla 2
snilli	snillur;sms.brúðgóms-
snillingur	úrmælingur, snildingur
snillur	kynslimur á mannfólki, skapningur (3), murtur (2)
snimma	árla, tíðliga (á morgni),fara snimma á føtur;onkun morgun snimma;(kvæð.)tað var snimmast um morgunin
snippa1	(stb.)kynslimur á dreingi
snippa2	1rippa 2, rykkja, skrykkja (1), knykkja,hann snippaði lykilin úr hondunum á honum2(slang)slíta (2) samlegu(coitus interruptus)
snippa3	(um børn)gráta,(kvæð.)hann snippar og hann grætur
snippur	tað ytsta á e-m, endi (1), broddur (1), naddi, oddur 1;sms. t.d.fingur-,hala-,nasa-,vilja-
snipputur	ilskur, grískur (1), prippin
snips	hjí osb. sumsnips niðurfyri(beint, loddrætt);bakkatromin gekk snips niðurfyri
snipskur	(sj.)snipsur (2),hon var so snipsk við allar, sum gingu inn
snipst	snips,allastaðni var snipst niðurfyri
snipsur	1sera brattur, ørbrattur, steyrrættur, skorin,snipsur klettur;snipst berg2orðkvettin, kvettorðaður,hann er so snipsur(svinnur (1))
snirr	1brádlig snaringel.vend,grindin gjørdi eitt snirr2(ným.,ítr.)skíðrenning í krøppum bugum oman brekku[no.slalåm];sms.stór-
snirra	snara kvikliga og fimliga til viks, skáka 2 kvikliga, snitta,steinstólpan snirraði aftur og fram í loftinum;snirra undan e-m
snitta	1fara kvikliga ymsar vegir, snirra, skáka 2,teir snittaðu inn millum steinarnar(við einum báti),svalan snittar upp og niður2(í fótbólti)skáka 2, krússa (2),hann snittar ein mann og skjýtur bóltin í netið3liggja í sniðum,gøtan snittar niðaneftir
sníða	(kvæð.)skera til, skapa,sníða brúdleypsklæði;hann letur síni orð væl sníða(tekur væl til orðanna)
sníkiplanta	snultiplanta
sníkja	1sníkja segfara ljódliga og loyniliga fram,teir sníktu seg út á eitt skip;um náttina komu brøðurnir sníkjandi2snulta,hann hevur verið og sníkt(óboðin í gildi);sbr.sníkur
sníkjari	(dj.)sníkur (3),nógv einkyknudýr eru sníkjarar
sníkur	1snultigestur2ein ið fer fram í loyndumel.við sleiskni(til at vinna sær fyrimunir)3(dj.)lívverael.virus sum livir íel.á aðrari lívveru, sníkjari;sms. t.d.biddi-,brúdleyps-,burtur-,nátturða-,teldu-
snípa	(fugl.)mýrisnípa(Gallinago gallinago);sms. t.d.kopar-,vetrar-
snípi	1spísk nøs(Sv)2(speis.)andlit, snýði(Sv)
snípin	1snópin(Sv)2(sj.)spískur, mjáur,andlitið var skarpt og snípið
snjallabjalla	1(plfr.)slag av bjallu, pungagras(Rhinanthus minor)2(flutt m.)ein ið er ógvuliga harðmæltur, skræðugákur
snjallan	(kvæð.)harðliga, hvølt,tá blæs hann so snjallan
snjallibjalli	(stb.)snjallabjalla
snjallubjalla	snjallabjalla
snjallur	1(um ljóð)harður (2), hvøllur2málreystur, gellandi, sjangrandi,snjallur á málinum;hon var snjøll á málinum og hoyrdist fram um hini3(kvæð.)orðkringur, orðførur, mælskur, tungusnjallur,tungu bar so snjalla4(kvæð.)klókur, snildur,tú dvørgamoyggin snjalla5(kvæð.)reystur, menskur, djarvur, dugnaligur,kappin tann hin snjalli6(sjónavn)hin snjalliskrápur;sms. t.d.hug-,tungu-
snjarr	(um ljóð hjá drunnhvíta)
snjella	geva afturljóð, gella,fótaferðin dunar og snjellir í klettinum
snjó	(kvæð.)avsnjógvur
snjóber	(plfr.)slag av urtagarðsplantu(Symphoricarpus rivularis),snjóber er góður lívdarrunnur
snjóblindi	(lækn.)tað at vera snjóblindur, kavablindi
snjóblindni	snjóblindi
snjóblindur	(lækn.)lutvíst blindaður stutta tíð av sterkum sólarljósi í kava, kavablindur
snjóbrillur	kavabrillur
snjóflekka	(plfr.)(hvítt) epli sum ber á reytt[en.snowflake]
snjóflugusoppur	(plfr.)slag av flugusoppi(Amanita nivalis)
snjóflykra	kavaflykra,hin hvíti vetur byrjaði við dansandi snjóflykrum
snjófok	(skaldsk.)kavafok, snjórok
snjófonn	(skaldsk.)kavafonn
snjófuglur	(fugl.)smáfuglur í kuldalondum(Plectrophenax nivalis)
snjógva	(Suð.)(um seyð)leita sær skjólel.halda til í kava(í snjóstøðuel.bóli),seyðurin snjógvar har
-snjógvað	síspor-
snjógvhagi	(loðin) hagi har ið seyður heldur til í kava(har ið gott er at skava),lynghagi er góður snjógvhagi;fylgið hevði snjógvhaga har;sbr.vetrarbit
snjógvur	1(skaldsk.,kvæð.)kavi,sum droyrin drýpur á snjó;(stb.)í snjógvtá ið kavi er;seyðurin stóð har í snjógv(krokaði)2(stb.)staður har ið snjóstøða (1) er,sjáldsamt at fylgi hevði fjall og snjógv í sama stað;sms. t.d.skrið(u)-,stór-
snjóhara	(dj.)hara hvít á vetri og brún á sumri, hvíthara(Lepus timidus)
snjóhvítur	hvítur sum kavi, fannhvítur, mjallhvítur, krithvítur
snjókelling	stabbi (líkur fólki) av kava, kavakelling, kavamaður,brenna snjókelling1seta eld á hoyggj í snjókelling(við holi úr eldstaði í neðra og upp í munnin)2(stb.)brenna bál
snjóklokka	(plfr.)slag av urtagarðsplantu ið blómar móti vári(Galanthus nivalis)
snjóklæddur	klæddur við kava, kavaklæddur,tøgn yvir snjóklæddum heiðum
snjókrásarvi	(plfr.)slag av krásarva(Sagina intermedia)
snjóløga	(Suð.)tað at nógvur kavi legst, nógvur kavi ið legst
snjórok	1(skaldsk.)kavarok (1),hann virdi ei snjórok og vindar2rokkavi, jarðrok,eftir sjórok kemur snjórok
snjóskriða	skalvalop, skriðsnjógvur
snjósólja	(plfr.)slag av sólju(veksur á hægstu fjøllum)(Ranunculus glacialis)
snjósteinbrot	(plfr.)slag av steinbroti(Saxifraga nivalis)
snjóstjørna	(plfr.)planta í slektiniChionodoxa
snjóstøða	1pláss í haganum har ið seyður søkir sær lívd í kavaveðri, støða 1(4), ból (3)2(flutt m.)skjól (1), skýli (1),gott er at hava snjóstøðu har(Sv)
snjótítlingur	(fugl.)snjófuglur
snjóugla	(fugl.)stór hvít- og svartsprøklut ugla(Nyctea scandiaca)
snjúgva	snúgva
snjúiskinn	(stb.)snúðurskinn
snjæandi	hj(stb.)í osb.snjæandi hvítursnjóhvítur,tógvið var so snjæandi hvítt
snjøll	sísnjallur
snobb	1tað at snobba2ein ið snobbar, snobbur
snobba	geva seg undir (e-n)el.sleiska fyri (e-m)(oftast e-m sum er í hægri metum enn annar),lifra fyri (e-m), ganga upp í harranasar,snobba fyri e-m;snobba fyri øllum, ið lært er;snobba niðureftirlátast at hava samhuga viðel.vera partur av fólki í lægri samfelagsstøðu enn ein sjálvur
snobbur	ein ið roynir at tekkjast teimum fínu(og sum ikki brýggjar seg um fólk úr teimum lægru stættunum),snobb (2), sleiskari, sleikjari
snobbutur	ið snobbar, sleiskur (1), lifrandi
snodd	1tevsansur hjá djóri,hundurin kendi snodd(hevði ferilin av e-m)2(flutt m.)evni at finna e-t,skiparin hevur gott snodd(finnur væl fisk)3(stb.)fótamørur og ymist leyst innan úr seyði sum løn aftur fyri at finna deyðseyða,hann, ið finnur deyðaseyða, eigur snoddið í løn
snodda	1kenna tev (av e-m) við at anda inn gjøgnum nøsina, tevja, lukta, snevja(t.d.um hund),snodda sum fuglahundur;snodda eftir e-m;snodda uppkoma fram á, finna;hundarnir snoddaðu hin horvna mannin upp;hasin gamli skræðugákurin snoddar alt upp(finnur alt)2anda í seg rúsandiel.doyvandi royk,snodda gass úr tendrara[da.sniffe]3sneyta, njósnast,snodda í tí, sum annar eigur
snoddhár	kampur 1(1), granarhár(serst. á kettu og hundi)
snodding	tað at snodda (2)
snoddtev	snoddtevur
snoddteva	snoddtevur
snoddtevi	snoddtevur,tað er sovorðin snoddtevi í dag
snoddtevur	snykroykur í fjøruniel.uttan av sjónum(t.d.av grind, sild, seiðiel.tíl.),tað er snoddtevur í luftini, tá ið grind er(t.e. tá ið grind er undir landi)
snoð	hí osb.leggja segel.leggjast (upp) í snoðkrógva seg fyri fólki, leggjast inni;Jákup legði seg upp í snoð
snoðbalingur	seyður ið hevur mist alla ullina(serst. áðrenn hann er komin í rætt í áseyðaroyting),smetikokkur, spillikokkur (1), kokkur 2(2), smildringur
snoðfilingur	snoðbalingur
snoðfilutur	ballsnoðin
snoðin	1við stuttumel.sløttum hári, snøggur,hon var so nosslig og snoðin sum ein eingil;slættur og snoðin;(skaldsk.)tá var hann so snoðin og fríður sum ein sloktur kálvur2við ongum hári, berskøllutur, skallutur;(gáta)innan loðið, uttan snoðið, blankt í enda(kertiljós)
snoðkollutur	1berskøllutur, skallutur(Sv)2(sj.)við ongum á høvdinum, hattleysur
