M	rómv. taltekn fyri 1000
mistrúgv	tað at vera mistrúgvin, illtrúgv, mistrúni, misálit,tað elvir mistrúgv
mistrúgva	ikki trúgva (e-m), ikki líta á (e-n), hava illgruna til (e-n), ikki hava álit á (e-m), vantrúgva,mistrúgva e-m;mistrúgva seg
mistrúgvin	sum illa trýr øðrum, sum mistrýr øðrum, illtrúgvin
mistrúni	mistrúgv
mistykki	mistokki, misnøgd, ónøgd,taka e-t upp í mistykkiel.taka (sær) e-t til mistykkistaka sær ilt av e-m, taka sær tykni av e-m, takael.gera sær sinnismun av e-m, gerast firtin
mistýða	misskilja, misfata,mistýða e-tfara skeivur av e-m
mistýðing	tað at mistýða, misskiljing, misfatan
misunna	ikki unna, øvunda, hámunda,misunna e-m e-t
misvaksin	sum illa veksur og trívst,akurin er misvaksinmisvøkstur er í akrinum
misvirða	halda lítið um, vanvirða 2
misvirðing	tað at misvirða, vanvirðing
misvísandi	(sjóm.)við misvísningi,móts.rættvísandi,misvísandi kós
misvísningur	(sjóm.)(um kumpas)vinkulin millum rættvísandi norðan og misvísandi norðan, skeivleikin millum tann landafrøðiliga og magnetiska norðpólin[da.deklination]
misvøkstur	vánaligur vøkstur,misvøkstur er í akrinum;misvøkstur kom í kornið
mitt	1í miðjuni, miðskeiðis,mitt á vegnum;mitt í havinum;mitt í ánni2beint, júst,mitt meðni vit sótu og mjólkaðu;sbr.miður 1
mitta	(tlm.)miðja
mittastur	í miðjuni, mið-
mittfjørður	(stb.)miðfjørður,báturin var kom á mittfjørð
mittkubb	(á fiski)miðstykki, miðkut
mittmál	(stb.)miðmál
mittrúm	(bát.)bógrúm
mittrúmsbekkur	(bát.,stb.)bógbekkur
mittskeiðis	(sj.)miðskeiðis
mittskips	(sj.,sjóm.)miðskips
mittstykki	(sj.)miðstykki
míga	kasta sær av vatninum, vatna sær, pissa,míga undir seg (um náttina)floyta seingina;(flutt m.)sveittin meig av honum(lak av honum);tað mígur niður(oysregnar);(um streym)tað rak við mígandi ferð(sera hart);hj:streymurin var so mígandi harður;mígandi fullurá tremur, rokafullur
-mígdur	sístív-
mígfullur	(óvand.)mígandi fullur, skítfullur
míggj	(stb.)víggj 2
-mígur	síundir-
míl	(mát)7,532 km(aloftast uttan fleirtalsending eftir talorð)fimm míl
mín1	síeg
mín2	1(viðv. tí ið hoyrir 1. pers. eint til)míni hús;mín bátur;hatta eru mínir vøttir;jørð mín frælsar bæði neyt og seyð;eg bannaði býttleika mín;tað spillir hjartafrið mín;borðmaður mín;lovaður veri Drottin mín;(skaldsk.)dukka mín er blá;(kvæð.)hetta verður mín deyð2(í smb. við skyldskap)foreldur míni;mamma mín;pápi mín;maður mín;kona mín;abbi mín;omma mín;har kemur hann Jógvan mín3(í tiltalu)góði/góða mín;lítli/lítla mín;søti mín;fjør mítt;býttlingur mín4(í staðin fyri navnorð)eg skal gera mítt til at ...;eg takki fyri meg og míni
mínsara	(sj.,stb.)mín,til mínsara;sbr.tínsara
mínsjálvsmaður	mín egin(ikki bundin av øðrum)(Sv);sbr.sínsjálvsmaður
mínumegin	á mínari síðu
mírast	bera á brá at smílka, smílkast, smírast,smírast og mírast
mítt	símín
mjadnabreiður	breiður um mjadnarnar,mjadnabreið kona
mjadnahaldari	(breitt) konufólkaplagg havt um mjadnarnar til at festa sokkarnar í
mjadnar	símjødn
mjadnarbein	(lívfr.)eitt av trimum beinum í mjødnini, bløkubein(os ilium)
mjadnarblað	áflatur endi á mjødn,hárógvan varð skorin soleiðis, at mjadnarbløðini vórðu kvett, so tey komu upp í hárógvuna
mjadnarbugur	(skaldsk.)bugur inn í síðuna oman fyri mjødnina
mjadnareyga	holið í mjadnarbeininum
mjadnargrind	(lívfr.)beinringur sum mjadnar og breiðageisli gera um kokuna, kokugjørð
mjadnarhorn	mjadnarhøvd, mjadnaroyra
mjadnarhøvd	ovasti partur á mjadnarbeini, mjadnarhorn, mjadnaroyra(crista iliaca)
mjadnarknúta	knúta á lærleggi við mjadnarliðin(trochanter major)
mjadnarkulla	kulla í mjødnini sum knúta á lærleggiel.tjóleggi melur í(acetabulum)
mjadnarleggur	mjái parturin á mjadnarbeini(av seyði),summi hava brotið mjadnarlegg eftir mergi
mjadnarliður	liður ímillum lærlegg og mjadnarbein, mjónarliður
mjadnaroyra	(stb.)mjadnarhøvd, mjadnarhorn
mjadnarskøði	skøði rist av mjødn á neytshúð,(tilt.)hatta er sum mjadnarskøðið á illamanni(slítst ikki á hol)
mjadnaskjótast	rinkael.skinkla við mjødnunum tá ið ein gongur
mjadnir	símjødn
mjadnlittur	(seyðal.)1við liti á mjødn2(stb.)lærhvítur
mjaðar	símjøður
mjaðarfat	fat (3) við mjøði(í tátti)
mjaðarskál	(kvæð.)skál við mjøði
mjaðarurt	(plfr.)slekt í rósuætt(Filipendula);sbr.øt;sms.ata-
mjaðurt	(plfr.,stb.)mjaðarurt
mjaldra	tosa javnt og samt, ikki leggja leikindini saman, sussa 2, sjóða 2(3), fussa 1,hatta situr og mjaldrar og mjaldrar
mjallhvítur	hvítur sum mjøll, snjóhvítur
mjarasligur	másasligur
mjaravøttur	(stb.)njarðarvøttur
mjarligur	(sj.)másasligur,lambið er so mjarligt(lítið, vesalligt)
mjarma	(sj.)mjarra (1)
mjarr	1ljóð hjá kettu, tað at mjarra2gremjan, kvartan
mjarra	1(um kettu)geva frá sær serstakt ljóð, siga mjarr, mjavva, mjóma2geva seg illa, láta illa, gremja seg, kvarta,hon gongur og mjarrar um at sleppa til onkra konu at læra at seyma;tað mjarraði so illa fyri bróstinum(av krími)(ríkti)
mjarraligur	másasligur
mjarran	tað at mjarra (2),mjarran og knarran
mjarrasligur	mjarraligur
mjarravøttur	(sj.)njarðarvøttur
mjarrisligur	(sj.)skjarrligur (1), viðbrekin (1), smásárur (1),hatta er so mjarrisligt
mjas	(sj.)nyttuleyst arbeiði(øðrum til ampa)
mjasasligur	(sj.)másasligur
mjasast	pjakast og práta(øðrum til ampa)(Sv)
mjaska	mjeska(Sv)
mjatla	sita og eta og tyggja men lítið fáa niður, eta smátt, njalla, njalta,sit ikki har og mjatla, ger teg lidnan;nú fer lambið at mjatla(fer so smátt at eta gras, verða grasbeitt);mjatla burtur av við eini sag(martla);sbr.mjeska
mjavma	mjavva, mjarra
mjavv	(um ljóð hjá kettu)mjarr,kettan sigur mjavv
mjavva	(um kettu)geva frá sær serstakt ljóð, siga mjavv, mjarra, mjavma, mjóma
mjábeintur	við klønum beinum, klænbeintur,gasella er hábeint og mjábeint
mjádd	mjædd(Sv)
mjái	(stb.)mjógvi
mjálkafiskur	(fisk.)siljafiskur
mjálkakalvi	(fisk.,sj.)silkalvi
mjálkasild	(fisk.)sild við sili
mjálki	(gl.)sil
mjámýltur	(mest um kríatúr)við spískari snáð
mjáur	sum hevur lítla tjúkt, við lítlum tvørmáti, klænur, smalur, trongur, snævur,mjáur um akslar;mjá og trong gøta;(tilt.)langur hundur og mjáur er ringur at føða;hámur og mjáurnakkalangur, lotur, sum bitið ross;ganga mjáur sum tráðurganga og meyla og júka til at sleppa e-t;mjáur um mjóryggin,símjóryggur;sms. t.d.aftur-,bringu-,gjøll-,kálva-,lenda-,miðju-,odd-,tráð-
mjávaksin	mjátt vaksin, klænvaksin, smalvaksin,mjávaksin drongur
mjeg	(Suð.)meg
mjelk	(stb.,gl.)mjólk,hvalbingar søgdu mjelk
mjesk	tað at mjeska
mjeska	1eta seint(við ringum matarlysti),mjaska,sita og mjeska;sbr.mjatla2eta smaksandi
mjóflagg	vimpil
mjógvi	(bjarg.)mjá gøtael.rás í bergi, mjái, mjóvi,har eru mjógvar, ið fáur torir at fara um
mjóhundur	(dj.)mjáur, lættur og hábeintur hundur(Canis familiaris grajus)
mjóki	mjækki(Sv)
mjólittur	(seyðal.,stb.)mjadnlittur
mjólk	1hvíturel.gulligur løgur úr stálmanum á konuel.súgdjóri(til føðslu hjá avkominum),tá ið kálvur er 12 vikur, er hann av mjólk(tørvar ikki mjólk longur);(fólktr.)knívur mátti ikki fara í mjólk - bert skeiðel.spónur og krúss2(plfr.)mjólkarsevja3mjálki;sms. t.d.blikka-,bolla-,brósta-,dósa-,eggja-,geitar-,geldkúgvar-,kokus-,kúgvar-,kú-,móður-,neyta-,ný-,oska-,osta-,pakka-,rá-,seyða-,skírnar-,tíkar-,trølla-,turr-
mjólka	1fáa mjólk úr júgri annaðhvørt við hondunumel.mjólkimaskinu,mjólka kúnni2geva mjólk (frá sær),kúgvin mjólkar væl/lítið
mjólka-	(óregl.)->mjólkar-
mjólkafiskur	mjálkafiskur
mjólkarbátur	(gl.)bátur ið sigldi við mjólk(farmi og ferðafólki)av bygdunum til mjólkarvirki
mjólkarbiði	1træílat at bera mjólk heim í úr haganum(størri enn dylla),biði (1), neytabiði, strýpibiði2mjólkarbiðiðávíst bein í grunningshøvdi(Varð. 29230)
mjólkarbilur	bilur ið førir mjólk(úr fjósum til mjólkarvirki)
mjólkarblikk	blikk við niðursodnari mjólk
mjólkarbóndi	(bún.)bóndi ið fyrst og fremst livir av at selja mjólk,Í 2003 vóru tað 70 mjólkarbøndur ið lótu mjólk til Mjólkarvirki búnaðarmanna
mjólkarbruni	(lækn.)bruni í brósti av tiptum mjólkræsi
mjólkarbúð	búð ið fyrst og fremst selur mjólkarúrdráttir, mjólkarsøla (2)
mjólkarbúkur	(niðr.)ein sum altíð drekkur mjólk(Sv)
mjólkardropi	dropi (2) av mjólk
mjólkardylla	dylla at hava mjólk í
mjólkarfat	leirílat at goyma mjólk í
mjólkarfepur	1(lækn.)brunasjúka hjá bróstakonu(galaktostasis)2sjúkaserst.hjá kúm og óm elvd av kálktroti(annaðhvørt fyriel.eftir kálvingel.lembing),mjólkarsótt(paresis puerperalis)
mjólkarfiti	fiti í mjólk;sbr.rómi
mjólkarfløska	fløska viðel.til mjólk
mjólkargreytur	(sj.)mjólkgreytur
mjólkarhús	1(á bóndagarði)hús har ið mjólkin verður goymd2(sj.)hús ið tekur ímóti mjólk at selja og sum ger mjólkarúrdráttir úr henni, mjólkarbúð, mjólkarvirki
mjólkarhvítur	hvítur sum mjólk
mjólkarílat	ílat viðel.til mjólk
mjólkarkanna	kanna 1(1) til mjólk
mjólkarkolla	(gl.)kolla 1(2)(Sv)
mjólkarmaðkur	(dj.)slag av maðki ið livir í veltari mold og urtagørðum(hvíturel.hvítgráur á liti)(Octolasium lacteum)
mjólkarmatur	matur úr mjólk(t.d.vellingur, loypingur, hvíta 1(2), ostur)
mjólkarpakki	ferhyrntur pakki sum mjólk verður seld í
mjólkarpottur	pottur at kóka mjólk í
mjólkarprísur	prísur á mjólk
mjólkarpulvur	turrmjólk
mjólkarsevja	(plfr.)hvítel.gul sevja í summum plantum(t.d.várhagasólju og dreymsólju)
mjólkarsíla	síla til nýmjólk
mjólkarskjóla	(gl.)lítið træílat at mjólka uppí
mjólkarskol	tunt mjólkarvatn
mjólkarsopi	(sj.)mjólksopi
mjólkarsoppur	(plfr.)slekt av soppi (2)(Lactarius),beiskur mjólkarsoppur(L. glyciosmus),reydligur mjólkarsoppur(L. rufus),smakkgóður mjólkarsoppur(L. deliciosus);sms. t.d.dvørg-,furu-,haga-
mjólkarsólja	(plfr.)slekt í kurvablómuætt, stjørnusólja(Taraxacum)
mjólkarsós	sós gjørd m.a. av mjólk
mjólkarsótt	mjólkarfepur
mjólkarspann	spann viðel.til mjólk
mjólkarstampur	stampur (1) til mjólk
mjólkarstudningur	prísískoyti til bøndur sum selja mjólk
mjólkarsukur	(lívfr.)slag av sukri í mjólk
mjólkarsunkist	lítil mjólkarpakki(250 ml)
mjólkarsýra	(evnafr.)lívrunnin sýrat.d.í súrari mjólk
mjólkarsøla	1søla av mjólk2handil ið selur mjólk, mjólkarbúð
mjólkarúrdráttur	matvøra úr mjólk,ostur, blak og aðrir mjólkarúrdráttir
mjólkarvatn	mjólk blandað við vatni,heitt mjólkarvatn var eisini morgundrekka, áðrenn tað gjørdist vanligt at fáa sær ein temunn á morgni
mjólkarvirki	virki ið tekur ímóti mjólk at selja og sum ger úrdráttir úr henni, mjólkarhús (2),Mjólkarvirki Búnaðarmanna
mjólkgreytarpottur	pottur sum mjólkgreytur verður kókaður í,hon stóð og gjørdi út á ein mjólkgreytarpott
mjólkgreytarstampur	stampur (1) við mjólkgreyti
mjólkgreytur	tunnur greytur kókaður við mjólk, vellingur,mjólkgreytur varð havdur til nátturða;mjólkgreytur varð altíð sagt fyrr, vellingur er ungt orð
mjólki	mjálki
mjólkimaskina	ravmagnsmaskina til at mjólka (kúm) við
-mjólkin	síbleyt-,seig-,treyð-
mjólkineyt	mjólkneyt
mjólking	tað at mjólka
mjólkingarførur	(stb.)ið fær allar fingrarnar inn at tumlinum í senn(ikki lofnaður)
mjólkingarkona	konael.genta ið mjólkar (kúm)
mjólkingarskammil	skammil til at sita og mjólka á, fjósskammil
mjólkingartíð	tíð tá ið mjólkað verður,tá ið tað líður at mjólkingartíð um kvøldið
mjólkirás	(lívfr.)mjólkræsi
mjólkkendur	sum mjólk, líkur mjólk
mjólkkúgv	kúgv sum mjólkar,sum mjólkkúgv gjørdi hon ikki stórar skreytir
mjólkneyt	neyt ið mjólka, mjólkineyt,vit høvdu fýra mjólkneyt;sbr.kjøtneyt
mjólkræsi	ræsi ið leiðir mjólk út í vørtuna
mjólksopi	sopiel.eitt sindur av mjólk,biðja sær ein mjólksopa út í drekka
mjólkær	ær sum mjólkar
mjóma	mjavva(Sv)
mjón	(Suð.)mjødn
mjónarbein	(Suð.)mjadnarbein
mjónareyga	(Suð.)mjadnareyga
mjónarliður	(Suð.)mjadnarliður
mjóryggur	næstaftastael.næstniðasta stykkið í rygginum,hálsur, háryggur, mjóryggur og hárógva eru stykkini í rygginum;mjóryggur er stundum kallaður konustykki ella pískastykki;mjóryggur var ikki góður at hava í báti;mjáur um mjórygginkomin á trongd, illa fyrikomin;sbr.soðugeislar
mjóskur	(sj.,stb.)njóskur
mjóvagongd	(bjarg.)tað at ganga um mjó(g)va,skjótt vandust vit við mjóvagongd og bendingar
mjóvi	(stb.)mjógvi
mjúka	gerast mjúkurel.mjúkari,mynstrut verður ikki tøvt - summi plaga at vaska tað eitt sindur á ranguni, so tað verður mjúkað
mjúkbeittur	(um bø og haga)væl vallaður,móts.harðbeittur
mjúkeggjaður	(um eggjarn)við mjúkari egg,móts.sáreggjaður
mjúkhentur	við mjúkum hondum;sbr.harðhentur
mjúkhærdur	við mjúkum hári
mjúkleiki	tað at vera mjúkur
mjúkligur	heldur mjúkur, linligur,mjúkligar hendur;hon var so mjúklig í eygnabránum og á málinum;tunt, mjúkligt æl;hj-ligatað gekk so mjúkliga fyri seg(lagaliga, lætt)
mjúklyntur	mjúkur av lyndi
mjúkmæltur	við mjúkari rødd, smørmjúkur,lerkur er frálíkur sangari, reinmæltur og mjúkmæltur
mjúkorðaður	við mjúkum orðum,(serst. neiliga)hon var ikki mjúkorðað við hannhon hevði einki gott at bera honum
mjúkrendur	kensluligur, kenslusárur, grátsøtur, (ovur)kenslusamur,mjúkrendar kenslur[da.sentimental]
mjúkullaður	við mjúkari ull,músin hevur ongan brodd, hon er øll líka mjúkullað
mjúkur	1ikki harður at nema við, ikki hvassur (2), bleytur, linur,mjúk ull;mjúkt hár;mjúkt hold;mjúkt skinn;mjúk song2liðiligur, smidligur (3),teir kundu væl lystir og leikir, so mjúkir um hvønn lið;sbr.liðmjúkur3tespiligur, fýsiligur,læknaferðirnar hava ikki altíð verið mjúkar4mildur, blíður, blíðlátin, blíðlyntur,hann bar ikki orð fyri at hava mjúkt andlitsyvirbragd;ikki vóru orðini mjúk;hann er ikki mjúkur at strúka(ringur at koma í hóslag við, harður í horn at taka);(kvæð.)ikki var klappan á holdi mjúk5(um eggjarn)við heilari, óskørðutari egg, mjúkeggjaður,móts.sárur (5);sms. t.d.dún-,eyd-,eyð-,liða-,lið-,silki-,smør-,tungu-
mjúkvallaður	(sj.)við mjúkum vølli,hetta vakra mjúkvallaða økið
mjædd	tað at vera mjáur
mjækka	1gera mjáanel.mjærri, smalka2gerast mjáurel.mjærri, smalkast
mjækki	mjógvi, strik 2(3)
mjærri	avmjáur
mjæstur	avmjáur
mjødn	(lívfr.)1árundur kropspartur fyri niðan miðju sum stendur út(har ið lær og bulur (3) møtast)(os coxæ),mjødnin fór úr lið;vera lamin í mjødnini;nú fór tjóleggurin úr mjødnini(sagt tá ið illa gongur í hond)2ovasti partur av tjógvi,skera mjødnina frá3partur av grind 1(3) (í rakstri) aftan fyri miðju,oddi, hali, mjødn og miðja gongur sína spøku ferð
mjødnareyga	mjadnareyga
mjøður	geraður drykkur úr hunangi og vatni,drekka bæði mjøð og vín;(tilt.)ikki lata mjøðin dovnaikki gevast á hendur, dríva á
mjøl	1(smátt) malið korn,berja í mjølmjølva sundur, morla;(tilt.)tað er sum mjølið í krukkuni(drúgt);(skemt.)hava mjøl í eygunumganga við stívari kenning2e-t fínt malið,taramjøl;fiskamjøl;tyggja upp í mjøltyggja smátt;sms. t.d.beina-,bygg-,epla-,fína-,grýna-,handils-,havra-,hveiti-,kokus-,kvørnar-,maisar-,rís-,rug-,silda-,tvøst-
mjølber	(plfr.)tálgarsteinbrá
mjølbolli	(lítil) bolli 2(2) úr mjøli, smøri, mjólkel.vatni(t.d.í suppu)
mjølhestur	klumpur í greyti, sós, suppu, útágerðo.tíl., kekari, keki 2, hestur (6), ross (4)
mjølhít	hít (1) at hava mjøl í;(gáta)framman sum spegil, aftan sum dregil, um miðjuna stappað mjølhít(kviðin ketta)
mjølhundur	(sjóm.,gl.)bakkulsi kókað í vatnbaði á ringunum umborð á sluppum,(flutt m.)tað smakkaði sum mjølhundur(sagt um e-t miseydnað bakkulsi)
mjølkjaftur	(á kvørn)op har ið mjølið kemur út,tak tað ið liggur næst mjølkjaftinum at gera útá, tí tað er fínast
mjølkveistur	søpil
mjøll	turrur leysur kavi,seglini hvít sum mjøll;víkin er sum mjøll(snjóhvít av brimi);(kvæð.)stýrir so Høgni Júkason, at frá dreiv mjøllin hvíta(froðan, skúmið)
mjøllhvítur	(gl.,skaldsk.)fannhvítur,blóman bar bløðini mjøllhvít
mjøllur	(sj.)rím, rímfrost,mjøllurin stendur á grasinum;sbr.bjøll
mjølmatur	matur úr mjøli(breyð, greyturo.s.fr.)
mjølsáð	flís av sáðu í mjøli,ikki var mjølsáðin í húsinum(als einki mjøl)
mjølsekkur	sekkur við mjøliel.til mjøl
mjølsløð	eitt sindur av mjøli
mjølstova	(gl.)(hjá bakara)rúm har ið mjøl varð goymt,teir dansaðu í mjølstovuni hjá bakaranum í Horni
mjølv	putur(t.d. til andlit)
mjølva	1stroya mjøl á2putra,grøðisteinur varð nýttur til at mjølva afturpartin á smábørnum við, fyri brent og eisini svullir;hvíta torvøsku nýttu tey fyrr at mjølva nýføðingi við3mjølva sundurberja í mjøl, mola sundur, morla, mylgra, mølva
mjølvutur	líkur mjøli, mjølkendur,turrur seiður smakkar væl, men tá skal hann helst vera mjølvutur;eplini vóru stór og mjølvut
mjørkabakki	tokubakki,mjørkabakki í havinum
mjørkabelti	langur og mjáur mjørkabakki
mjørkabrúgv	mjørkabakki, tokubakki,mjørkabrúgv í havsbrúnni
mjørkadagur	dagur við (summar)mjørka
mjørkadriv	driv (1) í mjørkaveðri
mjørkafloki	(stb.)mjørkaflóki
mjørkaflóki	flóki (1) av mjørka,tá koma mjørkaflókar og køva av
