n	(málfr.)hjáljóðsstavur (nevndur[ɛn:])
níta	pína 2, svíða (2)(helst um bráðkomna pínu),hetta neit sera meint;tað neit honum fast;tað neit henni í hjartaðel.at hjarta(num)
níti	talið 90, í rómv. tølum XC, xc, hálvfems, níggjuti
níting	bráðkomin stingur (3), stingandi pína(ið kemur og fer),hann misti ein fingur, men tað komu ofta ógvuligar nítingar í stumpin, sum eftir stóð
nítiundi	raðtal av níti, hálvfemsinstjúgundi, nummar níti
nítjan	talið 19, í rómv. tølum XIX, xix
nítjandi	raðtal av nítjan, nummar nítjan
níva	1trýsta fast (niður á),níva niður á;níva e-nel.e-t niður;stíg fast og nív niðurá fót fyri fót;(flutt m.)níva e-m e-t afturhevna, løna e-m e-t aftur2(um fisk)tyngja á (snøri),longan nívdi á;hann hevði ikki meir enn heintað, tá nívdi á sum stórur kalvi3(um skip)fara langt niður, seta 3(11),skipið nívdi so nógv niður frammi4(sj.)mýkja (1),níva roð5júka, jabba,situr og nívir og nívir6valda sorg, tregao.tíl., tyngja,tað er okkurt, ið nívir hann;nívandi tung toka;nívandi sorg, óttio.tíl.
njalla	(sj.)mjatla,situr og njallar
njalta	(sj.)mjatla,et nú, sit ikki og njalta og njalta
njarðarvøttur	(dj.)flokkur av svampum (1)(ofta líkur hond í skapi)(Porifera)
njella	1geva ilt av sær, deila 2,hon njellir og smellur um tað;njella sum ein geiturekiel.sum ein bikkja2glinta, bresta,tuflurnar njella á steinin;kjøtið var seigt og njelti undir tonnini
njetla	(stb.)mjatla, njalta
njogga	(sj.)mogga (1)
njóða	klinka 2(2), noða 2,njóða fyri;hevur tú njóðað í endan á hasum boltinum;sbr.noð
njóra	murra við fábroyttum lag,njóra skjaldur;hann njóraði lagið fyri henni
njósa	harðliga og óviljað lata luft út gjøgnum nøsina(av kitlan í rovuni el. krími)
njósagul	(sj.)lítið gul(ikki meir enn njósi)
njósarið	rið 1(1) av njósa, áhaldandi njósi, nosrið
njósi	tað at njósa,pipar elvir njósa
njóskaturrur	turrur sum njóskur, skróvturrur,hoyggið er so njóskaturt
njóskur	1slag av soppi (el.turrmodnaður viður) til at sláa eld í við tinnu og eldstáli, tundur (2),eldføri var njóskur, tinna og stál;turt sum njóskur(in)(um hoyggj)skróvturt2(stb.)svarðendi á torvu til at kyka við
njósn	frænir, fregn,fáa njósn um e-t
njósnan	tað at njósnast, njósning
njósnari	ein ið njósnast
njósnarsveinur	njósnari
njósnast	1sneyta, forvitnast,njósnast um e-t2í loyndum royna at útvega upplýsingart.d.í fremmandum landi(sum hava týdning fyri trygd, ídnað el.tíl.),njósnast fyri fremmant land;(bíbl.)Móses sendi tólv menn frammanundan til at njósnast og kanna landið
njósning	njósnan,hann varð dømdur 20 ára fongsul fyri njósning
njóstur	(stb.)njóskur
njóta	1hava gagn, gleðiel.nyttu av,njóta blíðskap;hann neyt gott av hennara strevi;njóta lívið;njóta góðveðrið2fáa sær (at etael.drekka),hann beyð teimum inn at hvíla seg og at njóta eitt sindur;hann kann einki njóta av feitum mati(fær ilt av honum);mattrot var, og teir fingu tí so lítið at njóta, at teir liðu neyð;njóta rúsdrekka3verða fyri (e-m ringum),njóta iltverða fyri happinum, fáa ringa viðferð;njóta skaða av ormabiti;teir, ið skaðan høvdu notið, vóru ikki blíðir;njóta mein av e-m;(orðt.)ilt nýtst av illumilt veldur ilt;(kvæð.)ilt man eg av tær njóta;(orðt.)ilt nýtst av bráðræsiel.bræði,síbráðræsi,bræði
njótari	ein ið nýtur e-t
njótilsi	njóting
njóting	tað at njóta e-t
njótingarevni	evni notið til stimbursel.marglætis
njótra	1njóra,hon situr og njótrar eina gamla vísu2júka, jabba, meyla,oddamenninir sita og njótra og keglast
noð	1tann klinkaði endin á seymi, tað sum er kleimt niður av hamrinum, tað ið liggur út á rónna2tann hamraði endi á grótbori(av at verða ásligin við hamri)3(lækn.)beinpíkar á geislum og liðum(osteofyt)
noða1	tógvel.band vundið saman í knøtt,vinda í noða;sms. t.d.grón-,lokka-,para-,skipstroyggju-,snøris-
noða2	njóða,noða fyri (endan);loddið verður noðað av at knylla í klett á botni;grótborurin verður noðaður í ovara enda av sleggjuni(ovari endi verður kleimdur);noðastboyggjast saman(t.d. um egg á eggjarni og kant á metalplátu)
noðatrog	(stb.)trog til at hava noðu í
noðin	lí osb.noðin og snoðinvið ongum rukkum, snøggur og slættur
noðseymur	(bát.)bátsseymur til at klinka;sbr.rekseymur
nokk	1l hnóg mikið,nú er nokk;hava nokk av e-m;nokk um tað2hjivaleyst, helst,tað er nokk ikki mangur, ið ger honum tað eftir3hj:nokk sorættiliga;tað er nokk so langt síðani
nokkabjølgur	(bát.)(í segli)lítil bjølgur nær nokkanum(av vindi)
nokkapinnur	(gl.)(á rokki)pinnur settur fyri so at rokkahjólið loypur ikki fram av nokkanum
nokkaroytingur	k6(stb.)í osb. sumhann er eingin nokkaroytingur(eingin bloyta, einki ódugnadýr)
nokkasnúður	(gl.)ov nógvur snúður í tráði ið verður spunnin(so at hann kurlast);(flutt m.)koma upp í nokkasnúðurkoma upp í hurlivasa, fløkjast
nokkatræ	(gl.)(á rokki)træ upp úr rokkabeinki sum rokkaásurin er festur við, hálsur (10)
nokki1	(gl.)1krókur á endanum á handsnældu,komael.renna upp í nokkafløkjast, kurlast, verða av ongum2ásur 2(5) sum rokkahjólið melur á3(skip.,bát.)endi á ráel.bummi,úti á nokkanum
nokki2	(kvæð.)lítil bátur
nokksum	(sj.)nokk so,eg føli meg nokksum birgan
nokta	siga nei, sýta,nokta e-m e-t;nokta fyri e-m;atgongd noktað ørindaleysum(bannað);nokta e-m bøn(tað sum ein biður um),sjáldan hevur nakar tykkara noktað mær bøn;sms. t.d.av-,tvør-
noktan	tað at nokta, sýting
-nol	síhoy-
nola	(kortsp.)(tá ið øll melda pass og fáa so fá stikk sum gjørligtt.d.í vist)
-nolla	síó-
nom	sínæmur
nomin	sínema
nomisligt	l h1uttanhanda, óhent, snópið,tað er so nomisligt at skula út at læna;tað er nomisligt einki at eiga inni, tá ið fólk kemur2sum vantar í, ið ikki røkkur til, kollut (5),tað er so nomisligt ikki at kunna svara, tá ið onkur spyr
-nor	síav-
norð	norður(eftir),hon skuldi norð um fjørð;ríð tú bæði niður og norð,síniður
norðan-	sms. t.d.-alda,-brim,-brot,-lot,-ódn,-regn,-stormur,-æl
norðan1	1norðurætt, norðanvindur,norðan er góð ætt hjá okkum2í ein norðaní norðurætt, móti norðri
norðan2	1úr norðri, úr norðanætt, norðaneftir, norðanífrá,vindurin er norðan;hann er norðan (í ættini)(norðurætt, norðanvindur);landnyrðingur norðanætt millum landnyrðing og norðan;útnyrðingur norðanætt millum útnyrðing og norðan2norðarumegin, í norðara parti,norðan fyriel.fyri norðan (e-t)norður úr (e-m);norðan fyriel.fyri norðan Føroyar;londini fyri norðan(í norðara parti av heiminum, norðanfyri);eitt fransaskip lá fyri norðan(norðan fyri Føroyar);hon er norðan av landi(ættað norðaneftir);hann hevði konu norðan úr Saksun3fsnorðan fyri,norðan Hús;norðan Skarð
norðanbátur	bátur norðan av landiel.oynniel.tíl.
norðandagur	dagur við (tráum) norðanvindi,illfýsnir norðandagar
norðaneftir	úr norðri (móti suðri), norðan 2(1), norðanífrá,teir komu norðaneftir;hann er norðaneftirel.hann stendur norðaneftir(ikki beinur norðan men harum);ein drongur norðaneftir(ættaður norðan av landi)
norðanfjørðs	norðan fyri Skopunarfjørð
norðanfólk	fólk norðaneftirel.norðanfyri
norðanfyri	fyri norðan, norðantil, norðarlaga,skipini royna norðanfyri;norðanfyri á oynni eigur nógvur lomvigi
norðanífrá	norðaneftir
Norðanland	Norðurland
norðanlendis	norðanfyri, fyri norðan(í landinum)
norðanmaður	maður norðaneftir (t.d.í Føroyum)
norðanmál	1mál(føri) talað norðuri á landi (í Føroyum),hann tosar norðanmál2norðurlendskt mál
norðantil	tímegin ið vendir norðureftir, á norðaru síðu, fyri norðan, móti norðri, norðanfyri, norðuri, norðarumegin, norðarlaga,norðantil á oynni;norðantil á fjallinum
norðanvert	norðanfyri, norðantil,norðanvert á eiðinum;norðanvert við (e-t/e-n)(eitt sindurel.stutt norðan fyri)
norðanvindur	vindur norðan(eftir)
norðari	longri norðuri
norðarlaga	(á staðiel.øki) heldur langt norðuri,vit vóru nakað norðarlaga á
norðarumegin	á norðursíðuni (á), norðantil, norðanfyri
norðast	longst norðuri
norðastur	longst norðuri
norðbingur	fólk íel.úr býlinginum norður á Bø (á Sandi)
norðbúgvi	fólk íel.úr Norðurlondum
Norðdepil	(stn.)bygd í Borðoynni,í/úr Norðdepli,til Norðdepils
norðdepilsmaður	maður íel.úr Norðdepli, oyrarmaður (3)
norðeftir	norðureftir
Norðhavið	(stn.)havið norðan fyri Føroyar(har ið roynt verður eftir várfiski)
Norðkollur	(stn.)partar av Noregi, Svøríki og Finnlandi norðan fyri pólkringin
norðleiki	norðurleiki
Norðlond	(sj.)Norðurlond
norðlýsi	(stjfr.)blaktrandi ljós á náttarhimlinum á norðaru leiðunum(tá ið myrkt er),Norðlýsiðnavn á blaði;sbr.suðurlýsi,pólalýsi
norðmaður	1fólk íel.úr Noregi2norskt skip,nógvir norðmenn lógu inni á Fuglafirði3(gl.)norðmaðurin:norska útvarpið,hvat segði norðmaðurin?hvørji vóru tíðindini og veðurtíðindini í norska útvarpinum(ta tíðina føroyingar lurtaðu nógv eftir norskum útvarpi)
norðmannagrind	(gl.)stórhvalatvøst av hvalastøð ið norðmenn róku í Føroyum
Norðoyggjar	(stn.)Norðuroyggjar
norðoyingur	1fólk íel.úr Norðuroyggjum2(Suð.)fólk norðan fyri Suðuroyarfjørð
norðoyrarmaður	maður áel.av Norðoyri, oyrarmaður (2)
Norðoyri	(stn.)bygd í Borðoynni,á/av Norðoyri;til Norðoyrar
norðpólur	(landafr.)norðasta punkt á jørðini,móts.suðurpólur,tann landafrøðiligi norðpólurintað norðasta punktið hjá jarðarásinum;tann magnetiski norðpólurinpunkt ið kumpasnálin peikar ímóti
norðradalsmaður	maður íel.úr Norðradali
Norðradalur	(stn.)bygd í Suðurstreymoy,í/úr Norðradali,til Norðradals
Norðragøta	(stn.)bygd í Eysturoynni,í/úr Norðragøtu,til Norðragøtu
norðragøtumaður	maður íel.úr Norðragøtu
norðri	norðuri, norður 2(2),norðri í Fugloy
Norðsjógvurin	(stn.)havið millum Bretlands og Danmarkar
norðskálamaður	maður viðel.frá Norðskála
Norðskáli	(stn.)bygd í Eysturoynni,við/frá Norðskála,til Norðskála
Norðstjørnan	(stjfr.)bjørt stjørna yvir norðpólinum(Stella polaris)
norðstoyttur	l39:norðstoytt høvdavatn,síhøvdavatn
Norðstreymoy	(stn.)norðari partur av Streymoynni(norðan fyri Hórisgøtu),í/úr Norðstreymoy
norðstreymoyingur	fólk íel.úr Norðstreymoy
norðstrik	(á kumpas)strik 2(2) ið vísir norðan
norðsveima	(dj.)slag av blómuflugu(Platycheirus podagratus)
norðtoftamaður	maður áel.av Norðtoftum, toftamaður (2)
Norðtoftir	(stn.)bygd í Borðoynni,á/av Norðtoftum,til Norðtoftir
norðtvigin	(um hár)tvigin meðan ein vendir andlitið norðureftir,norðtvigið hár,sínáttskorin
norður1	ein av teimum fýra høvuðsættunum,móts.suður,í norðri;frískur vindur av norðri(norðaneftir);móti norðri;hann rekur avel.á norðrihann rekur høgt, hann er norðan;á norðriá norðurætt;hann er farin at gula á norðri;í norðurnorðureftir;úr norðrinorðaneftir;sms. t.d.land-,út-
norður2	1móti norðri, norðureftir, norðurá,teir fóru norður eftir oyggj;norður á leiðina;húsini standa øll suður og norður(við endunum suður og norður);nú rekur norður(vestfall);norður til Fugloyar;norður um Fjørð(um Suðuroyarfjørð);norður við landi(num);eitt sindur ger norður, so gamli hevur suðurí við hvørt;far tú niður og norður,síniður2norðuri,norður við Gjógv
norðurá	(longri) norður 2, norðureftir, móti norðri,skipið vendi norðurá;vestfallið melur norðurá, inntil tað doyr burtur
norðurbreidd	(landafr.)breiddarstig norðan fyri miðkringin,móts.suðurbreidd
norðureftir	móti norðri, í ein norðan
norðurendi	norðari endi
norðurferð	ferð norðureftir
norðurflog	(sj.)tað at lundin flýgur norður við landi
norðurfyri	norður um (oyggjarenda),tað var brim sunnanfyri, tí fóru vit norðurfyri
norðurgerð	afturundirgerð ið rekur norður,nýkomið eystfall var, og norðurgerðin gekk inn á Vág
norðurgjørt	(um rák)farið at reka norður,norðurgjørt var á Mjóvanesi
norðurhallur	(um lendi)ið vendir norðureftir,norðurhallur hagi;sbr.suðurhallur
norðurhav	hav norðarlaga á jørðini,í norðurhøvum
norðurhálva	(landafr.)norðara hálva á jarðarknøttinum, norðara heimshálva,móts.suðurhálva
norðurheimur	norðari (norðasti) partur á heiminum,móts.suðurheimur
norðurhjálmsoppur	(plfr.)slag av hjálmsoppi(Galerina pseudomycenopsis)
norðuri	í norðara parti, fyri norðan, norðarlaga
norðurjarðtunga	(plfr.)slag av jarðtungu(Geoglossum starbaeckii)
Norðurland	1norðari partur á Íslandi,á Norðurlandinum2Norðurlondfelagsheiti fyri Danmørk, Noreg, Svøríki, Finnland, Áland, Ísland, Føroyar og Grønland,í Norðurlondum;Norðurlandahúsið í Føroyum
norðurlandamál	tungumál talað í Norðurlondum,føroyskt er eitt av norðurlandamálunum
Norðurlandaráðið	(stjm.)ráð (2) mannað av norðurlendskum politikarum(til at viðgera felags norðurlendsk viðurskifti)
norðurleiki	lega norðan fyri e-t(t.d.um ýti),norðleiki,lond um sama norðurleika sum Føroyar;Føroyar eru á 62° norðurleika(norðurbreidd);sbr.suðurleiki
norðurlendingur	fólk íel.úr einum av Norðurlondum
norðurlendskur	íel.úr Norðurlondum,tey norðurlendsku málini
Norðurlond	síNorðurland (2)
norðurmark	mark norðureftirel.ímóti norðri
Norðuroyggjar	(stn.)oyggjaflokkur norðast (og eystast) í Føroyum, Norðoyggjar
norðuroyingur	norðoyingur
norðurpartur	norðari partur
norðurpólur	norðpólur
norðurrák	rák (1) norðureftir, vestfall,móts.suðurrák
norðurrek	(stb.)norðurrák
norðurum	norður um e-t, yvir á norðaru síðu (á e-m), yvirum norðarumegin (e-t),hann var noyddur at flyta norðurum til at krógva seg
norðurvend	(sj.)(um rák)tað at venda norður,tað liggur í norðurvend í fjørðinum
norðurvent	sbr.suðurvent
norðurætt	vindur av norðri, norðanvindur
Noreg	eitt av Norðurlondum
Noregsland	Noreg
Noregur	(sj.)Noreg
normannari	(søg.)norðurlendskur víkingur sum herjaði í Onglandi og Norðurfraklandi í 900-árunum og sum búsettist har
norn	(gl.,átr.)norrøn gudinna fyri lagnu(tríggjar í tali),norna,(kvæð.)eingin gitur forðað tað, nornir leggja á
norna	norn,(skaldsk.)nornan spinnur lagnutráð
nornablettur	(stb.)nornaspor
nornadómur	dómur lagnunnar,so fell nornadómur, og hann broytist ikki
nornagestur	1(góðn.)tjaldur, gestur (2)2(stb.)ein ið ber seg undarliga at, serskøltur,hetta vóru tveir sannir nornagestir3Nornagesturpersónur í fornaldarsøgu (2);(kvæð.)Sjúrður og frægi Nornagestur
nornagreytur	(gl.)fyrsti greytur borin songarkonu(Sv)
nornaspjørr	gomul vánalig hetta(Sv)
nornaspor	hvítur blettur á nagli, nornablettur
Norra	Noreg
norrønur	1fornnorskur, forníslendskur(viðv. teirri gomlu vesturnorðurlendsku mentanini í Noregi, Íslandi og øðrum norskum niðursetulondum vestan hav),norrønt mál(fram tilo.u.1350 í Noregi ogo.u.1500 í Íslandi)2norðurlendskur,Norrøna felagið
norska	gera norskan,hetta kundi havt við sær, at føroyingar fóru at norskast;vandin fyri, at Føroyar vórðu norskaðar
norskidansur	(stb.)gamlaketa
norskur	íel.úr Noregi,norsktnorskt mál;sms. t.d.kav-,ný-
nos	1tað at njósa,hann gjørdi eitt hart nos2bráðkomin stuttur og harður brestur(av illveðri, brotasjógviel.tíl.),tvey hørð nos, og so var báturin komin um tangan;báturin fekk eitt nos(ein skvamp);báturin gav eitt nos frá sær(spræn)3stutt og hørð fepursjúka4illsinnagleps,tað var eitt nos, hann gjørdi;sms. t.d.upp-
nosast	(stb.)høgga (4),har liggur ein kúvingakassi og nosast undan álingini
nosið	sínjósa
nosla	(stb.)gera nossligan, hampa (um),hann royndi at nosla um, men her verður bara grýtt og sipað
nosrið	áhaldandi njósi, njósarið
noss	(gl.)gripur, dýrgripur
nossa	eista
nossasúpan	skólpasúpan, purrusúpan
nossligur	reinur og vakur, væl hildin, prýðiligur,vilini skrædnaðu, so krovið var ikki nossligt at síggja;eitt nossligt lamb(prútt);áin var rein og nosslig;hj-liga
not	(handv.)foyra skorin í viðel.fresað í betong(til at fella e-t annað inní)
-not	av-
nota1	(plfr.)slekt í notuætt(Urtica);sms. t.d.brenni-,tvíbýlis-
nota2	(búsk.)uppgerð frá seljara til keypara um latna vøru, rokning
notið	sínjóta
notnadúkur	(sj.)dúkur (1) vovin av notutráði
notufirvaldur	(dj.)slag av firvaldi(ormveran á notum)(Vanessa urticae)
notusótt	(lækn.)húðsjúka við nógvum skriða voldt.d.av notum(urticaria)
notutráður	tráður gjørdur úr leggi av notu
notuætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Utricaceae)
november	11. mánaður í árinum, novembermánaður
novembermánaður	november
novembur	november
noyða	fremja við valdi, tvinga,noyða e-n (til at gera e-t);teir seldu jørð sína, tí at hungursneyðin noyddi teir;noyða niður í e-ngeva at etael.drekka móti vilja hansara,hann noyddi lýsið niður í seg;noyða e-t upp á e-nlata e-n fáa e-t móti vilja hansara,hví skalt tú noyða upp á hann, tá ið hann ikki vil hava?;hann noyðir seg at drekka;noyðastvera noyddurel.tvingaður,hann noyddist at fara;noyðast uppi á e-mvera e-m til byrði;tey vóru komin í egið búgv og noyddust ikki uppi á nøkrum;noyddurið noyðist,hann var noyddur at gevast
noyðsla	tað at noyðastel.vera noyddur,hann lurtaði ikki av noyðslu, men av huga
Nóa-ravnur	ravnur ið Nóa sendi úr ørkini,í osb.tað er sum at senda Nóa-ravn(um e-n ið er sendur ørindi og er leingi burtur)
nóðra	nyðra (4),nóðrur á luftini;sbr.terranóðrur
nóðrutur	nyðrutur,nóðrut luft
nóg	1í neyðuga stóran mun, í so stóran mun at tað røkkur,nóg stórur, gamal, sterkur;nóg mikið er av mati(ríkiligt, ivaleyst);nóg nógvur;nóg illaneyvan, valla2nóg soí so, heldur, ov,nú var vorðið nóg so seint;hann hevði fingið nóg so væl upp í høvdið(hevði fingið stíva kenning)3(stb.)í størri mun(framman fyri miðstig),nógv,nóg betri, verri;sjógvurin er nóg heitari;sbr.nógvur (2)
