R	rómv. taltekn fyri 80
rokdagur	dagur tá ið nógvur fiskur er at fáa,hann er sum murran rokdagar
rokfiska	(stb.)hava rokfiskiskap,skipini hava rokfiskað í seinastuni
rokfiskiskapur	óføra góður fiskiskapur,skipini høvdu rokfiskiskap
rokfundur	lívligurel.ófriðarligur fundur,politiskur rokfundur
roki	tað ið stendur upp um tromina á fyltum ílatit.d.leypi,hann setur altíð høgan roka;(tilt.)spar av rokanum, botnurin sparir seg sjálvur(tað ræður um at drýggja sær tað ið ein hevur)
rokilsi	1nógv rok(avt.d.dusti),hann gróv, so rokilsið stóð frá honum2hurlivasi, rok (4), rokan
rokin	sírúka
rokka1	(stb.)vinda saman í (ullar)rokkar
rokka2	dansa rokk 2
rokkaásur	ásur á rokki, nokki 1
rokkabonkur	strábonkur
rokkaduni	hurr av rokki,tað hevði verið ein hugni at hoyrt rokkadunan út í tún
rokkafelli	rokkaslá,eitt rokkafelli, ið neglt var upp á bróstið
rokkafingur	spinningarfingur
rokkagjørð	gjørð á rokkahjóli
rokkahali	(stb.)tað sum varð sett niður í rokkaslá til at seta rokkahjólið á
rokkahjarta	hjarta (7) á rokkahjóli(miðjan á hjólinum ið snýst um ásin)
rokkahjól	hjól á rokki(við hjarta, snældum og gjørð)
rokkanagli	ásur 2(5) sum rokkahjarta snýst um, nokki 1(2)
rokkanokki	nokki 1(2) á rokki, rokkaásur
rokkari	limur í brotsmannaharkaliði(oftaí leðurklæðum, koyrir á motorsúkklu og fremur harðskap),rokkararnir standa aftan fyri stóran part av hassjmarknaðinum
rokkaslá	haldari (tveir klamparel.húni) á brósti til at festa rokkaásin í, rokkhald, rokkafelli
rokkasnælda	snælda í rokkahjóli
rokkastrá	strá (3) á rokki
rokkastrongur	strongur um rokkahjól og tortil,rokkastrongur skal helst verða spunnin úr síðari hálsull
rokkavi	1fínur, turrur kavi sum rýkur, murrukavi2jarðrok
rokkbólkur	(tónl.)bólkur (4) ið spælir rokk 2
rokkendur	ið rokast, rokmikil, rokutur,vásarbeiði, sum eigur at verða latið grovligari og rokkendari monnum upp í hendur
rokkhald	rokkaslá, rokkafelli
rokkin	sírøkka
rokkorkestur	(tónl.)orkestur ið spælir rokk 2
rokktónleikur	(tónl.)rokkur 2
rokkur1	1tól at spinna á(við hjóli og snældu),serst.hjólrokkur,roykstovan var so stór, at har gingu seks rokkar í senn;pápi tykkara er farin í rokkin at spinna;pápin stóð í rokkinum og spann tað seinasta av tónum;hann fór ikki úr rokkinumhann gavst ikki at spinna(um óblíðan mann),saðla rokkinsísaðla (3)2(stb.)karðavilli,snara saman í rokkar3rokkarnirbindingarmynstur(HMD Bindm.37)4(skemt.)stórt skegg,tað var tann rokkurin, hann hevði5(stjfr.)Rokkur Mariu(sj.)Mariurokkur;sms. t.d.fjaðra-,fóta-,hjól-,skot-,spola-,ullar-,veður-
rokkur2	(tónl.)1harður tónleikur við stevføstum ljóðfalli,spæla rokk2dansur eftir slíkum tónleiki[en.rock]
rokmaður	(sjóm.)óførur maðurt.d.skipari ið fær nógvan fisk;sbr.rokskipari
rokmikil	1ógvuliga skundin, ferðmikil,hvar fert tú so rokmikil?2harðligur, ófriðarligur, rokutur,so verður eldgosið ein rokmikil brestur;ein rokmikil stórstaður
rokna	1(støddfr.)finna ókend tøl við kendum tølum(eftir ávísum reglum),rokna roknidømiel.roknistykki;rokna í høvdinum(uttan at nýta blýantel.annað hjálparamboð);rokna (e-t) út2telja, reksa,rokna upp;rokna upp í(telja við í)3meta, halda, ætla,eg rokni meg lukkuligan;hann roknaði seg fyri føroying;rokna við e-mvænta,vit kunnu ikki rokna við honum
roknari	(støddfr.)(lítið) tól at rokna við, roknimaskina
rokniark	(teld.)uppseting og útrokning í teldu(við sjálvvirknari dagføring av úrslitum, m.a. nýtt í grannskoðan)
rokniarksforrit	(teld.)forrit til rokniark
roknibók	(skúl.)lærubók í rokning
roknideild	(støddfr.,sj.)rokningarháttur,roknideildirnar eru fýra
roknidømi	(støddfr.)roknistykki
roknihefti	(skúl.)hefti til at rokna í
roknikønur	kønur í rokning
roknilærari	(skúl.)lærari í rokning
roknimaskina	ravmagnstól at rokna við, roknari;sbr.lummaroknari
roknimeistari	ein ið er kønurel.kringur í rokning
rokning	1(støddfr.)tað at rokna (1)2skrivligt kravel.uppgerð um skuld,gjalda rokningar3(búsk.)sundurliðað (bókhalds)skjal viðv. vørum og tænastum4(búsk.)konto(ít.d.banka)5(gl.,bíbl.)roknskapur,gera rokning;sms. t.d.av-,fimis-,greiðslu-,grinda-,líkinda-,út-
rokningarháttur	(støddfr.)høvuðsháttur í rokning,teir fýra rokningarhættirnir
roknistokkur	(støddfr.)amboð til at rokna við(í líki sum strikusneis við flytandi parti)
roknistykki	(støddfr.)dømiel.uppgáva í rokning, roknidømi
roknitalva	(støddfr.)talva (3) at rokna eftir, tabell
roknitími	(skúl.)skúlatími við rokning (1) sum lærugrein
roknivilla	(støddfr.)villa í rokning, misrokning
roknskaparár	(búsk.)ár 2 sum roknskapur fevnir um,roknskaparárið er álmanakkaárið
roknskaparbók	(búsk.)bók til roknskaparhald
roknskapardagur	(búsk.)dagur tá ið roknskapur verður hildin,við roknskapardegnum í huga skulu vit í heilum rannsaka samvitsku okkara
roknskaparførsla	(búsk.)tað at føra roknskap, roknskaparhald
roknskapargrannskoðari	(búsk.)ein ið grannskoðar roknskap
roknskaparhald	(búsk.)tað at halda roknskap, roknskaparførsla, bókhald
roknskaparlok	(búsk.)endi á roknskapiel.roknskaparári
roknskaparmaður	(búsk.)maður ið heldur roknskap, bókhaldari
roknskaparskylda	(búsk.)skylda til at halda roknskap
roknskaparskyldigur	(búsk.)ið hevur roknskaparskyldu
roknskapur	(búsk.)1starvsgrein í fyritøkuel.lærugrein í skúla2búskaparlig uppgerð av framdum virksemi(greind í inntøku, kostnað, ogn, skuld og eginpening)el.av øðrum búskaparligum viðurskiftum(t.d.gjaldføri og arbeiði í gerð),haldael.føra roknskap
rokódn	kolandi ódn
roks	1(óneyðugar og dreivutar) fyrireikingar, pjak, stákan,ofta varð lítið roks gjørt úr matinum2møsn, suss, tvætl,roks og koks;roks í teg!3eitt ið roksar illa, roksut fólk, (eitt) møsn, vøs (3),tú ert eitt verri roks
roksa	1stákast (óneyðuga), pjakast, fjasast,roksa(st) fyri e-m;hann fór at roksast við byggingina2sussa 2,situr og roksar og aldri tigur
roksandur	foksandur,vestari endi á oynni (Jersey) er roksandur og lyngheiðar
roksimalena	(skemt.)kvinna ið roksar heldur nógv,tú ert ein verri roksimalena
rokskip	(sjóm.)skip sum fær nógvan fisk
rokskipari	skipari ið er óførur at fáa fisk
roksl	stákan framman undan ferð(Sv)
rokstormur	kolandi stormur
roksutur	1pjakutur, seinførur, drálutur,hon er so roksut og verður ongantíð útskavað2ið roksar illa, møsnutur,smágenturnar eru so roksutar
roktíð	trokingartíð
roktjúkn	tjúkn av kavaroki
roktúrur	túrur (2) við rokfiskiskapi
rokutur	ið rokast nógv, rokmikil, umripiligur
rokveður	ringt veður við roki
rokveiða	rokfiskiskapur
rokvika	vika við rokfiskiskapi,teir høvdu eina sovorðna rokviku
rolla1	1langt skriv,tað er ein rolla, tú hevur skrivað2reksa,ein long rolla
rolla2	(gl.)rokna upp, reksa,rolla upp
rom	síramur
romantikari	1ein ið er hugaður fyri romantikk2romantiskur persónur
romantikk	1lista- og bókmentastevna við høvuðsdenti á kenslum, hugflogi og frælsi einstaklingsins,romantikkin kyknaði síðst í 18. øld og sá samtíðina og serliga býarlívið sum spilt og tilafturskomið samanborið við fortíðina, tá ið menniskjuni livdu í samljóði við alheimin;ein grein av romantikkini er tjóðskaparromantikkin2veruleikaflótti, hugsveiman
romantikkur	romantikk
romantiskur	1viðv. romantikk,romantiskur skaldskapur2kensluligur,romantisk kærleikasøga
romm	brennivín av rørsukri
rommfløska	fløska av rommi
rommum	sbr.rammi
rond	1strípa, strika, rípa(serst. á tvøran á plaggi),sbr.rondutur,tólv-trettan rendur í bulin høvdu tey tá, nú hava tey einar sjey-átta;svartur bátur við hvítari rond(striku eftir rimini)2kantur, jaðari (bundin rangt og rætt)(serst. ovast á hosuel.sokki og niðast á troyggju)3(kvæð.)skjøldur (1),ið væl kann randir rjóða,sírjóða4(talv)uttastu puntarnir (1) á talvborði;sms. t.d.fasta-,kápu-,leysa-,sorgar-
rondingur	(dj.)prestafluga
rondutur	(um plagg)við rondum (tvørturum),rondut troyggja;rondutur sum ein skurií rondutum klæðum(í tátti);í rondutum brókum;sms. t.d.heil-,hvít-
rong	(bát.)sessur frammiel.aftur í skut,frammi í rong,aftur í rong;(skaldsk.)løgtingið rykt er frá stýri aftan úr rong;sms. t.d.bak-,fram-
rongutoft	(bát.)sessur bakborðsmegin á toftubekki,á rongutoft
ront	tað at ronta, møsn, roks,geylið og rontið úr dansistovuni
ronta	(Suð.)1møsna, roksa2(niðr.)kvøða(ikki hart),murra,hoyr, nú fer hann at ronta;hann hevur ligið og rontað allan dagin(murrað og kvøðið)
rontra	(Suð.)ronta,hon sat og rontraði og sleyggjaði
rop	luft ið stoytist úr maga upp í munn(við serstøkum fylgiljóði),tað at ropa
ropa	1geva rop frá sær2(sj.,stb.)gorra
ropi	rop
ropp	í osb. sumliggja uppi á roppi(um stein)liggja og ridla(í grótlaðing)
roppa1	(sj.)áturoppa(um konufólk),hatta er ein roppa
roppa2	eta grammliga, skræða í seg
roppur	(gl.)tjúkt togel.snøri
rosina	turkað vínber
rosinubreyð	hveitibreyð við rosinum
rosinukøka	køka við rosinum
ross	1(dj.)samnevni (1) fyri hest og ryssu(Equus caballus),tey føroysku rossini er smá og kná;hann etur, sum ross bryður tongul(óstortsliga);standa sum bitið ross(nipin, ráðaleysur);(tilt.)fátt er tað, ið rossinum heldur(um børn sum skræða klæðini);sbr.hors2(flutt m.)eitt beist, eitt óreint,rossið tað!3(flutt m.)sterkur maður,hann er eitt ross (til styrki)4(stb.)klumpur í greyti, keki;sbr.mjølhestur;sms. t.d.asna-,bítara-,brótara-,brúks-,burðar-,garð-,klyvja-,plóg-,reiðingar-,ríðingar-,sleipi-,slit-,tongla-,torv-,ung-
rossabak	hestbak,hann ferðaðist á rossabaki(ríðandi)
rossabarn	sbr.rossadrongur
rossabásur	básur til ross
rossabein	bein av rossi,rossabein flyta seg í jørðini(RKR Heimaráð21)
rossaber	(plfr.)slekt í rósuætt, reyðber(Rubus);sms.kletta-
rossabit	(stb.)klíp í lærið við bugfullari hondini, lærsmarra,geva e-m rossabit
rossabjølgur	skinn havt undir mettu 2 á klyvjarossi
rossablomstur	(plfr.,stb.)túvublóma
rossadrongur	1drongur ið reiddi(t.d. torv)2hestasveinur
rossafaks	faks av rossi,reip av rossafaksi
rossafetil	samnevni (1) á lærfetli og bringufetli,bringufetil er rossafetil, sum liggur um bringuna
rossafjós	hestastallur
rossaflís	tjúkk breyðflís, garðaflís, argjaflís, sumbiarflís, tjørnuvíksflís
rossaflokkur	flokkur av rossum
rossafloti	(Sa.)rossaflokkur
rossafluga	(dj.)útl. bitfluga(Gastrophilus)
rossafrælsi	frælsi (2) undir eitt ross,eitt rossafrælsi samsvarar sjey ærfrælsum
rossagron	rossaskon;rossagroninbindingarmynstur(HMD Bindm.23)
rossagryvja	djúp rás traðkað av klyvjarossum, rossagrøv
rossagrøv	rossagryvja
rossagøta	1gøta til at reiða 3 eftir2rossagøtanrossagronin(bindingarmynstur)
rossahaft	h5(stb.)í osb. sumliggur og rekst sum rossahaft(um órudd)
rossahald	(bún.)tað at halda ross
rossahandil	(stjm.,skemt.)óheiðurligur býtishandilt.d.millum politikarar(tænasta fyri tænastu til egnan fyrimun)
rossahold	ringt gróðrarhold,hatta hevur rossahold(tað grør illa aftur hjá rossi)
rossahoyggj	hoyggj til ross
rossahógvur	1hógvur á rossi2(plfr.)lodnaskøra(Sv)
rossahúð	húð av rossi,av rossahúð varð ullin hærd
rossahús	hestahús, rossafjós, hestastallur,(kvæð.)Katrin gongur í rossahús
rossahøvd	høvd áel.av rossi
rossajøkil	hagi avetin av rossum;sbr.jøkil (3)
rossakempa	(Nóls.)kjálkabein av rossi,síkempa 2
rossakjøt	kjøt av rossi,tann, ið etur rossakjøt, fær reyða nøsel.verður smolturskotin í andlitinum;so virðismikil rossamergur varð hildin at vera, so vanvirt var rossakjøt(RKR Heimaráð);(stb.)hann hevur etið rossakjøt(sagt um e-n ið skurraði (2))
rossaklæði(r)	týggi til klyvjaross
rossakreftir	góðar kreftir, kropsevni, kropsstyrki,hann hevur rossakreftir(sterkur at bera)
rossakroppur	k9í osb.leggjastel.detta á rossakroppfara ørindi og koma seint aftur;nú er hann mestur lagsturel.dottin á rossakropp;nú legðist tú á rossakropp
rossalið	lið á bøgarði sum klyvjaross kundi fara ígjøgnum
rossaligur	(gl.)tungur á sær, klombrutur, trumsutur
rossalív	vána lív, hundalív (1),tað var eitt rossalív at vera kokkur
rossalortur	lortur undan rossi, pantalortur
rossalær	lær áel.av rossi,armarnir vóru sum rossalør(tjúkkir)
rossamakrelur	(fisk.)slag av makreli(Trachurus trachurus)
rossamergur	mergur av rossi(áður nýttur til at gníggja uppá fyri gø, gikto.tíl.)
rossametta	metta 2 at leggja undir klyvbera
rossamua	(barn.)1ross, hestamua2geislamua(at reiða moldo.a.á)
rossapantur	(stb.)rossalortur
rossarak	rak sum kann koma í ross á vári,ringasta rossarakið var á halvarðsøku(tey toldu ikki gróður);rossarakið bøtist ikkirossið fæst ikki at draga hold á seg aftur;fara í rossaraki;doyggja í rossaraki(um fólk)doyggja í hungri
rossaríva	(bún.)ríva drigin av rossi
rossaræ	ræ av rossi
rossarækja	(dj.)slag av rækju(Crangon)
rossaskipan	(gl.)skipan av rossum,gomul rossaskipan var eitt ross upp á mørkina
rossaskittur	rossalortur(fínari at siga)
rossaskon	skon á rossi, rossagron;(stb.)hatta gongur upp á rossaskon(tá ið menn høgga gadd (leir) og teir fylla ikki nóg væl upp fyri fótinum á beninum)
rossaskrelja	skrelja 1 til at styggja ross burtur av bønum við
rossaslag	slag av rossi
rossaslóð	slóð av rossum
rossaspor	spor av rossi,ikki standa (stíga, vallael.næla) upp úr rossasporivera pinkulítil(um smábarnel.lágvaksið fólk)
rossatár	følsk tár feld av kávalæti, tað at látast at gráta,gráta rossatár[da.krokodilletårer]
rossatjógv	tjógv av rossi,(kvæð.)Viljormur sló við rossatjónum
rossatógv	faks(Sv)
rossatraðk	slóðel.øki ið ross hevur traðkað upp
rossatrøð	innstikað beiti til ross
rossatunga	(plfr.)slekt í rísinbløðkuætt(Mertensia);sms.sævar-
rossatýggi(r)	rossatýggj
rossatýggj	týggj til ross
rossatøð	tøð undan rossum
rossavað	(stn.)vað 1 hjá klyvjarossum
rossavagnur	rossavognur
rossavognur	vognur drigin av rossi, hestavognur, rossvognur
rossbond	læraband og bróstband hjá klyvjarossi
rossleypur	leypur borin av klyvjarossi(ein hvørjumegin),einir rossleypar;rossleypur er 18 kannubarar;skinklar sum gamal rossleypur(um e-t lasafarið),skjótast úr horni sum rossleypur;har vóru settir rossleypar fýra ferðir tólv(háðandi um løgrættumenninar, í Fuglakvæðinum)
rosslær	rossalær,leggir sum rosslør(tjúkkir)
rossmaður	(fólktr.)sagnvera ið er maður fyri oman og ross fyri niðan(kentauros)
rossvognur	rossavognur
rostla	(upprfr.)->roðsla;sbr.reistla
rot1	1tað at rotnael.vera rotin, spilla 1, rotinskapur,rot er í eplunum;eitt sár, sum rot var komið í2áhaldandi vátveður, rota 1(1), rotveður;sms.rak-,slokka-
rot2	fall, døttur;í osb. sumrennael.ganga e-n í rot(um koll);renna seg í rotovmøða seg;fara á rot(sj.,stb.)glíða og bólta;sms.av-
rot3	tað at rjóta, snork, snorkan,rotini eru ófør á teimum;teir hoyrdu rotini
rota1	1áhaldandi vátveður, tíðarbil við rot(u)veðri, lýtt og tungt mjørkaveður,ólavsøkuroturvátveður um ólavsøkutíð2(sj.)e-t rotið, rot 1(1),rotan varð skavað av skinnunum
rota2	1fáa til at rotna, lata rotna,rota skinnlata ullina rotna av seyðaskinni;seyðaføtur vórðu lagdir at rota(so at ullin losnaði, havdir til súpanarbót);rota gron,sígron (4)2(stb.)sláa so at strá og loppar standa eftir(illa sligið);sms.neyð-
rotabukka	(niðr.,sjóm.)gamalt og rotið skip, eyrsáld, danga 1
rotaglotti	(stb.)rotugluggi
rotagron	(sj.)ein sum svevur út á morgunin, svøvnhít;sbr.rota gron
rotbakteria	(lívfr.)bakteria ið veldur rot
rotfríur	fríur við rot, óspiltur, frískur (2),viðurin var rotfríur enn
rotgluggi	(stb.)rotugluggi, rotaglotti
rotin	1(um lívrunnan vevnað)farin at loysast sundur(av rotbakterium),rotnaður, spiltur, fúgvin, fúnaður,er stikulin rotin(t.e.endar í travsum),skerst lambið væl;(orðt.)rotið er snart brotiðtað ið veikt er tolir ikki nógv av;rotið grótgrót ið lættliga molnar2illa útborin á morgni,sbr.rota gron;sms. t.d.bukta-,kav-,rak-,royk-
roting	tað at rota(t.d.seyðaføtur)
rotingur	(stb.)rotveður, lýregn, rota 1(1), rot 1(2)
rotinskapur	1rot2siðaspilla, spilling (2)
rotna	gerast rotin, spillast, fúna,(gáta)liggur í á og ikki rotnar, fer fyri berg og ikki brotnar(ælabogin)
rotplanta	(plfr.)plantat.d.soppur ið livir á plantu-el.djóraræ[da.saprofyt]
rotroykur	roykur (2) av roti
rotsoppur	(plfr.)soppur ið grør á e-m rotnum;sbr.rotplanta
rotta	(dj.)gnagdýr av músaætt, vanligt skaðadýr(Rattus),(tilt.)sum rotta, ið dregur í reiður(um e-n ið dregur alt saman);sms. t.d.bjarga-,haga-,hús-
rottangi	tangi 2 har sum skarno.a.verður latið rotna[da.septiktank]
rottasíður	(sj.)í ringum lag, múlatrútin
rottueitur	eitur til at oyða rottur við, rottukrút
rottuetin	etinel.gnagaður av rottu,tað sá út sum rottuetið(um segl gatað av týskum kúlum)
rottufella	fella 1 til at fanga rottur í
rottufelli	(Suð.,sj.)rottufella
rottufríur	fríur fyri rottur,leirvíkingar gróvu flag á Blankskála at leggja á tekjuna, tí so skuldi hon verða rottufrí
rottuhali	1hali á rottu2smøl spísk sag, stikksag (1)3hár bundið saman við vangan(tveir í tali, serst. hjá smágentum);sbr.hestahali4(stb.)snor ið hongur niður úr nøsini;sbr.snorhespa
rottuhola	hola hjá rottu
rottukattur	(dj.)kattur góður at fanga rottur
rottukrút	rottueitur
rottuoyðing	tað at (royna at) oyða rottur(við at leggja út eitur)
rottur	1trýni, múli,við sínum síða rotti(í tátti);sbr.rottasíður2ringt lag,nú er rottur á honum
rottureiður	reiðurel.bøli hjá rottu
rottutang	(stb.)óetandi tang,brast ikki í tanginum, tá ið tú boygdi tað, varð tað kallað rottutang og roknað fyri óetandi
rottutrónur	(fisk.)djúphavsfiskur av toskaætt(livir í køldum sjógvi)(Antimora rostrata)
rottutýning	tað at týna rottur, rottuoyðing
rottuungi	(dj.)ungi hjá rottu
rotubukka	(sj.)rotabukka, danga
rotuglottur	rotugluggi
rotugluggi	sólargluggi í óterraveðri, rotuglottur, rotaglotti, rotgluggi
rotuhúðarskógvur	(gl.)skógvur úr rotaðari húð(ikki rakaðari),hann var altíð altarsskrýddur í vælbarkaðum rotuhúðarskóm
roturoð	roð sum ullin er rotað av(m.a. nýtt til skógvar og klæði),móts.rakaroð,barka roturoð;biðiskinnið er av roturoð
roturoðskógvur	rotuskógvur
