U,u1	1málljóð2bókstavur
unde	1unna (einum eitt);jeg kunne u. ham en bedrestillingeg hevði unnað honum eitt betri starv;duunder ham nok ikke den lille glædetú unnar honum ikki so frægt;u. sig madrogeva sær matnáðir;det er dig vel undttað er tær væl unt,(niðr.)fast taki tær, fast standi á tær, illans komi tær aftur2nenna, fáa seg til, troysta sær;ikke u. sig at...ikki nenna sær at
undecim	(tónl.)ellivund
under-	um slíkt, ið er undir miðal; í smstunderbegavet,undermåler;(í tignum)underdirektør,underforvalter
under1	(borið fram við ongum stoyti)(st.) underkrydder,undertvebakundirkryddari, undirkarvingur
under2	undur, undurverk, kraftagerð, tekin, furða(t.d.tað er mikil furða);Jesus gjorde mange undereJesus gjørdi mong undurverk;det er et u., at hun slapfra ulykken med livet i beholdtað er eitt undur, at hon slapp frá vanlukkuni við lívinum;det er intetu., at hun hader digei undur(el.dáni) í, at hon hatar teg (at hon hevur kastað hatur á teg, at hon er ill við tegel.óð inn á teg); er tað løgið, at henni ikki dámar teg
under3	1(viðv.staði);være u. overfladenvera undir;hanbor i lejligheden u. oshann býr í íbúðini undir okkum;banke u. bordethava orðið á (einum);krybe frem u. bordetkrúpa út undan borðinum;bolden trillede u. bordetbólturin rullaði undir borðið;bolden ligger u. bordetbólturin liggur undir borðinum;svømme u. vandetsvimja undir vatninum;gå u.kava, søkka, farast, fara av knóranum;kælderen er u. vandkjallarin stendur undir í vatni;ned u. overfladenundir kav;tænd u.kartoflerneset eplini útá;sætte sit navn u. enkontraktskriva undir sáttmála;skibet gik u.skipið fórst(el.sakk);skibet gik ind u. landskipið fór inn undir land;her stikker noget u.sístikkeB 4; hanhar 30 mand u. sighann hevur 30 mennel.mans) undir sær;gården hører u. Gavnøgarðurin hoyrir til Gavnø;hvalen hører u.(el.til) pattedyrenehvalurin er súgdýr, hvalurin hoyrir upp í súgdýrini;han gik en klasse u. oshann gekk ein flokk niðan fyri okkum2(viðv.tíð);u. min sygdommeðan eg var sjúkur;han døde u. krigenhann doyði í krígsárunum;han levede u. den franskerevolutionhann livdi í fronsku kollveltingartíðini;hen u. aftenmóti kvøldi;u. (t.e.tann)1. maj er NN udnævnt til ridder afDannebrogordenentann 1. mai er NN tilnevndur riddari av Danabrók(el.Dannebrog)
underafdeling	undirdeild, undirbólkur
underafkøle	undirkøla;underafkøletundirkøldur
underafkøling	undirkøling
underansigt	undirandlit, niðari partur av andliti
underarm	(likam.) undirarmur, armur niðan fyri alboga(móts.armur oman fyri alboga)
underarmsben	(likam.) leggur í armi niðan fyri alboga (albogaleggur og sperruleggur)
underart	undirslag
underbalance	(bú.) hall, rakstrarhall
underbar	undurfullur, undursamur, undurbarur, undranarverdur
underbefolket	fábýlt, ótætt bygdur, mannlítil, undirfólkaður, fámentur
underbegavet	hálvbýttur, sum hevur lítið til, fávitskutur; (toppa)smalur, tollutur,(skemt.)har er lágt millum sylla(r) (hjá honum)
underbeklædning	undirklæði(r)
underbelyse	(lmynd.) undirlýsa;underbelystundirlýstur
underbelysning	undirlýsing
underbemande	seta ov lítla manning;være underbemandetvera ov illa mannaður
underbemanding	tað at vera ov illa mannaður
underben	(frá knæi til økilin) leggur;udvendige side af u.uttanleggja
underbenklæder	undirbuksur, trussur
underbeskæftigelse	ov lítil manning, ov fá fólk í vinnu
underbeskæftiget	sum ikki hevur fullan arbeiðsdag
underbetale	gjaldaelrinda ov lítið;fremstillet af underbetalte arbejderegjørdur av arbeiðsmonnum, ið fáa ov lága løn
underbetaling	tað at gjaldael.rinda ov lága løn; lønartrýst
underbetræk	klæði(el.klæðing) á sofukodda fyri aftan
underbevidst	ótilvitandi, ótilvitaður, ómedvitandi, ómedvitaður
underbevidsthed	(sálfr.) undirvitska, ótilvitskan, dulvit, loynivitska;glemte barndomsoplevelser dukkede op fra hans u.gloymdar barndómshendingar runnu fram fyri hann
underbid	undirbit
underbilag	undirskjal
underbinde	(lækn.) binda fyri(t.d.æðr)
underbinding	(lækn.) tað at binda uppel.fyri
underbjælke	(byggl.) undirsyll
underbo	fólk, ið býr í íbúð í hæddini niðriundir
underbud	lægri boð, undirboð
underbukser	(gl.) undirbuksur, trussur
underbyde	(bú.) bjóða lægri, bjóða undir; selja bíligari (bjóða vøruel.tænastu fyri lægri prís enn aðrir; selja bíligari enn aðrir)
underbygge	laða uppundir;(serst.ífl.m.)byggja á, grunda (eitt) á;han underbyggede sine teorier med mange eksemplersína hugsan bar hann fram við nógvum dømum;som ikke kan underbyggessum einki hald er í;være dårligt underbyggetstanda veikur, vera vøkkult
underdanig	undirbrotligur, trælsligur, eyðmjúkur, undirgivin, eftirgevin, krúpandi, uppgávu-
underdanighed	tað at vera undirbrotligur, undirbrotligheit, undirgivni, uppgávulyndi, húskallalyndi, uppgávuhugur
underdejlig	undurfagur, undurvakur
underdel	undirpartur, niðari partur
underdimensionere	byggja ov smátt;maskinhallen viste sig hurtigtat være underdimensionerettað var skjótt greitt, at maskinhøllin var ov lítil
underdirektør	undirstjóri, varastjóri
underdog	1happafuglur; ein, ið er veikariel.verri fyri, og sum hini fara illa við2fólk, fótbóltsliðosfr.sum væntandi fer at vera við undirlutan
underdommer	undirdómari, hjálpardómari
underdreje	liggja bakk, liggja og andøva, liggja til;u. skibleggja bakk
underdrejet	(sigl.) ligge u. liggja bakk, liggja og andøva;skibet lå u. og red stormen afskipið lá bakk, meðan tað reið stormin av
underdreven	ov lítið avgjørdur
underdrive	gera ov lítið av,(tlm.)undirdríva
underdyne	undirdýna
underdæk	(sigl.) undirdekk
underdønning	(sigl.) djúpalda (alda undir vatnskorpuni)
undereksponere	undirlýsa
underekstremitet	(lækn.) gongulimur
underentreprise	sáttmáli við undirarbeiðstakara, undirentreprisa;give i u.framselja (lut í (verk)sáttmála) til undirarbeiðstakara
underernæret	hungraður, undirføddur,(serst.um neyt) rakføddur;være stærkt svækket af u.(um seyð) ríða á merginum
underernæring	føðslutrot; megurð;næsten død af u.hálvdeyður í hungri
underetage	niðasta hædd;Peter bor på 3. sal og iunderetagen bor viPetur býr á triðju hædd og vit búgva í(el.á) niðastu hædd(ini)
underfaktuering	tað at skriva lægri upphædd á rokning enn rætt er; síunderfaktuere
underfakturere	skriva lægri upphædd á rokning enn rætt er (fyri at svika í skattiel.tolli)
underfaldshjul	(tøkn.) undirfalshjól
underflade	niðursíða, undirflati, niðari flati, undirsíða, niðara síða;på isens u.undir ísinum
underforgrening	undirgreining
underforsikre	tryggja ov lágt, undirtryggja
underforsikring	undirtrygging, niðurtrygging
underforstå	undirskilja
underforståelse	eitt, ið er undirskilt; tigandi niðurstøða
underforstået	undirskildur
underfrankere	(postm.) posta ov lágt
underfrankeret	ov lágt postaður
underfuld	undurfullur, undursamur, undurmikil;der er etunderfuldt lys i grotteneitt undurfult ljós er inni í hellinum;et underfuldt synundursjón
underfundig	sniðfundigur, listilærdur, snúðiligur, snúðigur, snúgvin, snúin, snildur, besnissaður; við skálkabrosi; har okkurt býr undir; lúnskur, lúrin, lúnskin, útspekuleraður;et underfundigtsmilskálkabros
underfundighed	sniðfundni, sniðfundigheit
underføring	tað at leggja eitt(t.d.vatnveiting) undir okkurt;u.af kloakledning under en vejtað at leggja frárenning undir veg
undergang	1undirgangur, undirgongd, týning, skipbrot;(bíbl.)glatan;dette bliver din u.hetta kemur tær aftur um brekku, hatta veður tín deyð, hetta verður tær til fals;blive til u. for énkoma(el.verða) einum á bug;skibets u.tað at skipið ferst;jordens u.heimsins endi;gå sin u. i mødeganga seg út av eggini, ganga seg útav;monumentetblev reddet fra u.standmyndin varð bjargað2gongusmoga, gongutunnil(t.d.undir ferðsluvegi, jarnbreyt)
undergerning	undurgerningur, undurgerð, undurverk, kraftagerð;tegn og undergerningertekin og kraftagerðir
undergive	standa undir, geva undir;u. siggeva seg undir;kongen er ikke undergivet de almindelige lovekongur stendur ikki undir vanligum lógum
undergiven	undirmaðurundergivneundirfólk;han var strengmod sine undergivnehann var harður við undirfólkið
undergivenhed	undirgivni
underglasur	undirglasing (undirglasingarlitur í keramikk)
undergrave	grava burtur undan einum, taka undan, máa undan, bróta niður, spilla;bekymringerne undergravede hans helbredhann stúrdi so nógv, at heilsan fór (at bila)
undergreb	(ítr.) undirtak
undergrund	1undirgrund;Danmarks u. indeholder måskeolieolja er kanska í donsku undirgrundini2(loynilig) frælsisrørsla;under krigen arbejdedehan for undergrundení krígnum(el.í stríðsárunum) arbeiddi hann fyri frælsisrørsluna3(t.d.)undirgrundarlist(viðv.listarligum, politiskum og blaðmannavirksemi uttan fyri viðurkendu stovnarnar)
undergrundsbane	undirgrundarbreyt
undergrundsbevægelse	loyniligur frælsisherur, loynilig frælsisrørsla, loynilig frælsisfylking
undergrundskultur	undirgrundarmentan
undergrundslitteratur	undirgrundarbókmentir
undergrundspresse	undirgrundarfjølmiðlar, undirgrundarpressa
undergrundstog	undirgrundartok
undergrundsøkonomi	undirgrundarbúskapur (búskapur, ið byggir á pening, ið ikki er skattaður)
undergruppe	undirbólkur
undergrænse	lægrael.lægsta mark
undergær	undirger (ger, ið legst á botnin á kari)
undergæret	undirgeraður;undergæret ølundirgerað øl
undergørende	undurkendur;en u. medicinundurkendur heilivágur
undergå	vera fyri;huset er(el.har) undergået storeforandringerhúsini eru nógv broytt;han harundergået store forandringerhann hevur verið fyri stórum broytingum, honum hava stórar broytingar verið fyri
underhage	1(gl.)niðastiel.ytsti partur av høkuni2undirhøka (ts. s.dobbelthage)
underhandle	tingast, samráðast;u. med fjenden omvåbenstilstandtingast við fíggindan um vápnahvíld
underhandler	samráðingarmaður, tingingarmaður
underhandling	samráðing, tinging(ar)
underhold	uppihald, hald;han tjente selv til sit u. i studietidenhann forvann sjálvur til kostarhaldið í lestrartíðini
underholde	1uppihalda (einum), føða (ein),(tlm.)forsyrgja (einum);når barnet er fyldt 18 år, har forældrene ikke pligt til at u. dettá ið barnið er 18 ára gamalt, hava foreldrini ikki longur skyldu at uppihalda tí2skemta, gera skemtan, stuttleika, undirhalda;u. sig selvstytta sær stundir3[lh nútsuml]underholdendeskemtiligur, stuttligur,(tlm.)undirhaldandi;han underholdt selskabet med underholdende historierhann undirhelt øllum á(el.í) veitsluni við stuttligum søgum;han er u.hann er stuttligur, hann er góður vertskapsmaður
underholder	skemtari
underholdning	undirhald, stuttleiki, gaman, skemtan, kæti, skemt;foreningen holder møde med u. og dansfelagið hevur fund við undirhaldi og dansi
underholdningsfilm	stuttleikafilmur
underholdningsindustri	stuttleikaídnaður, undirhaldsídnaðurin
underholdningslitteratur	undirhaldsbókmentir
underholdningsmusik	stuttleikatónleikur, undirhaldstónleikur
underholdningsprogram	1stuttleikatáttur, undirhaldstáttur (íútv.el.sjónv.)2undirhaldsskrá
underholdningsroman	undirhaldsskaldsøga,(niðr.)lættisoppaskaldsøga
underholdningsserie	undirhaldssendirøð
underholdsbidrag	(løgfr.) uppihaldspeningur (gjald til fólk, ið ein hevur uppihaldsskyldu mótvegis,serst. viðv.barnapeningi)
underholdshjælp	uppihaldshjálp
underholdspligt	uppihaldsskylda
underhud	(likam.) undirhúð (undir holdroði og hárramu)
underhus	undirhús, niðara tingdeildel.niðara hús(serst.í Bretlandi)
underhånden	1framíhjá, í loyndum, í trúnaði;jeg har fået det atvide u.mær er sagt(el.fortalt) í trúnaði, tað er lagt undir meg2sælge noget u.selja eitt sjálvur (uttan at bjóða tað út)
underhånds-	
underhåndsaftale	sínámillumavtala, óformlig avtala, privat avtala
underhåndskast	(ítr.) undirhandarkast
underhåndsoplysninger	upplýsingar, ið eru fingnar í trúnaði (í loyndumel.framíhjá)
underhåndsviden	framíhjávitan; vitan, fingin frammanundan
underinddele	býta sundur í uppaftur smærri eindir
underinddeling	sundurbýti í uppaftur smærri eindir
underjordisk	1sum er undir jørð, undirjarðar-;bækken har u.løbáin rennur undir heilum, áin rennur í løki, áin fer í løk;en u. klippehulehelli, ið er undir jørð;u. jernbanejarnbreyt, ið gongur undir jørð; í navnorðamerking um vatnhús2(um huldufólk, dvørgar, trøll, vættrarosfr.)forniskur, heiðin;de underjordisketey fornisku, tey heidnu3loyniligur;en u. modstandsbevægelseloynilig mótstøðurørsla
underkant	1undirtrom, niðara trom (underkanttramar, underkanttremur), niðari kantur, undirkantur, undirsíða, niðara síða;billedets u.niðari kantur á mynd2(fl.m.)i underkantení minna lagi, í lægra lagi, lakariel.slakari enn;ligge i underkanten afdet tilladeligevera heldur lakari(el.slakari) enn loyvt er(el.ráðiligt er)
underkarm	(handv.) botnstykki (á vindeygakarmi)
underkaste	u. synsýna;u. sagen en ny behandlingkanna málið av nýggjum;u. én et skrapt forhørtráspyrja ein;u.sig landetleggja landið undir seg;u. siggeva seg undir;u. sigskæbnengeva seg undir lagnuna, lata sær lagnuna lynda;u. sig en operationleggja seg undir skurð;vi er underkastet nøjagtig de samme vilkår som andre offentlige institutioner vit mugu lúka júst tær somu treytir sum aðrir almennir stovnar
underkende	(løgfr.) ógilda, kolldøma; meta (ov) lágt;byrettensdom underkendtes af landsrettenlandsrætturin ógildaði býarrættardómin;man skal ikke u. detgode eksempels betydningtann týdningur, ið gott fyridømi er, eigur ikki at verða undirmettur
underkjole	undirkjóli;hun tog kjolen af og stod i u.hon fór úr kjólanum og stóð í berum undirkjóla
underklasse	undirstætt (verkamannastætt;móts.miðstætt og yvirstætt)
underkonge	(bíbl.) undirkongur
underkop	skál;kop og u.koppapar, koppur og skál
underkorporal	(herm.) undirkorporálur
underkrop	niðurpartur, niðan belti;med tyk u.førur niðan belti, niðurtjúkkur(móts.niðurvisin),(eis.)jarðgrógvin
underkrydder	undirkryddari, undirkrúddari
underkue	kúga, trælka; halda niðri;u. et landkúga(el.trælka) eitt land;u. sine følelserhalda kenslunum niðri, stýra sær, hava tamarhald á sær, tempra seg
underkuelse	trælkan, kúgan
underkur	undurviðgerð, undurkurur
underkurs	(bú.) undirvirði, undirkursur;købe mark for u.keypa markar fyri undirvirði
underkvalificeret	sum ikki er nóg væl skikkaður(t.d.til starv);beskæftigelse ved u. arbejdetað at hava arbeiði, ið ein er ov væl skúlaður til;han er u. tilsit arbejdehann er ikki nóg væl skúlaður til arbeiðið hjá sær
underkæbe	(likam.)niðari muður, kjálkabein;u. forankæbevinklenkempa; (á dýrum) undirkjaftur
underkøb	mutur
underkøbe	mutra, geva mutur;lade sig u.lata seg mutra, taka ímóti mutri
underkøje	undirkoyggja
underkøle	undirkøla
underkøling	undirkøling
underkørsel	undirvegur, undirkoyring, undirakbreyt;lave en u.under en jernbanelinieleggja akveg undir jarnbreyt
underlag	1undirlag;tæppet lå på et u. af filtteppi lá á filtundirlagi;u. under en løftestangnakki2(fl.m.)undirstøði, støði;befolkningsunderlagfor et supermarkedfólkaundirstøði fyri sølumiðstøð
underlagen	undirlak
underlagsplade	(tøkn.) millumlegg, undirlagspláta
underlagsskive	(tøkn.) undirlagsskiva, pakkingarskiva, spenniskiva
underled	(málfr.) undirliður
underlegen	minni mentur, minni fyri sær, verri fyri;talmæssigu.vera færri enn, vera færri í tali enn;være u.vera við undirlutan, vera minni maður;være én u.vera einum minni mentur, tapa fyri einum, ikki duga eitt eins væl og ein annar, ikki standa einum kurl;den underlegnetann minni menti, tann veikari; tann, ið minni formár
underlegenhed	undirlutastøða
underlegenhedsfølelse	undirlutakensla
underlensherre	(sø.) undirlensharri (lensharri, ið hevur svorið øðrum mætari lensharra trygdareið)
underleverance	undirveiting
underleverandør	undirveitari, partsútvegari, undirútvegari (framleiðari, ið selur øðrum (størri) virki vørur sínar)
underleverandørkontrakt	undirveitingarsáttmáli
underlig	1yvirnatúrligur, undurfullur;tegn og underligegerningertekin og kraftagerðir2løgin, undarligur, serur, margháttligur, øðrumegin við;der var en u. lugt i stuenløgin roykur var í stovuni;det er underligt, hun ikkekommerløgið, at hon ikki kemur;han er lidt u.hann er eitt sindur undarligur(el.løgin)3[sumhj]en underligt formet vasevasi í margháttligum(el.løgnum) sniði, margháttliga tilevnaður (vorðinel.dánaður) vasi
underliggende	1sum liggur djypri, sum liggur niðriundirel.niðari;de u. jordlagfláirnar, ið liggja undir2(fl.m.) i forholdet mellem dem var der en u.spændingí sambandinum teirra millum lá ein fjaldur spenningur
underligger	(byggl.) undirlag (ts. s.underbjælke)
underliv	búkur, lív, kviður, undirlív
underlivs-	undirlívs-, búk-, kvið-, maga-, maganum viðvíkjandi
underlivssygdom	(lækn.) undirlívssjúka, kviðsjúka
underlyds-	sum ferðast spakuligari enn ljóðið, undir ljóðferð, undirljóð-
underlæbe	(likam.) niðara vørr, undirvørr
underlæge	undirlækni(serst.læknastudentur í hertænastu)
underlægge	1leggja undir seg, hertaka, taka;Romunderlagde sig MiddelhavslandeneRóm legði Miðjarðarhavslondini undir seg2[lh tátsuml]underlagt; underlagt lovlógarbundin;en melodi med underlagt tekstlag við orðum
underlægningsmusik	fylgitónleikur(serst.um filmsløg)
underløben	(lækn.) blóðsettur, blóðmeltaður, droyr-;blåunderløbne pletter på kroppenbláar blóðmeltingar á kroppinum, bláir droyrblettir á kroppinum
underlødig	lættisoppakendur, lættisoppa-, grunnur, innihaldsleysur, virðisleysur;en u. boglættisoppakend bók;et skrabet, underlødigtbyggeribílig og vánalig bygging
undermand	undirmaður
undermargin	(prent.) undirbreddi
undermenneske	undirmenniskja
underminere	gravael.mata burtur undan einum, gravael.máa (støðið) undan;rotterne havde underminerethusetrotturnar høvdu gnagað stórviðin, so húsini vóru um at detta niður;flodbredden erunderminerettað er rutt burtur undan bakkanum, bakkin er burturmataður;bekymringerne underminerede hans helbredhann stúrdi so nógv, at heilsan fór (at bila)
