V,v1	1málljóð2bókstavur
vind1	1vindur, ætt;mild v.lýggjur vindur;vinden ernordlig (sydligel.østlig)hann er høgur (lágurel.eystan) í ættini;megen vindnógvur vindur, vindsamur(t.d.tað hevur verið vindsamt);nordligv.norðanætt, høgætt, norðan;sydlig v.suðurætt, lágætt, sunnan;stærk v.hvassur vindur; strekkur(el.strekan) av vindi, vindstrok;svag v.gul, ond, lot, vindkarr;vedholdende v.hæsingur, tømingur;der kom pludselig v.hann gjørdi knappliga vind;vinden løjede afhann stilti av, hann linaði vindin, hann minkaði vindin;v. framodsat retningtvørvindur;fra hvilken kantkommer vindenhvussu er hann ættaður; hvussu er ættað, hvussu er ættin;vinden bærerpå (fra) landhann liggur innan av landi, hann liggur út av landinum;vinden er gået om i nordhann er hækkaður upp í norðan;vinden hyledevindurin ýldi;have vinden i ryggenhava undanvind, hava byr, hava undan;vinden harvendt sighann hevur skift ætt(ina);vinden skifterhele tiden retninghann melur og melur;sejle medvindenhava byr;lægge skibet op i vindenleggja skipið uppí(el.uppímóti);sejle under vindensigla neyvt;skibet fik v. i sejleneliggja frá(t.d.seglið lá ikki rættiliga frá), skipið fekk góðan byr, seglini dúkaðu;gustig vind for sejladsseglbyrur /sæl-/(t.d.nú er góður seglbyrur);udsat for stærk v.vindharður, veðurringur, vindsamur(t.d.har er vindhart, veðurringtel.vindsamt);ikke en v. rørtesigikki ein ond rørdist, tað var svartastilli (blikastilliel.blikalogn), stoytt í klettin, tað stendur við klettin, ikki eitt hár rørdist á høvdinum; eftir2(fl.m.) foreningen fik vind i sejlenefelagið fekk góða undirtøku;slippe en v.prumpa, frata;undersøge fra hvilken kant vinden blæserkanna eftir, hvat fólk halda;se, hvad vej vinden blæserbíða og vita, hvussu leikur fer;nå, blæser vindenfra den kant?er hatta lagið á fólki(el.á honum)?, er hatta tað, fólk hugsa(el.halda);det er medham, som vinden blæserhann er ein vingliskøltur (eitt vingul, eitt vingl, ein meldurskøltur, ein veðurhaniel.eitt slóm), hann er sum hølvispønir í vindi, hann sleingist sum tongul í brimi, hann sleingist sum bukka millum sengur(el.seingir);de spredtes for allevindeteir spjaddust(el.fóru) í allar ættir, eitt fór í horn annað í sorn;tage vinden ud af éns sejlteppa ein;for v. og vovefyri vág og vind;for allevindeí allar ættir;god v.!alt tað besta!, blíðan byr!;han løber altid med halv v.tað er lítið eftirfarandi, (tað) ið hann sigur;han fór af stedmed vindens hasthann legði avstað við tí fúkandi ferð(el.við tann spentar ál); loft var undir honum, sum hann rann;kammeraternespredtes for alle vindevinfólkini fóru hvørt í sína ætt(el.spjaddust í allar ættir);udsprede ennyhed for alle vindebera Gudi og hvørjum manni tíðindini;være i vindenvera(el.liva) mitt í verðini; (tað at) nógv verður gjørt burtur úr einum3[ísamb.viðfs]eftervindfløjen drejede sigefter vindenveðurhanin mól við ættini- forskibet drev for vindenskipið rak (fyri vág og vind);sejle for en ganske let v.(um seglskip) larra- iflaget smelder i vindenflaggið brestir í vindinum;skibet ligger i vindenskipið liggur upp í ættina- medmed vindenundan ættini
vind2	(bara ísamb.við)lægge v. på nogetleggja dent(el.áherðslu) á eitt;han lagde v. på at haveegnens bedste avlsdyrhann legði stóran dent á at hava bestu lívdýrini í grannalagnum(el.grendini)
vind3	bara í føstumsamb.(um við) vindskur, tryglaður, skeivur;v. og skævsnúðaður, krókaður og skinklaður;husets mure var bådevinde og skævehúsaveggirnir vóru bæði snúðaðir, krókaðir og skinklaðir; sum gálvar(t.d.húsini standa og gálva)
vindaflejring	(jarðfr.) áfok
vindblæst	veðurbardur, veðurringur, veðurharður, vindsamur, harðveðurs-, vindharður, strangur, ábært (bara íhvk),ástatt (bara íhvk),sum er í andgletti
vindbryder	vindgarður, vindkjarr, vindrunnar (fyri at fáa lívd)
vindbøjtel	(næstan avelt,niðr.)bløðra, gákur, tómarogn, goffari, skræðugákur, skræðingur, innbilskt fólk
vinddrejning	lækka, ganga niður í sunnan, koma av suðriel.lágt;v. mod veststøkka vesturum(t.d.hann stakkel.støkk vesturum); hann gongur vesturá, koma av vestri(t.d.hann kom av vestri),(staðb)koma vestanat(t.d.hann kom vestanat)
vinddreven	vindrikin
vinddrivende	(lækn.) vinddrívandi, (tarma)vindrekandi, ýlingarekandi (um heilivág)
vinde1	1vinda2hesputræ
vinde2	vinda, snara;v. garn til et nøglevinda í noða;v.en spand vand op fra brøndenvinda vatnpøs upp úr brunni;v. garn dårligtkegla
vinde2	vinda, snara;v. garn til et nøglevinda í noða;v.en spand vand op fra brøndenvinda vatnpøs upp úr brunni;v. garn dårligtkegla
vinde3	1ganga fram ímóti máli, røkka fram, náa á mál;v. frem til måletkoma á mál;denne idebegynder at v. fremhenda hugsanin fær vaksandi(el.alsamt strørri) undirtøku manna millum;v. hjemslíta heim til húsa, vinna upp hús;forfølgerne vandt stærkt ind på ostað styttist millum okkara og teirra, ið eltu okkum; tað styttist okkara millum; tað dró saman okkara millum;det kneb for den lille dreng at v. medtann lítli drongurin orkaði ikki rættiliga at fylgja við2fáa, fáa burturúr;noget er der da vundet vedden ny(e) lovs indførelsenakað hava vit hóast alt fingið burturúr, nú nýggja lógin er sett í gildi;bygningen har vundet meget vedrestaureringenhúsini eru (vorðin) nógv vakrari(el.rigga nógv betur), nú tey hava fingið gamla sniðið aftur;han vinder ved nærmerebekendtskabhann vendir skræðuna út; hann er ikki so óreinur, sum hann letst;v. anseelsegerast gitin, verða væl kendur (millum manna);v. nytland (ind)velta upp úr nýggjum;v. mennesker(for sig)duga at tala fyri seg, duga at fáa fólk at halda við sær(el.koma í part við sær);v. sig etnavngerast kendur (navnframur, gitinel.navngitin);v. tidfáa betri tíð, fáa betri skotbrá, vinna tíð, sleppa at summa seg, sleppa at umráða seg;v. den spildte tid indvinna ta tíðina innaftur, ið ein hevur mist;v. det tabte tilbagevinna tað aftur, ið ein hevur mist;forslaget vandttilslutningfólk tóku undir við uppskotinum;han harlet ved at v. vennerhann hevur lætt við at fáa vinfólk;v. den hele verdenvinna allan heimin(men bøde med sin sjælmen má bøta afturfyri við sál síni; Matt. 16, 26)3[lh nútsuml]vindendedámligur;etvindende væsendámlig medferð4vinna á, sigra á;v. over en modstandervinna á mót(støðu)manni;v. sejrvinna sigur á, sigra á, vinna á;v. en krigsigra í kríggi;v. et slagsigra í bardaga;v. en retssagvinna rættarmál(el.sakarmál);v. et spilvinna í spæli;v. etvæddemålvinna í vedding;(fl.m.) da hanopnåede at få den anden til at forløbe sig,havde han vundet spillettá ið hann fekk hin at leypa framav, hevði hann vunnið spælið;v. 100kr. i bridgevinna 100 kr. í bridge;v. den storegevinst i lotterietfáa(el.vinna) stóra vinningin í happadráttinum5(um ur, klokku) forta, ganga ov skjótt, títta, skjótka;uret vinder 5 minutter i døgneturið fortar
vindebro	vindibrúgv
vindebrønd	vindibrunnur
vindeltrappe	snúðurtrappa, snyrilstrappa, vundin trappa
vindenergi	vindorka
vinder	vinnari, sigrari;vinderen i konkurrencenvinnarin í kappingini; tann, ið vann kappingina, var;vinderen af konkurrencen blev N. N.N.N. vann kappingina;vinderen af væddeløbetvinnarin í kapprenningin(el.kappríðingini);den lykkelige v.af første præmietann hepni vinnarin, ið fekk fyrstu virðisløn
vinderkort	1(kortsp.)vinnarakort, høgt kort2(fl.m.)einel.eitt, ið skarar framúr á allan hátt; úrmælingur
vinderliste	listi yvir vinnarar, vinnaralisti
vindfang	ytru dyr, durur, (á ermu) vindfang
vindfløj	veðurhani
vindfælde	træ, ið er felt av vindi; træ, ið vindur hevur felt
vindgreb	(veðurfr.) vindtak
vindharpe	vindharpa
vindhas	(gl.) bløðra, gákur, tómarogn, goffari, skræðugákur, skræðingur
vindhastighed	vindferð
vindhjørne	vindætt (haðani vindur blæsur)
vindhård	vindharður, veðurbardur, veðurringur, veðurharður, vindsamur, harðveðurs-, ábært (bara íhvk),ástatt (bara íhvk),sum er í andgletti, strangur(t.d.tað er so strangt í Lopra)
vindicere	1(løgfr.)krevja at fáa ognirnar aftur (ið annar hevur í varðveitslu)2hevna
vindikation	(løgfr.)afturkrevjing
vindikativ	hevnisamur, hevndarhugaður, hevnisøkin, hevnisjúkur
vinding1	skrúvugangur; vinding, vevjing, vav, snúningur;vindingerne i en skruegangskrúvugangurin;trappen har en v.trappan snarar(el.vendir) afturáaftur, trappan hevur ein snúður
vinding2	1vinningur, sigur, tað at vinna2(gl.)ágóði, vinningur, ávinningur;gøre nogetfor vindings skyldgera eitt fyri at fáa vinning burturúr
vindingskonto	(bú.) flutt úrslit, at flyta til næsta ár; taps- og vinningskonta, taps- og vinningskonto
vindjakke	vindjakki
vindkanal	(tøkn.) vindgong, vindtunnil
vindkast	hvirla, vindblak, kastivindur, sipa, sipan, bylur
vindkedel	(tøkn.) vindketil (í pumpu)
vindkraft	vindorka
vindkrusning	vindbárur(kv flt),vindgarður(t.d.hann kastar garðar niður á sjógvin
vindløber	fokkjarr, strokakjarr
vindmølle	vindmylla, vindmylna
vindmøllepark	vindmyllugarður, vindmylnugarður (garðurel.øki, har sum nógvar vindmyllur eru uppsettar)
vindmåler	vindmálari
vindpose	(flogm.) vindpoki, vindposi, vindhosa(t.d.á flogvøllum, flagg, ið vísir ætt)
vindpust	fleyr, lot, ond, flakr
vindret	(sigl.) upp í vindin
vindretning	ætt;vindretningen var nordlig (vestligel.franordvest)hann stóð høgt (vestaneftir, av útnyrðingi) í ættini;v. fra havethavætt;vindretningen blev en andenhann vendi í ættini, hann skifti ætt;der er ingen fast v.nú er eingin ætt;fra den ene v. til den andenætt úr ætt(t.d.vindurin loypur ætt úr ætt);hyppige ændringer afvindretningenmeldur í veðrinum
vindrose	(sigl.) flot (í kumpass), vindrósa, ætta(r)rósa, ætta(r)merki
vindrossel	(dý.) óðinshani(Turdus iliacus)
vindrue	drúva, vínber, víndrúva
vindrueklase	vínberjatyssi, víndrúvutyssi
vindruesaft	vínberjasaft, vínberjasevja, vínberjaløgur
vindsel	vindil(t.d.at vinda tógv uppá)
vindside	(sigl.) gulborð;i(el.på) vindsidengulborðsmegin, í lu(v)
vindsked	(byggl.) vindskeið
vindskibelig	nærsøkin (ið fegin vil hava meira, enn ein av røttum eigur), (eitt sindur ov) ágrýtinel.íðin, arbeiðssamur
vindskærm	(t.d.á snarbáti) vindskermur
vindskæv	(um við) vindskur; hornaskotin;blive v.(um við) tryglastel.skjótast, sum hevur sligið seg;huset er vindskævthúsini gálva (eru vindskel.skeiv)
vindslebet	(jarðfr.) vindbrýndur
vindspejl	(á bili) framrútur,(tlm.)forrútur
vindspejlsvasker	framrútsvaskari,(tlm.)forrútsvaskari
vindstille	stilli;fuldstændig v.blikalogn, logn, silvitni, stilli, svartastilli, blikastilli, deyðastilli, stilliveður, stoytt í klettin, tað stendur við klettin, ikki ein ond rørist, tað rørist ikki eitt hár, (um byr) byrloysi;der var v.har var ikki ættargul;være v.(undir fjalli á gulsíðu) drepa(el.drýpa) uppi;blivev.stilla av;det blev v.hann stilti av, lotið datt burtur
vindstyrke	(veðurfr.) vindmegi;en orkan er en vind afhøjeste v.kolandi ódn er hægsta vindmegi
vindstød	hvirla, vindblak, kastivindur, kast, sipa, sipan, bylur
vindsurfer	fólk á siglufjølel.vindfjøl,(tlm.)vindsurfari
vindsurfing	tað at skreiðael.aka á siglufjølel.vindfjøl, siglufjalaítrótt, vindfjalarítrótt
vindtransporteret	vindborin;(jarðfr.) v. sedimentervindborið legugrýti
vindtæt	vindtættur, vinddyggur;regn- og v.vatn- og vindtættur
vindtør	1turkaður í(el.við) vindi, turrur (um fisk og kjøt)2(fl.m.) han er kedsommelig og v.hann er sum eitt turkatræ
vindtørre	turka (viðel.í vindi), skerpa;vindtørret fiskturrur fiskur;vindtørret kødturt kjøt, (ársgamaltel.eldri) skerpikjøt;vindtørret sædekornráfræ
vindue	1vindeyga(fltvindeygu), vindag(fltvindøg);lillev.gluggi;åbne vinduetlata vindeygað upp;se udaf vinduethyggja(el.líta) út ígjøgnum vindeygað;sove for åbne vinduersova við(el.fyri) opnum vindeygum2(fl.m.) smide pengene ud af vinduettað sama sum at tveita peningin burtur3(teld.)gluggi (í telduskíggja)
vinduesdekoratør	sýnisgluggaprýðari, vindeygadekoratørur
vinduesfordybning	(byggl.) gluggaskot
vinduesglas	rútaglas, gluggaglas
vinduesgruppering	(byggl.) vindeygaskipan, gluggaskipan
vindueskarm	vindeygakarmur, gluggakarmur
vindueskigger	lúrari
vindueslysning	vindeygaop
vinduesmannequin	sýnisgluggadukka
vinduespille	(byggl.) smalt veggjarstykki millum tvey vindeygu
vinduespolerer	vindeygavaskari
vinduespost	vindeygastavur, vindeygapostur
vinduespudser	rútavaskari
vinduesramme	vindeygakarmur
vinduesret	(løgfr.) vindeygarættur (rættur at hava vindeyga móti granna)
vinduesrude	rútur í vindeyga, vindeygarútur
vinduesskraber	vindeygaskavari
vinduessprosse	vindeygasproti,(tlm.)vindeygasprossi
vinduesvisker	(á bili) (vindeyga)viskari
vindyrkning	víndyrking
vindæg	skellegg, ótroðið egg, koppleyst egg
vindøjet	rangoygdur, sum skeitir;han er v.hann skeitir, hann er rangoygdur
vindåben	veðurringur, vindsamur, ábært (bara íhvk),ástatt (bara íhvk);huset ligger meget vindåbenthúsini standa ógvuliga ábær;der er meget vindåbenthar er ógvuliga ábært (ástattel.strangt), har er veðurhart (vindsamtel.veðurringt); strangur(t.d.tað er so strangt í Lopra)
vineddike	vínedikur
vinfad	vínfat
vinfarm	víngarður
vinfarvet	vínlittur
vinflaske	vínfløska
vinforretning	vínhandil, vínsøla
vinge	1vongur;flyet gik på vingerneflogfarið fór (tókel.hevði seg) uppfrá;fuglen baskede med sinevingerfuglurin flagsaði (við veingjunum);medbrækket v.veingjarbrotin, vongbrotin;med spidsevingervið spískum veingjum, spískveingjaður;pludselig gå på vingerne(um fugl í bjørgum) seta út;være på vingernevera á flogi2(fl.m.)brænde sine vingerbrenna sær veingirnar(eis. t.d.um húsvætti), vera fyri vónbroti,frygten lånte ham vingerhann tók til beins av berari ræðslu, han rann sum undan tarvi, hann rann sum fyri lívinum;komme ilendepå længslernes vingervera skjótur, tí einum leingist;stække vingernesístække; tage énunder sine vingertaka sær av einum, hjálpa einum, lívga ein, verja ein, taka ein undir veingirnar
vingeben	(fl.m.) tage én i vingebenet taka í herðatoppin á einum
vingefang	1flog, veingjavídd;ørnen har et mægtigt v.ørnin hevur ómetaliga stórt flog2(fl.m.) hans fantasi har et meget stort v.hugflog hansara er høgt (víttel.stórt)
vingefjer	veingjarfjøður
vingefrugt	(plfr.) veingjarfrukt
vingeglidning	(flogm.) síðuglíðing, liðglíðing
vingehjul	1(gudal.)veingjahjól;hævngudinden kommersusende på v.hevndargudinnan kemur súsandi(el.brúsandi) á veingjahjóli2(tøkn.)(í ljóara, ventilatori) rennil
vingemøtrik	(tøkn.) veingjamøtrikkur
vingeskal	(dý.)veingjaskjøldur
vingesko	(gudal.) veingjaskógvur (grikski gudurin Hermes hevði veingjaskógvar)
vingeskudt	1v.lamskotin;v. fugllarrassi, liðarfuglur2(fl.m.)fallin í fátt, sum er fyri ongum
vingeskyde	lamskjóta
vingeslag	veingjasláttur, veingjaslag, veingjatak
vingespids	veingjarbroddur
vingestækket	skerdur
vingesus	veingjasuð, veingjahurr
vingesvamp	(plfr.) soppaslag(Cantharellus)
vinget	(um fuglar og skordýr) veingjaður;de vingedeskabningerveingjaðu verurnar(el.skapningarnir)
vingetang	tang(Alaria esculenta)
vinglas	vínglas
vingul	víngulur, kampavínsgulur
vingummi	gummibomm, víngummibomm
vingær	vínger
vingård	víngarður
vingårdsbonde	víngarðsbóndi(flt-bøndur)
vingårdsgartner	víngarðsmaður
vinhandel	-handlen,vínhandil, vínsøla
vinhandler	vínhandilsfólk, vínsølufólk
vinhøst	vínskurður, vínfruktir
vink	1bákn, tekn, tekin, prei, ráð, vink; ábending;medet v. med hånden påbød han tavshedhann hevði hondina upp(el.á lofti) fyri at fáa fólk at tiga2(fl.m.) lystre ens mindste v.gera alt, ið ein biður;give én et v. om at forsvindegeva einum tekin um at fara;lade et v. falde om nogetgeva einum eitt prei(el.ábending) um eitt;give énnogle praktiske v. vedrørende et arbejdegeva einum góð ráð viðvíkjandi einum arbeiði
vinke	1veittra, vinka, bákna;v. ad énbákna einum at koma (til sín);v. til énveittra einum(t.d.farvæl)2(fl.m.) fremtiden vinkerframtíðin sær bjørt út; framtíðin er í hondum(el.stendur í durunum);håbet vinkervón er fyri framman (stavn);der ervinket afhar er einki at gera, tað gongur ikki, tað er havnað
vinkekrabbe	(dý.) veittrukrabbi(Uca)
vinkel	1vinkul, horn;lige v.slættur vinkul (vinkul, ið er 180o);ret v.rættur vinkul;skæv v.skeivur vinkul;spids v.spískur vinkul;stump v.gævur vinkul;centervinkelmiðvinkul;indvendig v.innvinkul;periferivinkelumfarsvinkul;tangentvinkelviðberavinkul, tangentvinkul;udvendig v.útvinkul2(tól) vinkul, vinkulmálari3(fl.m.)sjónarhorn;det kan give anledning til nye vinkler af undervisningenhetta kann hava við sær nýggj sjónarhorn viðvíkjandi undirvísingini
vinkelafstand	(stfr.) vinkulfrástøða
vinkelarealbevarende	(stfr.) vinkulvíddaróbroyttur
vinkelben	(stfr.) vinkulbein
vinkelbevarende	vinkulóbroyttur
vinkelbue	vinkulbogi
vinkelbygget	bygdur í vinkul, vinkulbygdur
vinkelbygning	vinkulbygningur
vinkeldannet	sívinkelformet
vinkelformet	vinkulskapaður, vinkulmyndaður, vinkuldánaður, hornskapaður, vinkulbygdur, í L-sniði
vinkelfyr	hornaviti
vinkelhage	vinkulhaki, vinkulkrókur,(prent.)vinkulhaki
vinkelhalveringslinie	(stfr.) vinkulhálvbýtislinja
vinkelhus	hús, ið eru bygd í vinkul
vinkeljern	(handv.) vinkuljarn
vinkelmåler	(handv.) vinkulmálari, málibogi
vinkelret	vinkulrættur, hornrættur, stavnrættur;den ene linje går v. på den andenonnur strikan gongur vinkulrætt/hornrætt á hina
vinkelskriver	(niðr.) fólk, sum ólógliga fæst við sakførarastarv, ólærdur sakførari, óreiðiligur sakførari, lógafløkjari
vinkelsliber	(handv.) vinkulslípari
vinkelspids	(stfr.) vinkulnev, vinkulbroddur
vinkelstue	hornastova
vinkelsum	(stfr.) vinkulsamløga, vinkulsummur
vinkeltrykker	prentari, ið prentar bøkur ólógliga
-vinklet	-vinklaður, -hyrntur
vinkort	vínkort
vinkran	vintútur
vinkyper	vínvørður (í vínkjallara), vínkjallarafólk
vinkælder	vínkjallari
vinkøler	vínkølari
Vinland	Vínland
vinmark	vínakur
vinperse	vínpersa, vínfarg
vinpokal	vínsteyp
vinranke	víntræ
vinrose	(plfr.) rósa(Rosa rubiginosa)
vin rosé	rósuvín
vinrød	vínlittur, vínreyður
vinskab	vínskáp
vinsort	vínslag
vinsprit	vínspritt
vinsten	vínsteinur (súrt kaliumsalt)
vinstok	víntræ, vínviður
vinstue	vínstova, vínbarr
vinsæk	vínkíkur
vintage	um vín, portvín og sherry) serliga góður árgangur
vintapper	fólk, ið letur vín av tunnu; víntappari
vinter	vetur;kold v.kuldavetur;mild v.góður(el.lýggjur) vetur;streng v.harður vetur, baldrutur vetur;det er meget koldt i v.veturin hevur verið ógvuliga kaldur;v. med megen snekavavetur;sidste v.fjørvetur, í vetur;næste v.í vetur;midt ivinterens hjerteá hávetri;midt om vinterená hávetri, á vetrarmagni;vinteren står for dørenveturin er í hondum;blive v.vetra(t.d.tað er farið at vetra)
vinteragtig	vetrarligur, vetrarkendur, sum á vetri;v. sø.vetrarsjógvur
vinterbad	vetrarsvimjing
vinterbade	vetrarsvimja, svimja á vetri
vinterbader	vetrarsvimjari
vinterbomuld	tjúkt bummullarevni, vetrarbummull
vinterbyg	vetrarbygg
vinterdag	vetrardagur
vinterdvale	vetrardvali, híð
vinterdæk	vetrardekk
vintereg	(plfr.) vetrareik(Quercus petraea)
vinterferie	vetrarfrí
vinterfoder	kúfóður, vetrarfóður, (nóg mikið til eina kúgv)
vinterfodre	føðainni um veturin
vinterfrakke	vetrarfrakki, yvirfrakki
vinterfredning	vetrarfriðing
vintergræsgang	vetrarbit
vintergrøn	1(plfr.)vetrarlilja(Pyrola)2avkvettir kvistar av vetrargrønum runnum (sum prýði)
vintergrønfamilien	(plfr.) vetrarliljuættin(Pyrolaceae)
vintergrøntolie	(sum heilivágur og krydd) olja úr vetrarlilju, metylsalisylat
vintergæk	(plfr.)snjóklokka(Galanthus)
vinterhalvår	vetrarhálvár, vetrarhálva
