h. a.	el.hujus annií hesum ári
honorere	1heiðra, tigna;præstationen honoreredes medbifaldavrikið var heiðrað við fagnaði2samsýna, geva afturfyri, løna (aftur), gjalda, rinda;sangeren er højt honoreretsangarin fær stóra samsýning3(bú.)góðkenna, greiða (veksilosfr.);(um veksil)blive tilbørlig honoreretverða virðiliga greiddur; (um veksil)ikke honorereikki gjalda4nøkta;han honorerede ikke skolens kravhann nøktaði ikki krøv skúlans
honoris causa	heiðurs-, fyri heiðurs sakir;doctor honorescausaheiðursdokatari(st) dr. h. c.
honorær	heiðurs- (óløntur);h. konsulheiðurskonsul
hook	1(ítr.)(í golfi) høgg(t.e.slag sum støkkur bóltin til `skeivu' síðuna, vanliga til vinstru); (ísamb.við nevaleik) høgg2(landafr.)krappur bugur í á, sandtangi
hooke	(ítr. í golfi) høgga (sláa so at bólturin fer til skeivu síðuna);(fl.m.) at være hooket på nogetat verða bundin at einum, at vera krøktur av onkrum
hooker	(ítr.í rugby) høggari (miðleikari í fremsta rað á liði)
hooligan	bølmenni, óvætti, ótýggi, yvirgangskroppur, ófriða-;hooligans(serst.) fótbóltsótýggi, fótbóltsrann
hop	hopp, lop, spring, støkk;(ítr.) et h. med samledebenhoppa við beinunum saman;rend og h.!skittur í teg!
hopbakke	(ítr.) lopbrekka
hopla	vera kátur, vera væl útborin, vera væl fyri, vera væl upplagdur
hoplit	(sø.) hoplittur (forngrikskur hermaður; tungt vápnaður hermaður í gonguliði við spjóti og skjøldri)
hoppe1	(dý.) ryssa, mer
hoppe2	1hoppa, leypa, springa, støkka;h. omkringhoppa og skroppa, ólátast;h. overleypa um;h. ogspringebeistast, garta, gartera, leika í;fuglenehopper fra gren til grenfuglarnir tita grein av grein2(fl.m.) h. afhoppa av (um politiskt flóttafólk);h.pålata seg lumpa;den får du ikke mig til at h.påhasum lumpar tú meg ikki við;den h. han ikkepåhasum trýr hann ikki;du kan rende og h.tú kanst ríða og renna; skittur í teg;h. og springe forénleypa á leistum fyri ein;hjertet hoppede i livetpå mighjartað leikaði ótt
hoppefole	(dý.) ung ryssa
hoppeføl	(dý.) ryssufyl
hoppegynge	hoppireiggja
hoppekåring	(dý.) ryssukjósing
hoppeplag	(dý.) ungryssa
hopsa1	hopsa (slag av dansi)
hopsa2	hopsasa
hor	hor, hordómur, ótrúskapur, hjúnabandsbrot, leyslevnaður, skøkjulevnaður, siðloysi;bedrive h.dríva hor, horast, liva í siðloysi
horde	harkalið, riðil;en h. af drengeein dreingjariðil
hore1	hora, horkona, púta, skøkja
hore2	horast
horebuk	horkallur
horehus	skøkjuhús, pútuhús
horelevned	pútulevnaður, horlevnaður, hordómur
horeunge	1horuungi, skøkjubarn2(prent.)horuungi (seinasta regla í tekstabroti, sum sett er á ovastu reglu á síðuel.teigi; ímóti góðari prentlistarligari meginreglu)
horisont	1sjónarringur, havsbrúgv, havsbrún, væðing, himinjaðari;solen kom op over horisontensólin reis úr havsbrúnni;ude i horisonten sås etkirketårnúti í sjónarringinum sást eitt kirkjutorn;forsvinde i horisontenhvørva í blánanum;billedemed lav h.mynd við lágari havsbrúgv2(fl.m.) det ligger over min h.eg fati(el.skilji) tað ikki;der er vid h. herher er víðsýnt; her er víður sjónarringur;han har en vid h.hann hevur víðan sjónarring
horisontal	vatnrættur, marflatur;(flogm.) overgå til h.flyvningfara yvir til vatnrætta flúgving
horisontalparallakse	lágsjónarmunur
horkarl	horkallur, bólari, siðleysur maður
hormon	(likam.) hormon (boðberaevni í blóðinum sum stýra vøkstri og menning og øðrum virki)
hormonal	1(likam.)hormon-, hormonalur2(lívfr.) h. reguleringhormonsjálvjavning
hormonbalance	(lívfr.) hormonjavnvág
hormonpræparat	(lívfr.) hormontilbúningur
horn	1(á dýri og tilfari) horn;uden h.kollutur;spidsen af et h.stikul2drykkjuhorn; de gamle nordboere drak af et h.gomlu norðbúgvarnir drukku úr horni3(tónl.)horn, lúður, lúðurhorn;spille på h.spæla horn4(søá skipi) trantur, trónur5(á stiðja) nev; strútur, tútur6(fl.m.) løbe hornene af sigrenna hornini av sær, spekjast, sissast;have et h. i siden på énhava ilt inni við ein, hava okkurt ímóti einum, bera agg til ein;han har et h. i siden på mighann hevur eitt inni við meg, hann ber agg til mín;tage tyren ved horneneleggja á bláman;han satte ham h. i pandenhann fríggjaði við konu hansara;han fik h. i pandenkonan var honum ótrúgv
hornagtig	hornkendur
hornarbejde	hornsmíð
hornblad	(plfr.) hornblað(Ceratophyllum)
hornblende	(jarðfr.) hornblenda (døkt grótevni)
hornblæser	hornblásari
hornbog1	(gl) hornbók (abc-talva vard av glærum horni)
hornbog2	(gl) frum-, støðis-
hornbriller	hornbrillur
hornet	hyrntur, hornutur
hornfisk	(dý.) hornfiskur(Belone belone)
hornhinde	1(likam.)hornhinna(cornea)2(lækn.) plet på hornhindenblettur á hornhinnu eygans
hornhindebetændelse	(lækn.) hornhinnubruni(theratitis)
hornist	hornblásari, lúðurblásari
hornklang	(tónl.) hornljómur, lúðraljómur
hornkvæg	(dý.) hornut neyt; neyt, búfæ
hornlygte	det er fis i en hornlygtetað er tað bera tvætl og møsn
hornorkester	hornorkestur, hornljómlið
hornpipe	(tónl.) hornpípa (blásturljóðføri)
hornsignal	hornabákn, hornsignal, lúðraljóð
hornspids	stikul
hornstof	hornevni; ts. s.keratin
hornugle	(dý.) hornugla(Asio); den store h.stór hornugla(Bubo bubo)
hornulk	(dý.) hornakrutt(Acanthocottus quadricornus)
hornværk	hornsmíð
horoskop	stjørnuspá, stjørnutýðing, stjørnuspákort;stille ens h.lesa lagnuna í stjørnunum
horribel	ræðuligur, andskræmiligur, ønskriligur;hun haren h. smaghon hevur ein andskræmiligan smakk;bære sig horribelt adbera seg ræðuliga at
horror	ræðsla ótti
horror-show	ræðslusýning
horror vacui	tómaræðsla, tómaangist (ræðslan fyri tóma rúminum; aðalregla brúkt í forntíð at greiða ymisk náttúrufyribrigdi; náttúran loyvir ongum tómum)
hors	(skaldsk.) gangari, foli, ross, hestur
hors d'oeuvre	forrættur, skemt undirskast
horsegøg	(dý.) mýrisnípa
horsemor	ryssa, mer, bara ísamb. mens græsset gror dørh.meðan grasið veksur doyr folin (sagt um eitt mál ið kemur so í dragel.gongur so seint at einki spyrst burturúr)
horst	(jarðfr.) hækki;salthorstsalthækki
hort.	garðyrkisfrøðingur
hortensia	(plfr.) hortensia(Hydrangea)
hortikultur	urtagarðsrøkt, grasagarðsrøkt
hortologi	urtagarðsfrøði, grasagarðsfrøði, grasagarðslæra
hortonom	(plfr.) urtagarðsfrøðingur
hos - A.	hjá, við, uppi á;bo h.búgva hjá;handle h.handla hjá;indynde sig h.sleiska fyri, lifra fyri, sleikja fyri;søge tilflugt h.leita (sær) til, víkja á;have enhøj stjerne h. énvera væl í øgn við ein, standa væl í eygunum á;være vel anskrevet hos énfáa góðvild frá, vera væl umtóktur av;være ikridthuset h. énstanda seg væl við ein;være iunåde hos énvera í ónáð hjá onkrum;være påkost h.hava vistarhald hjá- B.sumhjstå h.standa hjá;jeg stod h., da de talte sammeneg stóð hjá, tá ið tey tosaðu saman
hose	1hosa (til mannfólk), sokkur (til konufók)2(fl.m.) som fod i h.sum fótur í hosu, sum smurt, sum brent;gøre sine hoser grønnestíga upp í veingin, lifra fyri
hosebånd	hosuband, leggjarband
hosebåndsorden	hosubandsheiðursmerkið (hægsta riddaratign Onglands);udnævne tilridder af h.útnevna til riddara við hosubandstign
hosebåndsridder	riddari við hosubandstign
hosianna	hosianna, lovaður veri Gud;(bíbl.) h! du Davidssønhosianna, Dávids sonur (Matt. 21, 9)
hoslagt	hjálagdur, viðlagdur;jeg fremsender hervedhoslagte dokumentersendi hervið hjáløgd skjøl, sendi hesi skjøl
hosliggende	(stfr.) hjáliggjandi;h. siderhjáliggjandi síður;h.vinkler i en trekanthjáliggjandi vinklar í tríkanti (móts.modståendeandstaddur)
hospice	hospice (heim fyri deyðssjúk fólk)
hospital	sjúkrahús;indlægge på h.leggja inn á sjúkrahús;på hospitaletá sjúkrahúsi
hospitalisere	leggja inn á sjúkrahús
hospitalsbehandle	viðgera á sjúkrahúsi
hospitalsindlægge	leggja inn á sjúkrahús
hospitalslaborant	sjúkrahúslaborantur
hospitalsophold	sjúkrahúsvist
hospitalspatient	sjúkrahússjúklingur
hospitalsseng	sjúkrahússong
hospitalsskib	sjúkrahússkip
hospitalssprit	sjúkrahússpritt
hospitalsstue	sjúkrahússtova
hospitant	innboðin næmingur, gestanæmingur
hospitere	vera gestanæmingur, vera innboðin næmingur
hospits	herbergi (kristiligt)
hosstilling	(málfr.) samstøða, samstøðuskipan; ts. s.apposition
hosstående	hjástaddur, sum stendur hjá, undir liðini á;forholdet belyses af h. kurverviðurskiftini verða lýst við hesum farmyndunum, ritmyndunum; ts. s.attributiv
host	hosti;give et lille h. fra siggera eitt lítið host
hoste1	hosti;hård tør h.turrur hosti;voldsom h.garp
hoste2	1hosta;h. ophosta upp2(fl.m.) kan du ikke h. op med nogle pengekanst tú ikki spýta pening í hetta
hosteanfald	hostaríð
hostebolsje	hostabomm
hostemikstur	hostabland
hostesaft	hostasevja, bróstdropar
hostess	(flogm.) kvinnuligur tænari, flogterna, vertinna
hostie	(í bundnum sniði)hostien (kat.)vígt altarbreyð
hostiegemme	(kat.) altarbreyðskrínel.-skáp
hostilitet	fíggindskapur, illvilji
hot	(tónl.) skjótur, øsandi (nýttserst.um ávísan djassstíl)
hotdog	hotdog (heit pylsa borðreidd í skornum pylsubreyði við leyki og ketchuppi)
hotel	gistingarhús, hotell;hotellet har 100sengepladserhotellið hevur 100 sengur;tage indpå et h.fara á hotell
hotelbestyrer	fyristøðufólk á gistingarhúsi, hotellfyristøðufólk
hoteldirektør	gistingarhússtjóri, hotellstjóri
hotelejer	gistingarhúseigari, hotelleigari
hotel garni	gisitingarhús har bert ábit fæst
hotelkarl	gistingarhúsvørður, hotellvørður
hotelkæde	gistingarhúsketa, hotellketa
hotelpension	fínt gistingarhús
hotelrotte	gistingarhústjóvur, hotelltjóvur
hotelskib	hotellskip
hotelværelse	hotellrúm
hotelvært	gistingarhúsvertur, hotellvertur
hotelværtinde	gistingarhúsvertinna, hotellvertinna
hottentot	(niðr.) hottentottur (suðurafrikanskur ættbólkur)
hottentottisk	hottentottiskur
housecoat	(klæði) innibúni
housewarming	stovugildi, innflytingargildi
hov1	hógvur
hov2	(gudal.) hov (stað har norðbúgvar dýrkaðu guðarnar)
hov3	ansa tær; ansa nú eftir; lat nú vera; nú, nú;h. h!nú nú;h. pas nu pånú ansa nú eftir
hovbonde	(sø.) skyldubóndi, hirðbóndi, ófrælsur uppisitari, síhoveri
hovdyr	hóvdýr, tástígur [fullfíggjað hóvdýr eru ross, asnar og sebrur (hesi hava ongar tær); ófullfíggjað hóvdýr eru tapirar og nashyrningar, sum umframt hógv hava eina tá ella tvær tær]
hoved	1høvd, høvur, heysur;han er et h. højere endde andrehann er høvdið yvir hini;hun er et godth.hon er klók;have h. påhava timburmenn;holde hovedet højtvarðveita sjálvsvirðingina;holde hovedet oppeikki falla í fátt;læggehovedet i blødhugsa nógv;løfte hovedetgera rættiliga vart við seg;stikke hovedernesammenleggja saman ráð;det tør jeg give mith. påtí eri eg fullvísur í;han hænger medhovedeteinki er um hann;med hældende h.vangahallur;løfte hovedethyggja upp, lyfta høvdinum á;bøje hovedet i skamdrýpa høvur, lúta við høvdinum;bide hovedet af al skambíta høvdið av allari skomm;intet have at hældehovedet tileinki hava at halla høvur sítt á;hældesit h. tilhalla høvur sítt at;sanke gloende kul påhans h. (bíbl.)savna eldgløður á høvur hans (Róm. 12, 20);holde hovedet koldtvera sinniligur;tabe hovedetmissa tamarhaldið á sær; verða í øðini;løbe hovedet mod en murikki kunna fáa nakað gjørt;lægge hovedet påblokkenleggja heiðurin á;rive hovedet af énavhøvda ein, bíta høvdið av einum;stikke hovedet indenfor i butikkenstøkka inn á gólvið í handlinum2(serheiti) (á fugli) knokkur; (á kópi) grúkur(niðr.um fólk);putte i hovedetkoyra í grúkin; (á hvali) kúla;(tøkn.)høvur(t.d.hamarshøvur);(likam.)høvd á kynslimi; (í blaði) blaðhøvd (heitið);(plfr.)høvd(t.d.kálhøvd, salathøvd)3gávur, skil, vit;han har et godt h.hann er eitt forsligið høvd;følge sit eget h.ganga sínar egnu leiðir;dette er hverken til at få h. eller hale påher er hvørki høvd ella hali á;hvad man ikke har ihovedet, må man have i benenevánaligt minni kostar mangt sporið;bryde sit h.brýggja høvur;etlyst h.eitt ljós;vittigt h.skemtari, íspegil4ísamb.viðfsoghj- afslå noget af hovedetfáa eitt úr tonkunum, gloyma eitt;få en på sidenaf hovedetfáa ein undir vangan- efterdet gårikke efter mit h.tað gongst ikki sum eg vil, tað gongur ikki eftir mínum høvdi- forkort forhovedetbráður; bitutur, kvettin, snipsur, `hava góða tendring', snubbutur, hava lítið fyri pannuni- frafra h. til hale fráhøvdi til sporl, frá hvirli til ilja- fremstikke hovedet fremsiga sína hugsan- iforstyrret i hovedethøvuðlættur, ríggin í høvdinum, ørvitisligur;gal i hovedetuppøstur, argur, illur;banke det ind i hovedet påhambanka tað inn í høvdið á honum;stikkehovedet i buskenikki vilja síggja veruleikan;sætte én fluer i hovedetgera ein í ørviti;sætte signoget i hovedetseta sær eitt fyri;putte noget ihovedetfylla í grúkin;have noget i hovedethava kenning, hava eina føring- medhænge medhovedetvera í ringum lag;med hovedet op ogbenene nedsinniligur, umhugsin- oven islåoven i hovedetsláa í skallan- overoverhovedetomanfyri, uppi í luftini, uppiyvir, uppiá;over hals og h.yvir háls og herðar;se overhovedetforfjóna, lítilsvirða;skaffe tag overhovedethýsa;stå uden tag over hovedetikki hava tak yvir høvdið;trække det ned overhovedet på hamkroysta niður yvir ein, noyða eitt á ein;vokse én over hovedetvaksa einum upp um høvdið;grine over hele hovedetvera í skellilátri- prder betales 10 kr. pr. h.goldnar verða 10 kr. fyri hvønn- påpå hovedeteftir høvdinum; á høvdinum; øvigur;ryste på hovedetrista við høvdinum;stå på hovedet'`standa á høvdinum'; gera alt ein er mentur;falde påhovedetfara eftir høvdinum;om jeg stod påhovedetum eg so fekk gull fyri tað,Sum eg so meig í buksurnar, um eg so skrædnaði;springepå hovedetleypa eftir høvdinum;sætte en prispå ens h.lova virðisløn fyri ein;stille en sag påhovedetvenda eitt mál á høvdið, endavenda einum máli;få en på hovedetfáa ein undir vangan- tilvinen steg ham til hovedetvínið sló í høvdið;hans held er steget ham til hovedeteydnan er sligin í høvdið á honum- ud afslådet ud af hovedetikki hugsa um tað aftur
hoved-	aðal-, høvuðs-, fremstur, megin-;(t.d.)hovedindhold; hovedkonor
hovedaccent	(málfr.)høvuðsherðing, aðalherðing
hovedafdeling	høvuðsdeild
hovedafsnit	høvuðspartur, høvuðsgrein, høvuðsbrot
hovedaftale	høvuðsavtala, meginavtala
hovedagentur	høvuðsumboð, aðalumboð
hovedartikel	(bú.) høvuðsvøra, meginvøra
hovedattraktion	høvuðsatdráttur, høvuðsleikari
hovedbane	høvuðsjarnbreyt
hovedbanegård	høvuðsjarnbreytarstøð
hovedbeklædning	høvuðbúni, høvuðdúkur, høvuðklæði
hovedbestanddel	(bú.) høvuðsvøra; høvuðspartur; aðalevni, høvuðstægr
hovedbestyrelse	aðalstjórn
hovedbilag	høvuðsskjal
hovedblodåre	(likam.) meginbláæðr(vena cava)
hovedbog	(bú.) høvuðsbók;afslutte hovedbogenenda høvuðsbókina
hovedbogholder	(bú.) høvuðsbókhaldari
hovedbolt	(tøkn.) høvuðsboltur, stýriboltur, armásur í stýribúnaði
hovedbrud	høvuðbrýggj;opgaven voldte ham en del h.setningurin voldi honum nakað av høvuðbrýggi
hovedbund	(likam.)hársvørður;øm i hårbundenhársárur
hovedbygning	høvuðsbygningur(t.d.á góðsi)
hovedbøjning	nikk
hovedbåren	høvuðborin;hovedbårne høreapparaterhøvuðborin hoyritól
hoveddel	høvuðspartur, høvuðslutur
hoveddokument	høvuðsskjal, aðalskjal
hoveddæk	(sigl.) høvuðsdekk
hoveddør	høvuðsdyr
hovedelement	grundstovnur
hovedemne	høvuðsevni, aðalevni
hovedende	høvdalag
hovederhverv	høvuðsvinna
hovedfag	høvuðsgrein
hovedfaktor	megintáttur, høvuðstáttur
hovedfarver	frumlitir, meginlitir
hovedfejl	aðallýti, aðalvilla, aðalbrek
hovedfil	(teld.) yvirfíla
hovedfilm	høvuðsfilmur (móts.reklamer, forfilm)
hovedfjeder	(tøkn.) høvuðsfjøður, rekfjøður
hovedfløj	høvuðsborgararmur
hovedforbindeplads	høvuðsumbindingarstøð
hovedfærdselsåre	høvuðsferðsluleið, høvuðsvegur
hovedgade	høvuðsgøta
hovedgasledning	høvuðsgassleiðing
hovedgren	høvuðsgrein
hovedgærde	høvdalag
hovedgård	(sø.)høvuðsgarður (sum fleiri bóndagarðar hoyrael.hoyrdu til)
hovedhjørnesten	1høvuðshornasteinur2(fl.m.)grundvøllurin undir, týdningarmesti stuðulin
hovedhud	(likam.) skallahúð
hovedindeks	høvuðsstílur, høvuðsevnisskrá
hovedindgang	høvuðsdyrnar
hovedindhold	høvuðsinnihald, aðalevni;hovedindholdet afdastið av
hovedindtryk	heildarfatan, heildarmynd
hovedintervention	(løgfr.) millumgonga
hovedjagt	høvuðveiði (burturdottin siður hjá summum upprunafólkum)
hovedjæger	1høvuðveiðimaður (upprunafólk sum eltu fígginda til tess at fáa høvdini sum vórðu varðveitt sum sigurstekin)2(fl.m.)høvdafiskari (um ráðgevavirki sum hevur sum serøki at `fiska' dugnalig fólk til týðandi størv, ts. s.headhunter)
hovedkontor	høvuðsskrivstova;firmaets h.høvuðsskrivstova virkisinsel.felagsins
hovedkort	høvuðskort(serst.um tann partin av skattakorti ið skal verða latið inn hjá fasta arbeiðsgevaranum)
hovedkraft	(sjónl.) høvuðsleikari
hovedkulds	bráðræsin, brádligur, knappur; skundigur, fummisligur, hurl um burl, rundveltur, yvir háls og herðar, hvørt um annað, við ein brest, eftir høvdinum;h. faldhøvuðstoytur;h. fartbráðræsi, óhyggi, óráð;h. flugtrýming yvir háls og herðar;eth. bryllupeitt snarbrúdleyp-sumhjfareel.springe h.fara turnandi, leypa á grið(i);falde h.fara um koll;kaste sig h. ud i nogetleggja á bláman;springe h. af stedleypa á leistum, leypa avstað
hovedkvarter	høvuðslega, høvuðsstøð
hovedlandevej	høvuðsvegur
hovedledning	høvuðsleiðing;(tlf.)meginlinja
