n	(málfr.)consonant
nilk	1tiny little creatureel.thing;eitt nilka weakling;hon, sum er eitt sovorðið nilk og so ússaligshe who is such a tiny little creature and so poorly2small pieceel.bit;lat meg fáa eitt lítið nilk av hasi kakunigive me a small piece of that cake
nilksljómari	(fugl.)yellow-browed dowitcher(Phylloscopus inornatus)(Blyth, 1842)©Dave Curtis
nilkutur	(sj.)extremely small, slight, delicately built, slender
nillur	(stb.)boy's organel.member
nilta	1nibble, pinch; niltaburtur av matinumnibble of the food2chaff, tease, banter(eis. t.d.one can always get a rise out of him by praising the Union between the Faroes and Denmark)
nimmursdagur	sankta nimmursdagur day which never comes;(kvæð.) sankta nimmursdag skal brúdleypið vera[i.e.the wedding will never take place]
nina	1rock a child in one's lap; ninabarnibe rocking a child in one's lap2(barnam.)sit
nipil	(t.d. í ull)matted lumpel.knot; burls(flt),burling; (í floyal) tufts(flt)
nipin	disappointed, crestfallen, embarrassed, ashamed; nipinsum sleikt greytarsneisextremely disappointed
nipisligur	(forskammaður) ashamed; (illa við) embarrassed, awkward, sheepish, shy; (lotur) embarrassing, awkward;hatta mátti hava verið nipisligt hjá honumit must have been very awkward for him;hjnipisliga
nipla1	dark spot in wool
nipla2	(um plagg, of cloth) be frizzy;troyggjan niplar so illathe sweater is frizzy
niplutur	(t.d. um plagg, of clothing)with burls;troyggjan er so niplutthe sweater is frizzy
nippa	nibble;fiskurin nippaði íthe fish was nibbling at the bait;onkur nipti í í ermuna aftanífrásomeone plucked my sleeve from behind;nøkur børn vórðu nippað burturúrsome children were taken out of the ring of dancers
nippari	tweezers, pincers(flt); (lækn.)(dissecting) forceps
nippil	(handv.)nipple
nippilskrúva	(handv.)nipple screw
nips	(tlm.)knick-knacks, bric-à-brac; sísmáprýði
nipsnál	(tlm.)pushpin; pin; síprýðisnál
nipsting	sí(lítil)prýðislutur
nisp	sínispa
nispa	quite small lumpel.tuft of wool
nissa1	(fólktr.)pixy, pixie;(eis.)puck; leprechaun; brownie; gnome; síeis.vættur;jólanissansíjólamaður
nissa2	have a disagreeable taste; have an unpleasant aftertaste;spikið//tvøstið nissar eitt sindurthe whale blubber//the whale meat has a somewhat disagreeable taste
nissaroykur	disagreeable smell
nissja	(handilsm.)niche
nissur1	1disagreeable taste, unpleasant aftertaste; nissurgongur at kjøtinumthe meat has a disagreeable taste2disagreeable smell
nissur2	sínissa1
-nit	síill-
nitra	1egg of louse, nits(flt); nitrur í høvdinumhave nits2short ear (of corn)
nitrat	(evnafr.)nitrate
nitratbakteriur	(evnafr.)nitrate bacteria(flt)
nitroglyserin	(evnafr.)nitroglycerine
nitrukambur	fine (tooth) comb, fine-toothed comb
nivlungar	(sø.)Nibelungs(flt); evnið í Sjúrðarkvæðunum stavar frá samgermanska sagnaringinum um nivlungarthe subject matter of the Faroese Sjúrðarkvæði has its origin in (common) Germanic mythical heritage of the Nibelungs
ní	(kvæð.)nine;drukku og dansaðu í dagar níthey danced and drank for nine days
níð	scorn, derision; (vanvirðing) disdain; (mannminkan) insults
níða	(kvæð.)íosb. níða á e-ncommit a dastardly outrage against sby; attack and kill an unarmed man
níðingsgerð	infamousel.nefariousel.dastardly actionel.deed, outrage, infamy, villainy, dastardly outrage, knavery
níðingsligur	disgraceful, ignominious, shameful(t.d.conduct); discreditable, dishonourable; (vanæruligur) infamous, scandalous, outrageous(t.d.lie, conduct)
níðingsmein	(kvæð.)[mortal wound received in an dastardly attack]
níðingsskapur	villany, baseness; disgracefulel.dishonourableel.shameful conduct
níðingsverk	síníðingsgerð
níðingur	knave; (ræðuskítur) dastard, coward
níðskur	miserly, mean, stingy, tight-fisted, pinchpenny; níðskurog natinextremely stingy;níðskur sum Nábala skinflit
níðstong	(sø.)[monument of infamy]
níðyrking	satire, pasquinade
níga	1bend, stoop, bow (to sby), curtsey;níga fyri e-mheilsa við at níga bowel.curtsey to someone;teir nigu djúpt fyri honum2sink to one's knees; stagger(t.d.he staggered under the blow), fall
nígari	(dýr.)praying mantis©WIkimedia Commons
nígginieyga	(fisk.)sísúgari
níggju1	(kortsp.)h1nine;tvey níggjutwo nines;níggjunithe nine
níggju2	nine
níggjufaldur	ninefold;níggjufalt hurránine cheers
níggjund	(tónl.) ninth
níggjundi	ninth;níggjunda og tíggjunda boðiðthe ninth and tenth commandments;níggjundi aprílthe ninth of April
níggjutal	(figure) nine(t.d.his nines look like sevens)
níggjuti	ninety
nípa1	(stn.)mountain topel.high part which towers over a steep mountainside; steep mountainside with projecting peak; promonotory, headland, cape
nípa2	síullarnípa
nípa3	1hesturin stendur og nípirthe horse is hanging its head2(fl.m.)hang one's head, be silent; feel shameful, feel embarrassed, awkwardel.sheepish; be sulky;hatta situr bara og nípirthe chap's sitting hanging his head
nísa	(dý.)(common) porpoise(Phocaena phocaena)
níst	shriek, squeal, scream, cry;hann skar í eitt nísthe uttered a shrill shriek
nísta	squeal, shriek;barnið nístir og græturthe child is shrieking and crying;eis.gnísta
nístan	shrieking, squealing, whistling, screeching
nístibløðra	squeaking balloon
níta	sting, burn, smart, ache;hetta neit sera meintthis was a terrible blow;tað neit honum fastit was hard for him;tað neit henni í hjartað/at hjarta(num)it gave terrible pain to her heart, it pained her terribly, she was tormented by it
níti	ninety;í nítiárunumin the nineties
níting	(stab of) pain, twinge;hann misti fingurin, men tað komu ofta ógvuligar nítingar í stumpin, sum eftir stóðhe lost one of his fingers, but he had often terrible stabs of pain in the finger stump
nítiundi	ninetieth
nítjan	nineteen
nítjandapartur	nineteenth (part)
nítjandi	nineteenth
níva	1press (down), squeeze; nívaniður ápress down;níva e-n//e-t niðurpress down sby//sth;(fl.m.) níva e-m e-t afturpay sby back, get even with sby, be even with sby2(um fisk, of fish) pull gradually on the hook;longan nívdi áthe ling pulled hard on the handline3(um skip, of ship) pitch, plunge;skipið nívdi so nógv niður frammithe ship plunged4(sj.)make supple, pliantel.soft; nívaroðdress sheepskin5continually repeat the same thing;situr og nívir og nívirhe babbles incessantly about the same thing6cause (distress);tað er okkurt, ið nívir hannhe is distressed by sth, sth grieves him;nívandi tung tokaan oppressive and heavy fog;nívandi sorga consuming grief
njalla	(sj.)símjatla
njalta	(sj.)símjatla
njarðarvøttur	(dýr.)mermaid glove(Spongozoael.Porifera)
njella	1be loud and angry, scold, storm and rage;hon njellir og smellur um taðshe storms and rages about it;njella sum ein geitureki/bikkjascold like a bitch2knock, thump, clatter;tuflurnar njellathe clogs clatter
njóða	(handv.)rivet, clinch; njóðafyririvet a nail;hevur tú njóðað í endan á hasum boltinumhave you riveted the end of that bolt
njóra	singel.hum (in a particular monotonous way); njóraskjaldurhum a nonsense rhyme;hann njóraði lagið fyri hennihe hummed the tune to her
njósa	sneeze
njósarið	fit of neezing
njósi	sneezing;pipar elvir njósapepper causes sneezing
njósigass	(herm.)sneeze gas
njósipulvur	sneezing powder
njóskaturrur	bone-dry;hoyggið er so njóskaturtthe hay is bone-dry
njóskur	tinder, touchwood;eldføri var njóskur, tinna og stálthey used tinder, flint and steel as a tinderbox;turt sum njóskur(in)(um hoyggj, of hay) bone-dry
njósn	fáa njósn um e-tget wind of sth, learn about sth
njósnan	spying; espionage
njósnanarfylgisveinur	spy satellite;(tlm.)spy-in-the-sky
njósnanarskipan	espionage system, spy network
njósnarabøli	nest of spies
njósnarafilmur	(enskt) spy film, (am.) spy movie
njósnaragøla	spy scandal
njósnarareiður	nest of spies
njósnararingur	spy ring
njósnaraskaldsøga	spy novel, spy story
njósnaraskip	spy ship
njósnarastjóri	spy chief
njósnarasøga	spy story
njósnaratilburður	spy affair
njósnari	spy
njósnarsveinur	spy
njósnast	1be curiousel.inquisitive, (ógvuliganiðr.)be prying; njósnastum e-tbe curious to know about sth2spy, carry on espionage;(niðr.)snoop; njósnastfyri fremmant landspy/be a spy for a foreign country
njóstur	(stb.)sínjóskur
njóta	1have advantage of, benefit from, profit from, have pleasureel.help of, enjoy(t.d.a book, a good dinner, listening to music); take pleasure in(t.d.one's work); relish(t.d.one's food); savour(t.d.the bouquet of a wine); (meinfýsin) gloat over(t.d.one's revenge); njótablíðskapenjoy sby's hospitality;hann neyt gott av hennara strevihe benefitted from her work;njóta líviðenjoy life;njóta góðveðriðenjoy the fine weather2have(t.d.a glass of beer, a good breakfast); take(t.d.I never take wine); partake of(t.d.a meal, some mutton); (sum marglætio.tíl.)indulge in(t.d.on Sundays he indulged in a bottle of wine;we indulged in acream tea);hann beyð teimum inn at hvíla seg og at njóta eitt sindurhe invited them in to rest and to have sth to eat;hann kann einki njóta av feitum matirich/fat food disagrees/does not agree with him;mattrot var, og teir fingu tí so lítið at njóta, at teir liðu neyðthere was a shortage of food so they got so little to eat that they were starving;njóta rúsdrekkadrink spirits3be the object or subject of (sth bad); njótailtbe treated badly,eis.suffer pain;teir, ið skaðan høvdu notið, vóru ikki blíðirthe ones who had suffered the damage were furious;njóta mein av e-msth is harmful to one;(orðt.) ilt nýtst av illumevil causes evil;(kvæð.) ilt man eg av tær njótayou will expose me to danger;(orðt.) ilt nýtst av bráðræsi/bræði[more haste, less speed]
njótari	1person who enjoys sth; síeis.nýtari2(sum nýtur/fær góða) recipient
njótilsi	(tlm.)sínjóting
njóting	enjoyment(t.d.disturb him in his enjoyment of the play); pleasure; (við meiri áherðslu) delight, zest, gusto;(serst.um okkurt, ein smakkar) relish(t.d.he drank it with evident relish); (gleði) joy, delight, treat(t.d.it is a treat to hear him play the piano)
njótingarevni	stimulant
njótra	1singel.hum (in a particular monotonous way);hon situr og njótrar eina gamla vísushe's humming an old ballad2continually return to a subject which has been discussed; repeat sth ad nauseam;oddamenninir sita og keglast og njótrathe leaders are quarrelling and repeating themselves
N,n	>
nobelheiðursløn	the Nobel Prize (for);veita nobelheiðurslønaward the Nobel Prize(t.d.she was awarded the Nobel Prize for literature)
nobelheiðurslønarvinnari	Nobel Prize winner, Nobel Prize recipient, Nobel laureate, Nobelist
noð	1clinched end of a nail2the tip of a rock drill3(lækn.)osteophyte
noða1	ball of woolel.yarn;vinda noðawind (a yarn)
noða2	rivet, clinch; noðafyri (endan)rivet a nail;grótborurin verður noðaður í ovara enda av sleggjunithe tip of the rock drill is clinched by the sledge;noðastbend and thereby make double(t.d.the cutting edge of a knifeel.the edge of a metal sheet)
noðin	íosb. noðin og snoðinpolished and smooth
noðseymur	(bát.)rivet (for boat building)
noðuramerikani el.norðuramereikanari	North American
nokk	1[l](tlm.)enough(t.d.I have enough money); sufficient(t.d.we have sufficient food to last us a month)2[sumhj](tlm.)enough(t.d.old enough, quickly enough; I have money enough; I haven't slept enough); sufficiently(t.d.I cannot thank you sufficiently); (í ovurnøgd) plenty of(t.d.there is plenty of food);nú er nokknow's enough;hava nokk av e-mhave plenty of sth;nokk um taðthat is enough(el.that will do); probably(t.d.probably he will probably refuse); very likely(t.d.I shall very likely see you again); as likely as not(t.d.as likely as not he will forget the whole thing); I dare say(t.d.I dare say he will buy it); I suppose (t.d.eg má (heldur) faraI suppose I had better run); (verður tíðum týtt við:be sure to,t.d.hann kemur nokkhe is sure to come);tað er nokk ikki mangur, ið ger honum tað eftirthey are few who can rival his feat;nokk sofairly(t.d.large);tað er nokk so langt síðaniit is some time ago; sínóg
nokki1	1koma/renna upp í nokkabe entangled, get into a mess; come to nothing(t.d.the project came to nothing); peter out(t.d.the reform movement petered out)2(sigl.)(á rá) head, (á gafli) peak;úti á nokkanumon the yard head
nokki2	(kvæð.)small boat
nokta	1(nokta at eitt er rætt) deny(t.d.deny the truth of a statement; he denied having having done itel.he denied hat he had done it)2(havna) refuse(t.d.he refused to come); (fólkaligari) decline(t.d.he was invited to join the society, but he declined); withhold(t.d.one's assistance, one's consent)3(nokta seg sekan) deny the charge; (í rættinum) plead not guilty4[íyms.samb.]nokta at góðtaka veksilrefuse acceptance (of a bill), dishonour a bill (by non-acceptance);hann noktaði fyri tíhe denied it firmly/categorically;hann noktaði at hjalpa mærhe flatly refused to help me;tað noktast ikkiit cannot be denied, there is no denying it,(tlm.)there is no getting away from it;nokta e-m e-trefuse sby sth; deny sby sth(t.d.he can deny her nothing);nokta upptøku(í blaði) refuse to print; (í klubba) refuse admission; (við atkvøðugreiðslu) blackball5[ísamb.við ,,at"]noktaatrefuse to(t.d.surrender);nokta at gjaldarefuse to pay, refuse payment;nokta at gjalda skuldrefuse to pay, renege on one's debts;nokta at taka við e-mrefuse to accept sth, refuse sth, decline sth;nokta at úttala seg(til fjølmiðlaro.tíl.)refuse to give a statement, refuse to comment; (um ákærdan) refuse to speak, reserve one's defenceel. (am. eis.)invoke the Fifth Amendment;nokta at standa við givin lyftigo back/renege on one's promise;nokta at venda (sigl.)miss stays
noktan	denial; refusal; sínokta
-nol	síhoy-
-nolla	síó-
nom	sínæmur
nomin	sínema
nomisligt	1awkward(t.d.an awkward moment//pause//silence//situation), embarrassing(t.d.moment//question//situation), inconvenient;tað er so nomisligt at skula út at lænait's awkward to have to go out and borrow things;tað er nomisligt einki at eiga inni, tá ið fólk kemurit makes me look pretty silly when people pay me a visit and I have nothing to offer them2inadequate;tað er so nomisligt ikki at kunna svara, tá ið onkur spyrone feels inadequate when one is not able to answer a question
