e	(eis. tónl.)E, e
eni	(stb.)pent-up rage,nú er eni í honumhe is full of suppressed rage
enn1	(kvæð.)but
enn2	(eftir miðstig) than,hann er størri enn túhe is bigger than you;ikki meir ennnot more than;fyrr ennbefore
enn3	1(stb.)if, whether,eg veit ikki, enn eg fariI don't know if I go2although,hann fer ikki, enn hann verður biðin fleiri ferðirhe is not going although he has been asked several times
enn4	1even,enn betrieven better2still, yet;hon svevur ennshe is still asleep;enn á døgum;enn sum áðurstill3once more, once again4(gl.)again
enni	1forehead, brow2projection
ennibein	(lívfr.)frontal bone (os frontale)
ennigul ont	(fugl.)Eurasian wigion(Anas penelope)(Linnaeus, 1758)Anas penelope ©iStock
ennigulur	(fugl.)Eurasian wigion síennigul ont
ennihola	(lívfr.)frontal sinus
enniholubruni	(lækn.)frontal sinusitis;(tlm.)sinus trouble
ennihvítur	(um ross) with white blaze;ennihvít gáslesser white-fronted goose(ansar erythropus);ennihvít ternabridled tern
ennisband	headband;(sø.)frontlet
ennisbrattur	with high forehead
ennisbreiður	with broad brow
ennisfattur	(kvæð.)with head erect, with one's head held high
ennislað	diadem, tiara
ennislágur	with low forehead
ennissvartur	lesser grey shrike
ennisvartur tyrningur	(fugl.)lesser grey shrike(Lanius minor)(Gmelin, 1788)
enntá1	though, in spite of the fact that
enntá2	1at that, even,enntá betribetter still;og tað er enntá ikki tað ringastaand that isn't the worst of it either; and that isn't even the worst of it; but there was worse to come;og so var hann enntá júst byrjaðurand he was only a beginner; and he was only a beginner at that2still, (as) yet
enntó	(kvæð.)although,enntó hon er ein kvinnaalthough she is a woman
enska	(kvæð.)English (language)
ensk-amerikanskur	Anglo-American
ensk-franskur	Anglo-French
ensktfíggindaligur	anti-English, anglophobe
ensktsinnaður	pro-English, anglophile
enskttalandi	English-speaking(t.d.minority), Anglophone, Anglophonic
enskur	English; (enskt mál)ensktEnglish (language);á enskumin English;hvat eitur stólur á enskum?what is the English for stólur?enskur búffursteak and onions;ensk - føroysk orðabókEnglish-Faroese dictionary;enskar vørurBritish goods
enta	(sa.) hon entir ikki afturshe doesn't answer at all
entreprenørur	síverktakari
entur	síont
eosentíð	(jarðfr.; frá 56 til 33,9 mill ár síðan) the Eocene Epoch; eis.eosenøld
eosenøld	(jarðfr.; frá 56 til 33,9 mill ár síðan) the Eocene Epoch
epa	síøpa
epidemi	síumfarsjúka, farsótt
epigon	síeftirslóðari
epigramm	epigram
epikari	sífrásøguskald
epikureari	Epicurean
epikur(e)iskur	Epicurean
epilepsi	síniðurfalssótt
epileptikari	síniðurfalssjúklingur
epileptiskur	síniðurfalssjúkur
episkur	sífrásøgu-
epistul	(kirkj.)epistle
epl	(Suð.)síepli
eplaár	gott eplaár good year for potatoes
eplabing	[box for storing potatoes]
eplabløðka	sprouting leaf of potato
eplabrennivín	potato spirit(s)
epladáli	potato slice
eplaertur	very small potato
eplaflus	potato peeling
eplaflykra	potato chip
eplaflysari	potato peeler
eplafrukt	potato crop
eplagoymsla	potatostore
eplagrøði	potato crop
eplahaki	potato hook
eplahús	(svarar til)potato cellar
eplakassi	síeplabing
eplakrubba	síeplabing
eplamamma	rotten seed potato
eplamjøl	potato flour, potato starch; (í Ongl, verður ofta brúkt) cornflour; (áam.verður ofta brúkt í staðin) cornstarch
eplamorl	mashed potato
eplamunni	eye of a potato
eplanál	shoot on a seed potato
eplaneyð	shortage of potatoes
eplanøs	(tlm.)bottle nose, bulbous nose
eplaperla	(stb.)síeplaertur
eplaplógv	(at ryggja við) hoe plough; (at taka upp) potato lifter
eplapulvur	instant mash
eplaryggur	potato ridge
eplasalat	potato salad
eplasekkur	bag of potatoes
eplasjúka	potato disease
eplaskiljing	potato sorting
eplaskrubb	(plfr.)common scab
eplaslokkur	potato stalk
eplaspilla	potato blight
eplastelkur	potato stalk
eplasúpan	potato soup
eplateigur	small potato field
eplatrog	síeplabing
eplavelta	potato field
eplavelting	potato growing
eplavísi	síeplaslokkur
epli	1(plfr.)potato2(kvæð., bíbl.)apple3[íyms. samb.]bakað eplibaked potatoes;brúnkað eplicaramelled potatoes;(am.)candied potatoes;flysa eplipeel potatoes;hvít epliboiled potatoes;kinesisk epli(yams) yams;kókað epliboiled potatoes;nýggj eplinew potatoes;seta epli niðurplant(el.sow, dig) potatoes;steikt eplifried potatoes;stúvað epli[potatoes in white sauce];taka epli upplift potatoes
eplibing	síeplabing
eplisfrukt	(gl.) síeplafrukt
eplishús	(gl.) síeplahús
eplismjøl	(gl.) síeplamjøl
eplutur	(seyðal.)with grey spots
erbylgja	(alisfr.)microwave
erbylgjuleinki	microwave link
erbylgjuovnur	microwave (oven);gera í erbylgjuovnimicrowave; (sum kann verða brúktur í erbylguovni) microwaveable(t.d.plate)
erfilmur	microfilm
erfínur	very finely spun
erga	síørga
ergamal	(sa.)ancient, exceedingly old
ergeril	(teld.)microprocessor
ergoterapeutur	occupational therapist (an occupational therapist was hired at the office)
erji	(óregl.)->eyrriði
erka-	(niðr.)consummate(t.d.villain); utter, out-and-out(t.d.Conservative); egregious; arch-; arrant(t.d.knave); (framman fyril.)utterly;síerki-
erkibiskupadømi	archbishopric; (um embætieis.)archiepiscopate
erkibiskupaligur	archiepiscopal
erkibiskupasæti	archiepiscopal see
erkibiskupur	archbishop; (í Onglandieis.)Primate;hansara hávirðileiki erkibiskupurin av Canterburyhis Grace the Archbishop of Canterbury
erkieingil	archangel
erkihertogi	archduke(t.d.the Archduke Maximilian)
erkistólur	(sø.)archiepiscopal see
erkvisin	sensitive; sensitive to(t.d.cold, pain, ridicule); susceptible to(t.d.pain);(fl.m.)sensitive, touchy(t.d.he is very touchy); thin-skinned, particular;erkvisin hasum viðvíkjanditouchy on that point;erkvisin tá ið tað snýr seg hansara ærube sensitive about one's honour, be touchy(el.particular) on points of honour
erkvisni -s	sensitiveness, sensitivity, susceptibility, touchiness
erkymla	síørkymla
erla	(fugl.) erla kongsdóttirwhite wagtail(Motacilla alba alba)(Linnaeus, 1758)Motacilla alba alba ©Miltos Gikas
erlamin	(sa.)paralysed
erligur	síærligur
erljótur	(sa.)hideous
erma	sleeve;stuttar (, langar) ermarshort (, long) sleeves;bretta ermarnar upproll up one's sleeves;(fl.m.: fara undir eitt) get down to it; get cracking
ermagat	síermahol
ermahaldari	sleeve garter
ermahol	armhole
ermaleysur	sleeveless
Ermarsund	(sern.)the Channel
Ermarsundstunnilin	(sern.)the Channel Tunnel;(tlm.)the Chunnel
ermastuttur	with short sleeves
ermi	síerma
ermøri	(um seyð, sj. um fólk) debility
ernast	be encouraged, be enlivened, liven up, cheer up, brighten up;(tlm.)chuff ups
erni	pride
erotikari	amorist, eroticist
erotikkur	eroticism; (kann ofta verða endurgivið) sex(t.d.the only thing he is interested in is sex);tosa um erotikktalk sex.
erotisera	eroticize
erotiskur	1hjsexually, amorously, erotically2sexual, amorous, amatory, love, erotic;erotisk yrkinglove (, erotic) poem
erotomani	erotomania
erotomanur	erotomaniac
erpa -	í osb: erpa - sær give oneself airs, show off; put on side, throw one's weight about;erpa - sær av e-mboast about something
erpikjaftur	(stb.)braggart, boaster
erpin	1conceited;(tlm.)stuck-up, bumptious, cocky, sidy, sniffy, snooty; (hástórur) pompous(t.d.he is a pompous ass); (sjálvglaður) self-satisfied, self-important(GG:he thinks a lot of himself), swaggering, given to swaggering about;hann er so erpin (eis.)he fancies himself;(tlm.)he thinks a lot of himself; he has a swelled head; he is swollen-headed(el.big-headed); he's a bighead2proud;síerrin(2)
erpinskapur	conceit, conceitedness;síannarserrinskapur
erpiskítur	(niðr.)show-off, conceited ass;(gl.)coxcomb, pompous ass;(tlm.)bighead;(skúlamál)swank; stuck-up fellow
erpisligur	1hj-ligain a conceited (, stuck-up, self-important, swaggering) way (, manner)2rather proud (, conceited, stuck-up, conceited, self-important)
erpnast	síernast
erpnavætti	big head, show-off, smart aleck
erpni	síerrinskapur
err	(kvæð.)scar, cicatrix,eg beri errið ennI still carry the scar
erra	1erra uppencourage; make brave (, spirited, bold); make (someone) hold his head high (buck himself up, pull himself together);erra seg upptake one's courage in both hands;erra særgive oneself airs, show off, put on side, throw one's weight about2errastbecome braver (, bolder, more spirited)
errin	1unblushing, cheeky; conceited2vera errin avbe proud of(GG:we were proud to have been selected for the task); pride oneself on(t.d.having invented the process); be pleased with oneself for(t.d.having won); take pride in(t.d.one's work); be vain of(t.d.one's moustache); glory in(t.d.one's nationality)
errinskapur	1conceit, conceitedness, self-importance, pompousness, pomposity, haughtiness;(tlm.)bumptiousness, cockiness, side(t.d.he's a nice fellow, no side or anything like that); swank2pride
errisligur	síerpin(1);hj-liga
ersmáur	(stb.)tiny, diminutive
erta	tease, rile, banter, chaff
ertari	tease, teaser
ertelda	(teld.)microcomputer
ertin	teasing; mischievous; mocking; waggish;hann er so ertin (eis.)he is a tease/a leg-puller
erting	teasing, banter, chaff; practical jokes
ertingarhugur	waggishness; mocking disposition
ertingarsamur	síertin
ertisamur	síertin
ertnabjølgur	(pea) pod; (við ongum ertum) (pea) shell
ertnablóma	(plfr.)pea flower
ertnablómuætt	(plfr.)the pea family;(am.)the pulse family(Fabaceae)
ertnabyrsa	peashooter
ertnabøn	(plfr.)pigeon pea, Congo pea (Cajanus indicus)
ertnagrønur	pea-green
ertnahamur	(plfr.)(pea) pod; (við ongum ertrum) (pea) shell
ertnasúpan	pea soup
ertrevja	(nýggjy.) microfiber
ertur	pea, garden pea, common pea(Pisum sativum); kloyvdar ertrarsplit peas;gráar ertrarfield peas(Pisum arvense); grønar ertrargreen peas;gular ertrarsplit peas; (súpan) pea soup;Prinsessan á ertrini(eftir H. C. Andersen) the Princess and(el.on) the Pea; the Real Princess
erur	(gl.,Sa.)síørur
erva1	síarva
erva2	í osb:í ervaabove, on the top(á e-m),in the uppermost parts, in the high-lying parts;seyðurin var í ervathe sheep were in the high-lying pastures;úr ervafrom above, from the uppermost parts
ervabit	high-lying pasture
ervað	(skaldsk.)toil
ervafylgi	[flock of sheep on a high-lying pasture]
ervagass	shallow gass
ervahagi	high-lying pasture (, outfield)
ervakavi	mountain-snow
ervaljós	(í rúmi) overhead light; (í taki) roof light; skylight
ervamjørki	mountain-fog
ervamorena	(jarðfr.) supraglacial moraine
ervaseyður	[sheep which grazes high in the mountains]
ervasjógvur	surface water
ervavatn	shallow water
ervi	funeral feast, wake;drekka ervigather for a wake, drink funeral ale
ervingaleysur	(gl.)without heirs
ervingi	síarvingi
ervingur	síarvingi
ES	EvropasamveldiðEuropean Union; (st.) EU
esil	(dýr.)ass, donkey;(tlm.)moke; (ókvæmisorð) jackass, ass
esilshøvd	(skip.)cap
esja	1(um bleytt skarn) ferment; stink, reek, smell of putrefaction2(undir fótunum) splash, lap, ripple
esjan	1ferment; stink, reek2splash
eskja	box(t.d.a box of chocolates (, of matches)); case(t.d.jewel case); (úr pappi) (cardboard) box; (úr blikki) tin box, tin; (úr viði) (wooden) box
esmaður	síheksmaður
esmæli	(óregl.)->eygsmæli
Esop	(sern.)Esop's dømi Aesop's fables
esp	(plfr.)síøsp
espalier	sívakstrargrind
espingur	(kvæð.)small boat, smack, ferry-boat
espressokaffi	espresso
ess1	(kortsp.)ace;spaðar essthe ace of spades
ess2	(tlm.)í osb: vera í essinum be in high spirits; be high-spirited; (væl fyri) be in fine form;ikki vera í essinumfeel out of sorts
essay	síritroynd
essayistur	síritroyndarhøvundur
estetikari	fagurfrøðingur
estetikkur	sífagurfrøði
estetiskur	sífagurfrøðiligur
estiskur	Estonian
Estland	Estonia
estlendingur	Estonian
estlendskur	Estonian
eta	1(áv.)eat(t.d.bread);eta døgurðahave dinner(t.d.when do you have dinner?); have(el.take) one's dinner; (hátíðarligari) dine;eta morgunmathave (one's) breakfast, breakfast;eta nátturðahave (one's) supper;(gl.)sup2(óáv.)eat(t.d.he won't eat); have breakfast (, lunch, dinnero.tíl), have(el.eat) one's breakfast (, lunch, dinnero.tíl.);have sth to eat; (hátíðarligari) take nourishment(t.d.the prisoner refused to take nourishment); partake of food(t.d.he had not partaken of food for a week)3(óáv.)(vanliga at eta úti) have(el.take) one's meals(t.d.at a restaurant), eat4(óáv.)(eta hjá) have(el.take) one's meals, board(t.d.with a family)5[ísamb.viðhj]eta grammligaeat heartily; fall to with a hearty appetite;eta hampiligahave good table manners; (um barn) eat nicely; eat properly;eg eti lítiðI am a light eater;eta meira enn gott erovereat;hann etur nógvhe is a great(el.heartyel.heavy) eater;(tlm.)stuff oneself;eta skjótteat quickly, hurry through one's dinner (, luncho.tíl.);bolt one's food;eta væleat well, eat good food; !;mann etur væl hjá honumhe keeps a good table; he does you well6[ísamb.viðfs/hj]aveta av e-m(matgerð) eat some (, any) of sth(t.d. don'teat any of that pie!); (av borðiskit.d.)eat off sth(t.d.off gold plates); eat out of sth(t.d.you eat this dish out of a soup plate);eta av hondini (eis. fl.m.)eat out of sby's hand;áeta á matstovudine (, luncho.s.fr.)at a restaurant; have one's meals at a restaurant;fyrieta fyri fýraeat enough for four (people);hjáeta hjá (e-m)dine (, luncho.s.fr.)with sby; have one's meals with sby;íeta orðini í seg aftureat one's words;tileta høsnarunga til døgurðahave a chicken for dinner; dine off(el.on) a chicken;uppeta uppfinish one's food (, porridge, dinnero.tíl.);clean up one's plate;eta sínar ognir upprun through one's fortune;útfara út at etago out and have sth to eat; go out for a meal; eat out; go out for one's meals;útieta útidine (, eato.s.fr.)out(t.d.I am dining out tonight); (uttandura) dine (o.s.fr.)outdoors, have an outdoor meal;eta e-n út úr húsunumeat sby out of house and home;viðkemur tú at eta við?won't you join us?7[íyms.samb.]fáa eitt sindur atetahave sth to eat, have a bite (to eat);teyetaennthey are still at dinner (, luncho.tíl.); vit vóru akkurát farin atetawe had just begun eating(el.dinner (, luncho.tíl.); ger so væl og etwon't you have some(t.d.meat)?,(tlm.)dig in;honum dámar at eta gotthe likes to do himself well;nær eta tygum?when do you have your meals (, dinnero.tíl.)? hann etur teg ikkihe won't bite you;eta seg mettanget enough to eat, eat one's fill
