ó-	un-(t.d.uninterrupted); im-(t.d.improper); il-(t.d.illegal); ir-(t.d.irregular); non-(t.d.non-professional); not(t.d.not previously mentioned
ósagdur	unspoken, unsaid;ósøgd orðunspoken words;nógv av hesum er ósagt á føroyskum fyrrmuch of this has not been spoken in Faroese up to now;lata e-t vera ósagtthings better left unsaid;ósøgd fortreyt (løgfr.)tacit/implied condition;ósagt fyrivarni (eis. løgfr.)mental reservation;ósøgd játtan (løgfr.)tacit/implied consent
ósakligur	amateurish(t.d.a quite amateurish treatment of the question); unprofessional; (sum ikki nertur við málið) irrelevant(t.d.remarks), not to the point; (partískur) not objective, not factual; (tíðum) emotional(t.d.his emotional approach to the problem)
ósaltaður	unsalted(t.d.butter, meat), saltless; ósaltaðurfiskurunsalted fish;ósaltað smørunsalted butter
ósaltur	saltless, without salt
ósamanhangandi	incoherent(t.d.ideas; reasoning; speech; he became incoherent when he drank too much); disjointed(t.d.sentences; statement); disconnected(t.d.speech; style); inconsequent(t.d.ideas; reasoning); rambling(t.d.talk; thoughts); (sum er ikki ein heild) unconnected(t.d.a number of unconnected poems); fragmentary
ósamansettur	(ikki samansettur) simple, uncompounded, incomplex; (einfaldur) simple(t.d.construction, mechanism, sentence);(plfr.) ósamansett blaðsimple leaf;ósamansett lyndian incomplex character;ósamansett orðsimplex;ósamansett tíð (málfr.)simple tense;ósamansett eyga (dýr.)simple eye, ocellus(flt-i)
ósambæri	1discrepancy(t.d.a discrepancy between the two statements); divergence(t.d.of one text from another); incongruity; inconsistency(t.d.the inconsistency of this explanation with his former statement); irregularity(t.d.certain irregularities in the accounts);láturligt ósambæri millum dómin og alla gongdinaa ridiculous discrepancy between the sentence and the consideration of the case;ósambæri er millum báðar framsagnirnar (eis.)the two statements do not agree, the two statements are mutually inconsistent2incompatibility(t.d.two theories); inconsistency
ósambæriligur	1incongruous, inconsistent; discrepant(t.d.statements); conflicting(t.d.evidence; opinions);vera ósambæriligur (eis.)disagree(t.d.the two reports disagree);vera ósambæriligur við (t.e.ikki í samljóði við) be out of harmony with;ósambæriligar uppfatanirconflicting opinions2incompatible(t.d.our membership of UN is incompatible with isolationism; mutually incompatible duties//theories); inconsistent(viðwith); irreconcilable(viðwith)(eis. t.d.the two explanations are mutually exclusive)3unseemly(t.d.behaviour; remark); improper, indecorous; (skendskari) indecent4unlikely(t.d.it is not at all unlikely that he will come); improbable; unconvincing(t.d.an unconvincing explanation; the book is full of unconvincing characters)5who cannot agree;føroyingar eru so ósambæriligirFaroemen differ in opinion, faroemen are so irreconcilable);hjósambæriliga
ósambærligur	síósambæriligur;hjósambærliga
ósamdur	disagreeing, who cannot agree, not in agreement;teir eru ósamdirthey disagree
ósamheingi	(í stílfrøði) anacoluthon(fltanacolutha)
ósamljóð	discord, disharmony, dissonance; símisljóð
ósamljóðandi	discordant, disharmonious, jarring; símisljóðandi
ósammiðjaður	(tøkn.)eccentric
ósammælin	(stfr.)incommensurable (with)
ósams	who cannot agree, disagreeing, not in agreement;vera ósams um e-tdisagree about sth
ósamsvar	1discrepancy(t.d.a discrepancy between the two statements); divergence(t.d.of one text from another); incongruity; inconsistency(t.d.the inconsistency of this explanation with his former statement); irregularity(t.d.certain irregularities in the accounts);tað er ósamsvar millum uppskriftirnarthere is a divergence between the recordings//texts2(jarðfr.)asymmetry
ósamsvarandi	incongruous, inconsistent; discrepant(t.d.statements); conflicting(t.d.evidence; opinions);vera ósamsvarandi (eis.)disagree(t.d.the two reports disagree);vera ósamsvarandi við (t.e.ikki í samljóði við) be out of harmony with
ósamunni	(á á) mouth, entrance; (á stórari á) estuary
ósannindi	(lygn) untruth, falsehood, lie;siga ósanninditell lies;fara við ósannindumlie
ósannleiki	(lygn) untruth, falsehood, lie;alt, har stendur skrivað, er jú bert ósannleikievery word of that account is false
ósannlíkur	unlikely(t.d.it is not at all unlikely that he will come); improbable; unconvincing(t.d.an unconvincing explanation; the book is full of unconvincing characters);tað er ósannlíkt, at...it is unlikely that
ósannur	1(um fólk, of people) untruthful2(um frásøgn) untrue(t.d.story); untruthful(t.d.an untruthful account); unveracious(t.d.statement); false(t.d.accusation, report);hetta er ósattthis is untrue3[sumhj]ósatt; untruthfully;av ósonnumwrongly(t.d.accused); unjustly;(t.e.fortreytirnar eru skeivar) mistakenly(t.d.attributed to Shakespeare)
ósarák	estuary current
ósaskrubba	(fisk.)flounder(Platichthys flesus)
ósavatn	brackish water
ósáddur	not sowed, unsowedel.unsown; ósáddurakuran unsowed field
ósámiligur	unseemly(t.d.behaviour; remark); improper, indecorous; (skendskari) indecent;hjósámiliga
ósáttur	síósamdur
ósekaður	(bíbl.)síósekur
ósekur	innocent(íof)(t.d.innocent of a crime); not guilty(íof)(t.d.of theft); guiltless(íof)(t.d.guiltless of any offence);siga ákærda at vera ósekan(um nevningar) find the prisoner not guilty;siga seg at vera ósekanassert one's innocence; (harmafullur) protest one's innocence;(løgfr.)plead not guilty
óseldur	unsold;óseldur eintøk av bókiniunsold copies
óseljandi	unsal(e)able; óseljandilutirunsal(e)able articles;vørurnar eru óseljandi(tí framboðið er ov stórt) the goods are a drug on/in the market
ósemja	difference (of opinion), disagreement(millumbetween;viðvíkjandi, umabout, as to); (klandur) quarrel, dispute, disagreement, discord;elva til ósemju í familjucause discord in a family;elva til ósemju teirra millummake bad blood between them,(tlm.)set them by the ears;ástøðið hevur elvt til ósemjuthe theory is in dispute
ósemjast	quarrel, differ in opinion;teir ósemjast altíðthey always quarrel
ósemjuhandfaring	conflict handling, conflict management
ósettur	(um starv) vacant;ósett starvvacancy
óshylur	delta lagoon
ósi	estuary, mouth of a river, streamel.brook
ósiðaður	ill-bred, ill-mannered, unmannerly, rude;munur millum ta siðsomu og ósiðaðu menniskjunathe difference between a well-bred and an ill-bred person;ósiðaður atburðurill-mannered behaviour
ósiðagerð	evil act(ion), misdeed, outrage, crime, misdeed, atrocity;ongar listilærdar ósiðagerðir fáa bast tíno cunning and evil acts can stop it
ósiðalag	immorality;nú kemur samfelagið knappliga eitt skifti aftur í ósiðalagsuddenly the society once more elapses into immorality
ósiðaligur	improper, unseemly, indecent, immoral
ósiðalív	leading a bad life
ósiðaskapur	immorality;hetta kundi elva til versta ósiðaskapthis could cause immorality of the worst kind
ósiðiligur	immoral;bøkur, sum fólk hava hildið verið ósiðiligarbooks that people have considered to be immoral;ósiðilig hugmóðunbecoming arrogance
ósiðsemi	lack of breeding, philistinism; unmannerliness, rudeness
ósiður	badel.objectionable habit, objectionableel.irritating practiceel.custom; nuisance, abuse;tað er ósiður at halda langar røðurmaking long speeches is an irritating/objectionable custom
ósigandi	1unspeakable(t.d.confusion; grief); ineffable(t.d.conceit); unutterable(t.d.astonishment); inexpressible(t.d.grief); (ólýsandi) unutterable(t.d.longing); ineffable(t.d.joy); unspeakable; (sum ikki kann sigast við orðum,eis.)inexpressible(t.d.music is the language of the inexpressible);sál og kroppur eru fylt við ósigandi sælubody and soul are filled with ineffable joy2[sumhj]ósigandi stór gávainconceivably big present;ósigandi vakur songurinexpressibly beautiful song
ósigiligur	1síósigandi;ein ósigilig frøi skolaði gjøgnum hannan ineffable feeling of joy welled up in him2[sumhj]ósigiliga;ósigiliga elskuligurindescribably lovable
ósiglandi	(sigl.)unnavigable(t.d.waters)
ósigrandi	invincible(t.d.army; opposition); unconquerable; unbeatable
ósigur	1(eis.ífl.m.)defeat; (stórur ósigur) débâcle; (lítil ósigur) reverse, setback;(fl.m. eis.)frustration(s)(t.d.his life was one succession of frustrations);oyðandi ósigurshattering/crushing defeat;havael.vera fyri ósigribe defeated, sustain a defeat, suffer (a) defeat);vera fyri ruddiligum ósigribe signally defeated2íosb. tað er ósigur í honum(um smádrong, of a small boy) he will not thrive, his development has been arrested3(t.d. fótb.) defeat, loss;ósigur el. tap á heimavøllihome defeatel. home loss
ósjarmerandi	charmless
ósjálvbjargin	dependent (on)
ósjálvfruktandi	(plfr.)self-incompatible
ósjálvrátt	subconsciously
ósjálvstøðugur	dependent on others; (tíðum) weak;ósjálvstøðugt avrikwork without originality, work without original research;hann er ov ósjálvstøðugur í arbeiðinumhe has no initiative, he is too dependent on others
ósjálvsøkin	unselfish(t.d.life; motive; person); disinterested, altruistic; (ógvisligari orðað) selfless;óuppgjørdur og ósjálvsøkin var hannhe was unpretentious and unselfish
ósjálvsøkni	unselfishness, disinterestedness, altruism; selflessness
ósjón	(serst.um lutir,espof things) uglyel.hideous sight, spectacleel.thing;brúgvin er ein ósjón frá farnari tíðthe bridge is a hideous old piece of work
ósjónligur	1invisible; (sum ikki hómast) imperceptible;ósjónligt blekkinvisible ink;ósjónligur útflutningurinvisible exports(flt) (el.invisiblesflt); sum ikki sæst við berum eyguminvisible(el.imperceptible) to the naked eye;Gud er ósjónligurGod is invisible;í ósjónligum ljósiin invisible light2ugly, hideous;hann var ósjónligur at síggjahe was ugly to look at;alt var sorað sundur og sá ósjónligt úteverything had been demolished and it was ugly to watch3(jarðfr.)aphanitic;hjósjónliga
óskaddur	1unhurt(t.d.he was unhurt); unharmed(t.d.the town was unharmed by the air raid); uninjured(t.d.the uninjured passengers; the vital parts are uninjured); intact(t.d.the cargo arrived intact); safe(t.d.he came home safe from the war; bring sth back safe); safely(t.d.the goods arrived safely); (um fólkeis.)safe and sound(t.d.he came back safe and sound); unscathed; (um lutireis.)undamaged, in goodel.sound condition;teir komu óskaddir (í øllum góðum) inn um Múlanthey came safely inside the Múli (a headland);eggini lógu óskaddthe eggs lay unharmed2(bíbl.)clear, clean, immaculate;eg leggi mær sjálvum eina við altíð at hava óskadda samvitsku fyri Guði og monnumI always try to keep my conscience clear as regards God and men
óskaðiligur	harmless(t.d.drug); innocuous(t.d.microbes); inoffensive, innoxious;gera óskaðiliganrender harmless(t.d.the bombs were rendered harmless); render(t.d.a mine) innocuous; (berja niður) neutralize; (gera ikki vápnaføran) disable(t.d.a ship); (avvápna) disarm
óskaffiligur	shapeless, formless; deformed, misshapen(t.d.monster);tey eru so óskaffilig, teimum klæðir ikki føroysk klæðir(illa vaksin) they are so shapeless, Faroese national dress does not become them;við óskaffiligum fingrumhaving plump fingers
óskakandi	unshak(e)able(t.d.conviction; devotion to sby; loyalty); immovable(t.d.resolution); unyielding(t.d.determination; person); unswerving(t.d.loyalty); unwavering(t.d.fortitude); unfailing(t.d.faith; optimism), inflexible; firm(t.d.as a rock); (sum ikki letur seg órógva) imperturbable; unbudgeable
óskalaður	unharmed, uninjured, unhurt;tað var við neyð og deyð, at hann slapp óskalaður heim afturhe came home safely, but it was a near thing;tann, ið spottar deyðan mann, sleppur ikki óskalaðurhe who sneers at a dead man shall live to repent it
óskalisbræv	(løgfr.)indemnity bond, letter of indemnity
óskalisgjald	indemnity;geva/veita e-m óskalisgjaldindemnify sby
óskammaður	without needing to beel.feel embarrassedel.be self-consciousel.be shy;tú gongur óskammaður í hasumyou need not feel embarrassed about wearing those clothes;hann gekk óskammaður millum mannahe did not see any need to have a guilty conscience, there was no need to be/feel ashamed of himself
óskapiligur	1shapeless, formless; deformed, misshapen(t.d.monster);eitt óskapiligt skrímsla deformed monster;langir og óskapiligir skuggarlong and twisted shadows2[sumhj]óskapiliga;kassi ið er ófantaliga og óskapiliga smíðaðura clumsy and botched-up box
óskattaður	tax-free
óskeftur	not fitted with a handleel.shaft
óskepna	misfortune, ill fortune
óskepnuligur	unfortunate, unlucky, pursued by fate;óskepnulig lagnaa hard/unkind fate
óskepnumaður	(sj.)accident-prone man, man dogged by ill luck/misfortune
óskerdur	1not clipped, not pinioned; óskerdurgásarstegginot clipped gander2absolute, unrestricted, unlimited, unbound;óskert frælsiunrestricted liberty;óskert valdabsolute power;óskerdur myndugleiki(full) discretionary power;óskert kavbátakríggjunrestricted submarine warfare;forsetin hevur óskert valdthe president has absolute power3whole;upphæddin fer óskerd til Amnesti Internationalthe whole amount is donated to Amnesty International
