V1	1rómverskt taltekn fyri 52(st.)volt
viðtalutíð	(hjá lækna tíðum) surgery hours;(am.)office hours;sjúklingar verða bidnir at ringja í viðtalutíðinipatients are requested to ring during surgery hours
viðtøka	1rules(flt) (t.d.the rules of the firm forbid smoking; the rules of a society); regulations(flt) (t.d.hospital regulations); (hjá partafelagi) articles of association; statute(s)(t.d.the statutes of the French Academy)2reception;hann fekk kalda viðtøkuhe got a stony reception;hann fekk hjartaliga viðtøkuhe received a warm welcome
viðtøkufrásøgn	minutes (flt)
viðtøkuføri	quorum; hava viðtøkuføriform a quorum
viðtøkuførur	legally competent to transact business;viðtøkuførur meirilutia quorum;vera viðtøkuførur (eis.)form a quorum;fundurin var ikki viðtøkuførurthe meeting was not quorum
viðtøkugarður	[either of the two fences/stone walls running in a widening curve from the entrance of the sheepfold (the sheep when driven are trapped between the twoviðtøkugarðarand thus driven into the fold]
viðtøkumaður	1recipient, person who receives; (av brævieis.)addressee; (av vørusendingeis.)consignee; (av postávísing, vekslieis.)payee2acceptor
viðtøkusørur	(lækn.)immune(fyrifrom, against);gera viðtøkusøranrender immune, immunize(fyriagainst)
viðtøkuøki	recipient area
viður	1wood, timber;nógvur viður rak upp á landmuch wood drifted/was washed ashore;tað er góður viður í húsinumthe timberwork of the house is of high quality2(kvæð.)(living) tree3(gl.)wood, forest; íosb. sólin fer til viðarthe sun is setting
viðurbyrgi	[strip of land recently brought under cultivation alongside the original infield]
viðurfarast	happen, occur, take place, (come to) pass;hvat var viðurfarist har útiwhat had happened there;menn tosaðu um tað, ið viðurfórstmen were talking about what had happened;sig mær, hvat er viðurfaristtell me what has happened
viðurganga	(gl.)síviðganga
viðurgangur	síviðgangur1
viðurgerð	service, help, assistance, aid;(orðt.) endurgerð og viðurgerð eru longstir vinirone good turn deserves another
viðurgerði	síviðurbyrgi
viðurgjald	1payment, consideration, return(t.d.he wants a return for his trouble); reward(t.d.these men work harder and with a smaller reward than many wage earners);teir fingu viðurgjald fyri at flyta postinthey received payment for transporting/carrying the post2compensation;sorinskrivarin beyð sær til at fáa honum viðurgjald frá tí almennathe judge offered to pay him compensation from public funds
viðurkenna	1recognize(t.d.the justice of sby's claim); acknowledge, own, admit;landsins fullveldi varð viðurkendthe independence of the State was recognized2appreciate, recognize (t.d. his services to the public were recognized); acknowledge;hon er viðurkend sum serkønshe is an acknowledged authority;hann er viðurkendur sum dugnaligur lærarihe is recognized as a good teacher;viðurkent virkia firm of standing, a reputable firm3admit(t.d.I admit that you are right; it must be admitted that), acknowledge(t.d.one's mistake, one's faults, that one is beaten); own(t.d.I own I was wrong); recognize(t.d.they will not recognize our superiority)4(sigl.)allow;tíðin, sum er viðurkend sum liggitíðthe time allowed as laytime
viðurkenning	1acknowledgment(t.d.of a debt//of the receipt of a letter), recognition(t.d.of a state); approval, authorisation;virkið hevur fingið viðurkenning frá heilsufrøðiligu starvsstovunithe firm has received approval from health/sanitary authorities2approval, recognition;fáa viðurkenning fyri sítt arbeiðiobtain recognition for one's work;sum viðurkenning fyri gagnligtverk in recognition of his//her services
viðurlag	payment, consideration, return(t.d.he wants a return for his trouble); compensation, reward(t.d.these men work harder and with a smaller reward than many wage earners);(bíbl.) hvat skal maður geva í viðurlag fyri sál sína?
viðurlagsleinging	(málfr.)compensatory lengthening
viðurmøði	tribulation; nuisance, annoyance, vexation, bother, pest;flugur og mýggjabitar eru reindýrunum til mikla viðurmøðireindeer are pestered by flies and gnats;ikki annað enn stríð og viðurmøðirnothing but difficulties and tribulations
viðurnevni	(málfr.)epithet
viðurróður	[rowing along the coast (before reaching the open sea)];hava langan//stuttan viðurróðurhave a long//short row along the coast
viðurskifti	1contact, relation, connection;vit kendu henda mann og høvdu viðurskifti við hannwe knew this man and had contact with him;í øllum lívsins viðurskiftumin all conceivable connections;viðurskifti bankansthe affairs of the bank2state of affairs(t.d.in the present state of affairs we can do nothing); (partar av viðurskiftum) facts, details, particulars, circumstances(t.d.the circumstances of the case);eingin visti nakað um tey veruligu viðurskiftinino one knew anything about the true state of things;teir hava nøkur viðurskifti at greiðathere are still some matters which need to be elucidated;í serligum viðurskiftumin special cases;handilslig og fíggjarlig viðurskiftibusiness and financial conditions
viðurstygd	síandstygd
viðurstyggiligur	(gl.)síandstyggiligur
viðursvet	bit, scrap, fragment;ikki eitt viðursvetnot the slightest bit/scrap;hann tók hvørt viðursvet frá honumhe took everything from him there was not a scrap left
viðv.	(st.)síviðvíkjandi
viðvaring	(gl.)warning, caution
viðvending	1(great) change, upheaval;1872 var viðvending í búskaparligum og sosialum viðurskiftum í Føroyumeconomic and social change in the Faroes2conversion; viðvendingPaulusarthe conversion of (St) Paul3(lækn.)extroversion(t.d.of the bladder)4(tónl.)inversion
viðvendur	turned inside out;sum ein viðvendur sperðil,sísperðil
viðvíkja	concern(t.d.that concerns me alone; to (all) whom it may concern), bear on(t.d.any fact that bears on the case); be pertinent to(t.d.all facts pertinent to the matter), pertain to, regard(t.d.with regard to your application for a job);eitt mál, ið viðvíkur ølluma matter that bears on everything
viðvíkjandi	relating to(t.d.data relating to a matter; legislation relating to seamen); bearing on(t.d.information bearing on the subject); concerning; pertinent to;spurningar evninum viðvíkjandiquestions relating to the subject; (the) relevant problems;upplýsingar viðvíkjandi málinumthe relevant information;lat meg viðvíkjandi hesum málinum sigaas regards this matter, I beg to observe;í málum viðvíkjandiin matters concerning
viðvæli	(stb.)síviðvæling2
viðvæling	1(stb.)fairly small repairorrestoration2care, tending of the sheep, care of the outfield;dýrini fáa góðar viðvælingarthe animals are well tended
viðøking	(gl.)extension, expansion, enlargement, increase
vifta	1(tlm.)veiftra12electric fan
viftingur	(strong) gust (of wind)
viga	1weigh, ascertain the weight of (sth); vigasalt[a game], sísalt;eg vigi altíð míni orð (fl.m.)I always weigh my words2weigh, be oforhave a certain weight;tunnan vigar 100 pundthe barrel weighs 100 pounds3be in equilibriumel.balance;standa og viga/viga ástand unsteadily;hann stóð og vigaði á úti á bryggjutrominihe was standing unseadily on the edge of the quay;viga seg eftir hólganum,síhólgi4seesaw, play at seesaw,(am. eis.)teeter5lift, raise;hann styðjaði seg ikki við stavinum, men settu hann í og vigaði seg á loft við honum
viggskorin	síviggvaksin
viggvaksin	conic(al), cone-shaped, wedge-shaped
vigli	sívilli
vignast	be in luck, be successful; come easy to (sby); one finds it easy; feel comfortable with;lærarastarvið vignaðist ikki fyri honumbeing a teacher did not come easy to him;seinnu ferðina vignaðist beturthe second time things went better;alt vignaðist teimum vælthey were in luck;hvussu vignaðist túrurin?did you catch much fish?, was it a profitable fishing trip?
vik	being able to move sth;ikki fáa viknot be able to move;hann fekk ikki vik á steininhe was not able to work the stone loose;ein stari var komin fastur millum tveir steinar, hann fekk ikki vika starling had been caught between two stones and it couldn't move;til viksto one side, askew, aslant, on the slant;hann leyp til vikshe leapt/jumped aside;geva seg til viksget out of the way, make way;hon leit til viksshe looked aside;embætisveldið var so dyggiliga sett til viksthe bureaucracy was summarily pushed aside;hann var eitt sindur til vikshe was a little queer (in the head);tilsvar til viks (sjónl.)aside(t.d.Lady Winchester (aside) "I should not think so");hatta var eitt lop til viks (fl.m.)it was a digression
vika1	week;hetta verður dagur í vikuthis will be an unforgettable day, this will be a day never-to-be-forgotten;hvørja vikuevery week; weekly(t.d.a publication issued weekly);í vikuni(during) this week; during the week; in the course of the week;í næstu vikunext week;tvær ferðir um vikunatwice a week, twice weekly;um eina viku(um átta dagar), in a week's time;í farnu vikulast week
vika2	move, budge(t.d.I couldn't budge it an inch); vikae-n/e-mmove sth;vika steininummove the stone;hon var ikki ment at vika ein fingurshe couldn't move a finger;tað skuldi eingin vika hana fráshe had taken/made a decision and no one could weaken her resolve;hann læt seg ikki vikahe was uncompromising/unflinching, he wouldn't budge an inch, he stuck to his guns;hann var ikki at vika í spurninginum ...he wouldn't budge in the question...
-vikaður	síupp-
vikarur	(skúlam.)substitute
viki	1inward curve of a beach, inward curve of the edge of a lake;tað setur inn á vikarnarthere is surf in the inward curve of the beach2corner of the mouth;reydlig froða rennur út gjøgnum vikarnarred froth runs from the corners of the mouth3(dý., vistfr.)niche
vikna	become weak, weaken; lose one's strength, become feeble;omma var farin at viknagrandmother was losing her strength/was growing feeble;vikna í fótumgive (way) at the knees from fatigue;vikna í trúnnibegin to lose one's faith, become weak in the faith;hann er nógv viknaður í síðstunihe has been getting very frail lately
viknan	weakness, feebleness; sívikna
viks	í osb. til viksstep aside, stand aside, draw aside;(t.d.til skatt)leggja til viksset aside, earmark; sívik
viksteinur	1(jarðfr.) pumice; eis.flotsteinur, gossteinur2(stb.)pumice (hildin verja fyri toruas protection against strokes of lightning); (locally named torusteinur)faðir legði torustein undir grundina, tá ið hann bygdifather placed a pumice under the foundation before the house was built;tey nýttu torustein at garva skinn viðthey used pumice when tanning hides; sítorusteinurog loftsteinur
viktíð	flexible working hours, flextime, flexitime
Viktoria	Queen Victoria
viktorianari	Victorian
viktorianisma	Victorianism
viktorianskur	Victorian(t.d.age)
viktoriukrossur	the Victoria Cross,(st.)the VC
vikublað	weekly (paper, magazine)
vikubløðini	weekly press
vikudagur	day of the week;sjeyndi vikudagurin skuldi vera hvíludagurthe seventh day of the week was to be Sabbath day
vikuendi	(sj.)sívikuskifti
vikuligur	weekly
vikuløn	weekly wages(flt),weekly salaryel.pay;hann brúkti alla vikuløninahe spent all his weekly wages;teir fáa vikulønthey are paid by the week
vikuløntur	paid by the week
vikupengar	weekly allowance
vikuskifti	weekend;um vikuskiftiðduring the weekend
vikuætlan	week plan
vil	(likam.)small intenstine;draga/rekja vilremove the small intestine from a slaughtered sheep//lamb
vila	(stb.)[remove the small intestine from a slaughtered sheep]
vilbugt	í osb. fáa vilbugt við e-m get the better of sby, overcome(t.d.difficulties, one's opponents), break the back of sby; síeis.bilbugt
vild	1wish, desire, will; discretion; pleasure, satisfaction;hetta var vildinthis is what I wanted, this is according to my wishes;tað er teirra vildthis is what they want, this is according to their wishes;alt gekk henni eftir vildeverything went off satisfactorily; everything turned out the ways she had wanted;alt gekst eftir vildit went according to plan;alt hevði ikki verið eftir vildthings had not run smoothly;gera e-m til vildaract according to sby's wish, please sby, indulge/humour sby;vera (e-m) til vildarbe favourably disposed towards sby;vindurin var til vildarthe wind was favourable/fair;royna at tosa e-n til vildartry to talk sby over/talk sby round, coax sby, cajole sby2(sj.)service, favour, help, assistance, aid;ger mær eina vilddo me a favour
vildarbyrur	favourableel.fair wind
viligur	(gl., sj.)sívilligur
vilja1	1(ætlan, vilji, ynski; wish, want, be willing to);hann vil ikki komahe won't come;tað vil eg ikkiI won't do it;tú gert, sum tú viltdo as you like;eg vil, at tú skalt faraI want you to leave;eg vil fegin síggja taðI would like to see it;vilt tú tað?would you?;hann vil roynahe's willing to try;hann vil heimhe wants to go home;tey vilja avstaðthey want to leave now;lat teir vera so sterkar, sum teir vera viljabe they as strong as they may;eg geri ikki meira við hetta, tað verður, sum tað vilit be as it may I won't do more about it;livurin vildi ikki niðurumI was not able to swallow the (piece of) liver;hann vil einki til at farahe was not very keen on leaving;tað vildi einki til at degnawe waited a long time before the sun eventually rosehann vildi einki til at koma aftur fyri seghe didn't seem able to pull through (the disease);vilja e-m annintend to lay violent hands on sbyorto use violence against sby2be inclined, apt, givenorliable to, have a tendency to;knøini vildu fara undan henniher legs could hardly support her;báturin vildi drekkathe boat was liable to ship water over the gunwale;mátturin vil ganga frá prestithe clergyman felt that his power was slipping away;hon eins og vildi kvalastshe felt it as if she was choking;hann vildi skelvahe felt like trembling;hann vil gerast býtturhe is completely taken aback3vilja vera við (e-t)think, be of the opinion, hold(t.d.he held it impossible that anybody could do that);hann vildi vera við, at...he was of the opinion that...4have a needorurge to, feel like;eg vil so illa (at) sovaI feel sleepy5(við ávísum endamáli) have a certain business(t.d.what's your business here?); viljae-m e-thave a business with sby;eg vildi honum einkimy business with him wasn't important6(um framtíð, of the future);tað vil vísa segit remains to be seen;tú vilt fáa nógv at hoyrayou will be told many stories7happen, occur, take place; viljatil: so vildi til, at ...it happened that;tá ið illa vil tilif things must go wrong;tað vildi so væl/illa til, at ...we were so lucky//unlucky that...;vanlukkan vildi, at ...it was so unfortunate that;tað vil so verathat's the way things are;einki vildi bera tilbe unsuccessful in everything8must (of sth which is required);har vil annað tilthis isn't enough, much more must be done
