r	h (málfr.)consonant,/ær:/
ríkisgóðkendur	approved by the (Government) authorities; state certified/authorized; (tíðum) chartered; state-registered(t.d.nurse);ríkisgóðkendur grannskoðaristate-authorised public accountant;(Ongl.)chartered accountant(st.CA);(am.)certified public accountant(st.CPA);ríkisgóðkendur skipameklarisworn shipbroker;ríkisgóðkendur týðari og tulkur/tolkurstate-authorized public translator and interpreter;ríkisgóðkendur vekta- og málamaðursworn weigher and measurer
ríkisgrannskoðan	the public auditor(s), (í Onglandi) the National Audit Office
ríkisgrannskoðari	Auditor-General of Denmark
ríkisgreivadømi	(sø.)county of the Empire
ríkisgreivi	(sø.)count of the Empire
ríkishagfrøðingur	head of the Government Statistical Service
ríkishúsarhald	public finance (administration); national finance
ríkishættisligur	hættisligur fyri ríkið dangerous to the state
ríkishøvuðsstaður	capital
ríkishøvur,ríkishøvd	head of state
ríkisinnsigli	Great Seal
ríkiskanslari	(sø., tý.)Chancellor (of the Reich), Reich Chancellor
ríkiskassi	the Exchequer, the Treasury, the nationalel.public purse;avgjøld til ríkiskassansstate dues;ríkiskassin ber kostnaðinthe Treasury covers/pays/meets the expenses
ríkiskirkja	(kirkj.)established church, State church, national church;taka ríkiskirkjuna avdisestablish the Church;enska ríkiskirkjanthe Established Church, the Church of England(st.the C. of E.);limur í ensku ríkiskirkjunimember of the Established Church(GG: tlm.:he's C. of E.); (um mannfólkeis.)churchman(t.d.the universities excluded all those who were not churchmen); (um konufólkeis.)churchwoman
ríkiskona	(í skjaldri) richel.wealthy woman;sum aðrar rádnar ríkiskonurlike other wise and rich women
ríkiskroppur	richel.wealthy man, plutocrat, Croesus
ríkiskvett	sístjórnarkvett
ríkisland	(sø.)Imperial province
ríkisleiðari	(stjm.)head of state, chief of state;ríkisleiðarar hittast á fundiheads of state meet
ríkisloysi	statelessness
ríkislóg	1national law (as opposed to provincial law); (í USA) federal law2(løgfr.)[Danish national law which can be put in/into force in the Faroese with the prior consent of the Faroese Løgting/Parliament]
ríkislóggáva	(løgfr.)nationalel.federal legislation
ríkisløggildur	síríkisgóðkendur
ríkisløgregla	state police; (í samveldisríki) federal police
ríkisløgreglustjóri	Commissioner of Police
ríkismaður	síríkmaður
ríkismark	frontier,(am.)border
ríkismarskálkur	(tý., sø.)Reich Marshall
ríkismál	1(no.)Riksmål2(málfr.)standard language;enskt ríkismálstandard English, received standard3(stjm.)affairsel.business(eint.)of state
ríkismyndugleiki	the State; the Danish Central Government
ríkisogn	1(ognarskapur) state ownership2(ogn) state property; assets(flt)of the state, aggregate property of the state
ríkispartur	provinceel.country of the state
ríkisráð	1(í Danmørk) the Sovereign in Council2(sø.í Danmørk) Rigsråd3(sø.í Týsklandi) Reichsrat, Imperial Council
ríkisrættarákæra	(løgfr.)impeachment
ríkisrættarligur	sístjórnarrættarligur
ríkisrættarmál	(løgfr.)state trial; (íOngl.)impeachment
ríkisrættur	(løgfr.)court for the trial of high crimes and misdemeanours;(sø., tý.)Reichsgericht;verða settur fyri ríkisrættin(samsvarar íOngl.við) be impeached
ríkissamband	síríkjasamband
ríkissjúkrahús	national hospital
ríkisskattur	national tax
ríkisskjalasavn	Record Office; sílandsskjalasavn
ríkisskjalavørður	Keeper of the Public Records; sílandsskjalavørður
ríkisskrásettur	síríkisgóðkendur
ríkisskuld	national debt
ríkissóknari	(løgfr.)síríkisákæri
ríkisstjóraskapur	regency
ríkisstjóri	presidentel.king; regent
ríkisstjórn	1government, federal government; the Danish government2administration (of the state)3(tý., sø.)Reich Government
ríkisstovnur	(í Føroyum, in the Faroes) Danish state institution; (útlendskum viðurskiftumviðv.)Government institution
ríkisstudningur	state aid, state subsidy, Government grant
ríkisstuðlaður	state-aided, state-supported, Government-assisted, Government-subsidized, (state-) subsidized(t.d.every subsidized house must have a bathroom); publicly funded(t.d.energy research)
ríkisstyrkur	state aid, state subsidy, Government grant
ríkisstýri	síríkisstjórn
ríkisstættir	(sø.)estates of the realm
ríkissvørð	sword of state
ríkistignarmerki	regalia
ríkisumboð	High Commissioner's office (in the Faroes)
ríkisumboðsmaður	High Commissioner (the representative of the Danish Government in the Faroes)
ríkisvald	1(ríkisvald) the power of the state2(stjórnarvald) the State, the Government, the Executive
ríkisvarðharri	1(sø.)the Protector of the Realm (Cromwell)2(sø., tý.)Reich Protector
ríkisvarðland	sívarðland
ríkisvápn	national (coat of) arms
ríkisveðurfrøðingur	Governmentel.state meteorologist
ríkisveiting	block grant (Danish Government subsidy to the Faroes)
ríkisvekslar	(handilsm.) treaury bill;ríkisvekslakeypbuying treasury bonds;ríkisvekslasølaselling treasury bonds
ríkisveldistekin	regalia
ríkisverja	(tý., sø.)the Reichswehr
ríkisviðurkendur	approved(t.d.an approved insurance company); síeis.ríkisgóðkendur
ríkisviðurkenning	Government authorization, Government recognition, Government approval
ríkisørn	imperial eagle
ríkj	síríkjan
ríkja1	1creak, squeak, groan, crack; (um andadrátt) wheeze, whistle;hurðin ríkirthe door creaks;portrið ríkti illa á hongslunumthe gate squeaked/creaked on its hinges;tað ríkir fyri bróstinum á honumhe has a wheeze in his chest2grumble, complain; ríkjasum ein gomul hjalshurð,síhjalshurð;hann ríkir um alt, ið til kann verathere is nothing that he is not dissatsfied with3(um ávísar fuglar, of certain birds) call;lundarnir hoyrdust liggja og ríkja inni í holunumpuffins could be heard calling in their holes
ríkja2	rule, reign, govern;á somu tíð, sum Tróndur ríkti í Gøtuat the same time as Tróndur (the Faroese chiftain) ruled in Gøta;andi hansara ríkir enn á staðnumhe still rules in spirit
ríkjan	creaking, squeaking, groan, groaning, crack, cracking; (um andadrátt) wheeze, wheezing, whistle; ríkjanfrá einum vognithe creaking of a carriage
ríkjasamband	(stjm.)confederation
ríkligur	síríkiligur;hjríkliga
ríkmaður	richel.wealthy man, plutocrat, Croesus
ríkmannaveldi	plutocracy
ríkmansbørn	(uml.)golden youth
ríkmansligur	becomeel.befitting a rich man;hjríkmansliga
ríkmanssonur	hann er ríkmanssonur he comes from a rich family
ríkmenni	tað váta slagið, ið ger fátækar lýs til sonn ríkmennispirits which make poor wretches feel like rich men; síríkiskroppur
ríkur	1rich, wealthy;vera ríkur at/til/við e-mrich in sth;stórættaður maður og ríkur at fæa high-born and landed man2(sj., kvæð.)powerful, mighty;ríkir menn og reystirpowerful and courageous men3rich, costly, precious, opulent, lush(t.d.furniture; surroundings);nú er rændur frá mær ríkastur av lutummy most precious possession has been stolen from me;mítt føðiland, tú ríkt ert fyri mærmy native country, you are precious to me
ríligur	1weak, infirm, delicate(t.d.delicate from childhood; he was delicate as a child)2hot-tempered, irascible;mangur hevur verið heldur ríligur ungurmany people have been rather hot-tempered when young;hon var nakað ríligshe was in a black mood;hjríliga
rím1	hoar frost, white frost, rime; rímá jørðinithe ground is frosted over
rím2	1rhyme2(lítið, lætt ørindi) jingle(t.d.a jingle from the revue kept running in my head);krossað rímalternate rhymes;kvennrím//kallrím//ríktrím feminine//masculine//rich rhyme
ríma1	1folk ballad;eina veit eg rímunaI know of a ballad;nú fellur rímanwe have now reached the end of the ballad2rhymed poem, song
ríma2	1rhyme;rímaðurrhymed;rímað yrkingrhymed poem2rhyme (with);orðini " orð" og " borð" rímathe word"orð"rhymes with"borð"3write verses, put into verse, compose poetry;ríma um reystar dreingir (kvæð.)write verses about courageous men;hann dugdi so ógvuliga væl at rímahe was very good at writing verses4agree, tally;ríma viðagree/tally/accord/ (tlm.)jive with(t.d.his statement does not tally with the facts); be consonant with(t.d.it is not consonant with a true concept of the freedom of the press); (fáa at passa til, laga til) reconcile, square with(t.d.reconcile a statement with a fact);hetta rímar væl saman við, at húsabyggingin var lítil í Føroyum táthis tallies with the fact that residential building activities were next to nothing in the Faroes at the time;tað sýnist at ríma illa, at teir skulu hava verið ein og sami maðurit does not agree with the statement that he is the same man
rímari	(kvæð.)ballad writer
rímbløðka	(plfr.)orache(Atriplex)
rímbløðkuætt	(plfr.)chenopodiaceae(Chenopodiaceae)
rímbræv	(bókm.)rhymed epistle;myndskrýdd rímbrøvdecorated rhymed epistles
rímfrost	hoar frost, white frost, rime
rímhvítur	frost-covered, frosted over;rímhvít fjøllfrost-covered mountains
rímiligur	1(skilagóður) reasonable(t.d.excuse//cause//attitude);tað er rímiligtit is reasonable2easily knownorunderstood, self-evident, obvious, plain;men rímiligt, avgerðin er tykkarabut obviously the decision is yours;rímiligt taðobviously3(rættvísur) reasonable, fair, just, equitable4(hóvligur, sinniligur, sámiligur) reasonable, moderate, fair(t.d.price//demand);rímiligt krava reasonable demand5(lagaligur) reasonable, amenable6(hugsandi) probable, likely(t.d.statement//theory)7(nøktandi) satisfactory(t.d.result)8(løgfr.)equitable;hjrímiliga
rímleysur	unrhymed;rímleys yrkingan unrhymed poem;yrkja rímleystwrite unrhymed poetry
rímneyð	av rímneyð for want of a rhyme;vera í rímneyðbe in want of a rhyme;týðingarnar eru við hvørt heldur tungfloygdar av rímneyðthe translations are sometimes rather clumsy for want of a rhyme
rímorð	rhyme (word);honum tróta ikki rímorðinihe is not in want of rhyme words;talið á nýtiligum rímorðum er avmarkaðthe number of usable rhyme words is limited
rímtussi	(gudal., fólktr.)giant (giants who live in the north and bring on stormy weather and frost)
Rín	(sern., landafr.)the Rhine
rína1	work, operate, have effect, have an influence on, influence; rínaá (e-n/e-m)have effect on, have influence on;væl rínur áit has a good effect;einki rínur á, alt ið prædikað verðurreproaches are lost on him//her;bakteriur, sum einki rínur ábacteria which are immune;maturin rínur á honumthe food does him good;rína viðmake a difference;aftan á 1930 fer heimskreppan reiðiliga at rína við í Føroyumfrom began to affect the Faroes unfavourably/began to have a detrimental effect on the Faroes;skarn rínur ikki viðdirt does not stick;vatn rínur ikki við frískan fuglhealthy birds repel water;ikki lata við seg rínabe/remain unaffected by(t.d.her charms); not be susceptible to
rína2	1hvína, nísta, gnísta, ýla squeal, shriek, whistle; rínaog hvína1moan, whine, wail;hann rein og hvein sum bardur hundurhe moaned and wailed like a flogged dog2creak, squeak, groan, crack; (um andadrátt) wheeze, whistle;tað rínur og hvínur í henni, tá ið hon andarshe wheezes with every breathing2whimper, whine; (gráta) snivel; (um pinkubarn) cry, wail; (geva seg) whine, wail(umabout)3(um svín, of pigs) grunt
Rínardalur	(sern., landafr.)the Rhine valley
rínargull	Rhinegold
rínarlogi	(kvæð.)sírúnarlogi
rínarmálmur	(kvæð.)sírúnarmálmur
Rínarsamgongan	(sø.)the Confederation of the Rhine
rínarsteinur	rhinestone
rínarvín	hock, Rhine wine
Ríná	(sern., landafr.)the Rhine
Rínland	the Rhineland;inngongan í Rínlandthe entry of German troops into the Rhineland
rínlendingur	Rhinelander
rínskur	Rhine, Rhenish;rínskt vínhock, Rhine wine
rípa1	stripe, streak;reyðar rípur (lækn.)lymfangitis
rípa2	stripe, make stripes
rípuskel	1(dýr.)cockle(Cardium)2(stb.)scallop
rípuspringari	(dý.)striped dolphin(Stenella coeruleoalba)
ríputur	riped, with raised ripes
rís1	(plfr.)(aftur við mati) long-grained rice(Oryza sativa); flust ríshulled rice;leys rísboiled rice;óflust rísunpolished/brown rice;greytrísround-grain rice, pudding rice
rís2	(kvæð.)thicket, scrub, brush; brushwood twigs
rísa	1get up, rise (to one's feet), stand up; rísatíðligarise early;rísa/rísa upp1get out of bed;árla risinhaving risen early;(tilt.) tann, ið árla upp rísur, er um mangt vísur/tann, ið tíðliga rís, verður mikið vís (uml.)he who sleeps the morning away will not become wise;Jesus reis upp frá deyðumJesus rose from the dead2(um sólina, of the sun) rise, be rising,sólin rísurthe sun is rising;árla ið sól upp reisearly, when the sun was rising;rísa upp ímóti e-mrebel against (sby), stand up to sby;tað rísur upp av helluthe sods break up from the rocky ground (because the topsoil is thin);tað rísur móti brekkuthe slope is becoming steeper2(um sjógv, of sea) become rough, break a little, foam (caused by wind and current);sjógvurin rísurthe sea is becoming rougher;tað rísur á boðanumwaves are breaking at the top of the sunken rock;tað rísur á bylgjunithere is foam on top of the wave;hann rísur upp undir ættinabreakers appear suddenly in calm weather as a warning of an imminent off-shore storm3íosb. ikki rísa undir (e-m)1be unable to carry (a heavy load);tú rísur ikki undir hasi byrðiniyou are not able to carry that load2be unable to manage, not have the means, be beyond one's means;eingin rísur undir at fara so dýra ferðno one can go on such an expensive trip
rísakur	rice field, (í eysturlondum) paddy field
rísakustur	íosb. hárið sum ein rísakusturwith frizzy hair
rísakveistur	(kvæð.)besom;hann tók upp ein rísakveistur, sló hana á kinnhe took up a besom and hit her on the cheek with it
rísgreytur	[rice boiled in milk](uml.)rice pudding
rísgrýn	grain of rice
rísin	1(serst.um hár, ull,espof hair, wool) rough, bristly(t.d.beard; hair), stiff, wiry, straggly(t.d.hair), hard(t.d.brush); rísinullrough wool;klæðini vóru grov av rísnari ullthe clothes were coarse made of rough wool;brúnahárini høvdu altíð verið síð og rísinthe hair of his eyebrows had always been long and bristly;sítt og rísið hárlong and wiry hair;rísið sum skøtubakas rough as the back of a ray2(um sjógv, of sea) rough;strongurin er rísin í dagthe race is rough today3somewhat angry;tá gjørdist hann rísinhis temper rose;á fundinum hevði verið rísin orðadrátturthe discussion at the meeting had been rather hot-tempered;konan var rísin og segði tvørt neihis wife had been rather angry and had answered no way!4(um við, of wood) uneven; rísinviðurwood difficult to plane
