М1	I1.(skelti) метро́ metro2.«для мужчи́н» (á toiletthurð) M menn (надпись на туалете)
минимизи́ровать	минимизи́ру|ю, ~ешь, ~ютipf/pf что-л.1.(делать (сделать) наименьшим) minimera [miːniˈmeː-]aðio-t бухг., эк.2.teld.(сворачивать (свернуть) окно) geraнепрo-tminni, minkaaðiumo-t(vindeyga)
ми́нимум	Im1.(наименьшее количество) minsta nøgdж0-ir; minstamarkс0o{a/ø}, minimum [miːnimʊm]ннкс0o({0<>i}); lágmarkс0o{a/ø}(нижний предел); прожи́точный ми́нимум tilverulágmarkофиц., eksistensminimum [-Ꞌstε-]ннкпроф.2.(совокупность требований) minstakrøvс0о{a/ø}мн(til kunnleika o.a.); кандида́тский ми́нимумtríggjar kravdar próvtøkar til vísindaliga stigiðкандида́т (sí)II.adj indecl(stendur aftan á tí stýrda orðinum) minsti-, minimums- [miːni-]ннк; програ́мма-ми́нимум minst kravda pensum, minimumspensumннк(учебный); minimumsprogrammннкIIIadv: (как) ми́нимум minst, í minsta lagi; э́то займёт ми́нимум год hetta tekur minst eitt, hetta tekur í minsta lagi eitt ár; hetta tekur minimumннкeitt ár
ми́ни-ноутбу́к	mmininotebook [miːninɔutpʊʰk]жнепр, mininotebooktelda [miːninɔutpʊʰkt-]жгл-a
ми́ни-пивзаво́д	mlítið bryggjari [-ˈrui]с0о(;0-ir)
ми́ни-пивова́рня	f1.(пивоварный завод) lítið bryggjarí [-ˈrui]с0о(;0-ir)2.(установка для производста пива) lítið bryggitólс0о(til øl)
мини́рование	nminuútleggingж0-ar, minering [-Ꞌneː-]ж0-arпроф.
мини́ровать	мини́ру|ю, ~ешь, ~ютipf/pf(замини́роватьзамини́ру|ю, ~ешь, ~ют)что-л.leggjaнепрminur út, minera [-Ꞌneː-]aðio-tпроф.
ми́ни-са́йт	m lítil heimasíða við avmarkaðum evnaúrvali
министе́рский	adj1.(кмини́стр) ráðharra-нп, landsstýrismanna- [lan̊s-] (отн. к фар. автономии), ministara- [miꞋnɪ-]ннк2.tlm., eis.skemt.(достойный уважения) sum hevur uppiborið virðing; министе́рский ум ≈ ein góður knokkurнеформ., шутл.=>чехарда́2
министе́рство	n1.(правительственное учреждение) ráðharradeildнпж0-ir, ráðharrastovaнпжгл-a, ministerium [-Ꞌsteː-]ннкс0-um; аðalráðс0о{0<>i}(фар. автономного правительства); министе́рство вну́тренних дел (МВД) innanríkismálaráð, innanríkisministeriumннк; министе́рство иностра́нных дел (МИД) uttanríkismálaráð, uttanríkisministeriumннк2.(правительство) stjórn [stjœtn]ж0-ir, ministerium [-Ꞌsteː-]ннкс0-um(stjórn) =>МВТ,оборо́на,силово́й@,юсти́ция
мини́стр	mráðharriнпмгл-i, ministari [-Ꞌnɪ-]ннкмгл-ari; landsstýrismaður [lan̊s-]мнепр(фар. автономного правительства); мини́стр ры́бного хозя́йства fiskivinnumálaráðharri; landsstýrismaður í fiskivinnumálum (фар. автономного правительства)@мини́стр без портфе́ляráðharri uttan málsøkiнп, ministari [-ˈnɪ-]ннкuttan portefølju [-Ꞌfœ-]ннкпроф. =>оборо́на,сове́тIII,юсти́ция
ми́ни-фурго́н	mminibussur [miːni-]мсогл-ar
ми́ни-футбо́л	mfutsalм0{дат0}
ми́ни-шо́у	n indecllítið show [ʃɔu]с0опроф.; stutt show [ʃɔu]с0о{0<>i}проф.(короткое)
ми́ни-ю́бка	plurми́ни-ю́б|ки, ~ок, ~камfminiskirt [miːniskœɹ̥t]с0о, lårkort [lɔːɹkʰɔɹ̥t]с нескл.
миннези́нгер	[-нэ-]mminnesangari [-aŋk-]мгл-ari
ми́нный	adjminu-; ми́нное по́ле minuøkiсгл-i, minuleiðж0-ir, minufeltннкс0о; ми́нное загражде́ние minusperring
миноборо́ны	n indeclминисте́рство оборо́ныsíоборо́на
минова́ть	мину́|ю, ~ешь, ~ют1.ipf/pf Acc(проехать,пройти) faraслнó-ó-aforbí [-Ꞌpʊi]ннк, faraслнó-ó-aframvið [-Ꞌviː]; koyrair(d)forbí [-Ꞌpʊi]ннк, koyrair(d)framvið [-Ꞌviː] (проехать); gangaслнe-i-iforbí [-Ꞌpʊi]ннк, gangaслнe-i-iframvið [-Ꞌviː] (пройти); siglair(d){+}forbí [-Ꞌpʊi]ннк, siglair(d){+}framvið [-Ꞌviː] (проплыть)2.pf, mest við neg, чего-л.og+ inf(не избежать,не избавиться) sleppaслнa-u-oꞋ undano-m, или + инф., komaслнo-o-osær Ꞌ undano-m; тебе́ не минова́ть э́того tú sleppur ikki undan hesum3.pf bert 3. pers brúkturlíðaслнei-i-i, faraслнó-ó-aafturum [aʰtːʊɹꞋʊmː]; hæsaaðiꞋ av (о погоде,опасностях и др.); зима́ минова́ла veturin var farin afturum; гроза́ минова́ла ódnarveðrið [-vεkɹɪ] er hæsað av4.pftlm.(исполниться - о возрасте) fylla [-tl-]ir(t)(um aldur); ей минова́ло со́рок лет hon er fylt fjøruti, hon er farin um tey fjøruti5. мину́яprep + Accleypaслнey-u-oВинum; мину́я подро́бности fyri nú at gera stutt av; де́йствовать, мину́я руководи́теля handla [hanla]ннкvið at fara uttan um leiðaran@чему́ быть, того́ не минова́тьorðt.eingin fer undan lagnuni
мино́га	f: морска́я мино́га (Petromyzon marinus) súgariмгл-ari, kjølsúgariмгл-ari, nígginieygaсгл-a
миноиска́тель	mminuleitariмгл-ari
миномёт	mmortariмгл-ari, minukastariмгл-ari
миномётный	adjmortara-, minukastara-
миномётчик	mmortaraskjúttiмгл-i, minukastariмгл-ari(hermaður)
миноно́сец	Genминоно́сц|а;plur~ы, ~ев, ~амmtorpedobátur [-Ꞌpʰeː-]мсогл-ar=>эсми́нец
мино́р	m1.mus.(музыкальный лад) mollм нескл.; ля-мино́р a-moll [aː-]; га́мма соль-мино́р g-mol skala [skaː-]2.tlm.(грустное настроение) ringur hýrurмсогл-ar; быть в мино́ре vera keddurсогл, vera í ringum lag
мино́рный	adj1.mus.(кмино́р 1) moll-; мино́рная га́мма mollskala [-skaː-]2.tlm.(кмино́р 2) hugtungurсогл; быть в мино́рном настрое́нии vera dapurhugaðurглaður, vera keddurсогл
Минота́вр	mmyt.Minotauros [-Ꞌtʰau-]м0-ar{0<>i}
Минск	mMinskм нескл.
минта́й	m(Theragra chalcogramma) alaskapollack [-Ꞌlaskapʰɔlːaʰk]м0-ar(опр-ur), alaskaupsi [-Ꞌla-]мгл-i
мину́вшее	ntað farna; fortíðж0-ir
мину́вший	adjliðinсоглоснð/d, farinсоглосн; мину́вшей зимо́й seinasta vetur; на мину́вшей неде́ле í farnu viku; мину́вшие времена́ farnar tíðir
ми́нус	m1.(знак) minusс0о(tekn)2.indecl(без чего-л.,вычтя) minusнескл.; пя́ть ми́нус три равно́ двум {бу́дет два} fimm minus trý er tvey3.indecl(ниже нуля) minusнескл.(um temperatur); тепе́рь ми́нус 6 гра́дусов nú er minus 6 gradir [kɹaː-]ннк, nú eru 6 kuldastig4.(в оценке) minusнескл.; четы́ре с ми́нусом fýra við minus5.tlm.(недостаток) minusс0онеформ.(brek,lýti); у маши́ны есть ми́нус - сла́бые тормоза́ bilurin hevur eitt minusнеформ., hann hevur veikar bremsur6.tlm.(недочёт) uttan+ Вин; вся гру́ппа в сбо́ре за ми́нусом двух челове́к øll [œtl] eru komin uttan tveir mans; оста́ться в ми́нусе standa eftir [εʰtː-] við ongum, vera sørurсогл
минусо́вка	plurминусо́вк|и, ~ок, ~камf mus., tlm.playback [pʰlεipæʰkː]с0о{0<>i}муз.
ми́нусовый	adjminus-
минусо́вый	adj síми́нусовый
мину́та	f1.(единица времени) minuttur [-Ꞌnʊ-]мсогл-s,-ir(1/60 av tíma); де́сять (мину́т) тре́тьего tíggju minuttir yvir tvey; без десяти́ (мину́т) два tíggju minuttir í tvey; мину́та в мину́ту akkurát [-Ꞌrɔat] til tíðina2.(единица измерения углов и дуг) minuttur [-Ꞌnʊ-]мсогл-s,-ir(1/60 av grad); семь гра́дусов и четы́ре мину́ты за́падной долготы́ sjey gradirннкпроф.fýra minuttir vestur, sjey gradirннкпроф.fýra minuttir vestlig longd3.(миг) bilс0о, løtaжгл-a, eygablikkннкс0о; в пе́рвую мину́ту í fyrstuni [fɪst-], fyrst [fɪst]; в после́днюю мину́ту í síðstu løtu; в да́нную мину́ту beint nú; он не спал ни мину́тытжhann fekk ikki blund í eyguni; нет (ни) мину́ты поко́я ikki friður eina løtu; с мину́ты на мину́ту hvørja løtu; в (одну́) мину́ту í stundini, beinanvegin, umgangandi [-Ꞌkε-]ннк; че́рез мину́ту beinanvegin; (зайти́) на мину́ту støkka inn á gólvið eitt bil@он без пяти́ мину́т врачtlm.,skemt.hann er næstan liðugurглugursum lækni =>до́льше,любо́йI,молча́ние1,сей@
мину́тка	plurмину́т|ки, ~ок, ~камf dim avмину́та; мину́тку! eitt eygablikkннк!; eitt bil!
мину́тный	adj1. (кмину́та 1) minutt- [-Ꞌnʊʰtː]; мину́тная стре́лка stóripinnur; мину́тное молча́ние tøgn í ein minutt [-Ꞌnʊʰtː]2.(очень недолгий) stutturсогл, stokkuturсогл; мину́тное де́ло hetta tekur bara eina løtu
мину́точка	plurмину́точ|ки, ~ек, ~камf dim avмину́та 3; мину́точку! eitt eygablikkннк!; eitt bil!
мину́ть	мин|ёт, ~у́тpf1.síминова́ть1, 32.: ему́ мину́ло 40 лет hann er farin um (tey) fjøruti, hann er fyltur fjøruti; ей мину́ло семь лет hon gongur á áttanda ári
ми́нуть	ми́н|ет, ~утpf síмину́ть
минфи́н	mtlm.министе́рство фина́нсов
МинЧС	[мин-че-э́с]m stytt. fyriМинисте́рство по чрезвыча́йным ситуа́циям
минье́т	mtlm.síмине́т
минэконо́мики	indeclминисте́рство эконо́мики búskaparmálaráð. økonomiministerium [-noˈmiːj-]ннк
миню́ст	[-нъю́-]mtlm.министе́рство юсти́ции
миока́рд	mhjartavøddi [ja-]мгл-i
миокарди́т	mmyokarditt [myːokʰaɹꞋtɪʰtː]с0о{дат.0}
мио́ма	f slag av góðkynjaðum svulli(ofta í lívmóður)
миостимуля́тор	felektrovøddastimulator [eˈlεʰktɹovøtːastiːmuˈtaː-]м0-torспец.
миостимуля́ция	felektronisk [-ˈtʰɹoː-] vøddastimulering [-stiːmu-]ж0-arспец.
мир1	Iplurмир|ы́, ~о́в, ~а́мm1.(совокупность всех форм материй) verð(in)ж0-ir(опр.), heimur(in)мсогл-ar(опр.); verøldinж0-ir(опр.)кн., выс.; alheimurinмсогл-ar(опр.)кн.(Вселенная)2.(отдельная часть Вселенной) heimurмсогл-ar(partur av universinum); звёздные миры́ stjørnuheimar [stjœtn-]; марсиа́нский мир heimurin á Mars3.bert sing(земной шар,Земля) Jørðinж0-ir{ø/a}опр., verðinж0-irопр., heimurinмсогл-arопр.; foldinж0-irопр.кн.; объе́хать весь мир ferðast um alla [atla] verðina, ferðast um allan [atlan] heimin, ferðast um alla [atla] jørðina; пе́рвые в ми́ре fyrstir [fɪst-] í heiminum, fyrstir [fɪst-] í verðini;чемпио́н ми́ра heimsmeistari, verðinsmeistariннк4.(объединённое по каким-л. признакам общество) heimurмсогл-ar(samfelag við ávísum eyðkennum); анти́чный мир tann antikki heimurin5.(отдельная область жизни) heimurмсогл-ar(ávíst umráði av lívinum o.tíl.); мир живо́тных djóraheimurin, djóraríkiðсгл-iопр.; мир иску́сства listaheimurin6.bert sing Prp в миру́(светская жизнь) verðsligt lívс0о(í móts. til lív sum munkur ella í kirkjunnar tænastu)7.Prp на миру́gml.(община) bygdarfelagsskapurмсогл-ir@не от ми́ра сего́burtur í øðrum heimi, ikki av hesum heimi;си́льные ми́ра сего́gml.,spott.teir stóru;уйти́ {пересели́ться} в ино́й мирgml.fara hiðani, fara av fold;по́ мируí armóð; пусти́ть по́ миру koyrair(d)á biddarargongd, koyrair(d)á ørmundarhúsið; пойти́ по́ миру fara út at bidda;всем ми́ромallir [-tl-] samlir;на миру́ и смерть красна́orðt.saman við øðrum ber alt til; ≈ seinar eru einar hendurпосл.;с ми́ру по ни́тке - го́лому руба́шкаorðt.alt ger munпог.; mangir løkir smáir gera stórar áirпосл.; ≈ allur [atl-] bati bøtirпосл.=>вне́шний3,вну́тренний3,грёза1,коне́ц@,расти́тельный1,те́сный@
мир2	IIm1.(отсутствие войны,вражды) friðurмсогл-ir{0<>i}(støða uttan kríggj ella fíggindaskap)2.(согласие,отсутствие разногласия,вражды или ссоры) friðurмсогл-ir{0<>i}; sáttж0-ir, жить в ми́ре liva í friði, liva í sátt; зако́нчить де́ло ми́ром enda eitt mál í sátt og semju3.(соглашение между воюющими сторонами) friðurмсогл-ir{0<>i}(friðargerð eftir kríggj), friðargerðж0-irкн.,friðarsáttmáliмгл-i; заключи́ть мир gera sáttmála um frið4.(покой,спокойствие) friðurмсогл-ir{0<>i}(ró); душе́вный мир sálarfriður@отпусти́тького-л.с ми́ромlatao-nfara í frið og náðum;мир вам {мир до́му сему́}Guds [kʊʰts] friður í húsiуст.=>боре́ц1,движе́ние3,заключе́ние1,прах3,сохрани́ть2,сторо́нник,стоя́ть6
мирабе́ль	f(Prunus domestica syriaca) mirabell [-Ꞌpεlː]ж0-ir
мира́ж	Genмира́ж|а;plur~иo.s.fr. ogtlm.Genмираж|а́;plur~и́, ~е́й, ~а́мm1.(оптическое явление) lognbráж0-ir2.fl.,bókl.(обман) hvørvisjónж0-ir, sjónarvilling [-tl-]ж0-ar
мирво́лить	мирво́л|ю, ~ишь, ~ятipf Datgml.beraслнa-ó-oꞋ yvirvið Дат
мириа́ды	f plurbókl.Genørgrynnaжгл-aav Дат, ótalс0о{a/ø}av Дат
мири́ть	мир|ю́, ~и́шь, ~я́тipf1.pfпомири́тьпомир|ю́, ~и́шь, ~я́т Acc(восстанавливать согласие) fáaслнe-i-iВинsamdar, fáaслнe-i-iВинat semjast2.pfпримири́тьпримир|ю́, ~и́шь, ~я́т с Ins(заставлять терпимо относиться) sættastir(t);aðivið Вин, lataслнæ-ó-asærВинlynda
мири́ться	мир|ю́сь, ~и́шься, ~я́тсяipf1.pfпомири́тьсяпомир|ю́сь, ~и́шься, ~я́тся с кем-л.(прекращать ссору) sættastir(t);aðivið o-n, semjastur(d){e/a}við o-n2.pfпримири́тьсяпримир|ю́сь, ~и́шься, ~я́тся с чем-л.(терпимо относиться;смиряться) lataслнæ-ó-asær o-t lynda, sættastir(t);aðivið o-t
