Р	рентге́н röntgen {røntgen} [rœŋ̊kɪn]
РБН	[эр-бэ-э́н]m indecl stytt. fyriРежи́м наибо́льшего благоприя́тствования MFN-reglan [εmː εfː ˈεnː-]
рв...	рваo.s.fr. Gen o.s.fr. avров
рвани́на	f kolltlm., niðr.kloddarмгл-iмн
рвану́ть	рван|у́, ~ёшь, ~у́тpf1.moment avрвать2.что-л., за что-л.(резко дёрнуть) rykkjair(t)í o-t, skrykkjair(t)í o-t; рвану́тького-л.за во́лосы roytair(t)o-n; рвану́ть дверь skræðair(d)hurðina upp3.что-л.óvkm.(получить,приобрести) nápaaðio-tнеодобр.; рвану́ть изря́дный куш nápa sær fitt av pengum4.что-л. с Gen(рывком снять) skræðair(d)o-t av Дат, skrykkjair(t)o-t av Дат; рвану́ть пальто́ с ве́шалки skræða frakkan niður av akslatrænum, skrykkja frakkan niður av akslatrænum; рвану́ть с себя́ руба́ху skræða skjúrtuna av sær5.tlm.(резко тронуться с места) haldaслнe-i-iavstað [-Ꞌstεa-] við einum rykki; ло́шади рвану́ли rossini løgdu [lœtːʊ] avstað við einum rykki; рвану́л урага́н ein ódn brast á; в окно́ рвану́л ве́тер vindurin kom brestandi í vindeygað [vɪntajɪ] (реже[vɪnteija])6.(что-л.)óvkm.(стремительно начать что-л.) faraслнó-ó-aágrýtin til verka; орке́стр рвану́л марш orkestrið [-Ꞌkʰε-] setti á at spæla ein marsj; чи́слился в отстаю́щих, пока́ не рвану́л eg var roknaður millum [-tl-] sibbarnar, inntil eg tók dik á meg7.(грохнуть) brakaaði, buldraaði, dundraaði, brestaслнa-u-o; рвану́л взрыв ein brestur gelti; рвану́ло так, что лю́ди присе́лиóphar var ein sovorðin brestur, at fólk settu seg niður8.óvkm.(отправиться) faraслнó-ó-a; на днях рванём в Москву́ lat okkum fara til Moskva onkran dagin9.что-л.tlm.(произвести взрыв) spreingjair(d)o-t(í luftina); ба́нку с огурца́ми рвану́лоópglasið við agurkum [-Ꞌkʊ-] sprongdist, glasið við agurkum [-Ꞌkʊ-] eksploderaði [-Ꞌteː-]ннк
рвану́ться	рван|у́сь, ~ёшься, ~у́тсяpf1.(дёрнуться) haldaслнe-i-iavstað (við einum rykki); turnaaði, faraслнó-ó-atuskandi, faraслнó-ó-astórleypandi [stœɹ-]2.óvkm.(взорваться) brestaслнa-u-o, spreingjastir(d), eksplodera [-Ꞌteː-]ннкaði
рва́ный	adj1.(разорванный на части) skræddurсогл{æ/ø}, sundurskræddurсогл{æ/ø}2.(с дырками) holuturсогл3.(с неровными краями) skørðuturсогл
рвань	f1.kolltlm.(рваные вещи) kloddarмгл-iмн; spjarrarж0-ar{ø/a}мн(ос. об одежде)2.koll(остатки пряжи,ниток) tráðstubbarмгл-iмн, garnstubbar [-tn-]мгл-iмн3.fl., óvkm.,vanv.(негодный человек) lortendiмгл-iпренебр., ótýggiсгл-iнеодобр.;kollillb.pakkс0опренебр., partaníggjс0опренебр.
рваньё	ntlm.(рваные вещи) kloddarмгл-iмн; spjarrarж0-ar{ø/a}мн(ос. об одежде)
рвать1	Iрву, рвёшь, рвут;pretрвал, рвала́, рва́л|о, ~иipf1.что-л.(дёргать,трепать) skrykkjair(t)(í)o-t, rykkjair(t)(í)o-t; rippair(t)ío-t;pfвы́рвать skrykkjao-túro-m, rykkjao-túro-m, skræðao-túro-m; rippair(t)o-túro-m(резко вынуть); рвать из рукчто-л. у кого-л.skrykkjao-túr hondunumá o-m, skræðao-túr hondunumá o-m; рватькому-л.зу́бы trekkjair(t)tenninar útá o-m, takaслнó-ó-itenninará o-m; рвать (кому-л.) во́лосы roytair(t)o-n; рвать на себе́ во́лосы roytair(t)seg í hárið2.pfсорва́тьчто-л.(цветы,фрукты) hentaaðio-t3.pfразорва́ть, порва́тьAcc(на части) skræðаir(d)Вин(sundur) í pettir; slítaслнei-i-ihol áo-t(ноской); рватьчто-л.на куски́ pettaaðio-tsundur, tæga [tʰeːa]aðio-tsundur; рвать во́здух buldraaði, dundraaði; рвать тишину́ órógvaaðikvirruna; рвать у́ши skeraслнa-ó-oí oyruni4.pfурва́тьчто-л.(приобрести незаконным путём) nápaaðisæro-tнеодобр., skaffaннкaðisæro-t(á ólógligan hátt)4.pfпорва́ть, разорватьчто-л.(порывать связи и т.п.) slítaслнei-i-i(samband o.tíl.); рвать отноше́ния с slíta sambandið við5.pfвзорва́ть, разорва́тьчто-л.(взорвaть) spreingjair(d)o-t(í luftina)6.óp: ра́ну рвёт eg havi ilt í sárinum@рвать и мета́тьvera ovursinturсогл; vera fratørurсоглвульг.; он рвёт и ме́чет hann er so dansiterandi [-Ꞌtʰeː-]неформ.óður;меня́ рвут на ча́стиeg verði skræddurсогл{æ/ø}sundur =>ко́гти@
рвать2	IIрвёт;pretрва́лоipf(pfвы́рвать)tlm.spýggjaнепр;ópеё рвёт hon spýr; от одного́ его́ ви́да меня́ рвётfl.eg fái vaml bara av at síggja hann
рва́ться	рвусь, рвёшься, рвутся;pretрвал, рвала́сь, рва́л|ось~исьipf1.pfпорва́ться, разoрва́тьсяbert 3. pers brúktur(разделяться на части) skrædnaaði(о бумаге,ткани и т.п.); slitnaaði(о нитке,канате и т.п.); свя́зи порва́лись sambandið slitnaði2.bert 3. pers brúktur(изнашиваться) verða slitinсоглоснupp, verða slitinсоглоснá hol3.pfвзорва́ться, разорва́тьсяbert 3. pers brúkturbrestaслнa-u-o(о бомбах,снарядах и т.п.), eksplodera [-Ꞌteː-]ннкaði, faraслнó-ó-aí Ꞌ luftina (мосты,здания и др.)4.(стремиться куда-л.,к Dat) tráaaðieftir [εʰtː-]o-m{at+ инф.}, leingjastir(d)eftir [εʰtː-]o-m{at+ инф.}; vera grammurсогл({a/o})eftir [εʰtː-]o-m{at+ инф.}, vera altráur [al̥tʰ-], [ɔl̥tʰ-]глeftir [εʰtː-]o-m{at+ инф.}, vera algoystur [ɔl-]соглeftir [εʰtː-]o-m{at+ инф.}; рва́ться домо́й vera altráur eftir at sleppa til hús; рва́ться в бой vera bardagafúsurсогл; рва́ться к вла́сти strembaaðieftir valdinum; рва́ться вперёд rúsaaðifram; рва́ться на по́мощь stormaaðitil hjálpar [jɔ-]; рва́ться к зна́ниям tráa eftir kunnleika, tystair(t)eftir kunnleika, vera grammur eftir kunnleika5.pfсорва́ться, вы́рваться (вырываться) skræðair(d)seg leysan; рва́ться на {с} це́пи skrykkjair(t)í keturnar; рва́ться изчьих-л.рук skræða seg leysan fráo-m=>то́нкий@
рвач	Gen, Accрвач|а́; plur~и́, ~е́й, ~а́мmtlm.,vanv.kraddariмгл-ariнеодобр.
рва́ческий	adjtlm.,atf.kradduturсоглнеодобр.
рва́чество	ntlm.,vanv.kraddaralyndiсгл-iнеодобр.
рве́ние	nágrýtniсгл-i;жгл-i; ídniжгл-i;сгл-i
рво́та	f1.(действие) spýggjaжгл-a(tað at spýggja)2.(содержимое желудка) spýggjaжгл-a(tað,sum spýð er) =>крова́вый1,позы́в1
рво́тное	nbrekkmiddilннкс0осн, spýggingarmiðalлпс0о; brekkpillariннкмгл-ari(таблетка)
рво́тный	adjspýggingar-; рво́тное сре́дствоsíрво́тное
РВП	[эр-вэ-пэ́]n indeclразреше́ние на вре́менное прожива́ние fyribils uppihaldsloyvi [-hal̥s-]сгл-i
РВСН	[эр-вэ-эс-э́н]plur indeclРаке́тные войска́ стратеги́ческого назначе́ния Strategisku [-ˈtʰeːk-] rakettherliðini [-kʰεʰtːhεɹ-]
РГБ	[эр-гэ-бэ́]f indeclРосси́йская госуда́рственная библиоте́ка
РГГУ	[эр-гэ-гэ-у́]m indeclРосси́йский госуда́рственный гуманита́рный университе́т Russiska statsuniversitetið [staːtsuːni-] fyri humaniora [-maːniˈoː-], Russiska humanistiska [-ˈnɪ-] statsuniversitetið [staːtsuːni-], Russiska hugvísindaliga ríkisuniversitetið [-uːni-]
рдест	m(Potamogeton) tjarnaks [-tn-]с0о{a/ø}, iglagrasс0о{a/ø}
рдеть	ipfbókl.1.(краснеть) rodnaaði(fáa reyðar kinnar)2.bert 3. pers brúktur(выделяться красным цветом) lýsair(t)reyður; rodnaaði; roðaaði; рде́ют знамёна merkini rodna; рде́ет вече́рняя заря́ roðaði í setandi sól; на за́паде рде́ет зака́т vesturroðin roðaði á luftina
рде́ться	ipfbókl.bert 3. pers brúktur síрдеть2
РДР	[эр-дэ-э́р]m indeclрегистра́тор да́нных ре́йсаsíрегистра́тор
ре	[рэ]n indecl mus.reс0о
ре...	forskeyti;merkir í samb. við sagnorð og navnorð uppafturtøka ella endurgerð
реабилита́ция	f1.(политическая и др.) rehabilitering [-hapiːliꞋtʰeː-]интж0-ar, uppreisnж0-ir2.lækn.(медицинская) rehabilitering [-hapiːliꞋtʰeː-]ж0-ar.мед., endurmenningж0-arмед.
реабилити́ровать	реабилити́ру|ю, ~ешь, ~ютipf/pf1.Acc(восстановить в прежних правах и т.п.) rehabilitera [-hapiːliꞋtʰeː-]интaðiВин, veitair(t)Датuppreisn2.кого-л.lækn.(восстановить здоровье и т.п.) rehabilitera [-hapiːliꞋtʰeː-]aðio-nмед.
реабилити́роваться	реабилити́ру|юсь, ~ешьсь, ~ютсьipf/pfverða rehabiliteraður [-hapiːliꞋtʰeː-]инт, fáaслнe-i-iuppreisn
реабилито́лог	m serlækni í endurmenning
реаге́нт	mreagens [-Ꞌkε-]с0оспец.
реаги́рование	nreaktión [-Ꞌʃɔun]ж0-ir
реаги́ровать	реаги́ру|ю, ~ешь, ~ютipf1.pfпрореаги́роватьпрореаги́ру|ю, ~ешь, ~ют, среаги́роватьсреаги́ру|ю, ~ешь, ~ют на что-л.(отзываться на раздражение и т.п.) reagera [-Ꞌkeː-]aðiupp á o-t2.pfпрореаги́роватьпрореаги́ру|ю, ~ешь, ~ют, отреаги́роватьотреаги́ру|ю, ~ешь, ~ют на что-л.(проявлять своё отношением к чему-л.) reagera [-Ꞌkeː-]aðiupp á o-t; он не реаги́ровалтжhann læt ikki við seg koma; hann lætst ikki um vón3.с чем-л.kem.(вступать в химическую реакцию) reagera [-Ꞌkeː-]aðivið o-m
реакти́в	mreagens [-Ꞌkε-]с0о{+}
реакти́вный	stfреакти́в|ен, ~на, ~но, ~ныadj1.bert lfkem.(креаги́ровать 3) reagens- [-Ꞌkε-]2.bert lftekn.(относящийся к струе газа и др.) jet(t)-, reaktivurсоглспец.; реакти́вный дви́гатель jettmotorur; реакти́вное то́пливо jetbrennievni [jεʰtː-]3.fysiol.(креаги́ровать 1) sum reagerar [-Ꞌkeː-] =>истреби́тель1
реа́ктор	mreaktorur [-Ꞌa-], [-Ꞌtʰoː-]мсогл-ar
реакционе́р	mafturhaldsmaður [aʰtːʊɹhal̥s-]мнепр
реакцио́нный	stfреакцио́н|ен, ~на, ~но, ~ныadjafturhaldssamur [aʰtːʊɹhal̥s-]согл{a/o}, afturhalds- [aʰtːʊɹhal̥s-], reaktionerur [reːaʰkʃoneː-]ннксогл
реа́кция1	If1.biol., psyk.(креаги́ровать 1) reaktión [reːaʰkꞋʃɔun]ж0-ir2.kem.,fys.(превращение веществ) reaktión [reːaʰkꞋʃɔun]ж0-ir, andgerð [antʃ-]лпж0-ir; цепна́я реа́кция ketureaktión =>я́дерный
реа́кция2	IIfpolit.afturhald [aʰtː-]с0о, íhaldс0окн., reaktión [reːaʰkꞋʃɔun]ннкж0-ir
реа́л	m1.(денежная единица в латиноам. странах) realur [-ˈaː-]мсогл-ar(gjaldoyra í ym. latínamerikanskum londum)2.søg.(старинная испанская монета) realur [-ˈaː-]мсогл-ar(gamal spanskur myntur)
реализа́ция	f1.(осуществление) realisering [reːaliꞋseː-]ннкж0-ar, fremjanж0-ir(í verki)2.(продажа) realisering [reːaliꞋseː-]ж0-arпроф., спeц.(søla)
реали́зм	m1.filos., bókm.(направление в искусстве) realisma [-Ꞌlɪ-]жгл-a, veruleikastevnaлпжгл-a; социалисти́ческий реали́змbókm.sosialistisk [-Ꞌlɪ-] realisma2.(понимание действительности) realisma [-Ꞌlɪ-]жгл-a=>крити́ческийI @
реализова́ть	реализу́|ю, ~ешь, ~ютipf/pf что-л.1.bókl.(осуществить) setaur(t);ir(t)o-tí verk, fremjaur(d){e/a}{+}o-t, realisera [reːaliꞋseː-]ннкaðio-t2.(продать) realisera [reːaliꞋseː-]aðio-tпроф., спец.
реализова́ться	реализу́ется, ~ютсяipf/pf что-л.1.bókl.(осуществиться) verða setturсоглí verk, verða framdurсогл, verða realiseraður [reːaliꞋseː-]ннкглaður2.(продать) verða realiseraður [reːaliꞋseː-]глaðurпроф., спец.
