б	part síбы
бога́тый	Istfбога́т, ~а, ~о, ~ы;compбога́чеadj1.(обладающий большим имуществом) ríkurсогл;2.bert lf(роскошный,пышный) prýðiligurглigur, stásiligurглigur; бога́тая обстано́вка stásilig innrætting3.(чем-л.) (обильный) ríkurсогл; ríkiligurглigur, ríviligurглigur; бога́тый урожа́й ríkur skurður; бога́тый мета́ллом ríkur upp á metall [-Ꞌtʰa]; мо́ре там бога́то ры́бой sjógvurin har er fiskaríkur; бога́тый о́пыт ríkar royndirмн; бога́тые возмо́жности ríkir møguleikar4.bert lffl(содержащий много ценного) ríkurсогл(í innihaldi o.ø.); fjølbroytturсогл(многообразный); бога́тый го́лос ríkt mál@чем бога́ты, тем и ра́дыtað, sum húsið formár [-Ꞌmɔaɹ]IImríkur maðurмнепр; бога́тые tey ríku, ríkmennмнепрмн=>витами́н
богаты́рский	adj1.(геройский) kappa-; hetju-; соверши́ть богаты́рский по́двиг fremja kappabragd2.(могучий,сильный) risa-, kempu-; богаты́рская си́ла risastyrki; у него́ богаты́рская си́ла hann er trøllsterkur, hann er kempusterkur; у него́ богаты́рский рост hann er ein risi á vøkstri; богаты́рского сложе́ния risastórur av vøkstri; богаты́рское здоро́вье ógviliga góð heilsa; богаты́рский го́лос torurødd, rungandi rødd3.: богаты́рский э́посbókm.(russiskt) hetjukvæði, (russiskt) kappakvæði@спать богаты́рским сномskemt.sova sum kópurinпог., steinsova, sova sum steinurinпог.
богаты́рь	Gen, Accбогатыр|я́;plur~и́, ~е́й, ~я́мm1.(герой) hetjaжгл-a, kappiмгл-i, garpurмсогл-ar, seggurмсогл-ir, kempaжгл-a(serl. í russ. søgum og kvæðum)2.(силач) kempaжгл-a(sterkur maður)
бога́ч	Gen, Accбогач|а́;plur~и́, ~е́й, ~а́мmríkmaðurмнепр, ríkiskroppurмсогл-arпренебр.(очень богатый человек)
бога́че	comp avбога́тый
богдыха́н	msøg.kinesiskur [kʰiꞋneː-] keisariмгл-ari
боге́ма	f kollbohemar [-Ꞌheː-]мсогл-ar; гл-i; 0-ar{0<>i}мн
Боге́мия	fsøg.Bøhmen {Böhmen}[pøːmεn]с0o{дат.0}
боге́мный	adjbohem- [-Ꞌheː-], bohema- [-Ꞌheː-]; боге́мная жизнь bohemlív [-Ꞌheː-]
боге́мский	adj1.(остране, культуре и др.) bøhmiskur [pøːm-]соглsk2.síбоге́мный)
боги́ня	fgudinna [-Ꞌɪnta] (реже[-Ꞌɪnːa]нп)жгл-a; боги́ня любви́ ástargudinna; боги́ня судьбы́ lagnugudinna; norna [-tnа]жгл-a(в скандинавской мифологии); боги́ня му́дрости vísdómsgudinna
богобоя́зненный	stfбогобоя́знен, ~на, ~но, ~ныadjgudsóttandiглandi, gudrøkinсоглосн; frommurннксогл, frómurсоглкн.
богома́з	m tlm.ikonmálari [-Ꞌkʰoːn-]мгл-ari(ofta um vánaligan ikonmálara)
Богома́терь	f síБогоро́дица@Собо́р Пари́жской Богома́териNôtre Damekirkjan [nɔʰtɹεꞋtam-]опр.(í Paris) (Nôtre Dame de Paris)
богомо́лец	Gen, Accбогомо́льц|а;plur~ы, ~ев, ~амmgml.pílagrímurмсогл-ar
богомо́лье	npílagrímsferðж0-ir(serliga til russ. klostur o.a.); ходи́ть на богомо́лье fara á pílagrímsferð
богомо́льный	plurбогомо́лен, богомо́льн|а, ~о, ~ыadjgudrøkinсоглосн, frommurннксогл, frómurсоглкн.
богоотсту́пник	mgml.fráfallin [-tl-]мприл(farin frá trúnni); gudsavnoktari [kʊʰts-]мгл-ari, gudsnoktari [kʊʰts-]мгл-ari, gudssvikari [kʊʰts-]мгл-ariбибл., балл.(отказавшийся от религии,от веры в Бога); он стал богоотсту́пником hann fall [-tl] frá trúnni
Богоро́дица	fMaria [maɹːija]жгл-amoyж0-ar; Guds [kʊʰts] móðirжрод, jomfrúжнепрMaria [-ˈriːja]жгл-a
богоро́дичны	f plur rel. lovsangir til Guds móður
богоро́дичный	stfбогоро́дич|ен, ~на, ~но, ~ныadjGuds [kʊʰts-] móður- (síБогоро́дица)
богосло́в	fgudfrøðingurнпмсогл-ar, teologur [-Ꞌloːk-]интмсогл-ar,@Иоа́нн Богосло́вevangelisturin [-vaɲtʃɪꞋlɪ-]мсогл-arмнJóhannes [-Ꞌhanːɪs] =>открове́ние@
богосло́вие	nteologi [-Ꞌkiː-]ннкж0-ir, gudfrøðiнпжгл-i
богосло́вский	adjteologiskur [-Ꞌloːk-]ннксоглsk, teologi- [-Ꞌkiː-]ннк, gudfrøðiligurнпглigur, gudfrøði-нп
богослуже́бный	adjgudstænastu- [kʊʰts-], sum verður brúkturсоглí gudstænastu [kʊʰts-]; messu-, sum verður bríkturсоглí messu (síбогослуже́ние)
богослуже́ние	ngudstænasta [kʊʰts-]жгл-a; messaжгл-a(в протестантской церкви ос. о части службы,имеющей место у алтаря;служба в католической церкви)
богоспаса́емый	adjgml.,spott.vælsignaður [-Ꞌsɪ-]глaður, blómandiглandi
боготвори́ть	боготвор|ю́, ~и́шь, ~я́тipf Acctilbiðja [tʰɪlp-], [tʰiːlp-]слнa-ó-iВин; forguda [-Ꞌkuː-]ннкaðiВин
богоуго́дный	stfбогоуго́д|ен, ~на, ~но, ~ныadjgml.Gudi væltoknaðurглaðurбибл.;богоуго́дное де́ло {богоуго́дный посту́пок} væltoknanligглigurgerðбибл.@богоуго́дное заведе́ниеgóðgerðarstovnur (til fátækrafólk, sjúk o.o.)
богоху́льник	mgudsspottari [kʊʰts-]мгл-ari, blasfemikari [-Ꞌfeː-]интмгл-ari
богоху́льничать	ipftlm.spottaaðiGud [kuːt]
богоху́льство	ngml.gudsspottan [kʊʰts-]ж0-ir, gudsbespottilsi [kʊʰts-]ннксгл-i, blasfemi [-Ꞌmiː]интс0гл(unum)
богоху́льствовать	богоху́льству|ю, ~ешь, ~ютipfspottaaðiGud [kuːt]
Богочелове́к	mGudм0({0<>i})тк неопр.í mannalíki
Богоявле́ние	nopinbering [-Ꞌpeː-]жгл-arHarrans (høgtíð í tí russ. ortodoksu kirkjuni 19. januar eftir tí gregorianska kalendaranum,6. januar eftir tí julianska); ≈ trettandaжгл-a(6 января) =>Креще́ние
бод	mbaud [poː]с нескл(сокр. Bd)
бода́ть	ipf(pfзабода́ть,momentбодну́ть)AccstangaaðiВин, stútaaðiВин(ос. об овцах)
бода́ться	ipf1. (бодать друг друга) stangastaði, stútastaði(ос. об овцах); ко́зы бода́ются geitirnarнпstangast2.(иметь привычку бодать) stangaaði; бык бода́ется tarvurin stangar (illa [ɪtla])
бо́ди	n indeclbodystocking [pɔtːistɔʰkː-]м0-ar, bulaldнпс0о({a/ø})
боди-а́рт	m listagreinar o.a. á ella við mannakroppinum(tatovering,piercing o.a.)
бодиа́рт	m síбоди-а́рт
бодиби́лдер	mbodybuildari [pɔtːipɪlt-]мгл-ari
бодиби́лдинг	mbodybuilding [pɔtːipɪltɪnk]ж0-ar
бо́ди-би́лдинг	m síбодиби́лднинг
бодига́рд	mmlívverjiмгл-i, lívvaktж0-ir; bodyguard [pɔtːikaɹt]м0-ar(опр-ur)неформ.
бо́ди-пе́йнтинг	[бодипэ́-]mkropsmálingж0-ar, bodypainting [pɔtːipʰεin̊t-]ж0-arпроф.
бо́ди-пи́рсимг	[бодипи́-]mbodypiercing [pɔtːipʰiːʂ-]ж0-arпроф.
бо́ди-шо́у	[бодишо́у]n indecl framsýning, har fólk sýna fram kropsmáling, tavtoveringar o.a.
бодли́во	adv tlm.lútandi (um hvuðburð)
бодли́вый	stfбодли́в, ~а, ~о, ~ыadjsum stangar (illa [ɪtla]); бодли́вая коза́ geitнпsum stangar; бодли́вая коро́ва kúgv sum stangar, stangariмгл-ari@бодли́вой коро́ве Бог рог не даётorðt.Harrin gav tí ikki kollutari [-tl-] horn [hɔtn], at hon ikki skuldi stangaпосл.
бодну́ть	бодн|у́, ~ёшь, ~у́тmoment síбода́ть
бодри́ть	бодр|ю́, ~и́шь, ~я́тipf(pfприободри́тьприободр|ю́, ~и́шь, ~я́т)Acc; fáaслнe-i-iВинat lívgast, fáaслнe-i-iВинat lívga upp; fáaслнe-i-iВинat ernast (оживить); styrkjair(t)Вин(укреплять); stimbraaðiВин(живить,стимулировать); ко́фе бодри́т kaffi stimbrar
бодри́ться	бодр|ю́сь, ~и́шься, ~я́тсяipfmannaaðiseg upp, erraaðiseg upp, herðair(d)seg í huga
бо́дро	advbragdliga [pɹakl-], sprækliga [spɹakl-], reystliga [rεsl-]
бо́дрость	fdirviсгл-i, treystleikiмгл-i; reystleikiмгл-iкн.(смелость); бо́дрость ду́ха dirvi, mótс0o; прида́тькому-л.бо́дрости eggjaaðio-n{o-m} til
бо́дрствование	nvøkaжгл-a
бо́дрствовать	бо́дрству|ю, ~ешь, ~ютipfbókl.1.(не спать) vera vakinсоглосн, vakair(t), vakjair(t)неформ.; (намеренно не спать) haldaслнe-i-iseg vaknan2.fl. (находиться в действии)vera í gongd
бо́дрству́ющий	partic/adjbókl.vakinсоглосн
бо́дрый	stfбодр, бодра́, бо́дро, бодры́ogбо́дрыadjsprækinсоглосн, bragdligur [pɹakl-]глigur, lívligurглigur(живой); birgurсогл(здоровый;о пожилых людях); он постоя́нно бодртжhann er altíð fúsurсоглog ferðugurглugur; он просну́лся бо́дрымтжhann vaknaði frískurсоглskog ferðugur; у него́ бо́дрый вид hann sær so bragdligur út; стари́к ещё о́чень бо́дрый tann gamli er ógviliga birgur enn;тжikki sæst høgg á føti á tí gamlaидиом.; у него́ бо́дрое настрое́ние hann er so sprækin
бодря́к	Gen, Accборяк|а́;plur~и́, ~о́в ~а́мmtlm.bragdligt [pɹakl-] fólkс0о, lívligt fólkс0о
бодря́цкий	adjtlm. atf.síбодря́ческий
бодря́ческий	adj tlm., atf.upplyftur [-lɪʰtː-]согл(við lótum)
бодря́ще	adv1.(вызывая прилив сил, энергии) upplívandi, lívgandi; stimbrandi2, (создавая бодрое настроение) sprækið
бодря́щий	partic/adjupplívandiглandi, lívgandiглandi; stimbrandiглandi
боду́н	m: на бодуне́skemt.fullur [-tl-]согл(drukkin), skítнескл.грубо; с бодуна́skemt.hundasjúkurсогл, við timburmonnum
бодя́га	f1.djór.(губка) (сем. Spongillidae) feskvatnssvampurмсоглar2.óvkm.(болтовня) skvaldurс0осн; møsnс0о, tvætlс0о(ерунда); разводи́ть бодя́гу tvætlaaði, møsnaaði
бодя́жить	бодя́ж|у, ~ишь, ~атipf что-л.1.(чем-л.) niðr.(разбавлятЬ) tynnair(t)o-t(við o-m), fortynna [-Ꞌtʰɪ-]ннкir(t)проф.o-t(við o-m) (spritt við vatni o.a.)2.fl., jarg.(смешивать, перемешивать) blandaaðio-t; miksaaðio-t. муз. (um musikask verk)
бодя́к	Genбодяк|а́;plur~и́, ~о́в, ~а́мm(Cirsium) tistilм0осн-s,ar; бодя́к полево́й (C. arvense) akurtistil
боеви́к1	IGenбоевик|а́;plur~и́, ~о́в, ~а́мmtlm.1.(о фильме) actionfilmur [aʰkʃɔn-], [εʰkʃɔn-]мсогл-ar;согл-s,-irнеформ., проф.(um film)2.(о песне) slagari [slaːk-]мгл-ariнеформ., hittс0онеформ.(um sang)
боеви́к2	IIGen, Accбоевик|а́;plur~и́, ~о́в, ~а́мm(боец) guerillahermaður [keꞋrɪʎjahεɹ-]мнепр; yvirgangsfókс0о(террорист)
боеви́тый	stfбоеви́т, ~а, ~о, ~ыadjfúsurсогл, til dystin fús, stríðsfúsurсогл, stríðshugaðurглaður(смелый,решительный); aktivur [aʰktiː-]ннксогл(активный); боеви́тый тон ein bardagafúsur tóni
боево́й	adj1.(относящийся к ведению боя, войны) her-, krígs- [kʰɹʊi̯ʰks-], [kʰɹʊʰks-], stríðs-; hernaðar-; боево́й кора́бль krígsskip, herskip; боева́я те́хника hernaðarútgerðж0-ir; боево́й сигна́л {боева́я трево́га} stríðssignal; боевы́е де́йствия на су́ше hernaðaratgerðir á landi; боево́й крик herróp; боево́й конь stríðsross; боева́я гото́вность stríðstilbúgving; в боево́й гото́вности tilbúgvin til stríð; в боевы́х усло́виях í bardaga; боево́й това́рищ vápnabróðirм0род, stríðsfelagiмгл-i; боева́я заслу́га avrik [au-] í stríði2.(воинственный) stríðshugaðurглaður; militantur [miːliꞋtʰa-]ннксогл(воинствующий); hermansligurглigur(о виде и т.п.) ; боево́й дух stríðsandi; moralur [-Ꞌraː-]мсогл-ar; у всех боево́й дух allir [atl-] eru fúsir at stríðast3.tlm.(решительный) áræðinсоглоснð/d(формы м и ж б.ч. тк ед); боево́й па́реньтжbrandurмсогл-ar4.(особо важный) umráðandiглandi, átrokandiглandi(неотложный)5.(о животных) bardaga-, stríðs- (um hundasløg (o.tíl.)@боево́й патро́нskørp patrón [-Ꞌtʰɹɔun] =>креще́ние@
боеголо́вка	plurбоеголо́в|ки, ~ок, ~камfspreingiløðingж0-ar; я́дерная боеголо́вка kjarnorkuspreingiløðing [-tn-]
боегото́вность	ftað at vera bardagabúgvin
боезапа́с	mlóðurgoymslaжгл-a, ammunitiónsgoymsla [-Ꞌʃɔun-]ннкжгл-a
боезаря́д	mspreingiløðingж0-ar(í granat, minu o.ø.)
боёк	Genбойк|а́; plur~и́, ~о́в, ~а́мm1.(о ружье) spreingipinnurмсогл-ar(í skotvápni)2.(молота) hamarhøvd [-hœtː]с0о(á damphamri o.tíl.)
