Л	talvладья́ R, rókur
лицеприя́тный	stfлицеприя́т|ен, ~на, ~но, ~ныadjgml.partískur [-Ꞌtʰʊi-]ннксоглsk
лицеприя́тствовать	лицеприя́тству|ю, ~ешь, ~ютipf. кому-л. gml.vera partískur [-Ꞌtʰʊi-]ннксоглskmórti o-m
лицо́	plurли́ц|а, ~, ~амn1.(часть головы человека) andlit [anl-]с0о, ansiktннкс0о; показа́ть своё настоя́щее лицо́ vísa sítt sanna andlit; кому-л. (пря́мо) в лицо́ beint upp í andlitiðá o-m; смотре́тькому-л.в лицо́ hyggja upp í eyguniá o-m; мыть лицо́ vaska sær um eyguni; лицо́ у тебя́ гря́зное tú ert skitin um eyguni; полити́ческое лицо́ а́втора tað politiska [-Ꞌlɪʰtː-] andlitið hjá [tʃ-] høvundinum2.(человек) persónur [-Ꞌsɔu-]мсогл-ar, fólkс0о; ча́стное лицо́ privatpersónur [-Ꞌvaː-]; физи́ческое лицо́ fysiskur [fyː-] persónur; юриди́ческое лицо́ juridiskur [-Ꞌriː-] persónur; не име́ть своего́ лица́ ikki hava ikki sína egnu persónligheit [-Ꞌsɔu-]; в его́ лице́ við honum, í hansara persóni3.(лицевая сторона) rættaжгл-a(материи); forsíðaжгл-a, framsíðaжгл-a(медали и т.п.)4.máll.(в грамматике) persónur [-Ꞌsɔu-]мсогл-ar@потеря́ть лицо́missa ansiktннк, missa andlit [anl-];на нём лица́ нетhann sær ússaligur út, hann sær illa [ɪtla] út;знатького-л.в лицо́kennao-nupp á persón [-Ꞌsɔu-];(сказа́ть)кому-л. что-л.в лицо́sigao-m o-tbeint upp í eyguni;быть {идти́}кому-л.к лицу́passaaðio-m, klæðair(d)o-m;лицо́м к лицу́andlit [anl-] til andlits [anl-];с лица́некраси́вóvkm.misháttur [mɪsːɔʰtː-]согл;перед лицо́мGen bókl.a) (по отношению к кому-л.{чему-л.}) fyriДат; b) (по сравнению с кем-л.{чем-л.}) afturímóti [aʰtːʊɹʊiꞋmɔu-]Дат(samanborið við); c) (при наличии чего-л.) táИмer tá Им er til staðar; неустраши́м перед лицо́м опа́сносту óræddur í vanda;от лица́GenvegnaВин;одного́ лица́meinlíkirсоглмн;исче́знуть с лица́ земли́hvørva uttan spor; faraслнó-ó-aundir heilt;стере́ть {смести́}что-л.с лица́ земли́oyðair(d)o-t, javnaaðio-tvið jørðina =>вы́тянуться@,горе́тьB 3,грязь@,де́йствующий@,деревя́нный2,закры́ть2,ки́слый3,лгать1,невзира́я,перемени́ться@,смея́ться1,спасть@,столкну́ться4,това́р@,цветI,черта́4
ли́чико	plurли́чик|и, ~ов, ~амn dim avлицо́; snýðiсгл-iласк.
личи́на	f1.gml.(маска) maskaжгл-a2.fl.,bókl.(притворство) kávalætiсгл-i, lótirж0-irмн; под личи́ной дру́жбы við vinalótum; наде́ть личи́нукого-л.látastслнæ-ó-áverao-r; сорва́ть личи́нус кого-л.avdúkaаðio-n
личи́нка	plurличи́н|ки, ~ок, ~камflarvaжгл-a(рыбы и др.); ormverажгл-aзоол.(разн. насекомых); maðkur [maʰkː-]мсогл-ar({a/ø})(мух); grasormurмсогл-ar(долгоножки и др.)
личи́ночный	adjlarvu-, ormveru-зоол.
ли́чка	plurли́ч|ки, ~ек, ~камf internet, slangprivat [-ˈvaːt] boðс0о{0<>i}дистр
ли́чно	advpersónliga [-Ꞌsɔu-]; sjálvurсогл(сам)
лично́й	adjandlits- [anl-], ansikts-; (sum er) til anditið[ anl-], sum er til ansiktið
ли́чность	f1.(индивидуальмость) persónligheit [-Ꞌsɔu-]ж0-ir; persónur [-Ꞌsɔu-]мсогл-ar2.(индивидуум) einstaklingurмсогл-ar; persónur [-Ꞌsɔu-]мсогл-ar@перейти́ на ли́чностиblíva persónligur [-Ꞌsɔu-] (gerast nasvísur) =>культ,раздвое́ние1,роль4,удостовере́ние2,установи́ть5
ли́чный	stfли́ч|ен, ~на, ~но, ~ныadjpersónligur [-Ꞌsɔu-]глigur; ли́чное мне́ние persónlig meining; ли́чная жи́знь privat [-Ꞌvaːt] lív, privatlív [-Ꞌvaːt-]; ли́чное де́ло persónligt mál, privat [-Ꞌvaːt] mál; по ли́чному де́лу {вопро́су} í persónligum ørindum@ли́чное де́лоskjalamappaжгл-a(við persónsupplýsingum) =>интере́с2,о́быск,охра́на2,реко́рд,соста́в4,у́ния
лиша́й	Genлишая́; plur~и́, ~ёв, ~я́мm1.lækn.(кожная болезнь) útslagс0о{a/ø}{0<>i}, útbrotс0о; опоя́сывающий лиша́й eldkastс0о{a/ø}2.síлиша́йник=>стригу́щий
лиша́йник	mplant.(Lichenes) skónж0-ir
лиша́ть	ipf síлиши́ть
лиша́ться	ipf síлиши́ться
ли́шек	m: с ли́шком stívliga, yvir; два ме́тра с ли́шком góðir tveir metrar, stívir tveir metrar, stívliga tveir metrar
лише́нец	m1.Gen, Accлише́нц|а; plur ~ы, ~ев, ~амsøg., sovjet.(лишенный избирательных прав и др.)fólk, ið ikki hevði valrætt o.a.(í Sovjettsamveldinum 1918-1936)2.Genлише́нц|а; plur ~ы, ~ев, ~амfjm. (предприятие и др., лишенное лицензии, права)fyritøka o.a., sum hevur mist loyvi, rættindi
лише́ние	n1.(отнятие) frátøkaжгл-aкн.; лише́ние избира́тельных прав frátøka av valrætti; лише́ние свобо́ды frælsistøkaжгл-aспец.,юр.; fongslingж0-ar(тюремное заключение)2.plur(недостаток,нищета) neyðж0-ir; терпе́ть лише́ния líða neyð
лишённый	Istfлишён, лишен|а́, ~о́, ~ы́partic avлиши́тьIIadj чего-л.sørurсоглfyri o-t, fríurглfyri o-t; совсе́м лишённый чу́вства ю́мора púra eiðasørur fyri humor; он не лишён чу́вства ю́мора hann er ikki sørur fyri humor; tað er ikki frítt, at hann hevur humor; э́ти слова́ лишены́ смы́сла tað er einki skil í hesum orðunum; э́то не лишено́ основа́ния hetta er ikki uttan grund =>фанта́зия1
лиши́ть	лиш|у́, ~и́шь, ~а́тpf(ipfлиша́ть)кого-л. чего-л.takaслнó-ó-io-t frá o-m; лиши́тького-л.прав taka rættindinifrá o-m; лиши́тького-л.води́тельских прав taka koyrikortiðfrá o-m, dømair(d)o-nat missa koyrikortið (по суду); э́то лиши́ло меня́ жела́ния ...тжeg misti púra hugin at ...; лиши́ть себя́ удово́льствия... nokta sær stuttleikan at ...; лиши́тького-л.сло́ва taka orðiðfrá o-m(á fundi o.tíl.); его́ лиши́ли иму́щества hann varð dømdur frá sínum ognum, hann varð dømdur at missa ognirnar; ognirnar vórðu tiknar frá honum; лиши́ть себя́ жи́зни taka lívið av sær; лиши́тького-л.жи́зни taka líviðav o-m; лиши́ть сосе́дей сна ikki geva nábúgvunum svøvnnáðir =>хлеб@
лиши́ться	лиш|у́сь, ~и́шься, ~а́тсяpf(ipfлиша́ться)Genmissair(t)Вин; лиши́ться де́нег missa pengar; лиши́ться отца́ missa pápa sín =>дар2,дове́рие,зре́ние,рассу́док1,чу́вство3
ли́шнее	n síли́шний3
ли́шний	stfли́шне, ли́шниadj1.(ненужный) óneyðugurглugur, til Ꞌ yvirsннк; здесь ли́шние сту́лья her eru ov [ɔ] nógvir stólar; э́тот шкаф тут ли́шний hetta skápið er til yvirs; он здесь ли́шний hann er til yvirs her2.bert lf(избыточный) sum er til avlops [au-]; оказа́ться ли́шним vera til avlops; у вас есть ли́шний биле́т? hava tit nakra billet [-Ꞌlεʰtː]ннкtil avlops?; ли́шний раз eina ferð afturat [aꞋtʰɹεat]3. ли́шнееn: сказа́ть ли́шнее ovtala [ɔʰt-], [oːtʰ-] seg; вы́пить ли́шнего fáaслнe-i-ivæl upp í høvdið [hœtːɪ]@с ли́шнимstívliga, góðurгл; два с ли́шним го́да тому́ наза́д fyri góðum tveimum árum síðani, fyri stívliga tveimum árum síðani; два с ли́шним reiðiliga tvey, stívliga tvey;не ли́шнееtað hevði [hεijɪ] ikki verið av leið;ли́шний челове́кtað óneyðuga menniskjað (serl. um typu í russ. bókmentum í 19. øld);ли́шние лю́диtey óneyðugu fólkini (serl. um typu í russ. bókmentum í 19. øld)
лишь	Ipart1.(только) bara, bertкн.; einansкн.2.(не ранее чем) ikki fyrr enn; лишь вчера́ ikki fyrr enn í gjárIIconj(едва,как только) so skjótt sum; beint sum; лишь он вернётся so skjótt hann kemur aftur [aʰtː-]@лишь быbara; лишь бы он пришёл! hevði [hεijɪ] hann bara komið!; bara hann kemur!; лишь бы весна́ пришла́! hevði [hεijɪ] várið bara komið!; var tað bara farið at vára!;лишь то́лькоso skjótt sum;лишь (то́лько)он вошёл в дом,(как)поли́л дождь hann var ikki meira enn komin innum [-Ꞌʊmː], tá hann loysti av við regni
Ли́я	fbíbl.Lea [leːa]жгл-a
ЛНР	[эл-эн-э́р]f indeclЛуга́нская Наро́дная Респу́блика Fólkalýðveldið Lugansk [-ˈgan̊sk] (тж [-ˈhan̊sk]) (ikki viðurkent land í Eystureuropa)
лоб1	IGenлба,Prpо лбе́, во {на} лбу́; plurлбы, лбов, лбамmpannaжгл-a, enniсгл-iкн.; хло́пнуть себя́ по́ лбу sláa seg fyri pannuna@пусти́ть себе́ пу́лю в лобskjótaслнey-u-oseg;лбом сте́ну не прошибёшьtilt.tað er sum at renna seg fastan; renna seg í skorfesti (тж[skɔɹ̥-])идиом.;ата́ка в лобálop beint frammanífrá [fɹamːanɪ-];атакова́ть в лобleypa á beint frammífrá; (сказа́ть)в лоб(sigao-t) bart út ; э́то у него́на лбу́ напи́саноtað lýsir úr andlitinum [anl-] á honum; у негоглаза́ на лоб ле́зутhann er púra paff;что в лоб, что по́ лбуorðt.tað er hipp sum happпог.=>пядь@,столкну́ть2
лоб2	IIGen, Accлба, Prpо лбе́, в {на} лбу́; plurлбы, лбо́в, лбамmtlm.(верзила) slúrurмсогл-ar, slánurмсогл-ar(um fólk)
лоба́стый	stfлоба́ст, ~а, ~о, ~ыadjtlm.við stórari pannu
ло́бби	n indecllobby [lɔpːi]ннкж0-ar
лобби́зм	mlobbyisma [lɔpːiˈɪ-]жгл-a
лобби́рование	nlobbyvirksemi [lɔpːi-]сгл-i
лобби́ровать	лобби́ру|ю, ~ешь, ~ютipf что-л.drívaслнei-i-ilobbyvirksemi [lɔpːi-]fyri o-m, lobbyera [lɔpːiˈeː-]aðifyri o-m неформ., lobbya [lɔpːiːja]aðifyri o-m неформ.
лобби́ст	mlobbyistur [lɔpːiꞋɪ-]мсогл-ar
лобби́стский	adjlobby- [lɔpːi-]
лобза́ние	ngml.,skald.kossurмсогл-arкн.
лобза́ть	ipf Accgml., skald.kyssair(t)Винкн., mynnair(t)Винвыс.,балл.
ло́бзик	mløvsagж0-ir, leyvsagлпж0-ir
лобко́вый	adj: лобко́вая кость kokubein; лобко́вые во́лосы hárс0оá skøpunum, skeggс0онеформ.(hár um skøpini); bøkkurмсогл-ar;-s. -irнеформ.(у женщин), duskurмсогл-arнеформ.(у женщин) =>вошь
Лобно́р	mLop Nor [lɔʰpꞋnoːɹ]с нескл.
ло́бный	adjpannu-, enni-; ло́бная кость ennibein@ло́бное ме́стоsøg.avrættingarstaður
лобови́к	Genлобовик|а́; plur ~и́, ~о́в, ~а́мmbil., tlm.forrúturмсогл-ar
лобово́й	adj1.(фронтальный) frontalur [-Ꞌtʰaː-]ннк; лобова́я ата́ка álop beint frammanífrá, frontaltннкálop; лобово́е столкнове́ние frontaltннкsamanstøtннк, frontalurннкsamanstoytur; лобово́е сопротивле́ниеbil.luftmótstandurннк, luftmótstøðaнп; лобово́й ве́тер mótvindur2.(передний) for-, fram-; лобово́е стекло́ forrútur
лобогре́йка	plurлобогре́йки, лобогре́ек, лобогре́йкамf slag av skurðtreskjara
лобо́к	Genлобк|а́; plur~и́, ~о́в, ~а́мmvølurмсогл-s,-iroman fyri skøpini; bungaжгл-a(hjá konufólki) (у женщины)
лоботря́с	mtlm.letingiмгл-i
лоботря́сничать	ipf tlm.letastaði, dovnastaði
лобыза́ть	ipf кого-л.gml.ogspott. kyssair(t)o-n, mussaaðio-n
лов	mveiðaжгл-a; fiskiskapurмсогл-ir(рыбы); быть на лову́ vera til fiskiskap; вести́ лов fiskaaði; берегово́й {прибре́жный} лов útróðurм0осн-ar,-ar; лов близнецо́вым тра́лом partrolingж0-ar; пелаги́ческий лов pelagiskur [-Ꞌlaːk-] fiskiskapur, uppsjóvarfiskiskapur; удёбный лов snørisfiskiskapur; я́русный лов línufiskiskapur =>дри́фтерный,кошелько́вый,ору́дие1,побо́чный1,сетево́й,тра́ловый,хи́щнический2
ловела́с	mtlm.konufólkarevurмсогл-ar, konufólkalókurмсогл-ar
лове́ц	Gen, Accловц|а́; plur~ы́, ~о́в, ~а́мmveiðimaðurмнепр; fiskimaðurмнепр(рыбак); лове́ц же́мчуга perlufiskariмгл-ari@на ловца́ и зверь бежи́тorðt.≈ tú doyrt ikki í árпог.
лови́ть	ловлю́,ло́в|ишь, ~ятipf(pfпойма́ть)Acc1.(охотиться) fangaaðiВин; veiðair(d)Вин(вести лов); roynair(d)eftir [εʰt-]Дат(ос. рыбу); лови́ть ры́бу fiskaaði; лови́ть птиц veiða fugl; fleygaaðiВин(fugl) (неглубоким сачком на длинной жерди); fyglair(d){+};aðiВин(fugl) (глубоким сачком на короткой жерди); лови́ть тра́ломsíтра́лить; лови́ть тро́ллом dyrgjair(d){+}2.(хватать) (roynair(d)at) fáa fatur áДат; loftaaðiДат(на лету); пойма́ть мяч lofta bóltinum; лови́ть слу́чай {моме́нт} takaслнó-ó-især løgirидиом., ikki liggjaслнá-ó-isjóvarfallið [-tl-] av særпог.3.(искать) leitaaðieftir [εʰtː-]Дат, roynair(d)at finnaВин; лови́ть такси́ royna at fáa fatur á einum hýruvogni; лови́ть жениха́тжdyrgjair(d){+}eftir [εʰtː-] mannfólki@лови́тького-л.на сло́ве{на́ слове}tlm.takaслнó-ó-io-nupp á orðið;лови́ть себя́в чём-л. takaслнó-ó-iseg sjálvaní o-m;лови́тького-л.на лжиtakaслнó-ó-io-ní einari lygn;лови́ть ка́ждое сло́вокого-л.sitaслнa-ó-oundir hvørjum orðiидиом.;лови́тьчей-л.взглядmøtair(t)eygunumhjá[tʃ-]o-m;лови́ть ста́нциюútv.leitaaðieftir [εʰtː-] støð; вы там ло́вите Москву́? hoyra tit Moskva har? =>му́тный@,мышь@
