З	за́пад V, vestur
запричита́ть	pf óvmk.(начать причитать) faraслнó-ó-aat vena seg, byrjaaðiat vena seg, begynna [-ˈtʃɪ-]ннкir(t)at vena seg; faraслнó-ó-aat gremja seg, byrjaaðiat gremja seg; begynna [-ˈtʃɪ-]ннкir(t)at gremja seg; bresta útúr [-ˈtʰʉuɹ] at gráta, skeraслнa-ó-oí grát, faraслнó-ó-aat gráta, byrjaaðiat gráta, begynna [-ˈtʃɪ-]ннкir(t)at gráta (начать плакать); skeraслнa-ó-oí at túta; faraслнó-ó-aat túta, byrjaaðiat túta, begynna [-ˈtʃɪ-]ннкir(t)at túta (завыть)
запрограмми́ровать	pf síпрограмми́ровать
запродава́ть	ipf síзапрода́ть
запрода́жа	fsáttmáliжгл-ium leveransu [leːvɪꞋra-] (договор); sølaжгл-avið leveransu [leːvɪꞋra-]
запрода́жный	adjsølu- (síзапрода́жа)
запрода́ть	запро|да́м, ~дашь, ~да́ст, ~дади́м, ~дади́те, ~даду́т;pretзапро́далogзапрода́л, запродала́, запро́дало, запро́далиpf(ipfзапродава́тьзапрода|ю́, ~ёшь, ~ю́т) geraнепрsøluavtalu (заключить договор); seljaur(d){+}við levering [-Ꞌveː-]ннкпроф.(продать)
запроекти́ровать	pf síпроекти́ровать2
запроки́дывать	ipf síзапроки́нуть
запроки́дываться	ipf síзапроки́нуться
запроки́нуть	запроки́н|у, ~ешь, ~утpf(ipfзапроки́дывать)что-л.kastao-tafturá [aʰtː-]; запроки́нуть го́лову kasta høvdið [hœtː-] afturá
запроки́нуться	запроки́н|усь, ~ешься, ~утсяpf (ipfзапроки́дываться) dettaслнa-u-oafurá [aʰtː-]
запропасти́ться	запропащу́сь, запропаст|и́шься, ~я́тсяpfóvkm.blívaсоглei-i-iburtur, hvørvaслмa-u-o, forsvinna [-Ꞌsvɪ-]ннксоглa-u-u; куда́ запропасти́лась кни́га? hvar traminбран.kann bókin vera?; hvar í allari [atl-] víðu verð er bókin blivin av?; кни́га куда́-то запропасти́лась bókin er blivin burtur onkustaðni
запропа́сть	запропад|у́, ~ёшь, ~у́т; pretзапропа́л, ~а, ~о, ~иpfóvkm.síзапропасти́ться
запро́с	m1.(обращение) fyrispurningurмсогл-ar; запро́с в парла́менте ein spurningur í tinginum; сде́лать {внести́} запро́с setaur(t);ir(t)ein fyrispurning; обрати́тьсяк кому-л.с запро́сом venda særtil o-nvið einum fyrispurningi2.tlm.(о цене): цена́ с запро́сом prísur, sum kann pruttast um; цена́ без запро́са fastur prísur3.plur(требования) krøvс0o{a/ø}мн; tørvurмсогл-s:-ir,behov [-Ꞌhɔu]ннкс0о{0<>i}(потребность); interessur [-Ꞌrε-]ннкжгл-a, áhugamálнпс0омн(интересы); по запро́самGeneftir [εʰtː-] kravi fráДат
запроси́ть	запрошу́, запро́с|ишь, ~ятpf(ipfзапра́шивать)1.Acc(сделать запрос) setaur(t);ir(t)eina fyrispurning (fram); запроси́тьчьё-л.мне́ние biðjaслнa-ó-ium meininginahjá[tʃʰ-]o-m; запроси́ть разъясне́ние krevjaur(d){e/a}{+}eina forkláring [-Ꞌkʰlɔa-]ннк2.что-л.tlm.(о цене) krevjaur(d){e/a}{+}ov [oː] høgan prís
за́просто	adv1.(без церемоний) uttan nakað hóvasták, uttan nakað roks, sum einki var; он здесь быва́ет за́просто hann gongur her sum húsvandur [hʏs-], hann gongur her sum húsfólk [hʏs-]; за́просто обраща́тьсяс кем-л.umgangasto-nnatúrliga [-Ꞌtʰʏ-]2.(легко,просто) lætt, sum einki, sum ein royk; он за́просто мо́жет сде́лать э́то (с него станется) tað er væntandi av honum, tað er honum so líkt
запротестова́ть	запротесту́|ю, ~ешь, ~ютpf против чего-л.(begynna [-tʃɪ-]ннкir(t)at, byrjaaðiat) protestera [-Ꞌstεː-]ннкaðiímóti o-m; mótmælair(t)o-m, mutaaðiímóti o-m,sbr.протестова́ть
запротоколи́ровать	pf síпротоколи́ровать
запро́шлый	adjóvkm.ogdial.síпозапро́шлый
запру́да	f1.(плотина) byrgingж0-ar2.(водоём) dammurмсогл-ar(запруженный водоём), hylurмсогл-ar{+}(пруд,и запруженный и незапруженный)
запруди́ть	запружу́, запруди́шь, запрудя́тogзапру́дишь, запру́дятpf(ipfзапру́живать)что-л.(чем-л.)1.(реку и т.п.) byrgjair(d){+}o-t, demmaaði;ir(d)o-t(б.ч. пруд,речку камнями)2.fl.(заполнить) fylla [-tla]ir(t)o-t(við o-m); доро́га заполнена́ маши́нами vegurin er fyltur við bilum; толпа́ запруди́ла у́лицы mannamúgvan fylti gøturnar; пло́щадь запружена́ наро́дом plássið er fylt við fólki
запру́живать	ipf síзапруди́ть
запры́гать	pf(faraслнó-ó-aat, begynna [-Ꞌtʃɪ-]ннкir(t)at, byrjaaðiat) hoppaaði,sbr.пры́гать
запряг...	1.запря́г, запрягла́o.s.fr. pret avзапря́чь2.запря́гся, запрягла́сьo.s.fr. pret avзапря́чься3.запряги́, запряги́теimper avзапря́чь4.запряги́сь, запряги́тесьimper avзапря́чься5.запрягу́o.s.fr. fut avзапря́чь6.запрягу́сьo.s.fr. fut avзапря́чься
запряга́ть	ipf síзапря́чь
запряга́ться	ipf síзапря́чься
запряж...	1.запряжёшьo.s.fr. fut avзапря́чь2.запряжёшьсяo.s.fr. fut avзапря́чься
запря́жка	plurзапря́ж|ки, ~ек, ~камf1.(действие) tað at spenna fyri (ross o.a.),sbr.запря́чь (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)2.(упряжка,повозка) toymiсгл-i(og vognur), rossс0омнfyri vogn (og vognur)3.síу́пряжь
запря́тать	запря́ч|у, ~ешь, ~утpf(ipfзапря́тывать)tlm.1.Acc(спрятать) goymair(d)Вин, krógvaaðiВин2.что-л.(сунуть) stingaслнa-u-uo-t inn í o-t, stingaслнa-u-uo-t niður í o-t; запря́тать ру́ки в карма́ны stinga hendurnar niður í lummarnar, koyrair(d)hendurnar niður í lummarnar3.: запря́татького-л.в тюрьму́ setaur(t);ir(t)o-ní brummunaнеформ., blakaaðio-ní fongsul
запря́таться	запря́ч|усь, ~ешься, ~утсяpf(ipfзапря́тываться)tlm.krógvaaðiseg
запря́чь	запрягу́, запряжёшь, запрягу́т;pretзапря́г, запрягл|а́, ~о́, ~и́; imperзапряги́, запряги́теpf(ipfзапряга́ть)1.кого-л.(соединть с повозкой) spennair(t)o-nꞋ fyri; запря́чь лошаде́й в теле́гу spenna ross fyri ein vogn2.что-л.(присоединть повозку) bindaслнa-u-uvogn í toymi3.: запря́чького-л.в рабо́ту leggjaнепрnógv (arbeiði) áo-n; его́ здо́рово запрягли́ hann varð undirdíktur í arbeiði, hann varð ovbyrjaður [ɔp-] av arbeiði, hann varð ovbyrjaður [ɔp-] við arbeiði
запря́чься	запрягу́сь, запряжёшься, запрягу́тся;pretзапря́гся, запрягл|а́сь, ~о́сь, ~и́сь;imperзапряги́сь, запряги́тесьpf(ipfзапряга́ться)tlm.: запря́чься (в рабо́ту) faraслнó-ó-atil verka (um tungt og torført arbeiði), faraслнó-ó-aundir (tungt og torført arbeiði), leggjaнепрtil brots (um tungt og torført arbeiði)
запу́ганный	Ipartic avзапуга́тьIIstfзапу́ган, ~на, ~но, ~ныadjbanginсоглосн; styggurсогл(пугливый,боязливый - о животных и т.п.); undirkúgaðurглaður(подавленный)
запуга́ть	pf(ipfзапу́гивать)кого-л.ræðair(d)o-n, geraнепрo-nbangnan; styggjair(d)o-n(животного и т.п.); не дать себя́ запуга́ть ikki lata seg ræða
запу́гивание	nræðingж0-ar, tað at styggjao-n,sbr. eis.запуга́ть (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
запу́гивать	ipf síзапуга́ть
запу́дривать	ipfsíзапу́дрить
запу́дрить	запу́др|ю, ~ишь, ~ятpf(ipfзапу́дривать) что-л. putraaði
за́пуск	m1.(мотора) starturмсогл-ar(av motori), startingж0-ar(действие); tað at seta í gongd,sí eis.запусти́ть(русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)2.(ракеты) útskjótingж0-ar, uppsendingж0-ar; по́сле за́пуска раке́ты eftir [εʰtː-] at rakettin [-Ꞌkʰε-] var skotin upp; осуществи́ть за́пуск косми́ческого корабля́ sendair(d)eitt rúmdarfar upp3.:за́пускчего-л.в произво́дство tað at fara undir framleiðsluav o-m,síзапусти́ть6
запуска́ть	I,IIipf síзапусти́тьI, II
запусте́лый	adj gml., bókl.oyðinсоглоснð/d, forfallin [-Ꞌfatl-]соглосн{ll/l}(запущенный), tómurсогл(опустевший)
запусте́ние	nórøktж0-ir, forfall [-Ꞌfatl]с0о(упадок); oyðiсгл-i(обезлюдение); прийти́ в запусте́ние falla [-tla] í órøkt
запусте́ть	bert 3. pers brúktur pfverða oyðinсоглоснð/d, (опустеть),verða fólkatómurсогл(стать безлюдным), tømastir(d)(опустеть), forfalla [-ˑfatla]]слнa-u-a(прийти в упадок)
запусти́ть1	Iзапущу́, запу́ст|ишь, ~ятpf(ipfзапуска́ть)1.что-л.(чем-л.)в Acc(бросить)tlmtveitair(t)o-t eftir[εʰtː-]Дат, blakaaðio-t eftir[εʰtː-]Дат; запусти́ть ка́мень {ка́мнем}в Accblaka ein steineftir[εʰtː-]Дат2.что-л.(мотор и т.п.) startaaðio-t, setaur(t);ir(t)o-tí gongd; суме́ть запусти́тьчто-л. eis.fáaслнe-i-io-tí gongd3.что-л.(ракету и т.п.) sendair(d)o-tupp, skjótaслнey-u-oo-tupp, skjótaслнey-u-oo-tút; запусти́ть иску́сственный спу́тник senda ein fylgisvein upp4.что-л.tlm.(засунуть,вонзить) stingaслнa-u-uo-tí, koyrair(d)o-tí; запусти́ть ру́кув чей-л.карма́нeis.fl.stinga hondina niður í lummaná o-m; запусти́ть ко́гтив Acclæsair(t)klørnar [-œtn-]í Вин, høggaur(d)klørnar [-œtn-]í Вин5.Acctlm.(впустить) lovaaðiДат(inn íи т.д.); запусти́ть рыб в пруд sleppair(t)fiski út í hylin, setaur(t);ir(t)fisk út í hylin6.:запусти́тьчто-л.в произво́дство setaur(t);ir(t)framleiðsluav o-mí gongd, faraслнó-ó-aundir framleiðsluav o-m, áverkaaðiкн.framleiðslu =>змей2
запусти́ть2	IIзапущу́, запу́ст|ишь, ~ятpf(ipfзапускать)что-л.vanrøkjair(t)o-t, misrøkjair(t)o-t(сад,сооружение), forsøma [-Ꞌsøː-]ir(d)o-t; запусти́ть боле́знь lataслнæ-ó-asjúku fara ov [ɔ] langt
запу́танный	Ipartic avзапу́татьIIadj1.(спутанный) fløkturсогл, ógreiddurсогл; запу́танные во́лосы fløkt hár, frísut hár2.(сложный) fløkturсогл, fløkjasligurглigur, ógreiðsamligur (тж[ɔuꞋkɹai̯sː-]); ógreiðurгл; запу́танный вопро́с ein fløkjasligur spurningur; запу́танное положе́ние ein fløkt støða
запу́тать	pf(ipfзапу́тывать,sí eis.пута́ть)1.síпу́тать 1-22.кого-л. во что-л.(впутать) fløkjair(t)o-n upp í[ʊꞋpʰʊi]o-t, blandaaðio-t upp í[ʊꞋpʰʊi]o-t
запу́таться	ipf1.síпу́таться1, 22.в чём-л.(оказаться опутанным,оплетённым) fløkjastir(t)inn í o-t, verðaслнa-ó-ofløkturupp í[ʊꞋpʰʊi-]o-t3.в чём-л.(попасть в трудное положение) verðaслнa-ó-ofløkturupp í[ʊꞋpʰʊi-]o-t, rótaaðiseginn í o-tннк; запу́таться в долга́х komaслнo-o-osær í skuld; запу́таться в противоре́чиях vevjaur(d){+}seg inn í mótsagnir4.(сбиться) villast [-tl-]ir(t)í o-m, verðaслнa-ó-oforvirraður [-vɪ-]ннк5.bert 3. pers brúktur(стать трудным для разрешения) fløkjastir(t)saman; вопро́с оконча́тельно запу́тался spurningurin varð vundin upp í ein ellubitaидиом.7.tlm.(сбиться с пути) villastir(t)[-tl-] =>де́бри2
