о.	Iо́бластьIIо́стров
оско́лок	Genоско́лк|а;plur~и, ~ов, ~амm1.(кусок) splinturс0осн; granatsplintur [-Ꞌnaː-]с0осн, spreingiflísнпж0-ar(снаряда)2.fl.(остаток старины) leivdж0-ir, fornleivd [fɔnl-], [fɔtnl-]ж0-ir
оско́лочный	adjsplintur-; оско́лочная бо́мба flísabumbaнп; оско́лочная ра́на sár av granatsplintrum [-Ꞌnaː-]
оско́мина	fsúrt følilsiсгл-ií munninum (от кислого); herskið følilsiсгл-imunninum (от терпкого); наби́ть (себе́) оско́мину havaнепрein hersknan smakk í munninum,sbr@@э́то наби́ло ему́ оско́минуhann er móður og troyttur av hesum
оскопи́ть	оскоплю́, оскоп|и́шь, ~я́тpf(ipfоскопля́ть)Accgeldair(d)Вин
оскопля́ть	ipf síоскопи́ть
оскорби́тель	mbókl.fornermari [-Ꞌnε-]ннкмгл-ari;o-r, ið misbjóðarкн.;o-r, ið særir
оскорби́тельность	ftað at vera fornermandi [-ˈnε-]ннк, tað at vera særandið
оскорби́тельный	stfоскорби́телен, оскорби́тельн|а, ~о, ~ыadjfornermandi [-Ꞌnε-]ннкглandi; æruskemmandiглandi, ærumeiðandiглandi(клеветнический)
оскорби́ть	оскорблю́, оскорб|и́шь, ~я́тpf(ipfоскорбля́ть)m Accfornerma [-Ꞌnε-]ннкВин; særair(d)Вин, stoytair(t)Вин(задеть); оскорби́тьчьи-л.чу́вства særa følilsinihjá[tʃʰ-]o-m@оскорби́тьчей-л.слухskurraaðií oyrunumá o-m, gríslaaðií oyrunumá o-m;оскорби́тьчей-л.взор{чьё-л.зре́ние} stingaслнa-u-uo-ní eyguni;оскорби́тького-л.де́йствиемfremjaur(d){e/a{+}likamságangспец.,юр.
оскорби́ться	оскорблю́сь, оскорб|и́шься, ~я́тсяpf(ipfоскорбля́ться)mblíva fornermaður [-Ꞌnε-]ннкглaðau; verða særdurсогл, verða stoytturсогл(задетый); verða firtinrсоглосн(обидеться)
оскорбле́ние	nfornermilsi [-Ꞌnε-]ннксгл-i; æruskemmingж0-irкн.(чести); ærumeiðingж0-irюр., injuria [-Ꞌjuː-]ннкжгл-aпроф.@оскорбле́ние де́йствиемlikamságangurмсогл-a,-irспец., юр.=>нанести́I 7
оскорблённый	adjfornermaður [-Ꞌnε-]глaður; æruskemdurсоглкн.(честь); særdurсогл; оскорблённая неви́нность ≈ ein forfylgd [-Ꞌfɪlt] óskyldigheit [-Ꞌʃɪ-]ннк
оскорбля́ть	ipf síоскорби́ть
оскорбля́ться	ipf síоскорби́ться
оскоро́миться	pf síскоро́миться
оскоти́ниться	оскоти́н|юсь, ~ишься, ~ятсяpfóvkm.verðaслнa-ó-osum eitt dýr
оскудева́ть	ipf síоскуде́ть
оскуде́лый	stfоскуде́л, ~а, ~о, ~ыadj(vorðin) fátækurсогл, útarmaðurглaður(обнищалый)
оскуде́ние	ntað at blíva fátækariсравн.; forfall [-Ꞌfatl]с0o
оскуде́ть	pf(ipfоскудева́ть, скуде́ть) (обеднеть) verða fátækariсравн.; minkaaði(уменьшиться); gangaслнe-i-iaftur [aʰtː-] á hondina, forfalla [-ˈfatla]слнa-u-a(прийти в упадок)
ослабева́ть	ipf síослабе́ть
ослабе́лый	stfослабе́л, ~а, ~о, ~ыadjviknaðurглaður, avmaktaðurглaður
ослабе́ть	pf(ipfослабева́ть, слабе́ть)síслабе́ть
осла́бить	осла́блю, осла́б|ишь, ~ятpf(ipfослабля́ть)1.Acc(сделать физически слабым) geraнепрВинveikariсравн., veikjair(t)Винкн.,ред.; maktaaðiВин(истощить)2.что-л.(уменьшить силу,степень чего-л.) minkaaðium o-t, geraнепрo-tlinari; slakaaðio-t; осла́бить цензу́ру slaka censurin [sεn̊Ꞌsuː-]3.(сделать менее натянутым,тугим) slakkaaðio-t(канат и т.п.), loysair(t)o-t (винт и т.п.); осла́бить мы́шцы slappaннкaðimusklarnarннк4.fl.(сделать менее напряжённым) geraнепрo-tminni spent; осла́бить напряжённость fáa ein linna í lag í tí spentu støðuni, minka um spenningin
ослабле́ние	n1.(физическое) viknanж0-ir, avmaktanж0-ir; maktarloysiсгл-i(от переутомления и др.)2.(уменьшение степени проявления) linniмгл-i, linkiмгл-i
ослабля́ть	ipf síослабе́ть
осла́бнуть	осла́бн|у, ~ешь, ~ут;pretосла́б, ~ла, ~ло, ~лиpf síослабе́ть
осла́вить	осла́влю, осла́в|ишь, ~ятpf(ipfославля́ть, сла́витьсла́влю, сла́в|ишь, ~ятóvkm.)Acctlm.komaслнo-o-oДатí ringt orð; beraслнa-ó-oleysasøgur útum Вин(распустить слухи)
осла́виться	осла́влюсь, осла́в|ишься, ~ятсяpf(ipfославля́ться)tlm.komaслнo-o-osær í ringt orð, fáaслнe-i-iringt orð á seg
ославля́ть	ipf síосла́вить
ославля́ться	ipf síосла́виться
осла́ивать	ipf síосло́ить
осла́иваться	ipf síосло́иться
ослёнок	Gen, Accослёнка;plurосля́т|а, ~, ~амmesilfylс0о{+}, asnafylс0о{+}; asnafoliмгл-iбибл.
ослепи́тельно	advblendandi; ослепи́тельно бе́лый blendandi hvítur; ослепи́тельно краси́вая hendinga vøkur, sjáldsama [ʃɔl̥s-] vøkur
ослепи́тельный	stfослепи́телен, ослепи́тельн|а, ~о,~ыadj1.(очень яркий) skyggjandiглandi, bjarturсогл{a/ø}, ljómandiглandi; blendandiглandi(тж о лампах и т.п.)2.(поразительный по красоте и др.) hendinga +прил., sjáldsama [ʃɔl̥s-] +прил.(um vakurleika o.a)
ослепи́ть	ослеплю́, ослеп|и́шь, ~я́тpf(ipfослепля́ть)Acc1.(сделать слепым) blindaaðiВин, geraнепрВинblindan2.(временно ярким светом) blendaaðiВин(av ljósi o.ø.)3.bert 3.pers brúktur oftast part pass pret чем-л.fl.(лишить возможности разобраться) forblinda [-Ꞌplɪ-]aði; ослеплён не́навистью forblindaður av hatri, blindur av hatri
ослепле́ние	n1.(действие) blindingж0-ar2.(ярким светом и т.п.) blendingж0-ar(av sterkum ljósi o.ø.)3.(утрата способности разобраться) forblindilsi [-Ꞌplɪ-]ннксгл-i, blindheitннкж0-irперен.
ослепля́ть	ipf síослепи́ть
осле́пнуть	осле́пн|у, ~ешь, ~ут;pretосле́п, ~ла, ~ло, ~лиpf1.síсле́пнуть2.fl.(перестать замечать,понимать) verða forblindaður [-Ꞌplɪ-]глaður; verða blindurсоглперен.; ты что, осле́п? hevur tú ikki eygur í høvdinum [hœtː-]?
осли́злый	stfосли́зл, ~а, ~о, ~ыadjslímuturсогл; sliputurсогл(водоросли,рыбья кожа и др.); hálurсогл(скользкий)
осли́знуть	осли́зн|ет, ~ут;pretосли́з, ~ла, ~ло, ~лиpfverða slímuturсогл; verða sliputurсогл(водоросли,рыбья кожа и др.); verða hálurсогл(стать скользким)
о́слик	m dim avосёл
осли́ный	esil-, esils-, ásna-нп@осли́ные у́шиbrekс0о, ið ikki kann fjalast
осли́ца	fhonesilс0осн, honásinнпс0осн, honásniнпмгл-i=>валаа́мов
О́сло	m indeclOslo [ɔslo]м нескл(1624-1924Христиа́ния (1624-1877Christiania;1877-1924Kristiania))
осложне́ние	n1.(действие) komplicering [-Ꞌseː-]ннкж0-ar, fløkingж0-ar, tað at gerao-tfløktari2.(явление,обстоятельство) komplikatión [-Ꞌʃɔun]ннкж0-ir, tvørleikiмгл-i3.lækn.(после болезни) eftirsjúka [εʰtː-]жгл-a, fylgisjúkaжгл-a, fylgdarsjúka [fɪlt-]жгл-aкн.,мед., eftirfylgja [εʰtː-]жгл-aмед., komplikatión [-Ꞌʃɔun]ннкж0-irпроф., tilslagлпс0о{a/ø}{0<>i}мед.
осложни́ть	осложн|ю́, ~и́шь, ~я́тpf(ipfосложня́ть)что-л.fløkjair(t)o-t, komplicera [-Ꞌseː-]ннкaðio-t; geraнепрo-tverri (ухудшить)
осложни́ться	осложни́тся, ~я́тсяpf(ipfосложня́ться)1.(стать сложным,сложнее) blíva fløktariсравн., komplicerast [-Ꞌseː-]ннкaði; versna [vεsna]aði(ухудшиться)2.(о болезнях) komaслнo-o-oafturat [aꞋtʰɹεat] (um fylgisjúkur); боле́знь осложни́лась ein fylgisjúka kom aftur at sjúkuni, komplikatiónir [-Ꞌʃɔu-]ннкпроф.komu aftur at sjúkuni
осложня́ть	ipf síосложни́ть
осложня́ться	ipf síосложни́ться
ослуша́ние	ngml.,óvkm.ólýdniжгл-i;сгл-i
ослу́шаться	pf(ipfослу́шиваться)Gengml.,óvkm. ikki aktaaðiВин, veraДатóhoyriligur [-Ꞌhɔi-]глigur, veraДатólýðinсоглоснð/d, vera ólýðinсоглоснð/dmóti Дат
ослу́шиваться	ipf síослу́шаться
ослу́шник	m gml, óvkm. o-r, sum er óhoyriligur [-ˈhɔi-],o-r, sum er ólýðin,o-r, sum ikki aktar
ослу́шница	f gml, óvkm. o-r, sum er óhoyrilig [-ˈhɔi-],o-r, sum er ólýðin,o-r, sum ikki aktar (genta, konufolk)
ослы́шаться	ослы́ш|усь, ~ишься, ~атсяpfhoyrair(d)skeivt, mishoyrair(t)seg
ослы́шка	plurослы́ш|ки, ~ек, ~камf tlm.tað at hoyra skeivt, tað at mishoyra seg, mishoyringж0-ar
осля́т...	síослёнок
осма́н	m søg.osmanni [-ˈma-]мгл-iист., osmannari [-ˈma-]ннкмгл-ariист.
осма́нка	plur осма́н|ки, ~ок, ~камf søg.osmanni [-ˈma-]мгл-iист.,osmannari [-ˈma-]ннкмгл-ariист.(konufólk)
осма́нский	adjsøg. osmanniskur [-ˈma-]соглskист.
осма́тривать	ipf síосмотре́ть
осма́триваться	ipf síосмотре́ться
осме́ивать	ipf síосмея́ть
осмеле́ть	pf(ipfсмеле́ть) verða djarvariсравн., herðair(d)seg í huga
осме́ливаться	ipf síосме́литься
осме́литься	осме́л|юсь, ~ишься, ~ятсяpf(ipfосме́ливаться)на что-л.+inf, torair(d){+}at+ инф., vágaaðisær at+ инф.; hættair(t);aðisær at +инф.; dittair(t)sær at+ инф. (отважиться); осме́литсья отказа́ться tora at siga nei; осме́литься на возраже́ние tora at muta ímóti [-Ꞌmɔu-]; осме́люсь доложи́тьgml.eg loyvi mær at boða frá
осмея́ние	nspottс0о, láturliggeringж0-ar; подве́ргнуть осмея́нию hava til láturs
осмея́ть	осме|ю́, ~ёшь, ~ю́тpf(ipfосме́ивать)AcchavaнепрВинtil Ꞌ láturs, haldaслнed-i-iВинfyri Ꞌ spott
о́смий	mosmium [-iʊm]с0о({0<>i})
осмоли́ть	pf síсмоли́ть2
осмо́лка	ftjøringж0-ar
о́смос	mosmosa [-Ꞌmoː-]жгл-aфиз.
осмоти́ческий	adjosmotiskur [-ˈmoː-]соглskфиз.; осмоти́ческое давле́ние osmotiskt trýst
осмо́тр	m1.(обход) rundaжгл-a, rundtúrur [rʊnt-]мсогл-ar;-s,-ir; tað at kunna seg viðo-t(ознакомление); осмо́тр карти́нной галере́и vitjan á einum gallarí [-Ꞌrʊi]; осмо́тр го́рода rundtúrur í býnum, sightseeing [saitsɪːɪŋk]ннкж0-arí býnum2.(обследование) kanningж0-ar, sýnс0о(автомашины и т.п.); eftirlit [εʰtː-]с0о, kontrollur [-Ꞌtʰrɔlː-]ннкмсогл-ar, check [tʃʰεʰkː]ннкс0о(проверка), visitatión [-Ꞌʃɔun]ж0-irспец.(врача,представителей социального обеспечения и т.п.); враче́бный осмо́тр læknakanning; тамо́женный осмо́тр tolleftirlit [-tl-]; техни́ческий осмо́тр tekniskt eftirlit; осмо́тр тру́па líkskoðanж0-ir
осмотре́ть	осмотрю́, осмо́тр|ишь, ~ятpf(ipfосма́тривать)Acc1.(оглядеть,ознакомиться) hyggjaur(d){y/u}(gjølla [-tla])at Дат; eygfara [εkf-]слнó-ó-aВин(внимательно); осмотре́ть сооруже́ние со всех сторо́н hyggja at anlegginumннкпроф.frá øllum [-tl-] síðum; осмотре́ть го́род faraслнó-ó-aein rundtúr [rʊnt-] í býnum; осмотре́ть вы́ставку hyggja at einari framsýning; vitjaaðiein framsýning2.(обследовать) kannaaðiВин; sýnaaðio-t(автомашину и др.); skoðaaðio-t(проверить); undirsøkja [-ˈsøː-]ннкir(t)Вин проф.(ос. у врава) , kontrollera [-Ꞌleː-]ннкaðiВин, checka [tʃʰεʰkːa]ннкaðiВин(проверить); visitera [-Ꞌtʰeː-]aðiВинспец.(представители здравоохранения и др.)
