п.1	I паде́ж
показа́ть	покажу́, пока́ж|ешь, ~утpf(ipfпока́зывать)1.Acc(кому-л.) (дать возможность увидеть) vísair(t)o-m Вин; vísair(t)o-tfram; framførair(d)o-t, sýnair(d)o-t(спектакль); показа́ть спекта́кль sýna ein leik; показа́ть рису́нки vísa nakrar tekningar [tʰεkn-]; показа́ть ребёнка врачу́ ≈ lataслнæ-ó-alæknan hyggja at barninum [-tn-]; покажи́ но́вые часы́ vís mær tað nýggja urið hjá [tʃʰ-] tær; показа́ть чле́нский биле́т vísa limakortið (fram); показа́тькому-л. го́род vísao-mbýin, vísao-mrunt í býnum; показа́тькому-л.вы́ставку vísao-mrunt á einari framsýning2.на Acc(кому-л.) (обратить чьё-л. внимание на что-л.,кого-л.) peikaaðiá Вин; показа́ть руко́й на окно́ peika á eitt vindeyga [vɪntεa] (реже[vɪntεija])3.Acc(изобразить) vísair(t)Вин, lýsair(t)Вин; писа́тель показа́л жизнь большо́го го́рода høvundurin hevur lýst lívið í einum stórbýi4.что-л.(кому-л.) (разъяснить) vísair(t)o-m o-t(greiða frá); показа́тькому-л., как +infvísao-m, hvussuo-tskal +инф; показа́ть, как писа́ть бу́квы vísa, hvussu bókstavirnir [pœʰks-] skulu skrivast; показа́ть, как де́йствует маши́на vísa, hvussu ein maskina [-Ꞌʃiː-] virkar5.что-л.(проявить) sýnair(d), vísair(t); показа́ть му́жество sýna dirvi; не показа́тьчто-л.{что...} ikki latao-tá sær finna; он не показа́л, что оскорблён hann vísti ikki, at hann var fornermaður [-Ꞌnε-]ннк; hann læt ikki síggjast á sær, at hann var fornermaður [-Ꞌnε-]ннк; hann læt ikki finna á sær, at hann var fornermaður [-Ꞌnε-]ннк; показа́ть хоро́шие результа́ты fáaслнe-i-igóð úrslit [ʏʂ-]; показа́ть реко́рдную ско́рость náa metferð; бегу́н показа́л (вре́мя) 11 секу́нд rennarin fekk tíðina 11 sekund [-Ꞌkʰʊnt]6.что-л.(обнаружить) vísair(t)o-t; иссле́дование показа́ло зави́симость ме́жду ... kanningin vísti eitt samband millum [-tl-]...7.что-л. ¨bert 3. pers brúktur(о приборах) vísair(t)o-t(um instrument); термо́метр пока́зывает 10 гра́дусов моро́за termometrið [-Ꞌmeː-] vísir 10 kuldastig; э́то число́ пока́зывает, ско́лько раз ... hetta talið vísir, hvussu ofta ...8.на кого-л.(дать показания) vitnaaði(fyri rættinum); свиде́тель показа́л, что... vitnið greiddi frá, at ...; показа́тьна кого-л.vitnamóti o-m; gevaслнa-ó-io-mskyldina (обвинить)9.tlm.(кому-л.) (проучить) lærair(d)o-n(hóttan); я тебе́ покажу́! eg skal læra teg!; я вам покажу́ как врать! eg skal læra tykkum at lúgva!10.bert stf av partic pret pass: больно́му пока́зан поко́й mælt verður til at geva tí sjúka frið; tað er til gagns fyri tann sjúka at fáa frið; препара́т пока́зан при гипертони́и mælt verður til at brúka hetta preparatið [-Ꞌraː-], tá blóðtrýstið er ov [oː] høgt@показа́ть себя́vísa, hvat ein dugir til =>видI @,дверь@,доро́га1,лицо́1,нос@,приме́р2,това́р@,язы́кI 1
показа́ться	покажу́сь, пока́ж|ешься, ~утсяpfAsíказа́ться; мне показа́лось, бу́дто кто-то упа́л eg helt meg hoyra onkran dettaBipfпока́зываться1.(стать видным) síggjastслнá-ó-æ, vísair(t)seg, komaслнo-o-otil sjóndar; наконе́ц показа́лся бе́рег endiliga sóu teir land, endiliga sást land; из-за ту́чи показа́лась луна́ mánin kom fram undan einum skýggi; у неё показа́лись слёзы на глаза́х hon fekk tár í eyguni2.(явиться) vísair(t)seg; он бои́тся показа́ться вам (на глаза́) hann torir ikki at vísa seg fyri tykkum; показа́ться врачу́ fara til lækna3.Dat oftast við negóvkm.(понравиться) dámaar(d)Дат; э́тот костю́м мне не показа́лся hesin klædningurin dámdi mær ikki =>глаз@
показно́й	adj1.(рассчитанный на внешний эффект) sum er til at vísa fram, at síggja til; (sum er) til at gera seg upp við; показна́я ро́скошь luksus, ið er ætlað til at imponera [-Ꞌneː-]ннк2.(притворный,неискренний) sum er upp á kvamsvís, at síggja til; показно́е весе́лье tilgjørt kæti, kæti upp á kvamsvís
показу́ха	ftlm.,atf.o-t, sum verður gjørt fyri at lata tað síggja út; ≈ eygnarivс0о
показу́шничать	ipftlm.,atf.geraнепрo-tfyri at vísa seg
показу́шный	adjtlm.,atf.sum verður gjørdur fyri at látast
пока́зывать	ipf síпоказа́ть
пока́зываться	ipf síпоказа́ться
покайфова́ть	покайфу́|ю, ~ешь, ~ютpfóvkm.dusaaðiкн.sær eitt sindur, hugna [huːna]aðisær eitt sindur
пока́кать	pf síка́кать
по-како́вски	advóvkm.á hvørjum máli; по-како́вски он говори́т? hvørjum máli tosar hann á?; hvat mál tosar hann?
покале́чить	pftlm.síкале́чить
покале́читься	pftlm.síкале́читься
пока́лывать	ipftlm.: снежи́нки пока́лывают ко́жу kavaflykrurnar prika eitt sindur í húðini; в груди́ пока́лываетópeg havi av og á stingir í bringuni
покаля́кать	pfóvkm.fáaслнe-i-ieitt prát
пока́мест	adv,conjóvkm.síпока́
покара́ть	pf síкара́ть
покарау́лить	покарау́л|ю, ~ишь, ~ятpftlm. Acchaldaслнe-i-ivakt yvirДат(eina tíð); ansaaðieftir [εʰtː-]Дат(eina tíð) (присмоеться)
поката́ть	pf что-л.1.(прокатить,повозить немного) rulla [-tla]aðio-t(eina løtu), trillaaðio-t(eina løtu)2.síката́тьB 1
поката́ться	pf что-л.koyrair(d)(eina løtu), siglair(d){+}(eina løtu),sbr. eis.ката́ться
покати́ть	покачу́, пока́т|ишь, ~ятpf1.Acc(шар и т.п.) rulla [-tla]aðiВин(бочку и др.); trilllaaðiВин(обруч,коляску,бочку и др.)2.tlm.(быстро поехать) faraслнó-ó-avið nógvari ferð
покати́ться	покачу́сь, пока́т|ишься, ~ятсяpf1.(начать катиться) faraслнó-ó-arullandi [-tl-]aði, faraслнó-ó-atrillandiaði; fara á rull [-tl], fara á stikl2.(потечь) faraслнó-ó-aat renna, faraслнó-ó-aat streyma3.tlm.(быстро поехать) faraслнó-ó-avið nógvari ferð4.(о звуках) komaнепрdunandi, komaнепрdynjandi; dunaaði, dynjaur(d){y/u}{+}@покати́ться со́ смехуbrestaслнa-u-uútúr [ʉuꞋtʰʉuɹ] (at grína), brestaслнa-u-uí skellilátur [-tl-]
пока́тость	fhelling [-tl-]ж0-ar, hall [-tl]с0о; skráiмгл-i(склон и т.п.), brekkaжгл-a(склон и т.п.)
пока́тываться	ipf: пока́тываться со́ смеху flennair(t)í kíki, veraслнa-ó-eum at skrædna í látri
пока́тый	stfпока́т, ~а, ~о, ~ыadjskráur [skɹɔav-]гл; hallandi [-tl-]глandi; пока́тая кры́ша skrátt tak, skrátak; пока́тые пле́чи sneiddar akslar; с пока́тыми плеча́ми slútakslaður
покача́ть	pf1.Acc(качать некоторое время) ruggaaðiДат(eina løtu), vaggaaðiДат(eina løtu)2.:покача́ть голово́й rista við høvdinum [hœtː-] (nakrar ferðir)3.óp.: кора́бль покача́ло на во́лнах skipið rullaði [-tl-] á aldunum
покача́ться	pfsveiggjaaði(eina løtu); vaggaaði(eina løtu); reiggjaaði(eina løtu) (на висячих качелях)
пока́чивать	ipf Acc,чем-л.vaggaaðiДат(eitt sindur); ristair(t)við o-m(головой) (eitt sindur); ло́дку пока́чиваетópbáturin rullar [-tl-] eitt sindur
пока́чиваться	ipfvaggaaði(eitt sindur); идти́, пока́чиваясь sløðraaði, vinglaaði
покачну́ть	покачн|у́, ~ёшь, ~у́тpf что-л.fáaслнe-i-io-tat vagga, vaggaaðio-m; ло́дку покачну́лоópbáturin vaggaði
покачну́ться	покачн|у́сь, ~ёшься, ~у́тсяpf1.(слегка качнуться) skinklaaði, ridlaaði; vinglaaði, sløðraaði(о походке)2.tlm.(покривиться,покоситься) verða skeivurсогл; leggjaнепрseg (eitt sindur) á liðina (накрениться)3.bert 3. pers brúkturtlm.(ухудшиться,испортиться) gangaслнe-i-iaftur [aʰtː-] á hond, versna [vεsna]aði
пока́шливание	nsmáhostiмгл-i
пока́шливать	ipfhostaaðieitt sindur; harkaaði(чтобы обратить внимание на на что-л. и т.д.)
пока́шлять	pfhostaaði(eina løtu); harkaaði(чтобы обратить внимание на что-л. и т.д.)
покая́ние	n1.(исповедь) skriftamálс0о; bótж0-ur{ó/ø}(kirkjulig revsing fyri o-r brot) (наказание)2.bókl.,hátíð.(признание) játtanж0-ir(um at o-r er sekur í o-m)3.(раскаяние) iðranж0-ir, angurм0осн-s,-ar@отпусти́ть ду́шу на покая́ниеskemt.lataслнæ-ó-ao-nvera í frið
покая́нный	stfпокая́н|ен, ~на, ~но, ~ныadjiðranarfullur [-tl-]согл, angrandiглandi
пока́яться	pf síка́яться
покварта́льный	adjkvartals-, ársfjórðings-; покварта́льный отчёт kvartalsroknskapur, ársfjórðingsroknskapur
поквита́ться	pf с кем-л.tlm.geraнепрꞋ uppvið o-n; lønair(t)o-maftur [aʰtː-] (hevna) (отомстить); мы поквита́лись vit eru kvittнеформ.; я ещё с тобо́й поквита́юсь! hetta skalt tú fáa afturlønt [aʰtː-]!
по́кер	mpoker [pʰoːkεɹ]с0{дат.0}; игра́ в по́кер pokerspæl
покива́ть	pfnikkaaði(nakrar ferðir)
покида́ть1	Ipf что-л.tlm.tveitair(t)o-thurl um burl, grýtair(t)o-t
покида́ть2	IIipfsíпоки́нуть
поки́нуть	поки́н|у, ~ешь, ~утpf(ipfпокида́ть)1.Acc(оставить) rýmair(d)frá Дат, rýmair(d)úr o-m, rýmair(d)av o-m, faraслнó-ó-afrá Дат, faraслнó-ó-aúr o-m, faraслнó-ó-aav o-m; поки́нуть то́нущий кора́бль rýma av einum søkkandi skipi, fara av einum søkkandi skipi; поки́нуть семью́ rýma frá familjuni [-Ꞌmɪ-], fara frá familjuni [-Ꞌmɪ-]; все поки́нули её øll [œtl] eru farin frá henni2.что-л.(уехать откуда-л.) faraслнó-ó-aúr o-m; поки́нуть го́род fara úr býnum; кора́бль поки́нул порт skipið er farið úr havnini3.(работу и т.п.) faraслнó-ó-a(úr o-m,frá o-m,av o-m) (gevast við o-m); боксёр поки́нул ринг boksarin er farin úr ringinum (er givin við at boksast)4.: си́лы поки́нули меня́ kreftirnar gingu undan hjá [tʃʰ-] mær
поклада́ть	ipf: рабо́тать, не поклада́я рукtlm.arbeiða uttan íhald, arbeiða uttan steðg [stεkː], arbeiða ótroyttiliga [-Ꞌtʰrɔi̯-]
покла́дистость	flagaligheitж0-ir, eftirlæti [εʰtː-]сгл-i
покла́дистый	stfпокла́дист, ~а, ~о, ~ыadjlagaligurглigur; eftirlátin [εʰtː-]соглосн, eftirlátligur [εʰtː-]глigur(уступчивый)
покла́жа	ftlm.(груз) byrðaжгл-a, byrðiжгл-iкн.; viðføri [vɪf-]сгл-i, bagasja [-Ꞌkaː-]ннкжгл-a(багаж); klyvж0-ar{+}(вьюк)
поклева́ть	поклю|ю́, ~ёшь, ~ю́тpf1.что-л., чего-л.(склевать) pikkaaðio-t(nógv,alt)2.чего-л.(поесть немного) fáaслнe-i-især ein bita (avo-m), etaслнá-ó-eein bita (avo-m)3.(клевать,клюнуть несколько раз) pikkaaði(nakrar ferðir) (о птице); takaслнó-ó-i(nakrar ferðir), bítaслнei-i-i(nakrar ferðir); nippaaði(о рыбе)
поклёп	mtlm.følsk ákæraжгл-a, følsk skuldsetingж0-ar; bakbit [pakp-]с0о, baktalilsiсгл-i(клевета); útspilling [-tl-]ж0-ar(злословие); возвести́ поклёпна кого-л. leggjaнепрo-nundiro-tav órøttum; baktalaaðio-n(клеветать); spilla [-tla]ir(t)o-nút (злословить)
покло́н	m1. (наклонение головы и др.) bukkс0о; класть покло́ны bukkaaði, nígaслнei-i-i(undir bøn í kirkju o.a.); отве́сить покло́нgml. geraнепрeitt djúpt bukk, bukkaaðidjúpt, níga djúptвыс.,кн.2.(привет) heilsaжгл-a, heilsanж0-ir; переда́ть покло́нкому-л.heilsaaðio-m; (переда́й) жене́ покло́н heilsa konuni (frá mær); мать шлёт покло́н mamma letur heilsa, mamma biður heilsa@идти́ на покло́н{с покло́ном}к кому-л. vendair(d)særtil o-n(við einari bøn,áheitan), heitair(t)á o-n;земно́й покло́нa) (до земли) djúpt bukkс0о(til jarðar); b)кому-л.fl.(глубокая благодарность) ein innilig tøkkж0-ir{ø/a}til o-n
поклоне́ние	n1.(Dat) (кпоклоня́ться 1) tilbiðingж0-ar(av Дат), dyrkanж0-ir(av Дат); поклоне́ние и́долам dyrkan av avgudum [au-]2.(Dat) (чувство восхищения) beundring [-Ꞌʊn-]нннж0-ar(av Дат); dyrkanж0-ir(av Дат); завоева́ть поклоне́ние ма́льчиков vinna sær beundringinaннкhjá [tʃʰ-] dreingjunum; ≈ fáaнепрdreingirnar at beundra [-Ꞌʊn-]нннseg
поклони́ться	pf síкла́няться
покло́нник	m1.rel.(тот,кто поклоняется божеству и т.п.) dyrkariмгл-ari, tilbiðjariмгл-ari; покло́нник Бу́дды Buddhadyrkari [pʊtːa-]2.чего-л.(почитатель) beundrari [-Ꞌʊn-]ннкмгл-ariav o-m3.(влюблённый) tilbiðjariмгл-ari, beundrari [-Ꞌʊn-]ннкмгл-ari(o-r, sum er forelskaður o.tíl.)
покло́нница	m1.rel.(та,кто поклоняется божеству и т.п.) dyrkariмгл-ari, tilbiðjariмгл-ari(konufólk)2.чего-л.(почитательница) beundrari [-Ꞌʊn-]ннкмгл-ariav o-m(konufólk)3.(влюблённая) tilbiðjariмгл-ari, beundrari [-Ꞌʊn-]ннкмгл-ari(o-r,sum er forelskað o.tíl.) (konufólk)
поклоня́ться	ipf Dat1.(чтить как божество) dyrkaaðiВин, tilbiðjaслнa-ó-iВин2.(восхищаться) beundra [-Ꞌʊn-]ннкaðiВин
