Н	нью́тонmnewton [ɲjʉutʰɔn]ж0-ir
нельзя́	pred + inf1.+ inf ipf(кому-л.) (не разрешается) (tað) er ikki loyvt at+ инф.; (tað) er bannað at+ инф.,o-rmá ikki+ инф.,o-reigur ikki at+ инф.; э́ту дверь нельзя́ открыва́ть henda hurðin má ikki latast upp, tú mást ikki lata hesa hurðina upp, henda hurðin skal ikki latast upp; здесь кури́ть нельзя́ tað er bannað at roykja herофиц., her er ikki loyvt at roykja, tú mást ikki roykja her; де́тям нельзя́ поднима́ть тяжёлые ве́щи børn [-tn] mugu ikki lyfta [-tːa] tungt; нельзя́ ложи́ться спать так по́здно tú skuldi ikki farið so seint í song, tú átti ikki at farið so seint í song; мне нельзя́ мно́го бе́гать eg kann ikki renna nógv, eg má ikki renna nógv, eg skal ikki renna nógv, eg eigi ikki at renna nógv; нельзя́ писа́ть на сте́нах tú mást ikki skriva upp á veggirnar, tað er bannað at skriva upp á veggirnarофиц.; ничего́ нельзя́ mannннкsleppur einki at gera, alt er forboðið [-Ꞌpoː-]; нельзя́! nei! (sum svar upp á spurning um o-r kann koma inn o.tíl.); мо́жно...? - нельзя́! kann eg...? - nei!2.+ inf pf(кому-л.) (невозможно) tað er ómøguligt [-Ꞌmøːv-] at+ инф., tað er ógjørligt [-Ꞌtʃœ-] at+ инф.,o-rkann ikki, mannннкkann ikki+ инф., tað ber ikki til at+ инф.; э́ту дверь нельзя́ отркы́ть henda hurðin fæst ikki upp, tað er ómøguligt at fáa hesa hurðina upp; нельзя́ написа́ть большо́й расска́з за два дня tað ber ikki til at skriva eina stóra søgu upp á tveir dagar, mannннкkann ikki skriva eina stóra søgu upp á tveir dagar, tað er ógjørligt at skriva eina stóra søgu upp á tveir dagar; э́ту зада́чу нельзя́ реши́ть henda uppgávan kann ikki loysast3.+ inf av sagnorðum, ið bert eru ipf(кому-л.): жить нельзя́ без пи́щи tað ber ikki til at liva uttan mat, tað er ómøguligt [-Ꞌmøːv-] at liva uttan mat, mannннкkann ikki liva uttan mat; тебе́ нельзя́ жить без неё a) (не следует) tú mást ikki fara at liva uttan hana; b) (невозможно) tú kanst ikki liva uttan hana, tað er ómøguligt [-Ꞌmøːv-] hjá [tʃʰ-] tær at liva uttan hana; нельзя́ слу́шать э́ту му́зыку без слёз mannннкkann ikki lurta eftir [εʰtː-] hesum musikkinum [-Ꞌsɪ-] uttan at tára, tað ómøguligt [-Ꞌmøːv-] at lurta eftir [εʰtː-] hesum musikkinum [-Ꞌsɪ-] uttan at tára@нельзя́ ли...?ber ikki til...?, hevði [hεijɪ] ikki borið til...?; kanst tú ikki...?; нельзя́ ли быстре́е? fært tú ikki verið skjótari?; kanst tú ikki vera skjótari? fært tú ikki koyrt skjótari?;нельзя́ не+ inftað má..., tað ber ikki til...; тако́му челове́ку нельзя́ не помо́чь einum sovorðnum menniskja ber ikki til ikki at hjálpa [j-], einum sovorðnum menniskja má mannннкhjálpa [j-]; нельзя́ не согласи́ться {призна́ть} tað má viðgangast; нельзя́ не сказа́ть, что ... ikki kann sigast annað enn, at ...; mannннкkann ikki siga annað enn, at ...;нельзя́ сказа́ть, что ...ikki kann sigast, at ...; tað er synd at siga, at...;как нельзя́ лу́чшеbest møguligt, so gott sum møguligt;кто-л.сде́лал э́то как нельзя́ лу́чше onkur hevur gjørt tað so gott sum møguligt; всё идёт как нельзя́ лу́чшетжalt gongur upp á Ꞌ stásидиом.;как нельзя́ ху́жеupp á ringasta máta, upp á ringast hugsandi máta, so tað ikki fær verið verri;как нельзя́ кста́тиí tøkum tíma =>дохну́ть@
не́льма	f(Stenodus leucichthys nelma)fiskur av laksaættini(en.inconnu,conny) (undirslag norðanfyri),sí. eis.белоры́бица
нелюбе́зный	stf нелюбе́з|ен, ~а, ~о, ~ыadjikki fyrikomandiглandi, óblíðurгл; óbeinasamurсогл{a/o}, malsjønskur [-ʃœ-]соглnskнеодобр, masjønskur[-ʃœ-]соглskнеодобр. (неуслужливый)
нелюби́мый	stfнелюби́м, ~а, ~о, ~ыadjsumo-rikki er góðurгл{+}við (к которому не испытывают любовь); ikki avhildinсоглосн, ikki dámdurсогл, illa [ɪtla] dámdurсогл; illa [ɪtla] lýddurсогл, ópopulerurннксогл(непопулярный)
нелюбо́вь	Genнелюбви́, Insнелюбо́вьюf(к Dat) mótviljiмгл-i(móti Дат); illvildж0-ir(móti Дат) (нерасположение)
нелюбопы́тный	stfнелюбопы́т|ен, ~на, ~но, ~ныadj1.(лишенный любознательности) ikki forvitinсоглосн,lítið forvitinсоглосн2. (неинтересный)ikki áhugaverdurсогл, lítið áhugaverdurсогл, ikki fofvitnisligurглigur,lítið forvitnisligurглigur, óinteressantur [ɔuɪn̊tɪɹɪsa-]ннксогл
не́люди	не́люд|ей, ~ямpluróvkm.vittuggirсгл-iмн, bartrogс0о{0<>i}мн
нелюди́м	mfólkastyggurсоглmaðurмнепр, fólkaræddurсогл({æ/ø})maðurмнепр
нелюди́мый	stfнелюди́м, ~а, ~о, ~ыadj1.(избегающий общения с людьми)fólkaræddurсогл({æ/ø}), fólkastyggurсогл; óselskapligur [-Ꞌskεa-]ннкглigur(необщительный)2.gml.(пустынный, безлюдный) tómurсогл(пустой), fólkatómurсогл, manntómurсогл, fólkaoyðinсоглоснð/d, mannoyðinсоглоснð/d
нём	Prp avон, оно́aftan á fyrisetingarorð
немагни́тный	adjómagnetiskurсоглsk
нема́ло	advnokk so nógv, rættiliga nógv, ikki (heilt) lítið, ikki fáir (со считаемыми существительными), nógvur; он мема́ло рабо́тал hann arbeiddi rættiliga nógv; есть нема́ло стате́й на э́ту те́му tað eru ikki so fáar greinar um hetta evnið, tað eru nokk so nógvar greinar um hetta evnið; ты́сяча рубле́й - э́то нема́ло túsund [tʰʉusɪn] rublar er ikki so lítið; нема́ло люде́й heilt nógv av fólki
немалова́жный	stf немалова́ж|ен, ~на, ~но, ~ныadjsum ikki hevur lítið at siga, rættiliga týdningarmikilсоглосн
немалочи́сленный	stfнемалочи́слен, ~на, ~но, ~ныadj(nokk so) fjølmenturсогл(о количестве людей); (nokk so) nógvurсогл(со считаемыми существительными)
нема́лый	stfнема́л, немал|а́, ~о́, ~ы́adjrættiliga stórur, nokk so stórur, ikki so lítil; rættiliga langur (о расстоянии, времени); rættiliga týðandi (значительный); э́то сто́ило нема́лых де́негтжhetta kostaði heilt fitt av pengum; два́дцать лет - нема́лый срок tjúgu ár er eitt nokk so langt tíðarskeið; нема́лая до́лжность nokk so týðandi starv
Не́ман	mNemanж нескл.(litauisktNemunas)
нематериа́льный	stfнематериа́лен, нематериа́льн|а, ~о, ~ыadj1.filos.(не являющийся материей) immateriellurинтсоглспец., óevnisligurлпглigurспец.2. (лишенный имущественной и др. заинтересованности) ikki-materiellurсогл
немато́да	frundormurмсогл-ar; nematoda [-Ꞌtʰoː-]жгл-aспец., sandmaðkur [sammaʰkː-]мсогл-ar(snultari hjá fiski)
неме́дленно	advalt fyri eitt, beinanvegin, umgangandi [-Ꞌkε-]ннк
неме́дленный	stfнеме́длен, ~на, ~но, ~ныadjsum er Ꞌ alt fyri eitt, sum er í stundini, sum er beinanvegin, sum er umgangandi [-Ꞌkε-]ннк
неме́для	adv síнеме́дленно
Немези́да	f síНемеси́да
неме́рено	adv чего-л.tlm.fultav o-m, nógvav o-m
неме́ркнущий	adjhátíð.1.(не потухающий) sum ikki slóknar, ósløkkjandi [-Ꞌslœ-]глandi2.fl.(непреходящий) sum ikki kámast burtur, sum ikki fánar, ævigurглigur(вечный)
Немеси́да	fmyt.,eis.fl.Nemesisж0-arтжперен.
немета́лл	mikki-metallс0о(;0-ir)
неме́ть	ipf(pfонеме́ть)1.(терять споспобность говорить) missair(t)máliðпрям., перен.,verða málleysurсоглперен., fáaслнe-i-ilippufelli [-tlɪ]идиом.,кн.(от холода,страха и др.)2.pf eis.занеме́тьbert 3. pers brúkturlofnaaði(от холода), dovnaaði(um limir)
не́мец	Gen, Accне́мц|а;plur~ы, ~ев, ~амmtýskari [tʰʊʃk-]мгл-ari
неме́цкий	adjtýskur [tʰʊʃk-]соглsk; неме́цкий язы́к týskt [tʰʊi̯ʰkst] (реже[tʰʊʰkst])сприлskt
немига́ющий	adj1.(пристальный) starandiглandi, stívurсогл(um eygnabragd o.tíl.)2.(горящий ровно) sum ikki blaktrar (logi o.t.)
немилосе́рдный	stfнемилосе́рд|ен, ~на, ~но, ~ныadj1.bókl.(жестокий) miskunnleysurсогл, náðileysurсогл2.tlm.(очень сильный) sterkurсогл(о боли и др.), strangurсоглang, harðurсогл{a/ø}; немилосе́рдная боль sterk pína; немилосе́рдный моро́з gallhart [-tl-] frost
неми́лостивый	stfнеми́лостив, ~а, ~о, ~ыadjgml.illviljaðurглaður, ónáðigurглкн.
неми́лость	fónáðiжгл-i; быть в неми́лостиу кого-л.vera í ónáðihjá[tʃʰ-]o-m; впасть в неми́лостьк кому-л.falla [-tla] í ónáðihjá[tʃʰ-]o-m
неми́лый	stfнеми́л, немила́, неми́л|о, ~ыadjtlm.sumo-rikki er góðurгл{+}við (к которому не испытывают любовь); ikki avhildinсогл, ikki dámdurсогл, illa [ɪtla] dámdurсогл(непопулярен); ódámligur [-Ꞌtɔ-]глigur(несимпатичный); sumo-mstendst við (постылый); ему́ бы́ло всё неми́ло einki gleddi hann, alt beyð honum ímóti [-Ꞌmɔu-]
немину́емый	stfнемину́ем, ~а, ~о, ~ыadjsum ikki slepst undan, óumberligur [-Ꞌpε-]глigurкн.
немину́чий	stfнемину́ч, ~а, ~е, ~иadjóvkm. sum ikki slepst undan, óumberligur [-Ꞌpε-]глigurкн.
не́мка	plurне́м|ки, ~ок, ~камmtýskari [tʰʊʃk-]мгл-ari(konufólk)
немно́гие	Iplurfáirм, fáarж, fáс; об э́том зна́ют немно́гие tað eru fá, sum vita um hetta; tað eru tey fæstu [faʰkstʊ], [fastʊ], sum vita um hettaIIadj(nakrir) fáir; в немно́гих слова́х í nøkrum fáum orðum
немно́гим	síнемно́гое2
немно́го	Iadv1.(не очень много) eitt sindur, lítið, ikki nógv; он ест немно́го hann etur lítið; он немно́го пое́л hann át eitt sindur; я занима́лся немно́го сего́дня eg las eitt sindur í dag; он немно́го говори́т по-ру́сски hann dugir eitt sindur av russiskum, hann tosar eitt sindur av russiskum2.(слегка, несильно) eitt sindur; он немно́го уста́л hann er eitt sindur móðurIInum card + substeitt sindurav Дат, nakaðav Дат; fáurглИм(со считаемыми существительными); немно́го воды́ eitt sindur av vatni; у него́ немно́го друзе́й hann hevur fáar vinir, hann hevur ikki nógvar vinir; таки́х поэ́тов, как он, немно́го tað eru fáir yrkjarar sum hann; немно́го наро́ду lítið fólk, lítið av fólki; здесь немно́го ове́ц her eru nakrir fáir seyðir, her eru ikki nógvir seyðir; у нас немно́го вре́мени a) (мы спешим) vit hava lítla tíð eftir [εʰtː-]; b) (мы свободны) vit hava eitt sindur av tíð
немно́гое	n1.lítiðнареч.; дово́льствоваться немно́гим vera nøgdur við lítið; немно́гое поня́ть в статье́ skilja lítið av greinini; то немно́гое, что я зна́ю tað lítla, eg veit; tað sindrið, eg veit2.: немно́гим+ compeitt sindur+ сравн., nakað+ сравн.; немно́гим бо́льше eitt sindur størri; немно́гим по́зже nakað seinni [sai̯tnɪ], eitt sindur seinni [sai̯tnɪ]
немногосло́вность	ftað at vera fámæltur
немногосло́вный	stfнемногосло́в|ен, ~на, ~но, ~ныadj1.(краткий) stuttorðaðurглaður, fáorðaðurглaður, lakoniskur [-Ꞌkʰoː-]ннксоглsk2.(не любящий много говорить) fámælturсогл
немногочи́сленность	ftað at vera fátaldur
немногочи́сленный	stfнемногочи́слен, ~на, ~но, ~ныadjlítilсоглосн{+}, fáirглтк мн(со считаемыми существительными); fámenturсогл(тк о людях); немногочи́сленные оши́бки (nakrir) fáir feilir
немно́жко	advtlm.síнемно́го
немну́щийся	adjsum ikki rukkast
немо́жется	bert 3. pers ipf кому-л. ópóvkm.(hann) er illa [ɪtla] til passar, (hann) følir seg ikki væl
немо́й	Istfне́м, нема́, не́м|о, ~ыadj1.(лишённый способности говорить) stummurсогл, dumburсоглкн.2.(безмолвный) tigandiглandi; stummurсогл3.bókl.(тихий) kvirrurсоглIImstummurмприл, dumburмприлкн.@вели́кий немо́йhátíð.stummfilmslistж0-ir;нема́я а́збукаfingramálс0о;нема́я ка́ртаblindkort [plɪnk-];немо́е кино́ {немо́й фильм}stummfilmur;нема́я сце́наtigandi scena [seː-]ннк, stumm scena [seː-]ннк;нем, как моги́ла {ры́ба}tigandi sum grøvinпог.
немолодо́й	stfнемо́лод, немолода́, немо́лод|о, ~ыadjikki ungurсогл, eldriсравн. абс.
немо́лчный	stfнемо́лч|ен, ~на, ~но, ~ныadj gml., skald.áhaldandiглandi, støðugurглugur(um ljóð o.tíl.); sum ikki tagnar (о речи и др.)
неморехо́дность	ftvørrandi sjódygdж0-ir
неморехо́дный	adjikki sjódyggurсогл
немота́	f1.(отсутствие дара речи) tað at vera stummur, stummheitж0-ir2.(отсутствие звуков) kvirraжгл-a
немотиви́рованный	adjómotiveraðurглaður
не́мочь	fóvkm.síне́мощь@бле́дная не́мочьgml.slag av anemi
немощёный	adjikki steinsetturсогл, ikki lagdurсогл{a/ø}við gróti, ikki lagdurсогл{a/ø}við brosteinumпроф., спец.
не́мощность	fskroypiligheitннкж0-ir, ússaligheitннкж0-ir
не́мощный	stfне́мощ|ен, ~на, ~но, ~ныadjskroypiligurглigur, ússaligurглigur
