к1	I коньtalvriddari
комбини́ровать	комбини́ру|ю, ~ешь, ~ютipf(pfскомбини́роватьскомбини́ру|ю, ~ешь, ~ют)что-л.1.(сочетать,соединять) kombinera [-Ꞌneː-]ннкaðio-tпроф.; setaur(t);ir(t)o-tsaman; комбини́ровать цветы́ для буке́та seta blomstur saman til eina bukett [-Ꞌkʰεʰtː]ннк; комбини́ровать предприя́тия sameinair(d)virkir2.tlm.(строить комбинации) leggjaнепрupp ráð, kritlaaðiкн.
комбри́г	mкоманди́р брига́ды ovastiмгл-ifyri brigadu [-Ꞌkaː-]
комвзво́д	mкоманди́р взво́да ovastiмгл-ifyri (lítlari) herdeild,síвзвод
комвзво́да	m indecl síкомвзво́д
комди́в	mкоманди́р диви́зии divisiónsovasti [-Ꞌʃɔu-]мгл-i
комедиа́нт	m1.gml.(актёр) sjónleikariмгл-ari, komediuspælari [-Ꞌmeː-]ннкмгл-ari2.fl.(лицемер) hyklari [hʏʰkl-], [hiː-]мгл-ari, komediuspælari [-Ꞌmeː-]энкмгл-ariперен.
комедиа́нтство	n vanv.komediuspæl [-ˈmeː-]с0о{a/ø}(lótir, hykl)
комеди́йный	adjkomediu- [-Ꞌmeː-]; комеди́йный актёр komikariмгл-ari
комедио́граф	mbókl.høvundurмсогл-ar;-irat skemtileikum, høvundurмсогл-ar;-irat komedium [-Ꞌmeː-]
коме́дия	f1.(произведение) skemtileikurмсогл-s,-ir, komedia [-Ꞌmeː-]жгл-a2.fl.,atf.(притворство) lótirж0-irмн, kávalótirж0-irмн3.tlm.(умора) tað stuttliga ío-m@разы́грывать {игра́ть, лома́ть} коме́диюfl.spæla komediu [-Ꞌmeː-]перен.
коме́дия-боеви́к	Genкоме́дии-боевика́; plurкоме́дии-боевики́, коме́дий-боевико́в, коме́диям-боевика́мжactionkomedia [aʰkʃɔn-]ннкжгл-a, skemtispenningsfilmurмсогл-ar;согл-s,-ir
ко́мель	Genко́мл|я; plur~и, ~ей, ~ямmrótendiмгл-i
коменда́нт	m1.herm.(начальник войск крепости) kommandantur [-Ꞌta-]мсогл-ar2.(здания и т.п.) umsjónarmaðurмнепр(í almennum bygningi o.a.)
коменда́нтский	adj: коменда́нтский час útgongubannс0о
комендату́ра	fkommandantskrivstova [-Ꞌta-]жгл-a
комендо́р	m søg.kanónskjútti  [-ˈnɔun-] (heiti hjá servandum matrósi ï russ. foltanum til 1917)
коме́та	f1.(небесное тело) halastjørna [-stjœtna]жгл-a, komet [-Ꞌmeːt]ннкж0-ir2.(тип судна) flogbáturмсогл-ar
Ко́ми1	I: Респу́блика Ко́ми Lýðveldið Komi [-mi]
ко́ми2	III 1.m indecl kollkomi [-mi]с нескл. мн, komiarar [-mi-]мгл-ariмн(fólkaslagið)2.m/fkomi [-mi]м нескл., komiari [-miː-]мгл-ariIIadj indeclkomi [-mi]нескл.; язы́к ко́ми komi [-mi]с нескл.(málið)
Ко́ми Автоно́мная Сове́тская Социалисти́ческая Респу́блика	sovjet.Sjálvstýrandi [ʃɔl-] sovjetska [sɔujεska] sosialistiska [-Ꞌlɪ-] lýðveldið Komi [-mi]
коми́зм	mkomikkur [-Ꞌmɪ-]ннкмсогл-ar; коми́зм положе́ния tað stuttliga í støðuni
ко́ми-зыря́нин	plurко́ми-зыря́н|е, ~, ~амmgml.síко́миI 2og í plur eis.I 1
ко́ми-зыря́нский	adjgml.síко́миII
ко́мик	m1.(актёр) komikariмгл-ari(sjónleikari)2.fl.,tlm.(шутник) skemtariмгл-ari
ко́микс	mtekniseria [tʰεkn-]ннкжгл-a, teknirøð [tʰεkn-]лпж0-ir
комикси́ст	mteknari [tʰεkn-]мгл-ariav tekniserium [tʰεkn-]ннк, teknari [tʰεkn-]мгл-ariav teknirøðum [tʰεkn-]нп
ко́мингс	mskip.(lúku)karmurмсогл-ar, coamings [kʰoːm-]м0-ar(опр-ur)мор.
Коминте́рн	[-тэ́-]msøg.Коммунисти́ческий Интернациона́лsøg.Kommunistiski [-Ꞌni-] Internationali [-naːʃo-]мгл-i, Komintern [-Ꞌtʰε-]с0o{дат.0}(1919-1943)
ко́ми-пермя́к	Genко́ми-пермяк|а́; plur~и́, ~о́в, ~а́мmkomi-permjakkur [kʰoːmi-]мсогл-ar
комисса́р	m1.: наро́дный комисса́рsøg.fólkakommisserurмсогл-ar(í Sovjetsamveldinum 1917-1946)2.: вое́нный комисса́рsøg.krígskommisserur [kʰɹʊi̯ʰks-], [kʰɹʊʰks-]мсогл-ar(í Sovjetsamveldinum 1918-1925, 1937-1942)3.sovjet.(отвечающий за воспитательную работу) kommisserur [-Ꞌseː-]мсогл-ar(við ábyrgd fyri politiskum arbeiði o.ø.)4. (за границей - полицейский чиновник) kommisserur [-Ꞌseː-]мсогл-ar(í politi,um útlendsk viðurskifti)5.(Еврокомиссии) kommisserur [-Ꞌseː-]мсогл-ar(í Evropakommissiónini); (в ООН) высо́кий комисса́р hákommisserurмсогл-ar(í ST)
комиссариа́т	msøg.kommissariat [-saːɹiꞋaːt]с0оист.; наро́дный комиссариа́тsøg.fólkakommissariat [-saːɹiaːt] (í Sovjetsamveldinum 1917-1946),sí eis.Совнарко́м; вое́нный комиссариа́тsøg.krígskommissariat [kʰɹʊi̯ʰkskʰɔmːisaːɹiaːt]ист.
комиссионе́р	mkommissionerur [-mɪʃoꞋneː-]мсогл-ar
комиссио́нка	plurкомиссио́н|ки, ~ок, ~камftlm.síкомиссио́нныймагази́н
комиссио́нные	plurprovisión [-Ꞌʃɔun]ж0-ir
комиссио́нный	adjkommissións- [-Ꞌʃɔuns-], umboðs-;комиссио́нное вознагражде́ние {комиссио́нный сбор} provisión [-Ꞌʃɔun]ж0-ir; комиссио́нная фи́рма kommissiónsfirma [-Ꞌʃɔuns-]@комиссио́нный магази́нhandil við brúktum vørum
коми́ссия	f1.(орган) nevndж0-ir; kommissión [-Ꞌʃɔun]ннкж0-ir; бюдже́тная коми́ссия fíggjarnevnd2.: братьчто-л.на коми́ссию takao-tí umboðssølu3.(вознаграждение) kommissión [-Ꞌʃɔun]ж0-ir(gjald) =>КЧС,североатланти́ческий
комиссова́ть	комиссу́|ю, ~ешь, ~ютipf/pf кого-л. tlm.vttaaði, ato-rer skikkaður til hertænastu (о военной службе); vattaaði, ato-reigur at faa eftirløn (εʰtː-] (о переводе на пенсию)
комите́т	mnevndж0-ir; stjórn [stjœtn]ж0-ir(stýri) (управляющий орган); komite [-Ꞌtʰeː]ннкж0-ir; сиде́ть в комите́те sita í nevnd; вы́боры в комите́т(ы) nevndarval; комите́т профсою́за fakfelagsstjórn; городско́й комите́т па́ртииsovjet.stjórnin hjá kommunistiska [-Ꞌnɪ-] flokkinum í býnum; госуда́рственный комите́т stjórnarnevnd [stjœtn-] (stjórnarstovnur í Russlandi undir ráðharrastovu); Госуда́рственный комите́т Росси́йской Федера́ции по рыболо́вству stjórnarnevndin fyri fiskiskap í Russiska Sambandsríkinum [-pan̊s-]офиц., tann russiska fiskaríkomitein [-Ꞌrʊi-]неофиц.,проф.,síeis.аге́нтство; =>Роскомзе́м,иму́щество,исполни́тельный,КГБ,КОНР,ОКР,сле́дственный,ЦК
Комите́т Мини́стров Сове́та Евро́пы	Ráðharranevnd Evroparáðsins [evꞋroː-] {Europaráðsinsтж[œuꞋroː-]}
комите́тчик	m tlm.1.(член комитета) limurмсогл-irí nevnd; medarbeiðari мгл-arií nevnd (сотрудник комитета)2.(сотрудник КГБ) KGB-maður [kʰɔa keː ˈpe-]мнепр
коми́ческий	adj1.(ккоме́дия 1) komiskurсоглsk, komediu- [-Ꞌmeː-]; коми́ческий актёр komikariмгл-ari(sjónleikari); коми́ческая о́пера komisk opera2.(забавный) komiskurннксоглsk(stuttligur); skemtiligurглigur
коми́чность	fkomikkur [-Ꞌmɪ-]ннкмсогл-ar; tað stuttligaí o-m
коми́чный	stfкоми́ч|ен, ~на, ~но, ~ныadjкоми́ческий 2
ко́мкать	ipf(pfскомкать)что-л.1.pf eis.иско́мкать (мять) rukkaaðio-t(saman)2.tlm.(небрежно) ruspaaðio-tsaman, ruspaaðio-tfrá hondini (gera skjótt og óvandaliga), funsaaðio-t
комма́ндос	m plur indeclkommandosoldatar [-Ꞌmantosɔltaː-]ннкмсогл-arмн
ко́ммент	mintern.viðmerkingж0-ar(til boð á netinum o.a.)
коммента́рий	m(к чему-л. - til o-t)1.oftast plur(объяснение) viðmerkingж0-ar, kommentarur [-Ꞌtʰaː-]ннкмсогл-s,-irпроф.; коммента́рии к те́ксту viðmerkingar til tekstin2.plur(рассуждения) viðmerkingж0-ar, kommentarur [-Ꞌtʰaː-]ннкмсогл-s,-ir; комммента́рии печа́ти viðmerkingarnar hjá [tʃʰ-] pressuni; коммента́рии изли́шни viðmerkingar eru óneyðugar; без коммента́риев uttan viðmerkingar; коммента́риев не бу́дет! ongar viðmerkingar!
коммента́тор	m1.(автор комментариев) viðmerkjariмгл-ari(ið ger viðmerkingar til tekst o.tíl.)2.(человек,который комментирует что-л.) viðmerkjariмгл-ari(ið metir um hendingar o.a.); frásøgumaðurмнепр(в спортивных передачах и т.п.)
комменти́ровать	комменти́ру|ю, ~ешь, ~ютipf(pfпрокомменти́роватьпрокомменти́ру|ю, ~ешь, ~ют)ipf/pf что-л.geraнепрviðmerkingartil o-t, kommentera [-Ꞌtʰeː-]ннкaðio-t
коммерса́нт	mhandilsmaðurмнепр, forrætningsmaður [-Ꞌra-]мнепр
коммерциализа́ция	fkommercialisering {kommersialisering} [kʰɔmεʂiaːliˈseː-]ж0-ar
комме́рция	fhandilм0осн-s,-ar{+}(keyp og søla), forrætning [-Ꞌra-]ж0-ar(keyp og søla)
комме́рческий	adjhandils-; комме́рческое су́дно handilsskip; комме́рческий банк vinnubanki [-paɲ̊tʃɪ]; комме́рческая корреспонде́нция brævaskiftiсгл-i(hjá virki o.ø.), handilskorrespondansaжгл-aпроф.; комме́рческое учи́лище {комме́рческая гимна́зия} handilsskúliмгл-i; комме́рческие це́ны a)søg.(повышенные цены) hækkaðir prísir (uttan um skamtanarkort,á marknaðum o.tíl.); b) (рыночные цены) marknaðarprísir@комме́рческий дире́кторfíggjarstjóri [-stj-] (по финансам); sølustjóri [-stj-] (по продаже); innkeypsstjóri [-stj-] (по покупкам,снабжению)
коммивояжёр	mhandilsreisandiннкмприл, ferðasølumaðurнпмнепр
комму́на	f1.(коллектив) kollektivс0о; трудова́я комму́на arbeiðskollektiv2.(административная единица) kommuna [-Ꞌmuː-]жгл-a(umsitingarlig eind)@Пари́жская комму́наParisarkommunan [-Ꞌriː-]жгл-aопр.
коммуна́лка	plurкоммуна́л|ки, ~ок, ~камfóvkm.síкоммуна́льный@
коммуна́льник	m síкоммуна́льщик
коммуна́льный	adj1.(администартивный) kommunu- [-Ꞌmuː-], kommunalur [-Ꞌnaː-]согл; коммуна́льные вы́боры kommunuval [-Ꞌmuː-]; коммуна́льное самоуправле́ние kommunalt [-Ꞌnaː-] sjálvstýri [ʃɔl̥s-]2.(относящийся к городскому хозяйству) almennurсогл(um ym. tænastuveitingar); коммуна́льные услу́ги almennar tænastur@коммуна́льная кварти́раfelagsíbúð (við felags køki,toiletti)
коммуна́льщик	mstarvsfólkс0о(hjá býráð, bygdarráð)
коммуна́р	m1.(участник революции 1871 г. во Франции) kommunardur [-Ꞌna-]мсогл-ar2.(член коллектива) limurмсогл-irav kollektivi,síкомму́на1
коммуни́зм	mkommunisma [-Ꞌnɪ-]жгл-a@вое́нный коммуни́змsøg.krígskommunisma [kʰɹʊi̯ʰks-], [kʰɹʊʰks-] (í Russlandi 1918-1920);первобы́тный коммуни́змfrumkommunisma
Коммуни́зма пик	sovjet.Pik Kommunizma [pʰɪʰkː kʰomuꞋnisma]м нескл.,síИсмаи́лаСамани́ пик
коммуника́бельный	stfкоммуника́белен, коммуника́бельн|а, ~о, ~ыadjlætturсогл{æ/ø}at vera saman við
коммуникати́вный	adjbókl.,mál.kommunikativur [-Ꞌmuː-]соглспец., samskiftis-
коммуника́тор	msmartfonж0-ir, snildfonж0-ir
коммуникацио́нный	adjsambindingar-, samskiftis-, kommunikatións- [Ꞌʃɔu-]ннк=>платфо́рма6
коммуника́ция	f1.(путь сообщения,линия связи) sambandс0o{a/o}(vegir o.a.)2.(общение,сообщение) samskiftiсгл-i, kommunikatión [-Ꞌʃɔun]интж0-ir; сре́дства ма́ссовой коммуника́ции fjølmiðlarмсогл-s,-arмн
коммуни́ст	mkommunistur [-Ꞌnɪ-]мсогл-ar; limurсогл-irí kommunistiskum [-Ꞌnɪ-] flokki (член коммунистической партии)
коммунисти́ческий	adjkommunistiskur [-Ꞌnɪ-]соглsk, kommunista- [-Ꞌnɪ-]; коммунисти́ческая па́ртия kommunistiskur flokkur, kommunistaflokkur [-Ꞌnɪ-] =>КПРФ,КПСС,манифе́ст
коммуни́стка	plurкоммуни́ст|ки, ~ок, ~камfkommunistur [-Ꞌnɪ-]мсогл-ar(konufólk)
