д.	1.день2.дере́вня3.долгота́4.домsíдом; ул. Панфёрова, д. 11 Panfjorovs [-Ꞌfjoː-] gøta 11
ду́пель	plurдупел|я́, ~е́й, ~я́мm(Gallinago media) trírondut snípaжгл-a
дупле́кс	mduplex [-εʰks]с0о({0<>i})спец.
дупле́ксный	adjduplex- [-pʰlεʰks]спец.; ду́плексная связьsíдупле́кс
дупли́стый	stfдупли́ст, ~а, ~о, ~ыadjholuturсогл, við holum (um træ, tonn)
дупло́	plurду́пла, ду́пел, ду́пламn1.(в дереве) holс0о, holaжгл-a(í træi) 2. (в зубе) holс0о(í tonn)
ду́ра	f1.(глупая женщина) býttlingurмсогл-ar, eitt býttприл, eitt býtt fylс0о{+}, eitt býtt apparat [-Ꞌraː-]энкс0о;0o-irнеформ., idiotur [itiꞋoː-]ннкмсогл-ar(konufólk)2.óvkm.síбанду́ра2
дура́к	Gen, Accдурак|а́;plur~и́, ~о́в, ~а́мm1.(глупый человек) býttlingurмсогл-ar, eitt býttприл, eitt býtt fylс0о{+}, eitt býtt apparat [-Ꞌraː-]энкс0о;0o-irнеформ., idiotur [iːtiꞋoː-]ннкмсогл-ar; он дура́к дурако́м {он наби́тый дура́к} hann er so stein etandi býttur, hann er so steinbýttur; он не дура́к hann er eingin dummur hundur; он не тако́й дура́к, что́бы… hann er ikki so býttur, at hann...; дурака́ нашёл! býttur kann eg vera...!; heldur tú meg vera so býttan!; so býttur eri eg ikki!2.: не дура́к +pf sagnorðdámair(d);aðivæl; он не дура́к вы́пить hann spýtir ikki í glasið; он не дура́к пое́сть hann er so matligur [maʰt-], hann er so matfegin; он не дура́к поспа́ть hann er ein svøvnskarvur [svœvns-], [svœn̊s-], hann er ein svøvnhít3.søg.(шут) gekkurмсогл-ar, fívilм0осн4.plurkort.(карточная игра) svartiperм0{дат.0}(kortspæl); игра́ть в дураки́ spæla svartaper@дурака́м везётorðt.tað er meira eydna enn skil;валя́ть дурака́tlm.a) (притворяться глупым) spælair(d)býtt; b) (бездельничать) dovnastaði, gangaслнe-i-ifyri einki;сваля́ть {лома́ть} дурака́tlm.geraнепрokkurt býtt;оста́витького-л.в дурака́хlumpaaðio-n, snýtair(t)o-n;оста́ться в дурака́хverða snýtturсогл, sitaслнa-ó-ieftir [εʰtː-] við svartaperидом.,неформ.; (vera) snópinсоглосн, (vera) nipinсоглосн;без дурако́вóvkm.a) (всерьёз) í (fullum [-tl-]) álvara; b) (по-настоящему) av álvara;дура́к роди́лсяein eingil fór gjøgnum stovunaпог.(øll bráðtagnaðu) =>найти́I @,кру́глый4
дурале́й	mtlm.býttlingurмсогл-ar, eitt býttприл, eitt býtt fylс0о{+}, eitt býtt apparat [-Ꞌraː-]энкс0о;0o-irнеформ., idiotur [iːtiꞋoː-]ннкмсогл-ar
дура́цкий	adjbýtturсогл, tápuligurглigur, idiotiskur [iːtiꞋoː-]ннксоглsk; дура́цкое положе́ние ein tápulig støða; дура́цкая болтовня́ skvaldurс0осн; дура́цкая привы́чка býttur vani
дура́чество	ntlm.fjákalótirж0-irмн, býttisskapurмсогл-ir
дура́чить	дура́ч|у, ~ишь, ~атipf(pfодура́читьодура́ч|у, ~ишь, ~ат)Acctlm.lumpaaðiВин, snýtair(t)Вин, dragaслнó-ó-iВинupp á tráðидиом.; havaнепрВинfyri gjøldur (потешаться)
дура́читься	дура́ч|усь, ~ишься, ~атсяipftlm.geraнепрskálkabøgd, fjantastaði
дурачо́к	Gen, Accдурачк|а́;plur~и́, ~о́в, ~а́мm1.tlm.,kel.tilдура́к 1og32.gml.(слабоумный) eitt býttсприл, býttlingurмсогл-ar
дура́шливый	stfдура́шлив, ~а, ~о, ~ыadjtlm.1.(глуповатый,придурковатый) fjákuturсогл2.(шаловливый) bannsetturсогл; skálkaligurглigur, káturсогл(игривый); óargaligur [-Ꞌaɹ-]глigur(озорной)
дурдо́м	plurдурдом|а́, ~о́в, ~а́мmfl.,beinl.niðr.,vanv.sinnissjúkrahús [-ʃʉukhʉus]с0о
ду́рень	Gen, Accду́рн|я;plur~и, ~ей, ~ямmóvkm.síдура́к1
дуре́ть	ipf(pfодуре́ть)óvkm.1.(глупеть) gerast býtturсогл2.(одуревать) blíva óðurглí høvdinum [hœtː-], blíva svakurсогл{a/ø}
дури́ть	дур|ю́, ~и́шь, ~я́тipftlm.1.(дурачиться) geraнепрskálkabøgd, fjantastaði2.(упрямиться) treiskastaði@дури́ть го́ловукому-л.óvkm.geraнепрo-ní ørviti
дурма́н	m1.(Datura stramonium)planta av ættini Solanaceae(en.jimson weed; da.almindelig pigæble)2.(то,что одуряет,опьяняет) rúsandiглandievniсгл-i; rúsandi løgurмсогл-ir(напиток), doyvandiглandievni, doyvandiглandiløgurмсогл-irи др.(жидкость), bedøvandi [-Ꞌtøː-]ннкглandievniсгл-i, bedøvandi [-Ꞌtøː-]ннкглandiløgurмсогл-irи др.(жидкость)3.fl.(то,что оказывает отупляющее и др. дейтвие) opiumс0о{0<>}перен., ørviti [œɹv-]сгл-i; шовинисти́ческий дурма́н chauvinistiskt [ʃoːviꞋnɪ-] ørviti; как в дурма́не sum í einum dula, sum í transuинт
дурма́нить	дурма́н|ю, ~ишь, ~ятipf(pfодурма́нитьодурма́н|ю, ~ишь, ~ят)Acc1.(туманить) doyvair(d)Вин(действовать как наркотик), rúsaaðiВин(пьянить)2.fl.(дейтвовать отупляющее на разум) doyvair(d)Вин
дурне́ть	ipf(pfподурне́ть) ljótka [ʎjœʰkːa]aði, ljótkast [ʎjœʰkː-]aði; faraслнó-ó-aaftur [aʰtː-] (худеть)
ду́рно	Iadvilla [ɪtla]; э́то ду́рно па́хнет hetta luktar illa; ду́рно воспи́танный illa vandur, óuppdriginннк; ду́рно оде́ттжófantaliga [-ˈfa-] ílatinIIpred: ей ду́рно hon følir seg illa [ɪtla], hon er illa til passar; мне ста́ло ду́рно eg bleiv illa til passar
дурно́й	stfду́ренogдурён, дурна́, ду́рно, ду́рныogдурны́adj1.(плохой) ringurсогл, vánaligurглigur; дурно́й вкус ringur smakkur; име́ть дурны́е наме́рения hava ilt í huga; дурно́й при́зна́к eitt ringt tekn [tʰεkn]; дурно́й сон ringur dreymur2.(некрасивый) ljóturсогл, misháttur [mɪsːɔ-]согл; она́ дурна́ собо́й hon er mishátt3.lftlm.(придурковатый) býtturсогл, tolluturсогл@дурно́й глазilt eyga, ringt eyga (sum við gandi o.øа elvir skaða);дурна́я голова́ нога́м поко́ю не даётorðt.tað tú ikki hevur í høvdinum [hœtː-], mást tú hava í beinunumпог.;крича́ть дурны́м го́лосомrópa sum eitt ørt;дурна́я боле́зньgml.kynssjúka =>молва́,привы́чка1,приме́р2,сла́ва3
дурнота́	fsvimbulс0осн, ørilsiсгл-i(головокружение); hjartailska [j-]жгл-a(тошнота)
дурну́шка	plurдурну́ш|ки, ~ек, ~камftlm.mishátt [mɪsːɔʰtː]соглgentaжгл-a
ду́рость	ftlm.býttheitж0-ir
ду́рочка	plurду́роч|ки, ~ек, ~камf1.tlm.,kel.(konufólk) дура́к 12.gml.(konufólk)síдурачо́к2
дуршла́г	mdørslag [tœʂ-]с0{a/ø}{0<>i}
дурь1	Ifbýttheitж0-ir(глупость); býtt innskotс0о(нелепая выдумка); lúnurжгл-aмн, grillaннкжгл-a, ríggjurжгл-aмнкн.(причуда); вы́бить дурьиз кого-л.fáao-nat leggja ónollur [-tl-]жгл-aмнav; вы́кинь э́ту дурь из головы́! fá hetta tvætlið úr høvdinum [hœtː-] á tær!; ду́рью ма́яться {му́читься}óvkm.fjantaaði, fjasaaði
дурь2	IIfjarg.(конопля) hampurмсогл-ar(til at rоykja); marihuana [maːɹihuꞋaː-]с0-гл(марихуана)
дуст	m tlm.DDT [teːteːꞋtʰeː]с0-гл
ду́тый	adj1.(полый) innanopinсоглосн; blásturсогл(сделан путём дутья); uppblásturсогл(надутый)2.fl.(пустой) innantómurсогл; uppblásturсогл(преувеличенный); ду́тые це́ны ovurprísir, okursprísir; ду́тые ци́фры uppblást tøl, pyntað tøl; ду́тый авторите́т falskurсоглsk{a/ø}autoritetur [autʰoːɹiꞋtʰeː-]
ду́тыш	m(Calidris melanotos) sjógrælingurмсогл-ar
дуть	ду́|ю, ~ешь, ~ютipfAmomentду́нутьду́н|у, ~ешь, ~ут1.bert 3. pers brúktur(о ветре) veraслнa-ó-evindur; (ве́тер) ду́етóptað er vindur; ве́тер ду́ет с восто́ка hann er eystan (í ættini); отку́да ве́тер ду́ет? hvussu er ættin?; hvaðani er ættin?; здесь ду́ет tað gýsurслнey-u-o(сквозит); от окна́ ду́ет tað gýsur frá vindeyganum2.(выпускать ртом струю воздуха) blásaur(t){á/æ}; дуть на суп blása á suppuna; дуть в трубу́ blása í horn3.óvkm.(энергично заниматься и др.) drívaслнei-i-iá; так и ду́ет на балала́йке hann drívur á at spæla balalaiku [paːlaꞋlai-]; ду́ет впереди́ всех hann rennur framman fyri øll [œtl]Bpfвы́дутьвы́ду|ю, ~ешь, ~ют1.(изготовлять) blásaur(t){á/æ}; дуть стекло́ blása glas2.(пить) elgjair(d)o-tí seg =>ус@
дутьё	nblásturм0осн-s,-ar;-ar,-ar,blásingж0-ar
ду́ться	ду́|юсь, ~ешься, ~ютсяipf1.tlm.(на Acc) (обижаться) lúnaaði, lúnastaði, gronastaðiгрубо(inn á Вин)2.óvkm.во что-л.(играть с азартом) spælair(d)o-tivrigaннк, vera algoystur [ɔl-] at spælao-t
дух	Gen eis.ду́хуm1.(психические способности,ум) andiмгл-i; аристокра́т ду́ха andsaristokratur [an̊saɹɪstokʰɹaː-]2.filos.(сознание,мышление) andiмгл-i; дух и мате́рия andi og materia [-Ꞌtʰeː-]интжгл-a3.(моральное состояние) andiмгл-i; dirviсгл-i(мужество); дух а́рмии moralurin [-Ꞌraː-] hjá [tʃʰ-] herinum; собра́ться с ду́хом {набра́ться ду́ху} herðair(d)seg í huga; подня́ть дух укого-л. setaur(t);ir(t)dirvi ío-n; пасть ду́хом missair(t)mótið; он пал ду́хом hann fall [-tl] í fátt; не па́дай ду́хом! fall [-tl] ikki í fátt!; miss ikki mótið!;у кого-л.не хвата́ет ду́ху+ inf o-rhevur ikki dirvi at+ инф.4.(характерные свойства) andiмгл-i; стихи́ в ду́хе Пу́шкина yrkingar í Pusjkinsa anda; по ду́ху зако́на í lógarinnar anda; дух вре́мени tíðarrandin5.rel., myt.(привидение) andiмгл-i; злой {нечи́стый} дух illur [itl-] andi, óreinur andi; до́брый дух góður andi; вызыва́ть ду́хов manaaðiandar6.tlm.(дыхание) andiмгл-i; перевести́ дух fáaслнe-i-iondina aftur [aʰtː-], rindaaðimøðina7.óvkm.(запах) lukturмсогл-s,-ir; тяжёлый дух ringur luktur, deymurмсогл-ar@одни́м ду́хомút í eitt;в том же ду́хеí sama anda, í sama duriнеформ.,шутл.; что-тов э́том ду́хеo-ttílíkt,o-tí tann durнеформ.,шутл.; быть в ду́хеvera í góðum lag;быть не в ду́хеvera í ringum hýri;во весь дух {что есть ду́ху}av øllum [œtl-] alvi, tað dýrasta ein orkar; тут у него́и дух вонóvkm.hann lá við brestin, hann lá sum fyri kúluni;что́б(ы) ду́ху твоего́ здесь не́ было!lat meg ikki síggja teg fyri mær!; slepp tær avstað [aꞋstea]!; sjúgva teg burtur!узна́ть святы́м ду́хомtlm., skemt.frætta óvart áberandi, frætta á løgnan hátt; gitair(t)sær til; grunaaði, óraaði(догадаться) =>боево́й2,выноси́ть@,вы́сказаться,заня́тьII @,захвати́ть@,здоро́вый@,не́мощный,ни́щий@,прису́тствие@,расположе́ниеII 3,свято́йII,слух@,упа́док
духа́н	mlítil krógvж0-ir{+}(í Kaukasus og Miðeystri)
духи́	дух|о́в, ~а́мm plurparfuma [-Ꞌfuː-]жгл-a, luktilsiсгл-i
духобо́рцы	духобо́рц|ев, ~амm síдухобо́ры
духобо́ры	духобо́р|ов, ~амm plurdukhoborar [tuːkoꞋpoː-]мгл-iмн(protestantisk sekt,uppr. í Suðurrusslandi í 18. øld)
ду́хов	adj: Ду́хов день annar hvítusunnudagur
духове́нство	nprestastættж0-ir, prestaskapurмсогл-ir@бе́лое духове́нствоlægri prestaskapurмсогл-ir(ikki munkavígdir prestar) (í tí russ. ortodoksu kirkjuni);чёрное духове́нствоhægri prestaskapurмсогл-ir(munkavígdir prestar) (í tí russ. ortodoksu kirkjuni)
духови́тый	stfдухови́т, ~а, ~о, ~ыadj tlm.sum luktar væl, angandiглandi
духо́вка	plurдухо́в|ки, ~ок, ~камf(steiki)ovnurмсогл-ar
духовни́к	Gen, Accдуховник|а́;plur~и́, ~о́в, ~а́мmskriftafaðirм0род
духо́вность	fandaligheitж0-ir; spiritualitetur [-tʰuaːliˈtʰeː-]интмсогл-ar
духо́вный	adj1.(кдух 1) andaligurглigur; духо́вное разви́тие andalig menning; духо́вная жизнь andaligt lív; духо́вная бе́дность andaligt fátækdømi2.(церковный) kirkju-, presta-; духо́вная му́зыка kirkjumusikkur; духо́вные дела́ kirkjumál; духо́вная семина́рия prestaskúliмгл-i; духо́вный сан prestaembætiсгл-i; духо́вное лицо́ kirkjumaðurмнепр(prestur o.tíl.); духо́вного зва́ния av prestastættini; лиши́ться духо́вного са́на missa (presta)embætið; ≈ missa kjólan (в лютеранской церкви)@духо́вное завеща́ниеgml.testamenti [-Ꞌmε-] (arvabræv);духо́вный оте́цskriftafaðir;духо́вный сын{духо́вная дочь}skriftabarn [-tn]с0о{a/ø}=>стихI
