U1	(bókstavurin) u
urge2	1eggja (einum til), elva, halda (einum) til, skunda undir (ein), birta í(t.d.klandur) (t.d.urge her to do her best)2(fl.m.)biðja, fáa til (t.d.my conscience -d me to do it)3biðja inniligael.so miriliga, heita á (t.d.urge him to take more care)4leggja dent á, leggja doyin á (t.d.urge the need for reform),halda upp á, leggja áherðslu á, streingja á5ráða einum til;urge restraintráða einum til at fara hóvliga fram6[íyms. samb.]urgeondíkja á;urge it on them (eis.)leggja teimum eina við; bøna og biðja tey;urge caution on themheita á tey um at fara varliga fram
urgency	1eitt ið er átrokandi neyðugt, eitt ið hevur bráðskundel.ið er bráðneyðugt;a matter of great urgencymál ið hevur bráðskund, skundmál;a sense of urgencykenslan av at eitt hevur bráðskund;urgency messagesnarboð;urgency signalsnarboð2strongd, trýst (t.d.the urgency of poverty)
urgent	1sum hevur skund, átrokandi, bráðneyðugur; (t.d.need; necessity)2(um bøn, áheitan, rødd) inniligur (t.d.urgent request); urgent !(á brævi, fjarritio.tíl.)hevur skund!;urgent callsnarsamtala;urgent matterskundmál;urgent telegramsnarfjarrit
urgent indication	skundábending
urging	(innilig) áheitan (umbønel.fyrispurningur)
Uriah	(sern.)Urias
uric acid	(evnafr.)uric acid acid landevnissýra, urinsýra
urinal	1landglas2pisshús
urinary	land-;urinary bladder(land)bløðra;urinary disease (dýralfr.)steinsótt (bløðrusteinur)(Urolithiasis)
urinary bladder	(likam.) landbløðra, (tlm.) bløðra
urinate	pissa, míga, kasta sær av vatninum
urine	land, piss, (land nýtt til tvátt) tvag;pass urinepissa, míga
urinological	(lækn.) urinologiskur
urinologist	(lækn.) urinologur
urinology	(lækn.) urinologi
urn	1stór skrýdd krukka (á stætti), øskukrukka (við øsku av brendum líki)2temaskina, kaffimaskina
Ursa	(stjfr.)Ursa Major Stóra Bjørn (stjørnumerki);Ursa MinorLítla Bjørn (stjørnumerki)
ursine	bjarnar-, sum líkist bjørn
urticaria	(lækn.)notusótt
urticate	1brenna sum notan2fleingja við notum
Uruguay	(landafr.) Uruguai (land í Suðuramerika)
Uruguayan1	uruguaibúgvi
Uruguayan2	1uruguaiskur2(mál) uruguaiskt spanskt
urus	(dý.)frumneyt,(tlm.)uroksi(Bos primigenius)
u/s	(st.)unserviceable
US1	(st.)United States(of America)
us2	okkum, mær (t.d.gi’e us a kiss, duckie!)
USA	the United States of AmericaSambandsríki Amerikael.Sambandsríkini Amerika; síAmerican
usability	(teld.)nýtslusemi, brúksemi, brúkbæri
usable	nýtandi, nýtiligur, gegniligur
USAF	(st.)United States Air Force
usage	1nýtsla, brúk; viðgerð, viðferð (t.d.it can withstand hard usage)2málføri, málnýtsla, málbrúk (t.d.modern English usage);(um orð) nýtsla, brúk (t.d.this usage is first recordeed in the 1950s)3(viðv.nøgd) nýtsla (t.d.water usage)4siður, siðvenja, skikkur, at eitt er gamalt (t.d.an ancient usage)
usance	(handilsm.)siðvenjulig gjaldsfreist í millumlandahandli
USB disk	(teld.)geymi
use1	1nýtsla, brúk (t.d.it has a variety of -s; new -s of words2(um hvussu eitt verður nýtt) nýtsla, brúk (t.d.it has a variety of -s; new -s of a word);nýtsluhættir, nýtslumøguleikar (t.d.a tool with many -s)3[íyms. samb.]it has its -s (tlm.)tað hevur sínar fyrimunir;haveno use for1ikki hava brúk fyri2ikki troysta sær, ikki hirða, ikki brýggja seg um;is there any use in discussing it?nyttar tað nakað at halda fram at kjakast um tað?;what’s the use?gagnar tað nøkrum, nyttar tað nakað?;it isnouseeinki nyttarel.batar(t.d.tað batar ikki);it’s no use to memær nýtist tað ikki;what is the use of that?hvat gagn er í tí?, hvat hjálp er í tí?;have the use of the kitchensleppa at nýta køkin, hava atgongd til køkin;make use ofnýta;a toolwithmany -stól ið kann nýtast til mangt og hvat;I’m no use ateg dugi ikki sovorðið, eg eri púra sørurel.starvur í;the use oftað at brúka (t.d.computers; he lost the use of his legs); make use ofnýta, brúka;it is no use + -ingtað nyttar ikki at(t.d. there is no use trying to persuade him); it is no use to meeg havi ikki brúk fyri tí;find a use for itduga at gagnnýta tað;have the use ofsleppa at nýta (t.d.the kitchen); what is the use of + inghvat nyttar/gagnar tað at4[ísamb. viðfs]forthe use ofat brúkael.nýta til;inuseí nýtslu/brúki; vera nýttur;comeintousefara at ganga í(t.d.gentur eru farnar at ganga í stuttum kjólum aftur), (nýtao.tíl.);(um orðeis.)vera vanlig;ofuseat gagni, til gagns;fall/goout ofuseverða avlagdur;puttousenýta;it can’t be put to that usetað kann ikki nýtast til hatta;turn to good usefáa gagn av einum, vera til góða nyttu
use2	1nýta, brúka (t.d.use one’s eyes)2(niðr.)misnýta (t.d.one’s position; I felt -d)3(um nýtslu) nýta, brúka (t.d.you have -d all the hot water)4fara við (t.d.use him well//ill)5[íyms.samb.]how has the world been using you since we last met?hvussu hevur tær vitað við, síðan vit hittust seinast?;use upbrúka upp, súlunda (súlunda alt, alt er súlundað);-d up (eis.)útlúgvaður, pøstur
use case	(teld.)nýtsludømi
used	nýttur, brúktur (t.d.used cars)
used to1	vanur við; (t.d.I’m not used to such treatment; he shall have what he’s used to getting); I’m not used to that kind of rude talkingeg eri ikki vanur við at verða tiltalaður so ófólkaliga;he soon got used to our waystað vardi ikki leingi, so kendi hann seg heima hjá okkum
used to2	2plagdi at (t.d.he used to take a ride in the morning); he used to be a captainhann er gamal kapteynur, fyrr var hann kapteynur;there used to be a house hereeini hús stóðu her fyrr, eini hús plagdu at standa her;he used to live in the countryfyrr búði hann á bygd;he used to live in London, use(d)n’t [ju:snt] he?//didn’t he?hann plagdi at búgva í London, ha?/plagdi hann ikki?;it used to be believed thatfyrr trúðu fólk at
useful	1gagnligur, hentur, nyttuligur, nýtiligur, tjenligur, gagngóður;come in usefulkoma til gagns2(tlm.)fittur (í hondunum), dugnaligur, sum dugir væl(atat)3[íyms. samb.]come ‘in usefulvera gagnligur, vera til nyttu, góður at hava;it has come to the end of its useful lifetað gagnar ikki longur, tað er uppslitið
useful effect	nýtsluvirknaður, virknaðarstig
usefulness	nytta, gagn, dugur
use intensity	(teld) nýtslustig, nýtslutal
useless	1ónýtiligur (t.d.tool; method; his right arm was useless)2sum gagnar ikki, nyttuleysur (t.d.speculations);til fánýtis (t.d.it is useless to protest)3(tlm.,um fólk) sum nyttar lítið, sum lítil dugur er í, ónýtiligur, ódugnaligur (t.d.don’t ask John, he is useless); he felt uselesshann kendi seg sum eina ónyttu;worse than uselessverri enn einki
user	1(eis. teld)nýtari, brúkari2(løgfr.)nýtslurættur
user category	brúkarabólkur
user display name	brúkararútanavn
user-friendly	(teld.)nýtaratýður, brúkaratýður
user guide	(teld.)nýtarabók, leiðarbók
user info	brúkaraupplýsing
user interface	(teld.)nýtslumót, nýtslumarkamót, brúkaraøki(t.d.forrit við trongumel.víðum nýtaraøki)
user language	brúkaramál
user settings	brúkarastillingar
user shell	(teld.)nýtaraskel (stýriforrit, sum nýtarin er staddur í, áðrenn hann setur eitt ávíst nýtsluforrit í gongd)
u-shackle,ushackle	(handv.) klampi í u-sniði
U-shaped	u-skapaður, u-myndaður, u-sniðaður
U-shaped valley	u-dalur
usher1	1(í leikhúsio.tíl.)fólk ið vísir áskoðarunum, hvar tey skulu sita, kontrollørur2duravørður3(í kirkju) kirkjutænari4(í rættinum) rættarvørður5(gl.)hjálparlærari6(dý.)mølaslag
usher2	vera duravørður(o.tíl.);vísa einum (innel.út), fylgja einum (til dyrnar) (t.d.usher in, usher out); usher in (fl.m.)boða frá, ganga undan, vera undanrennari fyri, vera byrjanin til (t.d.events which -ed in the war); usher sby to a seatvísa einum til sætis
usherette	konufólk ið vísir fólki til sætis, kvinnuligur kontrollørur (í leikhúsio.tíl.)
using-ground	stað við fjølbroyttum dýralívi (serst.fuglar)
USIS	(st.)United States Information Service amerikanska kunningartænastan
USMC	(st.)United States Marine Corps amerikanska landgonguherliðið, amerikanski sjóherurin
USN	(st.)United States Navy amerikanski herflotin
USNG	(st.)United States National Guard amerikanska tjóðhirðin
USO	(st.) (am.)United Service Organisation (felagsskapur ið rekur hermannaheimo.tíl.)
USP	(st.)unique selling proposition(handilsm.)serstakur vørueginleiki (sum sølan skal byggjast á)
usquebaugh	(írskt, skotskt) whisky
USS	(st.)United States Ship (skip hjá tí almenna, tíðast um herskip; t.d.USS Nimitz)
USSR	(st.; sø.) Union of Soviet Socialist Republics(á russiskumCCCP) Sovjetsamveldið, síCIS
U.S. Supreme Court	amerikanski hægstirættur
usual	vanligur;as usualsum vant
usually	vanliga
usucapion	(løgfr.)frælsishevd
usufruct	(løgfr.) usus fructusnýtslurættur til annans mans ogn (treytaður av, at hon ikki minkar í virði)
usufructary	fólk ið hevur nýtslurætt; síusufruct
usurer	okrari, okurkallur, okurlánari
usurious	okur-
usurp	ræna (til sín), taka sær av órættum(t.d.valdið)
usurpation	valdtøka, valdrán
usurper	valdtøkumaður, trónurænari, trónutakari
usury	okur
Utah	(stakríki í USA) Utah
UTC	(st.)universal time coordianated
Utd	(st.)united
ute	(st.) (avstr.)utility truck
utensil	tól, amboð; kar;domestic -sbúnyttur, búnýti;kitchen -skøksbúnyttur, køksbúnýti
uterine	1(likam.)lívmóður-2sum hava somu móður (men ikki sama faðir) (t.d.uterine sister)
uterus	(likam.)lívmóðir
utilitarian1	(heimsp.)gagnsemi(s)fólk, utilitaristur
utilitarian2	1gagn-(t.d.gagnplanta, gagnfiskuro.tíl.)2nýtslu-, brúks-3sum ger gagn, sum er gagnligur4(heimsp.)gagnsemi(s)-, utilitaristiskur
utilitarianism	(heimsp.)gagnsemisstevna, utilitarisma, nyttumoralur (heimspekistevna, sum sigur, at allar gerðir eiga at verða mettar eftir teirri nyttu, tær gera)
utility1	gagn, nytta;public utilityalmannagagn;public utilitiesvatnveiting, streymveiting, strandferðsla, busskoyringo.tíl.
utility2	nýtslu-, brúks-, hentur(t.d.lutur), nyttu-(t.d.lutur)
utility knife	frítíðarknívur, hobbiknívur
utility man	[sjónleikari ið dugir at spæla ein hóp av ymsum smáleiklutum], allahandamaður
utility program	(teld.)hentleikaforrit
utility room	vaskirúm og fýrrúm í einum
utility truck	(avstr.)lítil vøruvognur við opnari last
utilizable	sum kann nýtast, nýtiligur, nýtandi, gegnigur, gegniligur
utilization	nýting, úrnýtsla, at gagnnýta, gagnnýting
utilize	nýta, brúka, fáa nýtslu úr
utmost1	the utmost tað hægsta; hæddin;it is the utmost I can domeira fái eg ikki gjørt; longri hetta hatta fari eg ikki;he did it to the utmost of his powerhann kýtti seg, tað hann var mentur; hann gjørdi sítt ítasta;do one’s utmostgera sítt ítasta
utmost2	ytri, ytstur; størri, størstur; bestur, fremstur;do one’s utmostgera sítt ítasta;make the utmost offáa sum mest burtur úr einum;to the utmost of one’s powerav øllum alvi, tað dýrasta ein er mentur
Utopia	1Utopia (hugsað fullkomið land; bókinUtopiaeftir Thomas More kom út í 1516)2(tíðastutopia)[fullkomið samfelag, fyrimyndarligt ríki]
utopian	utopiskur, sum ikki kann setast í verk, ógjørligur;utopian novelutopisk skaldsøga
utopian fiction	utopiskur framtíðarskaldskapur; utopisk framtíðarskaldsøga [sum lýsir umstøðurnar hjá fólki í hugsaðari eydnugóðari samfelagsskipan, soleiðis sum rithøvundurin kanska kundi hugsað sær hana]; sídystopian fiction
Utopianism	utopisma
utricle	(plfr.)frukthylki
utter1	1siga, halda fyri, hava áel.fyri munni (t.d.without -ing a word)2(um ljóð) geva frá sær, skera í, tríva í3[íyms. samb.]utter false coinseta falsaðar pengar í umferð
utter2	1gjørdur, føddur (t.d.utter fool)2fullkomin, heilur, endaligur, fullfíggjaður, avgjørdur, treytaleysur
utterance	1framsøgn, útsøgn, orð; tað ið verður sagt (t.d.his very utterance was spellbinding); give utterance to one’s innermost thoughtssiga frá sínum innastu tankum2úttala, framburður (t.d.a pompous style of utterance);framførsla3[íyms. samb.]give utterance tosiga, bera fram
utterly	heilt, al-, full-, púra (t.d.utterly hopeless);fullkomiliga
uttermost	ytstur, handastur;to the uttermost of one’s powertað dýrasta ein er mentur; sí eis.utmost
U-turn	1at snara 180 stig2(fl.m.)kúvending;make a U-turn1snara 180 stig2kúvenda, gera kúvending, hálsa um
u-umlaut	(málfr.) u-umljóð
uvula	(likam.)úlvur
uvular	(likam.)úlvs-, úlvinum viðvíkjandi
uxorious	sum er púra býttur avel.í konuni; sum gevur konuni alt ov nógv eftirlæti
Uzbek2	1usbekiskur2usbekiskt (mál)
Uzbekistan	(landafr.) Usbekistan (land í Miðasia); síUzbek
Uzbek,Uzbekistani1	usbeki, usbekari
