w.	(st.)1weight2with
whitethroat	(dý.)tyrniljómari(Sylvia communis); lesser -throatnotuljómari(S. curruca)
white-throated sparrow	(dý.)øshvítur spurvur(Zonotrichia albicollis)
white tie	white tie and tails velajakki, kjóli og hvítt
white trash	sípoor white trash
whitewagtail	(dý.)erla kongsdóttir(Motacilla alba)
whitewall	(um bildekk) dekk við hvítari rond á útsíðuni
whitewash1	1kálkvatn, kálkhvíta2(fl.m.)at skava út yvir eitt, hvíttváttur (at skava út yvir mistøkel.brotsverk) (t.d.the report was a whitewash of the scandal)3(am., tlm.)ósigur, har taparin einki stig//mál fær4[slag av andlitsvatni, sum ger húðina hvíta]
whitewash2	1kálka, hvítta (við kálki)2(fl.m.)royna at breiðael.skava út yvir (mistøkel.brotsverk), tváa hvítt3(am., tlm.)[vinnael.sigra á (mótstøðufólki//-liði) uttan at tað eydnast tí//teimum at fáa stig//mál}4be -ed (eis.)sleppa burtur úr skuld við at fara á húsagang
whitewater	[strekki í á við nógvum streymi]
whitewedding	kirkjubrúdleyp;have a white weddingvera hvít(klødd) brúður
whitewhale	(dý.)hvítfiskur(Delphinapterus leucas)
whitewine	hvítvín, hvítt vín
white-winged black tern	(dý.)vonghvít svartterna(Chlidonias leucopterus)
whitey	1(am.Sniðr.) hvítt fólk2(am.Sniðr., íbreið. merk.)tey hvítu, hvíta samfelagið
whither	(gl.)hvagar
whithersoever	(gl.)hvagar enn
whiting	1kritdeiggj; kálkvatn2(dý.)hvítingur(Merlangius merlangus)
whitish	hvítleittur, hvítligur, illhvítur
whitleather	hvítbarkað leður
whitlow	svullurel.ódn í fingri, bruni í naglsrót /nals-/
whitlowgrass	(plfr.)grálig várperla(Draba incana)
Whit Monday	annar hvítusunnudagur
Whitsun	hvítusunna
Whitsunday	hvítusunnudagur
Whitsuntide	hvítusunna
whittle1	(slíðra)knívur; sláturknívur, flettingarknívur
whittle2	1telgja, skera; flysa(t.d.børkin av træi)2[íyms. samb.]whittle away1skera burtur2(fl.m.) minka um stig fyri stig;whittle away atminka um stig fyri stigel.so líðandi (t.d.the number of jobs); whittle away at his leadtaka ein aftur smátt um smátt;whittle down1telgja burtur2minka um, skerja
whity	hvítligur, sum ber á hvítt
whiz kid	(tlm.)undurbarn; (um handilsmann) hegnigur ungur maður sum hevur stóra framgongd í vinnulívinum; (ungur) maður ið fær høgt starv eftir ongari tíð
whizz1	1suð, suðan, sús, súsan, hvin, hvínan2(tlm.um fólk) gandakallur (t.d.she is a whizz at computers)
whizz2	1suða, súsa, sjóða, hvína2(um mat) koyra í kvørninael.blendaran
whizzbang	1(herm,S)spreingja, granat (sum flýgur so skjótt, at suðið frá henni hoyrist (næstan) samstundis sum bresturin)2(am.)stórur fagnaður; (um fólk) reinur gandakallur
whizzer	skilvinda, sentrifuga
whizzo	framúr(skarandi), fyrstafloks
who1	1(spurnarfornavn) hvør2(afturbeint fornavn) sum, ið
WHO2	(st.)World Health Organization Altjóða Heilsustovnurin (undir ST)
whoa	tu!, tu, tu!, purr!, purr, purr! (sagt við ross at fáa tað at steðga)
whodunnit	(tlm.)brotsmannaskaldsøga, krimiskaldsøga
whoever	1tann sum (t.d.can I speak to whoever is in charge);hvør ið so (t.d.whoever did it will be punished)2hvør, tað sama hvør, einhvør sum (t.d.they will shoot at whoever leaves the building);hvør…tað so er, uttan mun til, sama ger (t.d.whoever they are)3(kløkkur) hvør í Guðs garði?, hvussu//hvat//hvar í víðu verð? (t.d.whoever said that?)4[íyms. samb.]or whoever (tlm.)ella hvør tað so er
whole1	heild;the whole ofallur, allir//allar//øll (t.d.the whole of the five years I was there); (up)on the wholetá ið av tornar, tá ið samanum kemur, yvirhøvur
whole2	1fullfíggjaður, allur, heilur, gjøgnumheilur, fullur (t.d.a whole glass); the whole amountøll upphæddin (sum hon var);a whole lotein rúgva/hópur/ørgrynni/ørgrynna2(gl., bíbl.)frískur
whole-bound	(bókab.) í heilleðurbindi, heilleðurbinds-
whole-coloured	samlittur, einlittur
wholefood	heilsukostur, heilsuføði (matvørur ið eru dyrkaðar vistfrøðiliga og óviðgjørdar)
whole-footed	1 sum stígur á alla ilina2 opinskáraður, bersøgin, bart út, beint fram, óhátíðarligur; ótilgjørdur, sum einki roks er við
whole gale	(veðurfr.)hvassur stormur (20,5 - 28,4 m/sek.) (vindmegi 10 - Beaufort scale)
whole-grain	fullkorns-
whole-grain bread	fullkornsbreyð
wholehearted	(am.) treytaleysur, heilhugaður, við ongum fyrivarni, av fullum huga (t.d.be whole-hearted about it)
wholeheartedly	av fullum huga, treytaleysur (t.d.to agree wholeheartedly)
whole hog	go the whole whole hog halda á so leingi, ið gongur
whole-hogger	ein ið ger eitt heilhugaður og uttan at leggja treytir við, ein ið ger eitt til fulnar, ein ið leggur á bláman
whole-length	(t.d.mynd; spegil) í fullari stødd
wholemeal	ósáldað mjøl, fullkorn
wholemeal bread	fullkornsbreyð
whole milk	nýmjólk, mjólk
wholeness	heild (tað at vera heilur)
whole note	(tónl.)heilur tóni, heiltóni
whole note rest	(tónl.) heilnótasteðgur, heilnótahvíld
whole number	heilt tal
whole octave	(tónl.) heilur oktavur, heil áttund
whole-or-none	sum krevur alt ella einki
wholesale1	1(handilsm.)heilsølu- (t.d.business; prices)2viðfevndur, víðfevnandi, djúptøkin (t.d.changes; destruction);hóp- (t.d.wholesale murder);fullkomin, treytaleysur (t.d.surrender)
wholesale2	1heilsølu-;sell (by) wholesaleselja í heilsølu2whole saleí stórum, í hópatali, fyri hond (t.d.kill wholesale)
wholesale business	heilsøla
wholesale dealer	heilsølufólk
wholesaler	heilsølufólk
whole-seas over	deyðadrukkin, dýrandi fullur
whole snipe	mýrisnýpa; sícommon snipe
wholesome	heilsugóður; gagnligur
wholesomeness	heilsugóðsku; gagn
whole-souled	treytaleysur, heilhugaður, við ongum fyrivarni, av fullum huga, uttan at himprast; sí eis.wholehearted
whole-time	fulltíðar- (t.d.job; employment)
whole-timer	fulltíðarsett arbeiðsfólk
whole tone	(tónl.) heiltóni
whole-wheat bread	fullkornsbreyð
whole-wheat flour	grovmalið hveitimjøl
who’ll	(st.)who will//shall
wholly	heilt, fullkomiliga, púra
whom	hvønn, hvørjum; sum (whoafturbeint fornavn í hvønnfalli og hvørjumfalli)
whomp	(um ljóð) gjums, dums, djums; bang
whoo	nei, hvat sigur tú!, tað skal eg ætla!, hyggasíggj
whoof1	rin
whoof2	1rina2leggja (ígjøgnum), rennael.reka (t.d.whoof the bayonet in)
whoop1	1róp, róp og geyl, hó, hei2at kikka eftir ondini3(um uglu) tútan, at túta, ýl, at ýla
whoop2	1rópa, rópa og geyla;whoop it up (tlm.)halda gang; gera beistagerðir/fortreð, stuttleika sær; ballast2kikka eftir ondini3ýla, túta4(am., tlm.)hækka (t.d.whoop prices)
whoopee1	make whoopee1(skemt.)mogga, fríggja2(gl., tlm.)beistast, stuttleika sær, halda gang, gera fortreð, gera beistagerðir
whoopee2	hurrá!, hei!, hó!
whoopee cushion	prumpikoddi
whooper swan	(dý.)svanur, okn(C. cygnus)
whooping cough	kikhosti
whooping swan	svanur, okn(Cygnus cygnus)
whoops	ups
whoosh1	sús, súsan, brús, brúsan
whoosh2	súsa
whoosh3	uff
whop1	hart slag, avsmyrjing
whop2	1(am. tlm.)fleingja ein, smyrja, hølvael.buka ein av2(am. tlm., ítr.)smyrjael.hølva av, vinda burturúr(t.e.vinna á, sigra á)
whopper	1(tlm., skemt.)lygisøga; kolsvørt lygn2(tlm., skemt.)eitt ið er óvanliga stórt (t.d.that fish was a whopper)
whopping	1whoppingøgiligur, ovurstórur, risastóru, ómetaligur2(sumhj)wopping bigøgiliga stórur
who’re	(st.)who are
whore1	(óvand.)hora, skøkja
whore2	horast;go whoring after(bíbilskt) dríva hor, horast;(fl.m.)girnast (t.d.go whoring after wealth)
whoredom	hor, skøkjulevnað (h). skøkjulevnaður (k)
whorehouse	(gl.)horuhús, skøkjuhús, bordell
whorl	1snúningur, spiralur2(dý.)vinding(t.d.á gágguskel)3(plfr.)kransur4(á fingrasnippi) snúðurvundin merki
whorled	1snyrilsvundin, spiralvundin2(plfr.) skrúvuvundin; kringstaddur
whorl painted	(um vasar, krukkuro.tíl.)snúðurprýddur
whorl painting	(um vasar, krukkuro.tíl.) snúðurprýðing
whortleberry	(plfr.)heiðabláber(V. uliginosum)
who's	who is, who has
whose	hvørs (hvørsfall avwhoel.which)
whosoever	hvør ið so, ein og hvør sum; síwhoever
who’swho	bláa bók
who’ve	(st.)who have
whup	(am.)smyrja av, hólva av (t.d.they would whup him and send him home); (eis.vinna sannførandi á;t.d.if you lined up our guys against the 49ers, they'd get whupped)
why1	1hví2[íyms. samb.]that was why he did ittí var tað, hann gjørdi tað;why is it thathvussu ber tað til, at; sí eis.reason,wherefore
why2	áh!, nei!, hví so?, hví tá?, hygga síggj!, hygg!; íðan
WI	(st.)1West Indies2Women’s Institute3(am.) Wisconsin(stakríki í USA)
wick	1veikur, (í kolu og kertiljósi) rak;it gets on my wick (fl.m.,S)tað nítur mær fast, tað nervar meg2(í hurling, ‘curling’) smalt glopp millum steinarnar hjá mótstøðufólkunum
wicked	1óreinur, óndur, ringur, grundarringur, beistaktigur, forherðaður, óargaligur, ólátaður (t.d.wicked stepmother; wicked deed),meinfýsin (t.d.wicked look, wicked tongue, wicked horse)2(átr.)syndigur, ógudiligur (t.d.wicked deed)3ræðuligur, grúiligur (t.d.waste, shame),herviligur, vánaligur (t.d.wicked weather)4(tlm.)illavorðin, óreinur, ljótur, frekur, nasvísur, óskikkiligur (t.d.a wicked little girl)5(tlm.,rósandi) frálíkur, óførur6[íyms. samb.]no peace/rest for the wickedman fær ongantíð frið, friður er ongantíð
wickedness	1óndskapur, óreinskapur, illvild, illskapur, illnati, meinfýsni2ertingarsemi, eggjan, reitan, øsing, argan, tað at arga3ljót gerð, illgerð
wicker1	1viðja2síwickerwork
wicker2	kurva- (t.d.wicker chair)
wicker chair	viðjustólur, viðjuflættaður stólur, strástólur, kurvastólur
wickerwork	1stráarbeiði, stráflætting, viðjuflætting, kurvaflætting2viðju-el.stráflættaður lutur
wicket	1lítil hurð, lið, grind, hálvhurð2(t.d.ísamb.við atgongumerkjasølu) lúka3(í slúsu) slúsulok4(í krikket) marksúla, grind5(am.)krokkbogi; sí eis.sticky wicket
wicket gate	hálvhurð
wicket keeper	(í krikket) loftari sum stendur handan marksúlurnar/grindina
widdershins	síwithershins
widdle	(tlm.)pissa, míga
wide1	(í krikket) miskast
wide2	1breiður (t.d.margin; river; road);víður (t.d.the world; sleeves); wide eyeslangt millum eyguni; opinoygdur, við víðopnum eygum2(um klæðir) víður (t.d.sleeves; the skirt is too wide at the waist)3rúmur; víður, víðfevnandi, víðlendur, rúmur, víðfatandi; víðfevndur, stórur, nógvur (t.d.knowledge, reading)4Ssnildur, snúðigur, snúin5[íyms. samb.]wide ofraka ikki (t.d.the target); be wide of the markraka langt omanfyri(o.tíl.)6[ísamb. viðn]a wide choice/selectionstórt úrval;a wide differencestórur munur;wide eyesvið víðopnum eygum, glóma(t.d.nú eru glómur í honum);a wide range ofnógv ymisk (t.d.tasks);stórt úrval av (t.d.colours)
wide3	1breitt, vítt, langt2omanfyri, uttanfyrio.tíl.(t.d.the shot went wide)3[íyms. samb.]wide apartlangt hvørt frá øðrum;wide awakeklárvakin, alvakin, fullvakin;wide open1víðopin, (upp) á víðan vegg, upp á bak2árent, ábært, ástatt, í andgletti3(am.)við ongum avmarkingum,(uml.)lógleyst;the game is wide openeinki er avgjørt enn; enn er óvist, hvør verður tann stinnari;the wide open spacestær stóru víddirnar;far and widevíða hvar, víða um;open one’s mouth widegapa;be wide of the marklangt omanfyri, langt uttanfyri,(fl.m.)at eitt er heilt burturvið, burtur úr vón og viti; (sí eis.berth)
wide-angle lens	víðvinkulkúpa, víðvinkullinsa
wide-awake	klárvakin, alvakin; eftiransin, gløggur
wideawake	hattur við breiðum skugga; skótahattur
wide ball	(í krikket) miskast, glappakast
wide boy	(tlm.)smákritlari, smásvindlari
wide-eyed	1við uppspentumel.víðopnum eygum, sum stendur og gánar, gapar, glanirel. (tlm.)genar, sum stendur og glómar2(um eginleika) góðtrúgvin, góðvarin, bláoygdur, heimføðisligur, fávitskutur, naivur
wide gap,widegap	(dý.) havtaska (Lophius piscatorius)
widely	1víða (t.d.a widely distributed plant)2nógv(a widely read woman)3víða hvar, víða um; langt, nógv (t.d.she has travelled widely)4í stóran mun; vanliga (t.d.it is widely supposed that (tlm.)tey flestu/ flest fólk halda, at
widen	1breiðka, víðka um, rúmka (t.d.the road; the choice)2(við ongum ávirki) breiðkast; víðkast (t.d.the road//the gap//his smile -ed);vaksa (t.d.the difference -ed); her eyes -edeyguni vuksu í henni
widening	breiðkan, tað at breiðka (t.d.road widening; the widening of Lower Street)
wide-open	1víðopin; árent, ábart2(am.)[um býel.øki har lógin viðvíkjandi siðalagi, skeikiloyvi og hasardspæli verður ikki strangliga hildin]; við ongum//fáum avmarkingum
wide-ranging	víðfatandi, víðfevnandi, víðtøkin; sum røkkur langt (t.d.wide-ranging discussion)
wide-scale	stórur, munandi, víðfevandi, víðtøkur; sum ofta kemur fyri, sum hendir aftur og aftur
widespread	vanligur, algongdur (t.d.widespread belief)
widgeon	(dý.)ennigul ont(Anas penelope); American widgeonbolladunna(Anas americana)
widgeon grass	(plfr.)tráðmjátt havgras(Ruppia maritima)
widget	lítil lutur; okkurt lítið og týdningarleyst
widow1	einkja
widow2	gerast, blívael.verða einkjael.einkjumaður
widowed	sum er vorðin einkjael.einkjumaður;his widowed mothermóðirel.mamma hansara sum situr einkja
widower	einkjumaður
widowhood	einkjustøða, einkjudómur, einkjuskapur, einkjulív
widow-maker	(t.d.) vandamikið arbeiði; vandamikil maskina; vandamikið hav
widow's allovance	einkjustuðul, einkjuhjálp
widow's benefit	einkjustuðul, einkjuhjálp
widow's cap	(sø.sum tekin um sorg) einkjuhøvuðklæði, einkjuhøvuðdúkur
widow’s cruse	[lítil ótømandi goymsla]
widow’s peak	[hár sum veksur niður á ennið í einum spíssi]
widow's pension	einkjupensión
widow’swalk	(am.)útsýnisstaður, útsýnispallur (á tekju)
widow'sweeds	einkjubúni, einkjuklæði(r), sorgarklæði(r), syrgiklæði(r)
width	1breidd (t.d.the width is two metres; a width of two metres(ið er);the material is available in several -s)2(um mál og seymað plagg) vídd (t.d.measure the width of the waist)3(teld.)breidd4(fl.m.)hugflog, spennivídd (t.d.the width of his views)5(ítr.í svimjing) longd (t.d.swim several -s)6(fl.m.)vav
wield	1handfara, halda á, nýta, brúka (t.d.an axe);veipa við (t.d.he was -ing a kitchen knife)2(fl.m.)hava, útinna (t.d.power)
wielder	nýtari, brúkari;a wielder of the penskrivandi fólk
wife	(flt wives)(gift) kona
wife-beating	konubuking
wife capture	kvinnurán
wifehood	støða sum gift kona, konustøða
wife murderer	konudrápsmaður, konumordari, maður ið drepur konuna
wife-swapping1	(í kynsligum sambandi) konuumbýti, konuumbýting, konuskifti
wife-swapping2	har sum konuumbýti fer fram (t.d.wife-swapping suburbs)
wig1	kollur, parúkkur
wig2	(gl., tlm.)deila, geva av grovfílini, skelda út
wigeon	(dý.)síwidgeon
wigged	við, íel.undir hárkolli, íel.undir parúkki
wigging	(gl. tlm.)skortfleingja, toyggj, harting
wiggle1	1vríggjan, snaran, ruggan, vaggan, skinklan2(í stíli) krot, skreyt, lykkja
wiggle2	1vríggja, snara2(við ongum ávirki) spjálka, sprakla
wiggly	(tlm. um strikur)snaraður
wiggy	(am. tlm.)óður í høvdinum, svakur, løgin, býttur; serur
wight1	(gl.)skapningur, skepna, menniskja, fólk;poor luckless wightneyðardýrið hann/hon
wight2	(gl.) raskur, djarvur, óræddur; kvikur
wigwag1	bákn, signal
wigwag2	1sveiggja við, rista við2bákna, geva signal
wigwam	indiánahús, vigvam, wigwam (gjørt úr greinagrind og takt við børkiel.húðum); sí eis.tepee
wilco	(st.;í fjarskiftisending)will complyeg geri tað, eg skal gera tað
wild1	1oyðimørk, villiniland, óbýli, óbygt víðlendi2[íyms.samb.] -svilliniland, óbýli, óbygt víðlendi;in the wild(um dýr) í náttúrligum umhvørvi (t.d.see elephants in the wild); live in the wild(um dýr) liva frítt, liva í teirra náttúrliga umhvørvi
wild2	1villur, villini (t.d.animals; roses)2(um øki) óveltur, ódyrkaður, óbygdur, ónomið (t.d.wild country)3(um veður) stormharður, harðveðurs-, illveðurs-, baldrutur, vindharður, vindbardur, veðurringur, vindsamur (t.d.a wet and wild nightvát og ófýsin nátt)4(fl.m.)frá sær sjálvum; sansaleysur (t.d.laughter),vitleysur (t.d.schemes);ørur (t.d.scenes);harður, ógvisligur (t.d.cheers);illur (t.d.it made me wild to listen to such nonsense);ótonktur, gáloysin (t.d.young man)5(viðv.atburði, aga) villur, leyslátaður (t.d.life; party)6(um sinnalag) fúkandi óður, í øðini (t.d.it made me wild to listen to such nonsense)7(um dýr) styggur (t.d.the deer are very wild)8[íyms. samb.]be wild aboutvera óður eftir;run wild1vaksa ótálmað, vaksa vilt, breiða seg óregluliga, vaksa sum best ber til2(fl.m.)gerast sansaleysur á3(um barn) ongan góðan eiga
wild angelica	(plfr.)bakkasløkja(Angelica sylvestris)
wild arum	(plfr.)síarum
wild boar	(dý.)villsvín(Sus scrofa)
wild camomile	(plfr.)angabaldursbrá(Matricaria chamomilla)
wild card	1(kortsp.)djokari, jokari, kort við hissiniel.tilvildarligum virði2táttur, umstøðurel.viðurskiftiosfr.sum einki kann sigast um frammanundan, óútrokniligur faktorur3(ítr.)[fólk//lið ið verður tikið við eftir at úrtøkudystirnir eru leiktir]4(teld.)algildistekn
wildcat1	1útiløgukattur, villkøttur2(oljuv.)(ivasom) boring (eftir olju), royndarboring, villkøttur3(am.)vágiðel.hættisligt tiltak, váðaverk
