E.	(st.)East India(n); East Indies
Euxine	(gl.)Svartahavið
EVA	(st.)extravehicular activity [virksemi uttan fyri rúmdarfar]
evacuant	1ntømingarevni2ltømandi
evacuate	1(lækn.)tøma (t.d.an abscess, the bowels)2flyta (burtur) (t.d.children; a town)3rýma (úr)
evacuation	1tøming2burturflyting3rýming
evacuator	royksúgvari
evacuee	burturflytingur, rýmingur;evacuee childrenburturflutt børn
evade	1sleppa undan (t.d.a blow),rýma frá (t.d.one’s enemies)2gangael.fara uttanum (t.d.a difficulty, an obstacle);royna at koma uttanum, skáka sær undan (t.d.a question);sleppa sær undan (t.d.one’s duty, military service); evade income taxsvika í skatti
evaluate	meta (t.d.the political situation, his qualifications),virðismeta, nøgdarmeta; eftirmeta
evaluation	meting, virðismeting, eftirmeting
evanesce	(bókam.) hvørva burtur, fána burtur (úr eygsjónel.minniel.sum tilvera); (t.d.in a ghost movie, a ghost may slowly evanesce and fade away)
evanescence	1tað at hvørva, hvørving, tað at fána burtur2eitt ið er stokkut, eitt ið varir stutt; óstøðuleiki (t.d.after coming down with cancer, the dying woman realized the real evanescense of life and her fleeting existence)
evanescent	stuttur, stokkutur, sum hvørvur skjótt, sum fánar skjótt burtur; (t.d.a shimmering evanescent bubble)
evangel	gleðiboðskapur; evangelium; evangelistur
evangelical	1nprotestantur, luthersmaður, lágkirkjumaður2levangeliskur; lágkirkjuligur
evangelicalism	evangelisk trúgv
evangelism	kristniboðan
evangelist	1evangelistur2ferðaprædikumaður, vekingarprædikumaður
evangelistic	evangeliskur
evangelize	boða gleðiboðskapin; kristna
Evans	
evaporate	1tætta (t.d.milk)2(óáv.)guva burtur, seta av3(fl.m.)svinna, hvørva (t.d.their enthusiasm evaporated);rýma, sleppa sær burtur (t.d.he simply evaporated when we entered the shop)
evaporated milk	kondenserað mjólk
evaporation	1avseta2tættari3hvørving, rýming
evaporator	tættari, kølistykki
evasion	(smb. evade)undandráttur; undanskáking (t.d.evasion of duties); tax evasionskattasvik;evasionsuttanumtos, kávalótir
evasive	1uttanum-; hvørvin, hálur;be evasivesmoyggja(el.skáka) sær undan;evasive eyesflákrandi eygu; sum ikki fæst eyga á (t.d.an evasive prey)2hj-lyanswer evasivelysvara gjánka(s)liga
evasiveaction	rýmingartiltøk
evasively	answer evasivelyskáka sær undan at svara beinleiðis, svara gjánkaliga
EVA unit	rúmdarbúni (t.d.til mánagongu)
eve1	(skaldsk.)halgiaftan;Christmas Evejólaaftan;on the eve ofbeint fyri (t.d.on the eve of an election (; the battle, the war);vera um at (t.d.the old order was on the eve of disappearing)
Eve2	Eva;I don’t know her from Eveeg havi onga hóming av hvør hon er
Eveline,Evelyn	
even1	(skaldsk.)aftan, kvøld
even2	1even outjavna, slætta (t.d.even out the soil with a spade)2even upjavna út;that evens us up a bittað fær eina ávísa javnvág í aftur;our accounts even uproknskapurin javnvigar
even3	1javnur, flatur (t.d.surface, motion, flow),slættur (t.d.surface),flatur (t.d.country)2(eins:) javnur (t.d.distribution),eins stórur, javnstórur (t.d.quantities);javnsterkur, javnur (t.d.matchdystur)3(um sinni) sinniligur, róligur (t.d.an even temper)4(um tal) óstakt, makað (t.d.2, 4 and 6 are even numbers; the even pages)5júst (t.d.an even hundred),neyvur, nágrannur6evenbalancejavnvág;breakeven,síbreak1; an evenchanceeins stóran møguleika;evendatemakaður dagur;of even date (handilsm.)við somu dagfesting;evenwithjavnt við (t.d.the water was even with the windows),javnhøgur;(fl.m.)liðugur við;I’ll be (el. get) even with them! (eis.)tað skal koma teimum aftur um brekku!
even4	1enntá, sjálvt (t.d.it was cold even in July)2(um tíð) beint, júst (t.d.even as he came);longu (t.d.even the ancient Romans knew; even then; even at that time; even as a boy)3(viðmiðst)enn (t.d.it was even worse)4even iftó at, hóast5not evenikki so mikið sum (t.d.he would not even look at it); don’t say that, even in jesttað mást tú ikki siga, enn ikki í spølni; enn ikki (t.d.not even the richest man); I couldn’t do it, even to save my life …um tað so galt lív6even noweisini nú; nú í hesi løtu7even sokortini, og tó (t.d.even so, his behaviour strikes me as odd)8even thenlongu tá, sjálvt tá9even thoughhóast10even toheilt til11even whilemeðan enn
even date	(løgfr.) sama dagfesting;of even datevið somu dagfesting (sum)
evenfall	(skaldsk.)skýming
even-handed	óheftur, óvildar-; rættlætin (t.d.broker; resolutions; rulings)
evening	kvøld;this eveningí kvøld;yesterday eveningí gjárkvøldið;in the eveningum kvøldið;good eveninggott kvøld,make an evening of itfáa eitt kvøld burtur úr tí
evening classes	kvøldskúli
evening dress	1veitsluklæði, veitslubúni;in evening dress (eis.)veitsluklæddur2(til mannfólk) velafrakki; (til konufólk) síður kjóli, kvøldkjóli
evening duty	kvøldvakt
evening gown	veitslukjóli, síður kjóli
evening grosbeak	(dý.)dimmikjarnbítur(Hesperiphona vespertina)
evening prayers	kvøldbøn
evening primrose	(plfr.) náttlýsi (Oenothera)
evening school	kvøldskúli
evening star	kvøldstjørna, Venus (tá ið Venus stendur eystan fyri sólina og tí sæst beint eftir sólsetur), stakkalastjørnan; móts.morgunstjørna, dagstjørna
evening student	kvøldskúlanæmingur
evening twilight	skýming
evenly matched	javnur, javnborin, javngóður
evenly spaced	við eins stórum gloppum
even-minded	róligur, sinniligur
even money	býggj um býggj (t.d.an even money bet); it is even money that he will wintað fer at standa býggj um býggj teirra millum
evens	(tlm.)leysur;I thought it would be evens that he… at tað kundi ganga upp fyri eitt at hann …
evensong1	kvøldbøn, kvøldsongur, síðdegismessa
evensong2	(átr.)kvøldlestur, aftanlestur; kvøldgudstænasta; kvøldsangur
even Stephen	(uml.) (tlm.)helvt um helvt
event	1tilburður, hending(eis.íteld.)(t.d.it was the event of the day; meanwhile events had happened[ímeðan var okkurt hent sum]which changed the whole situation)2tiltak (t.d.events to raise money for charity)3(í ítrótt) kapping (t.d.a star sprinter in the 100- and 200-meter events), renning, dystur (t.d.each side had won five events),venjing (t.d.events planned for our spring season)4(gl.)úrslit, fylgja (t.d.the event of his enterprise5in all eventsið hvussu er, í øllum førum;inany event sama hvat ið hendir;in that eventum so er;in the eventtá til stykkis kom;in the event ofum so skuldi verið;in the worst eventí ringasta føri
even-tempered	róligur, sinniligur
eventful	hendingaríkur
event horizon	(stjfr.)hendingatrom
eventide	kvøldarstund
eventidehome	ellisheim
eventless	hendingaleysur
eventual	1endaligur, seinastur;blunders leading to eventual disasterfeilir sum til endans elvdu til eina vanlukku2møguligur (t.d.we must set aside a sum against an eventual claim from him)
eventuality	møguleiki;in any eventualityí øllum førum;in the eventuality ofí tí førinum at; tað sum kundi hent (t.d.the rules should cover all eventualities)
eventually	endiliga, at enda, um síðir (t.d.I eventually gave up trying; their resistance was eventually worn down);sum tíðin líður, sum frá líður (t.d.it will settle itself eventually)
eventuate	(am.)henda, fara fram; gerast veruleiki, setast í verk (t.d.these plans will soon eventuate); (UK): eventuate ill (, well)hepnast illa (væl);eventuate fromspyrjast burturúr (t.d.did any good eventuate from their talks?); eventuate inenda (t.d.the negotiations eventuated in an agreement)
ever1	(sigl.) [slag av flatbotnaðum strandarskipi]
ever2	1nakrantíð (t.d.did you ever see the like?; nothing ever happens here; have you ever seen an eclipse?; the biggest fool I ever saw)2(tlm.)á nakran hátt (t.d.be as amusing as ever you can)3(eftir:who, what, where, how)í víðu verð (t.d.what ever do you mean?); why ever did you do it?hví í Jesu navni gjørdi tú tað?4(am.)ið dugdi (t.d.the biggest film ever)5(serst. gl.)altíð, støðugt, varandi, haldgóður6[íyms.samb. ]everafterheilt síðan;they lived happily ever aftertey livdu lukkuliga allar teirra dagar;ever and again, ever andanonav og á, stundum, aftur og aftur;he is as good as everhann hevur ongantíð verið betri;do it as soon (, well etc.) as ever you canger tað skjótast til ber, ...tað skjótasta tú kanst;as ever is (tlm.)(heilt) avgjørt (t.d.next week as ever is we’ll go home);washe ever proud (tlm.)sum hann var stoltur;forever,for ever and a day, for ever and evermed alla [-ll-], altíð, í allari framtíð, um ævir;hardlyever næstan ongantíð;ever sincelíka síðan; eversomuch (tlm.)ómetaliga nógv;I thank you ever so muchtúsund tøkk;ever so often (tlm.)ótaldar ferðir;let him be ever so poorhvussu fátækur hann so er;he is ever so rich (tlm.)hann er øgiliga ríkur; eversucha nice man (tlm.)ein sera dámligur maður;yoursever (uml.) vinarliga
everglade	the Everglades (am.)(mýrilendi í Florida)
Everglades	(am.)the Evergladestropiskt vátlendisøki (í Florida)
evergreen1	1veturgrøn planta, veturgrønt træ2(um lag) ævilag
evergreen2	veturgrønur; ævigur
evergreen oak	(plfr.)eikislag(Quercus ilex)
Evergreen State	eyknevni fyriWashington(stakríki í USA)
everlasting1	ævinleiki, ævir;the Everlastingt.e. Guð;from everlasting to everlastingfrá ævinleika til ævinleika
everlasting2	1ævigur (t.d.everlasting damnation; the everlasting habitations); life eternalævigt lív,(skaldsk. eis.)eilívi(h)2(niðr.)evindaligur, ævinligur, javnt og samt (t.d.complaints, reproaches)3(plfr.) (everlasting flower)æviblóma
evermore	altíð, støðugt;for evermoretil allar tíðir, í ævir (t.d.it will go on for evermore)
eversible	sum kann vendast við
eversion	(lækn.)viðvending (t.d.of the eyelid; vaginal eversion)
evert	1venda við,evert an eyelidvenda eygnaloki2venda útá (t.d.the feet)3venda upp og niður (t.d.a theory)
every	1ein og hvør, hvør, allir, allar, øll; allur (t.d.you have every reason to be satisfied; he came every day; every boy in the class)2fullkomin (t.d.I have every confidence in him)3everybitheilt, fullkomiliga, full- (t.d.this is every bit as good as that); everynowand then, every sooftenav og á, við hvørt, við millumbili; aðruhvørja løtu;everyotherdayannan hvønn dag;everyoneein og hvør; hvør einasti;in everywayá ein og hvønn hátt, í allar mátar;every which way (am.)hvørt um annað;with every goodwishvið øllum góðum ynskjum;his every wordhvørt orð hann sigur;every fouryearsfjórða hvørt ár
everybody	ein og hvør, hvør, hvør maður, øll (t.d.everybody knows that); it is not for everybodytað er ikki hvørs mans føri;John, Harry, Ned and everybody… og øll;everybody elseøll onnur; ein og hvør annar
everyday	1gerandis-,everyday provisionsgerandisvørur; yrka-, dagligur (t.d.his everyday routine),hvønndagsligur, vanligur2innantómur
everyman	ein og hvør;everyman for himself (and the devil take the hindmost)hvør má sæta sær
everyone	hvør, ein og hvør
everyplace	(am.) síeverywhere
everything	alt; (t.d.he knows everything; money isn’t everything; it means everything to me); everything or nothingalt ella einki;they are poor, dirty and everything… og alt møguligt;now I’ve heard everythingnú havi eg eisini hoyrt tað;she is everything to himhon er hansara eitt og alt;everything Englishalt sum er enskt;she has everything (tlm.)hon hevur alt
everywhere	allastaðni, allar staðir;everywhere elseallar aðra staðni;from everywhere (eis.)úr øllum ættum
evict	reka út (úr húsum sínum), koyra frá (ognum) sínum (t.d.a single mother and her children have been evicted from their home)
eviction	útseting, útkoyring
evidence1	1vitnisfrágreiðing, vitnisburður2prógv, próvtilfar; (t.d.there was not enough evidence to prove him guilty); a piece of evidenceeitt prógv;it is not evidence, the evidence is inadmissibleprógvið kann ikki góðtakast;direct evidencebeinleiðis prógv;documentary evidenceskjalprógv;evidenceforprógv um; próvtilfar sum stuðlar undir (t.d.have you any evidence for this statement?); the evidence for murder was strongpróvtilfarið bendi týðiliga á morð;giveevidence bera vitnisburð, vitna (í rættinum);that is not acceptedinevidencehatta kann ikki viðurkennast sum próvtilfar;callsby in evidence stevna ein at vitna;takeevidenceavhoyra vitni [í rættarmáli];his evidence will be takenhann verður avhoyrdur sum vitni;theory of evidencepróvlæra;it is evidence totað vitnar um, tað ber vitni um, tað er vitnisburður um3(alisfr.) ábending4tekn, tekin (t.d.evidences of poverty; an evidence of good faith);spor;give(el. bear) evidence of (fl.m.) vitna um, vísa tekin um5(gl.)greidleiki, klári6beinevidencekoma fyri, vera til staðar (t.d.examples are in evidence everywhere; a type far more in evidence nowadays);síggjast; vísa seg vise sig (t.d.signs of panic were in evidence everywhere);gera seg galdandi (t.d.foreign competition is less in evidence than last year);gera nógv um seg, gera seg upp;he is not in evidence (eis.)tað sæst, at hann tíbetur ikki er hjástaddur; vera frammi (t.d.that kind of hat was much in evidence[var nógv frammi]ten years ago
evidence2	vitna um, bera vitni um; prógva, sanna; (alisfr.) benda á;be evidencedvísa seg; sýna seg, koma fram (t.d.his talent was evidenced in his first attempt)
evident	eyðsæddur, eyðsýndur, opinberur; týðiligur, klárur, vituligur;from this it is evident thatav hesum er klárt (, týðiligt) at
evidential	prógvandi, próvdyggur, próv-;evidential ofsum sýnir (t.d.a remark evidential of intelligence)
evidential value,evidential weight	próvvirði
evidently	eyðsýniliga, sjálvsagt
evil1	1óndskapur (t.d.the problem of evil),mein, synd; tað illa (t.d.deliver us from evil); return good for evilløna ilt við góðum;wish him evilynskja ilt niður yvir hann2vanlukka (t.d.it would be an evil to lose our liberty; war, famine and other evils)
evil2	1óndur, illur (t.d.spirit), evil eyeill eygu (í pátrúgv)2óreinur, meinskur3andstyggiligur (t.d.smell, taste; dream)4syndugur, syndafullur (t.d.desires, life, thoughts)5the Evil Onehin versti, djevulin, illimaður
evildoer	illgerðarmaður, óbótamaður
evil-eyed	við illum eygum
evil-minded	illviljaður, óreinur, meinfýsin
evince	sýna (t.d.courage),avdúka, gera kunnugt, gera vart við
eviscerate	1(forml.) kryvja, sløga, taka innanúr, taka innvølir úr (t.d.the goat had been skinned and neatly eviscerated)2avmergja, gelda (t.d.myriad little concessions that would eviscerate the project)
evocation	framkallan, uppmanan, veking
evocative	1vekjandi, manandi, sum talar til kenslurnar; sum vekur serligt lag2talandi, sigandi, livandi3evocative ofsum manar framel.vekur (t.d.a preface evocative of interest); evocative powerevni at gera tilburðel.lýsing livandi
evoke	mana upp (t.d.spirits),kalla fram, vekja (t.d.admiration el. memories of the past)
evolution	1lívmenning, menning, framtøka, úrreiving, (fram)vøkstur (t.d.prefer evolution to revolution),gongd, stigvís broyting (t.d.the evolution of his hair from brown to grey); the theory of evolutionmenningarlæran, úrreivingarlæra2(herm.)venjing
evolutional	menningar-
evolutionism	menningarlæra
evolutionist	ein ið tekur undir við menningarlæruni
evolve	1menna; gera, seta saman, hugsa upp (t.d.a philosophy; a theory);finna (framá), koma (framá) (t.d.a solution to the problem);„klekja“ (t.d.a plan; a scheme)2menna seg, mennast (t.d.as representative institutions began to evolve; he evolved into a Yankee diplomat),taka seg fram3røkja, røkta; ala fram (t.d.a specially evolved variety of this plant)
evolvement	stigvís menning frá lægri til hægri menningarstig
ewe	ær
ewelamb	gimburlamb, gjólingur, gjølvingur;his ewe lamb (fl.m.)hansara dýrasta ogn
ewer	vatnkanna
ex	1(handilsm.)latið (frá); av (t.d.ex worksav verksmiðju;ex warehouseúr goymslu)2framíhjá (t.d.ex dividendframíhjá vinningsbýti)
ex-	(forfesti) fyrrverandi(ex-president, ex-husband); (plfr., eis. bara e-)við ongum, uttan,-leysur
ex.	examined; example; except(ed); exception; exchange; excursion; executed; executive; exempt; export; extra; extract
exacerbate	verra, gera verri (t.d.the pain, the situation;the exorbitant cost of land in urban areas only exacerbated the problem;the forest fire was exacerbated by the lack of rain),skerpa, herða (t.d.the conflict);
