d-	(st.)damn
disc recording	plátuupptøka
discredit	1nskomm, vanæra,bring discredit onvanæra, koma einum í ringt orð;throw discredit onminka um álitið á, skapa iva um; misálit, mistrúgv; ivi;it is to his discredit thattað er ikki honum til heiðurs;I know nothing to his discrediteg havi einki ringt at siga um hann2smissa álit á, mistrúgva, ivast í, sáa iva um (t.d.his evidence);vanæra
discreditable	vanæruligur, skammiligur;it is not ´that discreditableso galið er tað heldur ikki;his performance was not at all discreditable… slættis ikki so galin
discreet	stillisligur, stillfarandi; varin, umhugsin; siðaður, høviskur
discrepancy	ósambæri, ósemja, stríð; mótsøgn; mismunur, munur, ójavni
discrepant	ósambærligur, mótsigandi, ójavnur
discrete	skildur burtur frá, fyri seg sjálvan
discretion	1varni, umhugsni2skynsemi, gløggskygni3siður, skikkur; tykki, meting4[íyms.samb.]atdiscretioneftir tykki, eftir ætli (t.d.payment at discretion); surrender at discretiongeva seg treytaleyst yvir;come to (el. arrive at) yearsofdiscretionkoma til mans; discretionis the better part of valourvarsemi er stór dygd;use one’sowndiscretiongera eftir egnum høvdi;withinone’s discretioneftir egnum tykki
discretional	
discretionary	eftir ætli, upp á gjøt, ætlandi;(full) discretionary poweróavmarkaðar heimildir;have large discretionary powers (uml.)hava rúmar heimildir;discretionary incometøk inntøka (eftir at fastar útreiðslur til mat, bústað, skatt tilo.tíl.eru goldnar);discretionary spending (, time)peningur (, tíð) tøkur (, tøk)
discriminate1	1skilja (millum) (t.d.discriminate A from B),skilja (t.d.these markings discriminate the bird from all related species);seta mark millum, skilja (sundur), greina, gera mun á (t.d.the Government does not discriminate between nationals and foreigners in these matters)2gera mismun, gera mannamun; discriminateagainst sbygera mannamun
discriminate2	skilagóður, skynsamur, gløggur
discriminating	1gløggur, vísur, skynsamur (t.d.judgment; critic)2kræsin, vandin (t.d.buyers are becoming more discriminating; a discriminating taste);eyðkennandi, serkennandi; sundurgreinandi;discriminating markserkenni, eyðkenni
discrimination	sundurskiljing, sundurgreining; greiningarevni, gløggskygni; mismunur, (t.d.he loves them all without discrimination);mannamunur;racial discriminationrasumismunur
discriminative	eyðkennandi, serkennandi; gløggur, skynsamur; ymisligur, ikki eins fyri øll
discriminatory	sum ger mismun, sum elvir mismun, diskriminerandi
disc skimmer	diskskúmari
discursive	leypandi, víðsveimin, roksutur (t.d.a long, discursive poem; a somewhat discursive discursive of the situation);hugsandi, skilvísur
discus	disci [‘diskai] diskos;discus throwerdiskosvarpari;discus throwingdiskosvarping
discuss	1skifta orð um, kjakast um (t.d.discuss the situation);røða um (t.d.the most discussed book of the season),samráðast um, tosa umthere is nothing to discusshar er einki at tosa um2umhugsa; gera greiðu fyri; umtala, viðgera (t.d.the main points of a problem)3(tlm.)súlunda, tæra, njóta
discussion	orðaskifti, kjak, umrøða, viðgerð;enter into a discussion withleggja seg út í kjak við;it is open to discussionkjakast kann um tað;it caused some discussion in the Presstað elvdi til ávísa umrøðu í fjølmiðlunum;the problem under discussionmálið sum er til viðgerðar;bring it up for discussionfáa tað til orðaskiftis
discussion paper	kjakíbirting, kjakrit
disc valve	diskventilur
disc volume	(teld.)diskrúmd
disdain1	vanvirðing (t.d.such offers should be treated with disdain)
disdain2	vanvirða, havna
disdainful	vanvirðandi, háðandi
disease	sjúka, sjúkdómur, sótt (t.d.disease of the liverlivursótt); heilsubrek, vanheilsa
disease carrier	smittuberi
diseased	sjúkur; sjúkligur, heilsuveikur
diseconomy	útreiðsluvøkstur;diseconomies of scalestórrakstrarvansar
disembark	skipa upp; seta á land, fara í land, fara upp á land
disembarkation	uppskiping, landseting; landgonga;port of disembarkationuppskipingarhavn
disembarrass	loysa(offrá), gera frían av
disembarrassment	loysn, lætti
disembodied	ólikamligur, loystur frá likaminum (t.d.beingsverur); abstraktur
disembogue	(um á) renna út (í); tøma út
disembowel	kryvja, opna; taka innvøl úr
disenchant	gera vónsviknan, vónsvíkja (t.d.they were disenchanted with much that happened since);loysa gand á
disenchanted	vónbrotin, vónsvikin (t.d.she became disenchanted with her erstwhile ally;many voters have become disenchantedwiththe president)
disenchantment	vónbrot (t.d.their growing disenchantment with the leadership)
disencumber	lætta fyri byrðu; lætta um
disengage	fría, loysa frá,disengage oneself fromloysa seg frá;(tøkn.)taka frá,disengage the clutchkopla úr;(herm.)gevast við bardaga
disengaged	1leysur (t.d.from an obligation),falur (t.d.inquire whether Lord X is disengaged)2ikki í arbeiði3uttanveltaður (t.d.Moscow is determined to stay disengaged in Ruritania)
disengagement	loysn, lætti; frígering; frælsi; trúlovilsisslit;(herm.)bardagaslit
disentangle	1greiða; rekja upp (t.d.disentangle a skein of yarn);disentanglethe threadsgreiða fløkjuna2skilja frá, loysa; sleppa leysum; sleppa leysur
disentanglement	greiða; loysn
disenthral	loysa ein úr trælabandi
disentomb	taka upp úr grøv;(fl.m.)grava fram
disequilibrium	ójavnvág, misvekt, tvørrandi javnvág
disestablish	taka av, leggja niður, seta úr gildi; disestablishthe Churchskilja kirkju frá ríki
diseuse	upplesari, sjónleikarinna ið ber fram einarøðu
disfavour	1nskaði, ógagn,his action was to his own disfavour… til ógagns fyri hann sjálvan; ónáði,fall into their disfavourfalla í ónáð hjá teimum; mistykki; óvild2sdáma illa, mistykkja
disfeature	skemma, meiðsla, snáldra, sora
disfiguration	lýti, misprýði; skaði; løstur, meiðsl
disfigure	lýta, spilla, misprýða, skemma, avskepla; løsta, meiðsla
disfigurement =disfiguration	
disfranchise	taka valrætt frá, taka borgararættindi frá
disfranchisement	tað at taka borgararættindi frá einum
disgorge	1klíggja upp úr sær, goysa, spýggja2(fl.m.)geva frá sær (við ringum tannabiti); geva aftur; lata frá sær; (um á) renna út í
disgrace1	ónáði (t.d.the courtier is in disgrace); fall into disgracefalla í ónáð; gera eitthvørt óreiðiligt
disgrace2	skemd, skomm,bring disgrace upon sbygera einum fyri skommum;bring disgrace on one’s familygera húskinum fyri skommum; vanæra húskið;the disgrace that befell himskommin sum kom niður yvir hann; vanæra (t.d.choose death before disgrace),vanvirði, vanvirðing, mannminkan
disgrace3	falla í ónáð; vanæra (t.d.you have disgraced the family name);gera fyri skommum, skemma;we were terribly disgracedvit vóru fyri nógvari skomm
disgraceful	vanærandi, vanæriligur, skammiligur (t.d.behaviour)
disgruntled	misnøgdur, ónøgdur (t.d.poor service was the primary complaint of these disgruntled customers);trútin, trótutur
disguise	1ngrýluklæði, grýlubúni, dularbúni; lótir, kávalæti, ansalæti, ansalótir (t.d.penetrate(el.see through) his disguise); she made no disguise of her feelingshon royndi ikki at fjala kenslurnar;in the disguise ofklæddur sum, grýluklæddur sum;throw off one’s disguisetveita gekkaskortin;in disguisedulbúgvin, grýluklæddur; óektaður, falskur2sgrýluklæða seg, dulbúgva seg (t.d.he disguised himself as a woman);fjala, loyna, dylja (t.d.badly disguised satisfaction); disguise one’s voicebroytael.avlaga røddina, herma
disgust1	vaml, andstygd, stikni
disgust2	geva vaml,be disgustedvamlast, kenna andstygd;it disgusts me, I’m disgusted at iteg vamlist við tað; tað býður mær ímóti; vekja andstygd; taka sær tykni av, vera vónsvikin
disgustedly	vamlisliga, við vamli, andstyggiliga, við andstygd;look disgustedly athyggja at við andstygd
disgusting	andstyggiligur, spýggjuligur, vamlisligur, ótespiligur
dish1	1lítil borðiskur, ker, fat; skál (t.d.butter dish); do (el. wash) the dishesvaska upp2rættur (t.d.a dish of meat and potatoes); dish of the daydagsins rættur;standing dishfastur rættur3tómleiki, tómi4lægd, hvilvt, ker5S„steik“, eiggilig genta (t.d.she’s (, he’s) a dish)„sjeikur“; spelkið fólk
dish2	1leggja uppúr (t.d.dish (up) the dinner),leggja á fat; dish(up)borðreiða, seta á borðið;(fl.m.)koma fram við, borðreiða við2gera innskaraðanel.innhjólaðan3bukla4(tlm.)gera enda á, oyðileggja5lumpa6dishoutbýta út (t.d.medals were dished out to all and sundry)
dishabille	náttklæði, morgunklæði, undirklæði;in a state of dishabillehálvnakin
disharmonious	misljóðandi
disharmony	misljóð
dishcloth	borðlappi, borðklútur; viskustykki
dishclout	1borðlappi, borðklútur2(um konufólk) ótriski, ótrivavætti, súgv
dishdrainer	uppvaskistativ
dishearten	taka mótið frá, gera mótleysan
disheartened	mótlítil, mótleysur, málveikur
disheartening	mishugaligur
dished	innskaraður, innhjólaður; hválvdur, kúputur; skálvaksin, skálskapaður;(tlm.)sigraður, bardur, lumpaður, „liðugur“
dishevel	loypa surr í, órudda, frísa
dishevelled	ófantaligur, ótrivaligur, frísutur
dish gravy	sós úr soði
dish mat	borðverja, borðmotta
dishonest	óærligur, óreiðiligur, órættiligur
dishonesty	fals, svik
dishonour	1nvanæra, vanvirði, vanvirðing;(handilsm.)halda uppat at gjaldael.móttaka virðisbrøv2svanæra, skemma, vanvirða; ikki gjalda, ikki honorera (ein veksil); svíkja, bróta lyfti
dishonourable	vanærandi, vanæriligur, mannminkandi; óheiðurligur, óreiðiligur
dishpan	uppvaskifat
dishrag	uppvaskilappi
dish towel	viskustykki
dishwasher	uppvaskari; uppvaskimaskina
dishwasherproof	sum tolir maskinuppvask
dishwater	uppvaskivatn;(fl.m.)tunt skvatl
dishy	1(en.; óforml.) kynsliga freistandi, tekkiligur, tølandi, (tlm.) lekkur (t.d.he/she is dishy)2(am.) gølukendur, sleygutur, slatrutur (t.d.she is the perfect candidate for a dishy biography)
disillusion1	vónbrot, vónsvik
disillusion2	gera vónsviknan, taka vónina frá;be disillusioned withhava mist vónina um, vera vónsvikin
disillusionize	(serst. am.)gera vónsviknan, taka vónina frá
disillusionment	vónsvik, vónbrot
disincentive	1nkleppur, doyvari2ldarvandi, doyvandi
disinclination	mótboð, óhugi, óhugur, treyðleiki
disincline	loypa óhug á
disinclined	treyður;be disinclined to do ittreyðugt gera tað, ikki hava hug at gera tað;children disinclined to go to schoolbørn sum ikki tíma í skúla
disinfect	sóttreinsa, reinsa
disinfectant	1nsóttreinskingarevni2lsóttreinsandi
disinfection	sóttreinsan
disinfestation	illdjóratýning; avlúsing
disinflationary	sum minkar peningaflóð
disinformation	skeiv upplýsing
disingenuity	fals, svik; falsan
disingenuous	falskur, óreiðiligur, óærligur; svikafullur, óreinur
disinherit	gera arvleysan
disintegrate	loysa upp, upploysa, loysa sundur; losna sundur, molna, syndrast
disintegration	upploysing, molnan, syndran, tæring, týning
disinter	grava upp, grava fram; fáa fram í ljósmála
disinterested	1ósjálvsøkin (t.d.sacrifices);uttanvelta-, partleysur, óvildar- (t.d.a banker is under obligation to give disinterested advice)2(viðv.onkrum máli) líkasælur, sum leggur líka lag í, sum brýggjar seg ikki um; sí eis.uninterested
disinterment	uppgrevstur
disinvolve	taka seg burtur úr
disjoin	spjaða, syndra, skilja sundur
disjoint	snara úr lið; taka sundur, lima sundur; bróta
disjointed	sundurlimaður; ósamanhangandi (t.d.words; statement)
disjunction	sundurskiljing, sundurgreining
disjunctive	sundurskiljandi, sundurgreinandi,(máll.)disjunktivur; disjunctiveconjunctiondisjunktivt sambindingarorð
disk	(teld.)diskur
disk,	sídisc
diskdrive	(teld.)diskadriv
diskette	(teld.)diskil, lindiskur
diskettedrive	(teld.)diskladriv
diskette station	(teld.)disklastøð
dislike	1nmótvild, mótvilji, óvilji, agg; mótboð, mishugur; stikni, andstygd, vaml2sikki dáma, dáma illa;have a dislike ofikki dáma;likes and dislikes[‘dislaiks] samhugi og mishugi
disliked	illa lýddur, illa dámdur, illa umtóktur, óvinsælur
dislocate	1snara úr lið (t.d.one’s shoulder),keikja2elva til ólag í, fáa ólag í, loypa brongl í; (t.d.traffic was dislocated by the snow),fáa ruðuleika burturúr,electricity services in Dorset were dislocated[í ólagi]for six hours3flyta, broyta (t.d.he contrived to dislocate[broyta]all their military plans)
dislocation	1keiking; ólag, ruðuleikisnow fell in New York today, causing serious dislocation of traffic ...elvdi til ruðuleika í ferðsluni2(jarðfr.) avlaging
dislodge	reka burtur; flyta; beina burtur; reka úr skýli (veiðidýr),reka úr støðu (t.d.dislodge the enemy from a position);reka úr starvi, seta frá (t.d.an inefficient Minister)
disloyal	trúleysur, ótrúgvur, óhollur, ófelagsligur
disloyalty	trúloysi, ótrúskapur
dismal	1dapur (t.d.voice);keddur, tungur í huga, óglaður2keðiligur (t.d.weather; surroundings);óhugnaligur, óunniligur (t.d.town)
dismals	tunglyndi; (t.d.I’ve got the dismals)
dismantle	taka sundur, demontera; taka niður, taka burtur; leggja niður, seta úr gildi, avtaka (t.d.price controls); dismantle a shiprigga eitt skip av
dismast	avmastra, taka mastur úr skipi (t.d.a furious gale dismasted the ship)
dismay	1nræðsla, ótti, skelkur; ráðaloysi2sræða (t.d.prospective buyers),gera ræddan, loypa ótta á; gera ráðaleysan; øtast (við) (t.d.I was dismayed by his lack of understanding)
dismember	sundurlima, lima sundur, býta sundur(serst.eitt land); avtaka (t.d.take over the company and dismember it)
dismemberment	sundurliman, sundurtøka (t.d.dismemberment of a delicate piece of apparatus);býti
dismiss	1senda heim (, burtur),lata fara (t.d.the master dismissed the servant),(í skúlaeis.)geva frí (t.d.the teacher dismissed the class), the school was dismissedskúlin fekk frí;(ítr.)vísa út (t.s.ssend off)2siga upp, siga (loysael.rekael.koyra) úr starvi (t.d.a dishonest servant)3kveistra burtur (t.d.a suitor, the subject),vísa(el.skúgva) frá sær (t.d.the idea, the problem, all thoughts of revenge);vísa aftur (t.d.a petition);reka aftur, kveistra burtur (t.d.the thought);dismissit from from one’s mind (el. thoughts)fáa tað út úr høvdinum; sleppa sær av við (t.d.a man whose conduct is unsatisfactory)4(løgfr.)vísa burtur, taka aftur (eitt rættarmál);dismiss the caseleggja málið niður;ask for the case to be dismissed (uml.)skjóta upp fríkenning;dismiss an appealstaðfesta dóm5dismiss !(herm.)far úr røð!;they were dismissed the Serviceteir vórðu sagdir úr herinum
dismissal	1(smb. dismiss)uppsøgn (t.d.dismissal notice, notice of dismissal),frákoyring2(løgfr.)burturvísing, afturtøka (av einum máli);be given an absolute dismissal (uml.)verða fullkomiliga fríkendur3(ítr.)útvísing (t.s.s.sending off)
dismissive	kvettin; frávísandi, stútutur, snubbutur (t.d.remark)
dismount	1(um maskinuosfr.)taka sundur, demontera, (íteld.)taka úr; skilja sundur; (um gimstein) taka úr festi2(óáv.)stíga av (rossabakiel.súkklu), fara av
disobedience	ólýdni
disobedient	ólýðin, óhoyriligur(tomóti)
disobey	vera ólýðin (móti),vera óhoyriligur, ikki akta, ikki hoyra
disoblige	vera treyðurel.óvilligurel.tvitinel.tvørur móti; særa, gera firtnan
disobliging	óvilligur, tvørur, tvitin
disorder	1nfløkja, ólag (t.d.throw it into disorder),brongl, óskil, órudd, ógreiðsla, hurlivasi (t.d.the room was in wild disorder)2disorders fltófriður, ófriðarlæti3(lækn.)ólag (frá tí fríska),brek, sjúka4sloypa surr í, órudda, søpla saman; gera sjúkan, gera ússaligan5l disorderedí ólagi; sjúkur
disorderly	1fløkjaligur, óruddiligur, óhampiligur2í ólagi3ófriðarligur, óróligur, rusutur, larmandi, uppøstur (t.d.crowd); charged with being drunk and disorderly (uml.)ákærdur fyri at hava verið drukkin og ólátaður; disorderlyconduct (uml.)gøtuófriður; disorderlyhouseskøkjuhús; spælibøli
disorder mark	(skúlam.) átala (fyri ringan atburð)
disorganization	ólag, upploysing, syndran
disorganize	fáa ólag í, loypa surr í, fløkja
disorient	villa, villleiða;be disoriented (eis.)villleiddur, ráðaleysur
disorientate	
disown	avnokta, ikki vilja kennast við (t.d.a friend);ikki vilja viðurkenna; reka frá sær (t.d.a profligate son);ikki vilja bera kannuna av
