O.	(st.)1Officer2Order
oscillation	1sveiggj, sveigrørsla;arc of oscillationsveigsveipur;axis of oscillationsveigásur;centre of oscillationsveigpunkt, sveigdepil;frequency of oscillationsveigtídd2(útv.)ýl
oscillator	sveiggeri, sveigil, oskillatorur
oscillatory	sveiggjandi;(ravm.) oscillatory circuitsveiggjandi ringur, sveigringur
oscillatory energy	(tøkn.)sveigorka
oscillatory motion	sveigrørsla
oscillograph	(alisfr.)sveigritil
oscilloscope	(alisfr.)sveigvísi
osculant	(lívfr.)nærskyldur; sum er millumlið millum tvey sløg
osculate	1at nema, nertael.røra hvør við annan2(stfr.)nertast3(lívfr.)vera nær skyldur4(skaldsk.)kyssa, mynna
osculation	1neming, nerting2(stfr.)nerting3(skaldsk.)kyssing, at kyssast, mynning
osier	(plfr.)viðja; pílur, pílatræ;common osierbandapílur(Salix viminalis)
osier bed	teigur við gróðursettum pílatrøum
osier willow	(plfr.) bandapílur
osiery	1viðjukjarr, viðjakjarr2kurvaflætting
Osiris	(sern., gudal.)Osiris (gudur í Egyptalandi í fornøld)
osmium	(evnafr.)osmium
osmosis	(evnafr., plfr.)gjøgnumseyring, osmosa
osmotic	(evnafr., plfr.)osmotiskur
osprey	1(dý.)fiskiørn, gjóður(Pandion haliaetus)2fjaðraskúvur, fjarðaskúgvur, fjarðaduskur (sum hattaprýði)
OSS	(st.) (am., herm)Office of Strategic Services (fregnartænasta)
osseous	1beinkendur; bein-2knotu-
Ossian	Ossian;the Ossian poemsossianyrkingarnar
Ossianic	(bókm.)ossianskur
ossicle	lítið bein, lítil beinknotael.beinknútaelknota, lítið knútubein
ossification	(lækn.)beinmynding, beinrenning
ossify	1(lækn.)beinmynda, beinrenna, beinast; verða at beini2(fl.m.;um tankar, hugskot) stirðna, stívna, (við ávirki) verða, blívael.gerast stirvin (t.d.a young man who began to ossify right after college; ossified political institutions)
ostensible	1sum pástendur (t.d.purpose),eftir øllum at døma, sum frættist, sum sigst, helst (t.d.the ostensible truth of their theories)2at síggja til, at vísa seg; tað tykir, sum um (um okkurt, ið tykir at vera satt, men eingin vissa er fyri tí) (t.d.an ostensible cheerfulness concealing sadness)
ostensibly	eftir øllum at døma, sum frættist, sum sigst, helst (t.d.troops were sent in, ostensibly to protect the civilian population)
ostentation	mikillæti, reyp, breggj;he lives modestly, without pretensions or ostentationlív hansara er kravlítið á allan hátt
ostentatious	1reypandi; ovurprýddur, avtaglaður, týggjaður2so at øll skulu síggja, sjónskur, avgjørdur
osteo-	(lækn.)knotu-, bein-
osteoarthritis	slitgikt
osteology	(lækn.)knotufrøði, bein-
osteoma	(lækn.)beinknykil
osteopath	serlækni í knotu- og vøddasjúkum (viðgerðin er lík teirri hjá kiropraktori)
osteoporosis	(lækn.)beinbroyskni
ostler	(gl.)fjósmaður, fjósdrongur (sum tekur sær av rossunum hjá gestunum á vertshúsi)
ostracism	1(sø.)at gera mann útlagnan, ostrakisma /-ki-/ (í Athen í fornøld kundi maður verða gjørdur útlagin í 10 ár eftir fólkaatkvøðu, um samborgarar stúrdu fyri, at avvarðandi hevði í kvittanum at taka ræðið í býnum. Navnið sipar til ostrakon, sum merkir pottabrot. Tey (ostraka) vórðu nýtt sum atkvøðuseðlar. Navnið á tí manni, sum varð hildin at vera vandamikil fyri fólkaræðið, varð rist á tey)2(fl.m.)einki vilja hava við mann, bólkel.ríki at gera, at avbyrgja ein, at útihýsa einum
ostracize	1vísa burtur, reka burtur (t.d.his colleagues ostracized him after he criticized the company in public)2halda uttanfyri, útihýsa (t.d.a group of people who have been ridiculed, ostracized, and persecuted for centuries;because of this conformist behaviour they were more or less ostracized socially)
ostrich	(dý.)strutsur(struthio camelus)
ostrich feather	strutsafjøður
ostrichism	strutsapolitikkur (einki gera, stinga høvdið í sandin)
OT	1Old Testament2occupational therapy3(st.íhandilsm.ofta nýtt innanhýsis á skrivstovum)Overtime
otalgia	(lækn.) oyrnastingir; eis.earache
OTC	(st.)Officers’ Training Corps
Othello	Othello (harmleikur eftir Shakespeare)
other	1annar, onnur, annað2[íyms. samb.]the otherdayein dagin, nú ein dagin;every other dayannarhvør dagur, annanhvønn dag;ofall -sfram um allar;why should he do it of all -shví skuldi hann gjørt tað heldur enn aðrir/onnur;some bookorotheronkur bók;some time or otheronkuntíð;something or otherokkurt;somehow or otheronkursvegna;otherthan 1(um mun) øðrvísi enn;if he had been other than he wasum hann var annar maður enn2(um undantak) undantikin, umframt,(eis.)aðrir/aðrar/onnur;teachers other than university teachersaðrir lærarar enn universitetslærarar;none other thansjálvur [t.d. none other than Socrates (himself) said so]
otherness	at vera øðrvísi
otherwise	1øðrvísi, annarleiðis, á annan hátt (t.d.she could not have acted otherwise);á annan hátt, (í) aðramáta;unless you are otherwise engagedum tú ikki ert bundin av øðrum;such as think otherwiseøðrvísihugsandi2(um fyrivarni) annars, aðramáta, í aðrar mátar (t.d.the house needs a bit of paint, but otherwise it is in good condition; a few mistakes in an otherwise brilliant report)3(um mótsetning) annars (t.d.it might otherwise have been forgotten; write it down, otherwise you’ll forget it);um ikki4[íyms. samb.]otherwise engaged/occupiedupptikin av øðrum;orotherwiseella ikki (t.d.completed or otherwise);ella tað øvuta, (tað sama) um …ella ikki (t.d.the success or otherwise of the project)
otherworldly	[sum hugsar um andlig heldur enn um jarðbundin viðurskifti]; sum er burturi í øðrum heimi, sum livir í øðrum heimi/í aðrari verð
otiose	(forml.)óneyðugur, tarvleysur, ónyttigur, nyttuleysur;long, otiose descriptiondrúgv, óneyðug lýsingel.frágreiðing
otitis	(lækn.)oyrnabruni
otology	(lækn.)oyrnasjúkufrøði
OTT	(st.)over the top; sítop1
Ottawa	
otter1	(dý.)otur(l. lutra)
otter2	lemmur, trollemmur, trolbummur
otter trawl	(sigl.)lemmatrol
ottoman1	1ottoman2(í sovikamari) kista við bólstraðum loki3(til hvíldarstól, lenistól) fótskammil
Ottoman2	(sø.)osmanni, turkur
Ottoman3	(sø.)osmanskur, turkiskur
OU	(st.)Open University
oubliette	(gl.)myrkastova, loyniklivi (fangaklivi sum bara slepst til gjøgnum lemm í loftinum)
ouch	áh, á!
OUDS	(st.)Oxford University Dramatic Society
ought	oughtto 1(um skyldu) muga, eiga at (t.d.you ought to do ittú mást gera tað, tú eigur at gera tað)2(um tað ið mestu líkindi eru til) fara helst/ivaleyst at verða, eiga at vera (t.d.that lecture ought to be interestinghasin fyrilesturin fer helst at verða forvitnisligur)
Ouija ®	fjøl við stavraðnum, sum skal fáa fram (útvega) spiritistiskan boðskap
ouma	1(SuA.)omma2(SuA.)frúa (í fólkaligari talu við tilkomna konu)
ounce1	1(vekteind) unsa, uns (28, 35g í vanligari handilsvekt; men 31, 1g(ounce troy)at viga gull ella heilivág við)2(tlm.)eitt sindur, eitt vet (t.d.if you had an ounce of common sense); not an ounce of (fl.m.)ikki inn í eygað, ikki tað sum eitur, ikki eitt vet av (t.d.of truth)
ounce2	(dý.)snjóleopardur, snjóleopard(U. uncia)
OUP	(st.)Oxford University Press
our	okkara;our homehús okkara, okkara hús
Our Father	(átr.)faðir vár
Our Lady	(átr.)Maria moy
Our Lord	(átr.)Harrin, Jesus
ours	okkara;this is ourshetta er okkara;a friend of oursein vinur okkara;this country of oursland okkara
ourself	(pluralis majestatis, hátignarfleirtal; fleirtal nýttum av ríkjandi drótti) vit sjálv, okkum sjálv, okkum sjálvum;we ourself knowvit sjálv vita
ourselves	1vit sjálvir/sjálvar/sjálv, okkum sjálvar, okkara sjálvs; (afturbent) okkum; (sídømiundirhimself)2[íyms. samb.]by ourselves1fyri okkum sjálvar (t.d.sitting by ourselves)2(við ongari hjálp) einsamallir/einsamallar/einsamøll (t.d.we did it ourselves)
Ouse	á í Norðuronglandi
oust	1reka útel.burtur (t.d.the invaders)2(kappingarneyta, so at ein sjálvur sleppur framat) seta frá, koyrael.reka úr embætiel.starvi (t.d.oust him as chairman; oust him from power);trokael.koka burtur (t.d.oust a rival)3(løgfr.)taka (eitt) úr hendi; útihýsa
ouster	1(løgfr.)úrhenditøka, at taka úr hendi; at vera rikin av óðalsgarði; at missa arvarætt2(am.)burturvísing úr embæti, uppsøgn úr starvi, frásetan, frákoyring; útihýsing
out1	1útvegur; umbering2(prent.)burturúrløga, eitt ið er burturúrlagt3(tlm.)jarðarferð4[íyms. samb.]the -s1(í spæli) tey ið eru uttanfyri (úti)2(í politikki) tann flokkurin ið hevur ikki stjórnarvaldið; andstøðan;(am., tlm.) be on the -s withvera óvinur við, klandrast við
out2	1sláa út2(serst.um kent fólk) avdúka sum samkyndan//samkynda3(gl.)tveitael.blaka út
out3	1[A](ikki heima, ikki inni á vøllinum) úti (t.d.Mrs Brown is out; the ball is out);sí eis.out side2[B](sum sæst, sum er frammi)1(um blómu) sprottin (t.d.the rose is out)2(um bóko.tíl.)útkomin (t.d.the new book is out)3klaktur (t.d.the chickens are out)4(á luftini) frammi (t.d.the stars are out);síeis. nðf.: the moon//the sun is out5koma út í orð (um loyndarmál) avdúkaður, likið út (t.d.the secret is out);(nú er tað) sagt (t.d.there, now it’s out)3[C](sum ikki er har longur, sum er fariðo.tíl.)1(um ljós, eld) sløktur, útkólnaður2(um mat, vistir) uppi, uppseldur, undangingin, í uppisetri; pøstur, lúgvaður, sperðlaður, fokin, fyrilagstur (t.d.my strength is out)3(um tíð) at enda komin, útrunnin, endaður, farin, liðin, úti (t.d.before the day is out; before the year is out);úti, útgingin (t.d.the lease is out)4(um flokk) farin frá, sum ikki longur situr við valdið (t.d.the Whigs are out)5(mótaviðv.)farin av móta (t.d.frock coats are out)4[íyms. samb.]be out (eis.)1(um verkafólk) farin í verkfall (t.d.the miners are out)2(um lið) farin úr lið (t.d.my arm is out); she is out (gl.)hon er leidd inn í vertskapslívið, hon hevur verið til sína fyrstu veitslu;be out and about1vera komin í gongd2vera úti, ganga og reika;I am ten dollars outhatta kostaði mær 10 dollarar;the moon is outtað er mánalýsi, mánin lýsir;the sun is outtað er sólskin, sólin skínur;the river is outáin er lopin; (um brek, skeivleika)be outfara skeivur, rokna skeivt;I was only five years outeg roknaði bara fimm ár skeivt;far outlangt úti; høpisleyst, einki skil er í;my watch is five minutes outurið (hjá mær) gongur fimm minuttir skeivt;I was outinmy calculationsmínar útrokningar vóru skeivar; eg fór skeivur, eg metti skeivt;you are absolutely out of ittú fert púra skeivur;he is out there1har fer hann skeivur2hann er har úti5[ísamb. við-ing]be out + -inghava verið (t.d.fishing//hunting); be out fishing//hunting (eis.)vera á floti//vera á veiðuferð6[ísamb. viðfs//hj]outfor(royna at) fáa fatur á (t.d.he is out for your money); be out for a walkvera úti og spáka;be outinsíomf.: be out of1vera uttanlands, vera burturi (t.d.he is out of the country; she was out of herself with joyhon var frá sær sjálvari av gleði)2vera sloppin úr (t.d.he is out of danger)3vera í uppsetri við (einum) (t.d.tobacco);(síeis.mind1,patience, sort); be outof itvera til avlops;be outtohava í hyggju/kvittanum, ætla (t.d.make money); be outwithvera óvinur við
out4	1(um rørslu) út, úti (t.d.come//go out; eat out);uttar, uttanfyri, fram, frammi, upp, uppi2[íyms. samb.]out and about againuppi aftur, aftur á fótum (eftir seingjarlegu);her day outfrídagur hennara; (sí eis.out-and-away, out-and-out, way13[ísamb. viðs]out you go!far út við tær!, slepp tær út!;hear me outlat meg nú sleppa at tosa4[ísamb. viðfs]three days outfrom=three days out of; get outfrom under(am. tlm.)sleppa burtur úr trupulleikum; sleppa burtur úr vanda;out of1út úr (t.d.come out of the house)2farin afturundir, ikki í eygsjón (t.d.out of sight)3uttan fyri, uttandura (t.d.remain out of the house)4(um ílat) úr (t.d.drink out of a glass)5(um orsøk) orsakað av, tí (hann/hon var) (t.d.he asked out of curiosity)6(um tilfar) av, úr (t.d.made out of wood)7(um uppruna) úr, í (t.d.an advertisment out of a newspaper)8(úrveljing) av (t.d.nine people out of ten);millum, ein/eitt av (nógvum) (t.d.one instance out of several); feel out of itkenna seg uttanfyri, ikki sleppa uppí;50 miles out of Grimsby three days out of Tórshavnvit fóru úr Havnini fyri trimum døgum síðan; vit fóru úr Havnini(t.d.hóskvøldið);outwithit!sig tað so!
out5	(am.)út ígjøgnum (t.d.jump out the window)
outage	(am.)streymslit
out-and-away	sum ikki kann sammetast, nógv (t.d.bestur) (t.d.he is out-and-away the best)
out-and-out1	1treytaleysur, avgjørdur (t.d.success)2gjørdur(t.d.lúshundur), føddur, reinur (t.d.scoundrel);rót-, reinur, ektaður, ramur;an out-and-out Yankeeein føddur yankee
out-and-out2	heilt, fullkomiliga, burturav, treyaleyst, avgjørt, út í odd og egg, á allan hátt, í allar mátar
out-and-outer	(tlm.)ein ið tekur greiða støðu; ein ið ger tað hann fæst við bæði væl og virðiliga; dugnamaður, hendingamaður; víðgongdur maður
outback	(avstr.):the outback (avstr.)fjarskotnar leiðir, oyðimørk (í Avstralia);be lost in the outbackvilstur í oyðimørkini
outbalance	viga meira enn; viga upp ímóti og væl tað
outbid	bjóða hægri;she outbid me for the vasehon beyð(el.bjóðaði) meira fyri vasan (enn eg var mentur)
outboard	uttanborða, uttanborðs
outboard motor	leysamotorur,(tlm.)páhangari
outbound	á útleið,útgangandi
outbrave	standa ímóti, treiskast; bera av einum
outbreak	útbrot, at bresta á, at taka seg upp, uppkyknan, at kykna upp; (eld)gos;outbreak of vandalismein alda av herverki tók seg upp;the outbreak of the warkríggið brestur//brast á
outbreeding	(plfr.)krossgitnaður
outbuildings	úthús
outburst	gleps, herðindi, árend, físur, sprutt(t.d.tað er ein físurel.eitt sprutt, so er hann góður aftur), vørrur(t.d.gera ein vørr), sjógvur(t.d.gera ein stóran sjógv);an outburst of angerillsinnisgleps, illsinnisherðindi, vørrur, froysan
outcast	fólk ið er rikið út úr samfelagnum, ein friðleysur, útiløgumaður
outcaste	(í India) kastiloysingur, stættloysingur
outclass	bera av (einum), vera meira enn, vera stinnari, vera mentari, bera yvirluta yvir einum;outclass himvera stinnari enn hann
outcome	úrslit; úrtøka; avleiðing;further hardship will be the inevitable outcome of these spending cutstað slepst ikki undan, at korini fara at versna uppaftur meira sum avleiðing av sparitiltøkunum
outcrop	(jarðfr.)svað(t.d.hellusvað), fyrikoming, at eitt kemur undan kavi
outcrossing	(plfr.)krossdusting
outcry	øsing, rok, gøla, ramaskríggj, uppøst róp og geyl, at vera á gosi, ófriður, rumbul, goragangur, hurlivasi; hvast alment mótmæli, neyðarróp;there has been an outcry from environmental groups over(el.against) the proposal to build the new airportumhvørvisfelagsskapir hava mótmælt hvassliga uppskotið um at byggja nýggja flogvøllin
outdated	avoldaður, ótíðarhóskandi, farin av móta (t.d.they replaced their outdated machinery; nowadays this technique is completely outdated; an outdated computer system)
outdistance	fara, renna, ganga framum, leggja afturum
outdo	bera av einum, hava yvirluta yvir (einum), bera yvirlutan yvir (ein), hava yvirlutanel.vera við yvirlutan;not to be outdonesum ikki vil lata sær lynda, at onkur roynist betur enn; sum ikki vil góðtaka, at ein roynist betur enn
outdoor	uttandura-, úti-
outdoorman	útifólk, útimaður
outdoor relief	(gl.)fátækrahjálp til teirra, ið búgva ikki í fátækrahúsi
outdoors	uttandura, úti
outdoorsman	útifólk, útimenniskja
outdraw	1fáa fleiri áskoðarar enn ein2bregða revolvaran skjótari enn ein
outer1	1ytsti ringur á skotklingru; skot ið rakar ytsta ring2síoutergarment3(í boksing) rothøgg, knockout4(avstr.)[1stað har veddingarnar fara fram2partur av ítróttarvølli, sum ikki er taktur3on the outervið ongum pengum; illa lýddurel.dámdur
outer2	ytri, uttari; út-, ytstur;the outer limits of human experienceytsta mark fyri menniskjans sannkenning
outer clothes	yvirklæði(r)
outer clothing	klæðir uttan á undirklæðum
outer door	úthurð; sí eis.front door
outer garments	klæði(r) uttan á undirklæðum
outermost	ytstur, uttastur, (av tveimum) ytri, uttari
outer space	rúmdin
outerwear	yvirklæði(r)
outface	fáa at slaka; standa ímóti;she -d her rivals by refusing to resignhon vann á kappingarneytunum við at sýta fyri at fara frá
outfall	1(áar)ósi, munni2frárenning
outfield	1hagi2(í krikket) vøllurin
outfielder	vallarleikari, útileikari
outfield player	(ítr.)útileikari, útispælari
outfight	vinna á, sigra á, vera stinnari
outfit1	1(serst.til ávíst endmál) búni (t.d.a skiing outfit; she bought a new outfit for her daughter’s wedding)2(serst.til ávíst endamál) útgerð, útbúnaður (t.d.a bicycle repair outfit)3(um felagskap) virki, fyritøka, felag (t.d.a small publishing outfit)4(um fólk) lið, bólkur, hópur5(am. herm)eind
