a’	(skotskt.) =all(t.d.for a’ that)
antichrist1	kristindómsfíggindi
Antichrist2	Antakrist
anti-Christian	kristindómsfíggindaligur
anticipate	1vænta (t.d.I did not anticipate this result),hava varhuga av, rokna við (t.d.they confidently anticipated an easy victory; anticipate the variation in prices);síggja fram til (t.d.anticipate it with anxiety)2nýta sum forskot (t.d.an inheritance)3vera hin fyrri, vera undan, vera fyri (einum) (t.d.one’s opponent)4(síggjael.skilja frammanundan og) ganga einum á møti (t.d.the servant anticipated my request (, my needs; anticipate his wish opfylde)5gera av frammanundan; siga frammanundan;she always anticipates his wordshon tekur altíð orðini úr munninum á honum6skunda undir (t.d.don’t anticipate calamity by refusing to prepare for it)
anticipation	1varhugi, vón, vánir (t.d.it did not fulfil our anticipations; there was great excitement and anticipation on board); look forward to it with a child’s anticipationgleða seg sum eitt barn til tað;in anticipation ofí vón um (t.d.in anticipation of a visit from him)2undangerð, undanvera, undandøttur3in anticipationframmanundan;thanking you in anticipationeg takki tygum frammanundan
anticipatory	frammanundan; væntin, vónargóður;be anticipatory ofvænta
anticipatory grief	bíðisorg
anticlerical	kirkjufíggindaligur
anticlimax	vónbrot, niðurvend, spenningsfall, kódnan
anticline	(jarðfr.)andhall
anticlockwise	sólarrangur
anti-cold mixtures	evni fyri krím
anti-cold vaccine	krímvaksina
anticorrosive	rustverjandi
anticropagent	grøðitýnandi evni
antics	fjákalótir, lokabrøgd, skálkabrøgd, lótir
anticyclone	(veðurfr.)hátrýst
anti-dazzle	sum forðar fyri glámlýsi, sum forðar fyri at eitthvørt blindar
antidepressant1	angistlinnandi heilivágur
antidepressant2	(einans framman fyri navnorði) angistlinnandi:an antidepressant medicine/drugangistlinnandi heilivágur
antidim	døggfríur, sum ikki døggar (t.d.eyepiece[eygnaglas]in a gas mask)
antidotal	andeitur-, móteitur-
antidote	andeitur, móteitur
antifederalist	samveldismótstøðufólk
antifoulant	(sigl.)andgróður máling
antifouling paint	(sigl.)andgróður máling
anti fouling system	gróðurfyribyrgjandi evni
antifreeze	frostløgur, kølaraløgur
antifreeze solution	frostløgur, kølaraløgur
anti-G-suit	trýstbúni
Antiguaand Barbuda	(landafr.) Antigua og Barbuda (land í Karibiahavi)
Antiguan1	antiguari, antigui
Antiguan2	antiguiskur
antihero	andhetja
antihistamines	(lækn.)antihistaminir
anti-inflammatory1	(lækn.)brunatálmandi evni
anti-inflammatory2	(lækn.)brunatálmandi
Antilles	Antillurnar
antilock brake	(á bili) bremsa sum ikki læsir
antimacassar	antimakassar (plagg ið skal verja stólabako.a.ímóti hárfeitti)
antimatter	(al.)andevni (úr andbitlum)
antimissile system	rakettverja
anti-mist panel	døggrútur
antimony	antimon (frumevni)
anti-mugger belt	beltistaska
antinomy	mótstríð, mótsøgn, andsøgn
antipathetic	fíggindaliga sinnaður, illviljaður (t.d.he is antipathetic to me);ódámligur
antipathy	stikni, ótokki, andstygd, mótvilji, illvilji
antipersonnel	(herm.)antipersonnelbombbumba (ætlað gonguherliði);antipersonnel minemina (ætlað gonguherliði)
antiphon	skiftisongur;(fl.m)svar
antiphony	skiftisongur
antipodal	beint mótsettur
antipode	beinleiðis mótsetningur(oftil)
antipodean	(síantipodal) (síantipodal)
antipodes	1pláss á mótsettu síðu á knøttinum (t.d.Australia is the antipodes of England);fólk ið liva á mótsettum plássum á knøttinum (t.d.our antipodes sleep while we wake)2(fl.m.)beinleiðis mótsetningar(oftil) (t.d.voting and violence are antipodes)
antipollution	sum forðar dálking (t.d.antipollution regulations)
antiprohibitionist	forboðsandstøðingur
antipruritic	(lækn.)fyri skriða
antipyretic	kølandi, fepurlinnandi (evni)
antiquarian	1nfornfrøðingur, kønur í fornum lutum2lfornfrøðiligur
antiquary	síantiquarian
antiquate	gera gamlan, fáa at tykjast gamlan (t.d.new models antiquated the old ones)
antiquated	aveldur, gamal, fornur, fyrndur; farin úr gildi
antique1	forngripur, gamal lutur
antique2	frá fornari tíð, fyrndargamal, aveldur; gamalsligur
antiquity	1elli2Antiquityforntíð, fornøld3antiquities fltfornminni
antirheumatic	(lækn.)(evni) fyri gigt
antirust	rustverjandi (t.d.coating)
anti-Semite	gýðingahatari, jødahatari
anti-Semitic	gýðingahatskur, jødahatskur
anti-Semitism	gýðingahatur, jødahatur
antiseptic	sóttverjandi, sóttreinsandi (evni), bakteriudrepandi (evni)
antiseptics	sóttvernd
antiskid	antiskid chain kavaketa
anti-smoking clinic	roykavvenjingarstova
antisocial	samfelagsfíggindaligur, asosialur
antispasmodic	(lækn.)krampalinnandi (evni)
antitank	(herm.)brynjuvagnaverju-
anti-terrorism	yvirgangsverja
antitetanus serum	(lækn.)stívkrampaserum
antithesis	mótsetningur, antitesa
antitoxin	(lækn.)andeitur
antitrust law	lóg um einkarrætt, monopollóg
anti-vaxxer	vaksinuandstøðingur
antiwoggery	(uml.)fremmandahatur
antler	hjartarhorn, horn á hjørti; grein á slíkum horni; sproti;antlershjartarhorn, horn á hjørti
ant lion	(dý.)meyruleyva (skordýr)(Myrmeleontidae)
antonym	andnevni, orð við øvutari merking, antonym (t.d.the antonym of hot is cold)
antonymous	andnevndur
antrorse	(plfr.)framvendur
ants’ nest	(dý.)meyrutúgva
antsy	(N-A. tlm.)fjálturstungin, sum hevur ongan frið á sær
Antwerp	Antwerpen
A-numbers	haldevni, „E-nummur”
anurous	(dý.) halaleysur, við ongum hala
anus	barð, baktarmsop,(óvand.)reyvarhol, (barnamál) rumpuhol, (á fiski) got
anvil	1amboltur, stiði, steðji2(fl.m.) on the anviltil fyrireikingar (t.d.he has another scheme on the anvil);til viðgerðar; ætlanir um, í hyggju
anvil chisel	seymhøgg
anvil chorus	(am.)Sbólkur av harðmæltum mótmælarum
anxiety	1ekki, ótti, bangilsi, ampi, órógv (t.d.there is no cause for anxiety; all these anxieties made him look pale and tired; it caused him anxiety)2ágrýtni, ídni3(sál.)angist
anxiety neurosis	angistneurosa
anxious	1bangin, óttafullur, óróligur(aboutum) stúrin (t.d.anxious relatives of the passengers)2íðin, ágrýtin;anxious foríðin eftir;anxious toaltráur eftir, grammur, vera fullhugaður3ótolin; spenturI am very anxious to (, that) (eis:)eg eri øgiliga spentur at
anxious bench,anxious seat	(fl.m.)pínubonkur
any	1fnnakar (t.d.I haven’t any money; without any difficulty; give me some cigarettes if you have any; he didn’t know any of us; as good (, effective etc.) as any; give me some (tea) if you have any; I didn’t believe any of it); hardly anynæstan eingin;thanks, I’m not having any Stakk eg skal einki hava; nei, annars takk2fnhvør, ein og hvør (t.d.any schoolboy knows that; he will denounce any attempt to …; any attempts will be futile); give me any old bookgev mær bara onkra gamla bók;any amount ofso nógv tað skal vera;at any rate,sírate1; responsible for any consequenceshava ábyrgd av møguligum fylgjum3hjpetti, smettin,he is not any the wiserhann er ikki petti klókari;it did not snow any yesterday (serst.am.) tað kavaði als ikki í gjár;any timenær sum helst;if any,síif; in any caseundir øllum umstøðum, í hvussu er;any longerlongur;any moremeira, oftari;any wayá nakran hátt;do it any way you wantger júst sum tær hóvar
anybody	1fnnakar, hvør, hvør maður, ein og hvør (t.d.he doesn’t know anybody here; has anybody been here?; anybody knows that); anybody who likes(el.wants)hvør ið vil)2n everybody who was anybody had comeøll sum høvdu týdning vóru komin;he will never be anybodyhann verður ongantíð til nakað
anyhow	onkursvegna, í hvussu er, kortini, tó; í hvussu er (t.d.he is honest, anyhow),undir øllum umstøðum, hvussu er og ikki; tó, kortini (t.d.I know you don’t like it, but you’ll have to do it anyhow);sum best ber til; funsutur (t.d.the work was done anyhow)
anyone	síanybody; any oneein (og hvør) einstakur
anyplace	(am.)síanywhere
anything	nakað (t.d.I can’t see anything; is there anything in the box?),okkurt, eitthvørt; alt (t.d.you can have anything you like);hvat sum helst (t.d.we are ready for anything; he will do anything for me); anythingbutalt annað enn;I can’t give you anything but loveeg kann ikki geva tær annað enn kærleika;it is anything but certaintað er alt annað enn víst;he didn’t do anythingelse(am. tlm.)tað var júst tað hann gjørdi;too …foranythingalt ov … (t.d.ridiculousláturligur);it was an opportunity which I would not have missed for anything… sum eg ikki vildi verið fyri uttan fyri alt í verðini;you don’t get anything for nothing in this worldtú fært einki borið upp í hendurnar her í verðini;anythinggoesalt kann verða brúkt; alt er loyvt;if anything,likeanythingso rokið stendur frá (t.d.they worked like anything);so tað forsló;he cheated them like anything …so tað dreiv av teimum;anything likeí heila tikið; sum líkist, sum minnir um (t.d.if it can give anything like an accurate picture of the facts); not … anything likeals ikki;like anythingav øllum alvi, upp á lívið, yvir háls og herðar (t.d.work like anything); swear like anythingbanna sum ein turkur
anyway	síanyhow
anyways	not … anywaysá ongan hátt, als ikki (t.d.it did not look anyways good for them)
anywhere	nakrastaðni (t.d.I can’t go anywhere);hvar sum helst, allastaðni (t.d.I’ll meet you anywhere; I’ll live anywhere where it is nice to be; anywhere you likehar tú vilt;he can’t live anywhere else… nakra aðrastaðni;he lives miles from anywhere… úti í avbygdum;welcome visitors from anywhere …alla staðnis frá;it may take anywhere from 20 to 50 minutestað kann vara millum20 og 50 minuttir;do we get anywhere near Boxtonkoma vit í nánd av Boxton?;don’t go anywhere near the placehalt teg langt frá tí plássinum
anywise	(gl.)yvirhøvur, á onkran hátt (t.d.nor was it anywise important)
Anzac	(st.)Australian and New Zealand Army Corps; Anzacs (hermenn í hesum heri)
Anzac Day	(Avstr., Nýsæl.)[25. april, almennur frídagur til minnis um landgongdina í Dardanelloyggjum í 1915]
ao b	(st.)any other business; (á dagsskrá) ymiskt
A-OK,A-okay	(am.)fullkomiliga í lagi, púrasta í lagi
aorta	(likam.)meginlívæðr
aoudad	(dý.)monaseyður(Ammotragus lervia)
AP	(st.)Associated Press
apace	skjótt, kvikliga, skundisliga (t.d.the work proceeds apace; winter is coming on apace)
Apache1	apache, apatsji (indián(ar)i)
apache2	apache (fólk knýtt at brotsmannaheiminum í París - ofta pútudevlar)
apanage	uppihaldspeningur til yngri limir í aðalstætt
apart	1burturfrá, avsíðis, avleiðis2fyri seg sjálvan; sundurskildur, fráskildur; hvør sær3serligur, fyri seg (t.d.they belong to a race apart; he moves in a world apart)4undantikið, umframt (t.d.these things apart, he has acquitted himself well)5[ íyms. smb]come apartganga sundur, brotna;apart fromundantikið, umframt;joking apartskemt til viks, álvaratos;tell them apartskilja ímillum; skilja teir hvønn frá øðrum;viewed apartskoðað hvørt sær;he lives in a world aparthann livir í egnumel.øðrum heimi; (síeis.set1,take1)
apartheid	(SuA.)rasuskilnaður
apartment	rúm, kamar;(am.)íbúð;apartmentsíbúð við innbúgvi;apartment house (am.)fjølbýlishús
apartment building	(am.)íbúðarhús
apathetic	dølskur, líkasælur, kensluleysur, deyðsamligur [dœssa-], apatiskur
apathy	dølskni, líkasæla, apati
ape	1(dý.)mannapa2(fl.m.)eftirapari, hermari3go apegerast ørur, gerast svakur, gerast vitleysur;go ape oververða (upp)østur av4seftirapa, apast eftir, herma (t.d.his manners)
apeak	(beint) upp og niður, steyrrættur, loddrættur
ape-man	apumenniskja
Apennines	flt: the Apennines Apenninurnar
apepsy	(lækn.)sodningarólag
apercu	stutt lýsing, stutt frágreiðsla, yvirlit
aperient	loysandi evni (til harðan maga)
aperitif	fordrykkur,aperitiffur
aperitive	, síaperient
aperture	1op, opilsi; hol (t.d.pores are minute apertures in the skin)2(lmynd.)blendaraop
aperture plate	(film.)trýstpláta
aperture ratio	oplutfall
aperture sight	holsikti
apery	1eftiraping2apukattalótirflt
apeshit	(am.)S: go apeshit fara í luftina, flúgva í flintur
apetalous	(plfr.)krúnuleysur
apex	1toppur, tindur, hædd (t.d.of his career)2oddur, broddur, spíssur (t.d.the apex of a leaf; the apex of a pyramid; opening at the apex of a dome; the apex of a triangle); apex of the lunglungabroddur
aphanitic	(jarðfr.) ósjónligur
aphasia	(lækn.)taluevnamissur, tosingarbrek, -óføri, -ómegd
aphid	blaðlús
aphorism	hittinorð, fyndorð, aforisma
aphoristic	hittinorðaður, aforistiskur
aphrodisiac	1øsingarevni, eggingarevni, lystvekjari2løsandi, eggjandi
Aphrodite	(gudal.) Afrodita
aphyllous	blaðleysur
aphyric basalt	(jarðfr.)(compact/dense-grade bluish) aphyric basaltblágrýti;intrusive aphyric basaltinnskotið blágrýti
API	(st.)Active Pharmaceutical Ingredientvirkisevni
apiarian	býflugu-
apiarist	býflugualari
apiary	býflugubúgv
apical	(plfr.)odd-, enda-, topp-
apiculate	(plfr.)oddspískur
apiculture	býfluguhald, hunangsfluguhald
apiculus	(plfr.)stuttur oddur
apiece	hvør (t.d.the oranges were[kostaðu]10 p. apiece),til hvønn (t.d.it was £1 apiece for admission), í part (t.d.he gave them a pound apiece; there’ll be a pound apiece for you …)
apish	apukendur;(fl.m.)eftirapandi; skaputur, láturverdur, fjantutur, apu-
aplenty	(am.)ríkiligur, í ríkiligt mát (t.d.money aplenty for all our needs…)
aplomb	sjálvstreysti, sjálvsálit (til framførslu)
apocalypse	opinbering;the AJóhannesar opinbering
apocalyptic	undirgangs- (t.d.atmosphere)
apocarp	(plfr.)fjøldarfrukt
apocarpous	(plfr.)við ósamvaksnum fræbløðum
apocope	(máll.)apokopa (tað at endaljóðið í orði dettur burtur)
Apocrypha	apokrýfurnar, mishalgibøkurnar (trettan rit í griksku týðingini av gamla testamenti)
apocryphal	(um søgu, frásøgn) av ivasomum uppruna, samanpentaður, skeivur, [sum títt og ofta verður havt á munni men hevur ivasamt trúvirði] (t.d.there is an apocryphal story about a disgraced rock star who ended in bankruptcy court)
apod(e)ictic	sannførandi; neyðugur
apolaustic	vertskapsfróur
apolitical	ópolitiskur (t.d.white-collar unions)
apologetic	umberandi;he was very apologetic about ithann bað so miriliga umbera seg
apologetics	(átr.)trúarverja
apologia	verjurit, verjurøða
apologist	(átr.)trúarverji
apologize	umbera seg, orsaka seg, biðja um umbering;apologized for absence: Mr X and Mr YX og Y høvdu boðað frá at tey ikki komu
apology	1umbering; undanførsla;make an apologyumbera seg, orsaka seg, biðja um umbering;make apology for absencemelda frá;send apologiessenda avboð;with apologies tofritt eftir2eftirgerð;an apology for a tieeitt eiti av einum slipsi;an apology for washingkettuvask3síapologia
apomixis	(plfr.)ókynjað nøring (planta sum nørist ókynjað)
apophthegm	hittinorð, fyndorð
apophysis	(jarðfr.) útúrgerð
apophyte	(plfr.)upprunaplanta sum trívst á røktarjørð
apoplectic1	apoplektikari
apoplectic2	1apoplektiskur (t.d.an apoplectic attack)2í øðini, spinnandi óður(t.d.he became apoplectic at the mere mention of the subject; Mark was apoplectic with rage at the decision)
apoplexy	slag, heilabløðing, blóðtøppur í heilanum, apopleksi
aport	(sigl.)um bakborð;hard aport !hart bakborð!
apostasy	(politiskt ella átrúnaðarligt) fráfall (t.d.the execution of their leader for apostasy brought widespread criticism)
apostate	fráfallin;Julian the Apostate (sø.)Julian hin fráfalni
apostle	ápostul
Apostles’ Creed	apostoliska trúarjáttanin
Apostolic	ápostólskur, ápostla-
apostrophe	1burturfalsmerki, hvørsfalsmerki, apostrofa2(bókm.)ákallan, beinleiðis áheitan, apostrofa
apostrophize	ákalla, heita beinleiðis á
apothecary	(gl.)apotekari
apothegm	hittinorð
apotheosis	1upphevjan, dyrkan2fyrimynd (t.d. this poem is the apotheosis of lyric expression);fullkomin ímynd (t.d.she is the apotheosis of womanhood); he was certain that this was the apotheosis of his liftehonum var greitt, at hetta var hæddarpunktið í lívi hansara
app	(teld.)appkv(flt. apps = appir)
appal	skelka, skaka, gera forfardan
Appalachian	AppalachianMountainsAppalachufjøllini
appalling	skelkandi, skakandi; ræðuligur (t.d.an appalling tragedy)
appanage	1árlig peningaveiting2hjáland3framíhjárættindi4eitthvørt sum fylgir við (t.d.beauty which is the natural appanage of happiness)
